Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,4,,,04505,Aida Gamez,,Art Practice,117,001,A,Letter Grade,A+,"Rsrch, Mthds  Draw"
1,3,,,04508,Indira Morre,,Art Practice,118,001,A,Letter Grade,A+,Contmp Fig Drw
1,7,,,04511,Amanda Eicher,,Art Practice,119,001,A,Letter Grade,A+,Gpca
1,3,,,04514,Randy Hussong,,Art Practice,120,001,A,Letter Grade,A+,App To Prntmg Intag
1,5,,,04526,Azin Seraj,,Art Practice,160,001,A,Letter Grade,A+,Spec Topics Vis Std
1,1,,,04529,Katherine Sherwood,,Art Practice,165,001,A,Letter Grade,A+,"Art,Med & Disabil"
1,11,,,04538,Jamil Hellu,,Art Practice,180,001,A,Letter Grade,A+,Advanced Digital Ph
1,2,,,04550,Katherine Sherwood,,Art Practice,H195A,001,A,Letter Grade,A+,Spec Study Honors
1,1,,,04613,Brody Reiman,,Art Practice,H195B,004,A,Letter Grade,A+,Spec Study Honors
1,1,,,04658,Elise Putnam,,Art Practice,196,001,A,Letter Grade,A+,Bridging The Arts
1,4,,,04977,Darcy Grigsby,,History of Art,11,001,A,Letter Grade,A+,Intr To Western Art
1,2,,,05028,Christopher Hallett,,History of Art,145A,001,A,Letter Grade,A+,Rmn Painting
1,1,,,05088,Andrew Stewart,,History of Art,192B,001,A,Letter Grade,A+,Ancient
1,1,,,05091,Beate Fricke,,History of Art,192D,001,A,Letter Grade,A+,Renaissance
1,5,,,05094,Henrike Lange,,History of Art,192D,002,A,Letter Grade,A+,Renaissance
1,3,,,05097,Christine Hult - Lewis,,History of Art,192F,001,A,Letter Grade,A+,19th-20th Century
1,1,,,05100,Imogen Hart,,History of Art,192F,002,A,Letter Grade,A+,19th-20th Century
1,3,,,05103,Jacquelynn Baas,,History of Art,192CU,001,A,Letter Grade,A+,Curatorial
1,1,,,05368,Anna Leong,,Asian American Studies,R2B,001,A,Letter Grade,A+,Reading&Composition
1,8,,,05383,Michael Omi,,Asian American Studies,20A,001,A,Letter Grade,A+,Intro Asian Am Hist
1,24,,,05527,Maria Barrios-Leblanc,,Asian American Studies,124,001,A,Letter Grade,A+,Filipino Amer Hist
1,13,,,05533,Hatem Bazian,,Asian American Studies,132AC,001,A,Letter Grade,A+,Islamophobia
1,1,,,05548,Carolyn Chen,,Asian American Studies,144,001,A,Letter Grade,A+,Religions As Amer
1,2,,,05551,Lisa Hirai Tsuchitani,,Asian American Studies,146,001,A,Letter Grade,A+,Asian Amer & Ed
1,6,,,05557,Young Shin,,Asian American Studies,151AC,001,A,Letter Grade,A+,Asian Amer Women
1,4,,,05560,Hannah Michell,,Asian American Studies,171,001,A,Letter Grade,A+,"Asam In Film, Video"
1,2,,,05566,Fae Ng,,Asian American Studies,173,001,A,Letter Grade,A+,Creative Writing
1,3,,,05572,Fae Ng,,Asian American Studies,176,001,A,Letter Grade,A+,Genre As Amer Lit
1,4,,,05903,Eugene Chiang,,Astronomy,7B,001,A,Letter Grade,A+,Intro Astrophysics
1,14,,,05912,Leo Blitz,,Astronomy,10,001,A,Letter Grade,A+,General Astronomy
1,3,,,05933,Raymond Jeanloz,,Astronomy,C12,001,A,Letter Grade,A+,The Planets
1,5,,,05990,Carl Heiles,,Astronomy,121,001,A,Letter Grade,A+,Radio Astronomy Lab
1,2,,,06252,John Dueber; Niren Murthy,,Bioengineering,11,001,A,Letter Grade,A+,Engineering Molecul
1,3,,,06427,Steven Conolly,,Bioengineering,101,001,A,Letter Grade,A+,Instr Biology Med
1,4,,,06439,Terry Johnson,,Bioengineering,104,001,A,Letter Grade,A+,Bio Trans Phen
1,7,,,06460,Dorian Liepmann,,Bioengineering,110,001,A,Letter Grade,A+,Biomed Phys For Eng
1,8,,,06469,Seung-Wuk Lee,,Bioengineering,111,001,A,Letter Grade,A+,Func Bio Dev &
1,1,,,06475,Mohammad Mofrad,,Bioengineering,C112,001,A,Letter Grade,A+,Molec Biomec Cell
1,1,,,06481,Hayley Lam,,Bioengineering,115,001,A,Letter Grade,A+,Cell Bio For Eng
1,2,,,06499,Lisa Pruitt,,Bioengineering,C117,001,A,Letter Grade,A+,Struct Asp Biomater
1,3,,,06505,Luke Lee,,Bioengineering,121,001,A,Letter Grade,A+,Biomems & Med Dev
1,2,,,06559,Kevin Healy,,Bioengineering,H194,008,A,Letter Grade,A+,Hon Undergrad Res
1,3,,,06583,Dorian Liepmann,,Bioengineering,H194,016,A,Letter Grade,A+,Hon Undergrad Res
1,1,,,06610,Niren Murthy,,Bioengineering,H194,025,A,Letter Grade,A+,Hon Undergrad Res
1,1,,,06619,Oskar Hallatschek,,Bioengineering,H194,028,A,Letter Grade,A+,Hon Undergrad Res
1,1,,,06640,Hayley Lam,,Bioengineering,H194,035,A,Letter Grade,A+,Hon Undergrad Res
1,1,,,06670,Irina Conboy,,Bioengineering,196,004,A,Letter Grade,A+,Hon Underg Des Res
1,1,,,06700,Seung-Wuk Lee,,Bioengineering,196,014,A,Letter Grade,A+,Hon Underg Des Res
1,1,,,06736,Lisa Pruitt,,Bioengineering,196,026,A,Letter Grade,A+,Hon Underg Des Res
1,1,,,06766,Hayley Lam,,Bioengineering,196,036,A,Letter Grade,A+,Hon Underg Des Res
1,5,,,07253,Andrew Dillin; Jennifer Doudna; Marla Feller; Michael Meighan,,Biology,1A,001,A,Letter Grade,A+,General Biology Lec
1,3,,,07358,Gian Garriga; Michael Meighan,,Biology,1AL,001,A,Letter Grade,A+,General Biology Lab
1,12,,,07448,George Roderick; Joshua Povich; Lewis Feldman; Michael Nachman,,Biology,1B,001,A,Letter Grade,A+,General Biology
1,1,,,07658,Brian Baumann,,Buddhist Studies,C117,001,A,Letter Grade,A+,Mongolian Buddhism
1,11,,,07659,Mark Blum,,Buddhist Studies,C128,001,A,Letter Grade,A+,Buddhism Contemp
1,1,,,07679,Pei-Ying Lin,,Buddhist Studies,C140,001,A,Letter Grade,A+,Chinese Budd Texts
1,2,,,07680,Alexander Von Rospatt,,Buddhist Studies,190,001,A,Letter Grade,A+,Topics
1,1,,,07770,Christie Bopearachchi,,Buddhist Studies,150,001,A,Letter Grade,A+,Buddhist Art S Asia
1,22,,,07803,Cristina Banks; John Briginshaw; Judy Hopelain; Mohammad Hossein Ghasemzadeh; Omar Romero-Hernandez,,Business Admin-Undergrad,10,001,A,Letter Grade,A+,Principles Of Bus
1,4,,,07860,Terrance Odean,,Business Admin-Undergrad,96,001,A,Letter Grade,A+,Ld Spec Top Bus Adm
