Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
25,3,,,13421,Aaron Parsons,,Astronomy,299,016,Credit,Non-Letter Grade,Satisfactory,"Adv Study, Research"
25,4,,,13427,Alfred Glassgold; Paul Kalas,,Astronomy,292,001,Credit,Non-Letter Grade,Satisfactory,Seminar
25,7,,,13428,Chung-Pei Ma; Mariska Kriek,,Astronomy,292,002,Credit,Non-Letter Grade,Satisfactory,Seminar
25,2,,,13431,Alexei Filippenko,,Astronomy,292,007,Credit,Non-Letter Grade,Satisfactory,Seminar
25,11,,,13432,Susan Marqusee,,Biophysics,292,001,Credit,Non-Letter Grade,Satisfactory,Research
25,1,,,13552,Jacob Dalton,,Buddhist Studies,298,003,Credit,Non-Letter Grade,Satisfactory,Dir Stu For Grad St
25,2,,,13553,Alexander Von Rospatt,,Buddhist Studies,298,004,Credit,Non-Letter Grade,Satisfactory,Dir Stu For Grad St
25,1,,,13617,Mark Blum,,Buddhist Studies,299,002,Credit,Non-Letter Grade,Satisfactory,Thesis Prep And Res
25,2,,,13618,Jacob Dalton,,Buddhist Studies,299,003,Credit,Non-Letter Grade,Satisfactory,Thesis Prep And Res
25,5,,,13619,Alexander Von Rospatt,,Buddhist Studies,299,004,Credit,Non-Letter Grade,Satisfactory,Thesis Prep And Res
25,1,,,13778,Mark Csikszentmihalyi,,Chinese,299,003,Credit,Non-Letter Grade,Satisfactory,Thesis Prep And Res
25,1,,,13779,Andrew Jones,,Chinese,299,004,Credit,Non-Letter Grade,Satisfactory,Thesis Prep And Res
25,1,,,13781,Paula Varsano,,Chinese,299,006,Credit,Non-Letter Grade,Satisfactory,Thesis Prep And Res
25,1,,,13798,Mark Csikszentmihalyi,,Chinese,298,003,Credit,Non-Letter Grade,Satisfactory,Dir Stu For Grad St
25,1,,,13799,Andrew Jones,,Chinese,298,004,Credit,Non-Letter Grade,Satisfactory,Dir Stu For Grad St
25,1,,,13801,Paula Varsano,,Chinese,298,006,Credit,Non-Letter Grade,Satisfactory,Dir Stu For Grad St
25,3,,,13840,Duncan Macrae,,Classics,239,001,Credit,Non-Letter Grade,Satisfactory,Classics Topics
25,1,,,13909,Ellen Oliensis; Tonio Hoelscher,,Classics,270,001,Credit,Non-Letter Grade,Satisfactory,Seminar Class Arch
25,8,,,13931,Kathleen Mccarthy,,Classics,302,001,Credit,Non-Letter Grade,Satisfactory,Teaching Practicum
25,7,,,13934,Kathleen Mccarthy,,Classics,375,001,Credit,Non-Letter Grade,Satisfactory,Teaching Methods
25,15,,,13944,Jane Stanley,,College Writing Programs,375,001,Credit,Non-Letter Grade,Satisfactory,Intro To Teach Comp
25,2,,,14009,Mark Griffith,,Classics,298,1,Credit,Non-Letter Grade,Satisfactory,Special Study
25,1,,,14010,Kim Shelton,,Classics,298,2,Credit,Non-Letter Grade,Satisfactory,Special Study
25,1,,,14011,Giovanni Ferrari,,Classics,298,3,Credit,Non-Letter Grade,Satisfactory,Special Study
25,2,,,14012,Kathleen Mccarthy,,Classics,298,4,Credit,Non-Letter Grade,Satisfactory,Special Study
25,1,,,14042,J. Pena,,Classics,298,5,Credit,Non-Letter Grade,Satisfactory,Special Study
25,1,,,14103,Niklaus Largier,,Comparative Literature,602,007,Credit,Non-Letter Grade,Satisfactory,Individual Study
25,1,,,14105,Francine Masiello,,Comparative Literature,602,009,Credit,Non-Letter Grade,Satisfactory,Individual Study
25,1,,,14110,Victoria Kahn,,Comparative Literature,602,004,Credit,Non-Letter Grade,Satisfactory,Individual Study
25,1,,,14112,Chana Kronfeld,,Comparative Literature,602,006,Credit,Non-Letter Grade,Satisfactory,Individual Study
25,1,,,14115,Whitney Davis,,Comparative Literature,298,001,Credit,Non-Letter Grade,Satisfactory,Special Study
