Grade Distribution for Fall 2012 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2012 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,145,001,Hlth & Env Econ Pol,Michael Anderson,01290,1,7,9,12,8,10,3,,,3,1,,1,,,,,,55
2012 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C151,001,Economic Develop,Alain Dejanvry,01293,5,8,8,9,14,4,4,6,4,,,,1,3,,,,,66
2012 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,152,001,Adv Topics Dev/Trad,Jeremy Magruder,01308,2,2,3,4,2,4,2,,1,,,,,3,,,,,23
2012 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C175,001,Econ Climate Chg,Christian Traeger,01326,3,3,7,12,4,2,,1,,,,,,1,,,,,33
2012 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C181,001,International Trade,Calanit Kamala,01338,,9,3,4,4,1,4,3,,,2,1,2,4,,2,,,39
2012 Fall,Anthropology,ANTHRO,Anthropology,2AC,001,Intro Archaeology,Kent Lightfoot,02303,15,126,46,26,25,12,5,8,1,1,1,,5,45,,10,,1,327
2012 Fall,Anthropology,ANTHRO,Anthropology,3AC,001,Intro Soc/Cult Ac,Corinne Hayden,02372,21,184,124,51,44,14,6,4,4,,1,,3,17,,5,,2,480
2012 Fall,Anthropology,ANTHRO,Anthropology,R5B,001,Reading & Comp,Saleem Al-Bahloly; Terrence Deacon,02477,,7,5,,,,,,,,,,1,,,,,,13
2012 Fall,Anthropology,ANTHRO,Anthropology,R5B,002,Reading & Comp,Teresa Bulger; Terrence Deacon,02480,2,8,2,2,1,,2,,,,,,,,,,,,17
2012 Fall,Anthropology,ANTHRO,Anthropology,R5B,003,Reading & Comp,Elizabeth Kelley; Terrence Deacon,02483,,3,3,6,3,,,,,,,,,,,,,,15
2012 Fall,Anthropology,ANTHRO,Anthropology,R5B,004,Reading & Comp,Arpita Roy,02485,1,9,2,,,1,,,,,,,,1,,,,,14
2012 Fall,Anthropology,ANTHRO,Anthropology,R5B,005,Reading & Comp,Terrence Deacon; Yalda Asmatey,02304,,4,2,4,3,,,1,,,,,,,,,,,14
