Grade Distribution for Fall 2011 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2011-2012,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (Jenna Allen) 4/13/2012,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DEPT,COURSE,COURSE NUMBER,COURSE SECTION,COURSE DESCRIPTION,INSTRUCTOR NAME,COURSE CONTROL NUMBER,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,PASS,NO PASS,TOTAL P/NP,INCOMPLETES,TOTAL GRADES FOR COURSE
AFRICAM,AFRICAM, 198,003,DIRECTED GROUP STDY,"CATANESE, B N     ",00689,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,20,0,20
AFRICAM,AFRICAM,C133A,001,RACE URBAN SCH     ,"SUAD-BAKARI, N    ",00644,0,5,7,4,4,0,0,1,0,0,0,0,0,0,1,1,1,23
AFRICAM,AFRICAM,C134,001,INFO TECH AND SOC  ,"LAGUERRE, M S     ",00647,0,9,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,20
AFRICAM,AFRICAM,R001A,001,FRESH COMPOSITION  ,"HENRY, C P        ",00502,0,15,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,19
AFRICAM,AFRICAM,R001A,002,FRESH COMPOSITION  ,"HENRY, C P        ",00505,0,1,2,6,6,0,0,0,1,0,0,0,0,0,0,0,0,16
AFRICAM,AFRICAM,R001B,001,FRESHMN COMPOSITION,"NANDA, A          ",00503,1,0,4,2,5,2,1,1,0,0,0,0,0,0,0,0,0,16
ANTHRO,ANTHRO, 002AC,001,INTRO ARCHAEOLOGY  ,"SUNSERI, J U      ",02303,10,40,50,84,30,15,11,5,4,0,2,0,1,31,3,34,2,288
ANTHRO,ANTHRO, 003AC,001,INTRO SOC/CULT AC  ,"HAYDEN, C P       ",02372,19,179,104,38,52,13,5,10,0,1,3,0,2,31,9,40,1,467
ANTHRO,ANTHRO, 084,001,SOPHOMORE SEMINAR  ,"JOYCE, R          ",02455,3,7,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,12
ANTHRO,ANTHRO, 098,002,DIRECTED GROUP STDY,"HASTORF, C        ",02459,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,24,0,24
ANTHRO,ANTHRO, 098,006,DIRECTED GROUP STDY,"COHEN, L          ",02471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ANTHRO,ANTHRO, 106,001,PRIMATE BEHAVIOR   ,"ETTING, S F       ",02492,1,33,24,9,14,7,1,2,1,2,2,0,1,7,5,12,0,109
ANTHRO,ANTHRO, 107,001,EVOL HUM BRAIN     ,"DEACON, T W       ",02546,2,10,10,9,11,4,2,2,0,0,0,0,1,11,5,16,0,67
ANTHRO,ANTHRO, 119,001,MED ANTHRO TOPICS  ,"ROY, A            ",02519,0,16,6,2,2,9,3,0,0,0,0,0,0,0,0,0,1,39
ANTHRO,ANTHRO, 119,002,MED ANTHRO TOPICS  ,"MANTINI-BRIGGS, C ",02521,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
ANTHRO,ANTHRO, 121AC,001,AMERCN MATERL CULTR,"WILKIE, L A       ",02522,15,35,23,16,44,6,5,7,2,1,3,0,2,40,1,41,4,204
ANTHRO,ANTHRO, 122C,001,ARCH CENTRL AMERICA,"MALDONADO, D J    ",02524,5,22,5,7,2,0,0,2,1,0,1,0,2,1,3,4,0,51
ANTHRO,ANTHRO, 127A,001,SKLTL BIO & BIOARCH,"AGARWAL, S C      ",02528,4,12,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,20
ANTHRO,ANTHRO, 134,001,ANAL ARCHAEO RECORD,"LIGHTFOOT, K G    ",02537,0,12,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,20
ANTHRO,ANTHRO, 136A,001,MUSEUM EXH DESIGN  ,"MALDONADO, D J    ",03434,1,9,2,1,1,0,1,0,0,0,0,0,0,1,0,1,1,17
ANTHRO,ANTHRO, 141,001,COMPARATIVE SOCIETY,"LIU, X            ",02573,9,14,9,3,0,0,0,0,1,0,0,0,1,0,0,0,2,39
ANTHRO,ANTHRO, 149,001,PSYCHOLOGICAL ANTH ,"PANDOLFO, S       ",02603,9,42,20,7,1,1,0,0,0,0,0,0,1,3,1,4,1,86
ANTHRO,ANTHRO, 150,001,UTOPIA: ART & POWER,"YURCHAK, A        ",02617,5,11,14,7,4,2,0,0,0,0,0,0,0,2,1,3,5,51
ANTHRO,ANTHRO, 155,001,MODERNITY          ,"RABINOW, P M      ",02618,7,7,6,10,4,0,1,0,0,0,0,0,0,0,0,0,0,35
ANTHRO,ANTHRO, 158,001,RELIGION & ANTHRO  ,"HIRSCHKIND, C K   ",02624,2,22,6,10,5,2,1,1,0,0,0,0,0,2,2,4,1,54
ANTHRO,ANTHRO, 160AC,001,FORMS OF FOLKLORE  ,"BRIGGS, C L       ",02627,6,27,32,38,27,14,9,4,3,0,1,0,5,35,3,38,1,205
ANTHRO,ANTHRO, 169B,001,RES THEO/METH SOC  ,"HOLSTON, J        ",02653,4,12,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32
ANTHRO,ANTHRO, 169C,001,LING ANTHR METHOD  ,"HANKS, W F        ",02654,5,10,1,2,2,1,1,0,0,0,0,0,0,0,2,2,0,25
ANTHRO,ANTHRO, 171,001,JAPAN              ,"HABU, J           ",02668,0,13,17,9,10,0,1,0,0,0,0,0,2,5,1,6,0,58
ANTHRO,ANTHRO, 189A,002,TOPICS:CULTURE AREA,"MAHMOOD, S        ",02678,4,6,8,11,2,0,0,0,0,0,1,0,0,1,0,1,0,34
ANTHRO,ANTHRO, 196,002,UNDERGRAD SEM      ,"BRANDES, S H      ",02846,0,10,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,13
ANTHRO,ANTHRO, 196,003,UNDERGRAD SEM      ,"ONG, A            ",02848,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5
ANTHRO,ANTHRO, 196,004,UNDERGRAD SEM      ,"ETTING, S F       ",03443,0,4,5,2,3,1,0,1,0,0,0,1,0,0,0,0,0,17
ANTHRO,ANTHRO, 196,005,UNDERGRAD SEM      ,"MOORE, D S        ",03467,0,7,2,2,4,0,0,0,0,0,0,0,1,1,0,1,0,17
ANTHRO,ANTHRO, 196,006,UNDERGRAD SEM      ,"NADER, L          ",03470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANTHRO,ANTHRO, 197,008,FIELD STUDY        ,"DEACON, T W       ",02870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ANTHRO,ANTHRO,C125A,001,ARCH EAST ASIA     ,"OWENS, M K        ",02527,1,15,7,2,4,1,1,0,0,0,0,0,1,1,0,1,0,33
ANTHRO,ANTHRO,C147B,001,SEXUALITY CULTURE  ,"COHEN, L          ",02597,2,7,3,2,1,0,1,2,0,0,0,0,0,1,0,1,0,33
ANTHRO,ANTHRO,R005B,001,READING & COMP     ,"GOODWIN, M A      ",02452,0,3,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,14
ANTHRO,ANTHRO,R005B,002,READING & COMP     ,"GOODWIN, M A      ",03446,0,2,9,2,0,0,0,0,0,0,0,0,1,0,1,1,1,16
ANTHRO,ANTHRO,R005B,003,READING & COMP     ,"ROY, A            ",03449,4,4,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,14
ARCH,ARCH, 024,001,FRESHMAN SEMINARS  ,"CRYSLER, C G      ",03702,0,16,2,0,1,0,0,0,0,0,0,0,0,2,1,3,0,22
ARCH,ARCH, 039C,001,FRESH/SOPH SEMINAR ,"COMERIO, M C      ",03703,4,4,3,10,4,0,0,1,0,0,0,0,0,3,0,3,0,29
ARCH,ARCH, 084,001,SOPHOMORE SEMINAR  ,"RAEL, R L         ",03705,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,5
ARCH,ARCH, 100A,001,FUND OF ARCH DESIGN,"RAEL, R L         ",03709,1,7,20,17,18,13,9,4,3,1,1,0,0,0,1,1,1,96
ARCH,ARCH, 100B,001,FUND OF ARCH DESIGN,"IWAMOTO, L M      ",03721,0,5,9,10,10,12,5,2,2,0,1,0,5,0,1,1,1,63
ARCH,ARCH, 101,001,CASE STDS IN ARCH  ,"BOURDIER, J P     ",03733,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11
ARCH,ARCH, 101,002,CASE STDS IN ARCH  ,"CHOW, R Y         ",03739,0,8,2,0,1,0,0,0,0,0,0,0,0,1,1,2,0,13
ARCH,ARCH, 110AC,001,SOC/CULT BAS DSGN  ,"CRANZ, G L        ",03751,0,18,33,24,20,13,8,6,4,0,1,3,0,6,3,9,5,144
ARCH,ARCH, 129,001,SPEC TOP DIGIT DES ,"DHAEMERS, M P     ",03772,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8
ARCH,ARCH, 144,001,INTRO TO ACOUSTICS ,"SALTER, C         ",03784,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,24,0,28
ARCH,ARCH, 150,001,INTRO TO STRUCTURES,"BLACK, R          ",03787,0,18,13,22,21,16,8,6,6,0,1,0,0,6,0,6,1,118
ARCH,ARCH, 170A,001,"HIST, ARCH&URBANISM","ALLEN, P          ",03805,0,15,21,31,48,22,9,3,1,0,1,0,1,6,0,6,2,160
ARCH,VIS STD, 185X,001,WORD AND IMAGE     ,"DUBOVSKY, A O     ",04156,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
ARCH,VIS STD, 186B,001,PHOTO ART FORM     ,"BOURDIER, J P     ",04162,1,4,3,0,0,0,0,0,0,0,0,0,0,2,1,3,0,12
ART,ART, 008,001,INTRO VIS THINKING ,"MCNAMARA, J S     ",04303,15,58,12,7,0,0,0,0,0,0,0,0,0,1,0,1,0,93
ART,ART, 012,001,LANG OF DRAW       ,"CORTEZ, J         ",04318,0,7,4,1,2,1,0,0,0,0,0,0,0,1,0,1,0,16
ART,ART, 012,002,LANG OF DRAW       ,"NAGASAWA, C K     ",04321,0,13,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,16
ART,ART, 014,001,LANG OF SCULPTURE  ,"HUSSONG, R M      ",04327,1,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12
ART,ART, 014,002,LANG OF SCULPTURE  ,"ZHANG, W          ",04330,4,5,4,2,0,0,1,0,0,0,0,0,0,2,0,2,0,18
ART,ART, 016,001,INTRO PRINTMAKING  ,"HUSSONG, R M      ",04333,0,13,4,1,1,0,0,0,0,0,0,0,0,0,1,1,0,20
ART,ART, 023AC,001,AMER CYBER CULTURE ,"NIEMEYER, G       ",04789,2,14,10,2,2,0,0,0,0,0,0,0,0,2,0,2,0,32
ART,ART, 098,002,DIRECTED GROUP STDY,                  ,04354,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,17,0,17
ART,ART, 102,001,APPROACHES TO PTNG ,"VORA, S           ",04390,2,2,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,17
ART,ART, 102,002,APPROACHES TO PTNG ,"CARNWATH, S       ",04393,4,5,10,4,0,0,0,1,0,0,0,0,0,0,0,0,0,24
ART,ART, 117,001,DRAWING COMPOSITION,"NAGASAWA, C K     ",04396,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
ART,ART, 118,001,FIGURE DRAWING     ,"SHAW, R B         ",04399,0,19,1,8,1,0,1,2,0,0,0,0,0,0,1,1,0,33
ART,ART, 119,001,GPCA               ,"HAMILTON, J       ",04783,0,20,0,0,5,1,0,0,0,0,0,0,0,1,0,1,0,29
ART,ART, 120,001,APP TO PRNTMG INTAG,"HUSSONG, R M      ",04786,1,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18
ART,ART, 132,001,APP TO SCULP CERAM ,"SHAW, R B         ",04405,2,16,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,25
ART,ART, 160,001,SPEC TOPICS VIS STD,"EICHER, A J       ",04417,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
ART,ART, 160,002,SPEC TOPICS VIS STD,"BRAUN, N          ",04419,0,3,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,12
ART,ART, 164,001,ART AND MEDITATION ,"SERAJ, A          ",04420,8,5,4,2,0,0,0,0,0,0,0,0,0,1,0,1,1,21
ART,ART, 171,001,DIGITAL VIDEO      ,"VARGAS, C         ",04423,6,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11
ART,ART, 173,001,SOUND ART          ,"KUBICK, C S       ",04426,0,1,7,5,1,0,0,0,0,0,0,0,0,1,0,1,0,15
ART,ART, 185,001,SN PROJECTS        ,"REIMAN, B L       ",04444,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
ART,ART, 198,002,DIRECTED GROUP STDY,                  ,04570,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,19,0,19
ART,ART,C171,001,DIGITAL VIDEO      ,"MOSES, G J        ",04425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASTRON,ASTRON, 003,001,MODERN COSMOLOGY   ,"MA, C             ",05953,3,13,3,2,3,2,2,0,0,0,1,0,0,8,5,13,0,42
ASTRON,ASTRON, 007A,001,INTRO ASTROPHYSICS ,"CHIANG, E         ",05956,9,5,4,3,7,8,4,1,2,0,0,0,1,5,0,5,0,49
ASTRON,ASTRON, 010,002,GENERAL ASTRONOMY  ,"DAVIS, M          ",05967,5,16,4,4,5,0,6,4,0,0,0,0,0,29,7,36,0,80
ASTRON,ASTRON, 024,001,FRESHMAN SEMINARS  ,"BECKWITH, S       ",06049,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,1,11
ASTRON,ASTRON, 122,001,IR ASTRO LAB       ,"BOWER, G          ",06079,2,4,3,5,0,4,1,0,0,0,0,0,0,0,0,0,0,19
ASTRON,ASTRON, 160,001,STELLAR PHYSICS    ,"QUATAERT, E       ",06082,1,1,3,3,5,2,3,2,1,0,0,0,2,0,1,1,0,24
ASTRON,ASTRON,C010,001,GENERAL ASTRONOMY  ,"FILIPPENKO, A V   ",05968,55,112,59,52,70,34,18,13,5,2,3,1,1,158,21,179,0,604
BIO ENG,BIO ENG, 010,001,INTRO/BIOMED ENGIN ,"JOHNSON, T D      ",06453,9,56,33,2,6,6,1,0,0,0,0,0,0,3,0,3,0,116
BIO ENG,BIO ENG, 102,001,BIOMECHANICS       ,"MOFRAD, M         ",06621,0,13,9,12,23,14,5,5,5,2,0,0,2,0,0,0,0,91
BIO ENG,BIO ENG, 113,001,STEM CELLS & TECH  ,"CONBOY, I M       ",06641,7,23,20,0,25,12,0,3,0,0,0,0,0,2,0,2,0,92
BIO ENG,BIO ENG, 115,001,CELL BIO FOR ENG   ,"LAM, H J          ",06642,1,14,9,4,2,1,0,0,0,0,0,0,0,0,0,0,0,31
BIO ENG,BIO ENG, 121,001,BIOMEMS & MED DEV  ,"LEE, L P          ",06669,2,24,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,44
BIO ENG,BIO ENG, 121L,011,BIOMEMS BIONANO LAB,"FU, C             ",06678,3,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13
BIO ENG,BIO ENG, 121L,012,BIOMEMS BIONANO LAB,"FU, C             ",06680,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6
BIO ENG,BIO ENG, 131,001,INTRO TO COMP MCB  ,"HOLMES, I H       ",06696,0,0,4,4,6,3,7,1,1,1,3,2,2,0,0,0,0,34
BIO ENG,BIO ENG, 132,001,GENETIC DEVICES    ,"ANDERSON, J C     ",06705,1,4,2,2,1,4,1,1,0,0,0,0,0,1,0,1,0,17
BIO ENG,BIO ENG, 140L,001,SYNTH BIO LAB      ,"DUEBER, J E       ",06711,1,3,4,4,5,0,1,2,0,0,0,0,0,0,0,0,0,20
BIO ENG,BIO ENG, 143,001,COMP METHODS IN BIO,"HEAD-GORDON, T    ",06717,0,3,7,1,0,0,0,0,0,0,0,0,2,0,1,1,0,14
BIO ENG,BIO ENG, 168L,001,PRAC LT MICROSCOPY ,"FLETCHER, D A     ",06741,2,8,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,17
BIO ENG,BIO ENG, 190D,001,ADV TOPICS BIO ENG ,"ARKIN, A P        ",06753,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
BIO ENG,BIO ENG, 190H,001,ADV TOPICS BIO ENG ,"MOFRAD, M         ",06758,1,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,11
BIO ENG,BIO ENG, 192,001,SR DESIGN PROJECT  ,"HERR, A E         ",06759,0,21,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31
BIO ENG,BIO ENG, 198,016,DIRECTED GROUP STDY,"LIEPMANN, D       ",07011,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,0,12
BIO ENG,BIO ENG,C118,001,BIOLOG PERF MATS   ,"LAM, H J          ",06651,4,6,4,6,6,4,3,0,0,0,0,1,0,1,0,1,0,35
BIO ENG,BIO ENG,C119,001,ORTHOP BIOMECH     ,"KEAVENY, T M      ",06657,0,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,11
BIO ENG,BIO ENG,C145L,001,TRANSDUCER LAB     ,"DERENZO, S E      ",06726,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BIO ENG,BIO ENG,C165,001,MED IMG SIG & SYS  ,"CONOLLY, S        ",06735,2,3,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,9
BOALT,LEGALST, 039D,001,FRESH/SOPH SEMINAR ,"POMERANTZ, A J    ",51506,2,7,4,3,0,0,0,0,0,0,0,0,0,4,0,4,0,20
BOALT,LEGALST, 100A,001,FOUNDATIONS LEGALST,"PERRY, R W        ",51515,0,14,36,21,7,3,3,2,3,0,0,0,1,2,1,3,0,93
BOALT,LEGALST, 105,001,FOUNDATION CRIM LAW,"DAN-COHEN, M      ",51530,0,10,17,17,17,8,6,3,2,0,0,1,0,5,2,7,1,89
BOALT,LEGALST, 138,001,SUP CT & PUB POL   ,"QUINN, K          ",51545,0,8,8,9,10,12,3,8,5,0,2,0,3,5,0,5,4,77
BOALT,LEGALST, 146,001,LAW & ECON OF INNOV,"SCOTCHMER, S      ",51560,0,5,8,6,7,3,7,8,0,4,1,0,2,1,2,3,0,54
BOALT,LEGALST, 151,001,"LAW,SELF, & SOCIETY","DAN-COHEN, M      ",51575,1,15,23,19,8,1,2,1,2,1,1,1,1,4,1,5,1,82
BOALT,LEGALST, 154,001,INTL HUMAN RIGHTS  ,"MILLER, A M       ",51590,1,3,7,9,9,0,6,0,1,0,0,0,0,3,0,3,2,41
BOALT,LEGALST, 155,001,GOVT & THE FAMILY  ,"HOLLINGER, J H    ",51599,2,6,4,6,12,8,9,5,2,0,4,0,0,0,0,0,0,58
BOALT,LEGALST, 163,001,JUVENILE JUSTICE   ,"ZIMRING, F        ",51614,0,15,13,20,20,11,7,7,7,0,0,0,0,0,0,0,0,100
BOALT,LEGALST, 170,001,CRIMINAL JUSTICE   ,"PERRY, R W        ",51629,1,8,14,18,19,9,7,8,2,3,1,0,3,6,2,8,1,102
