UC Berkeley Fall 2007 Course Grades,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CourseID,CNUM,SECTION,CDESC,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
ANTHRO, 136H,001,ARCH AFTER SCHOOL  ,"UNDERWOOD, C F    ",6,5,0,1,2,0,0,2,0,0,0,0,0
ANTHRO, 139,001,CONTROL PROC       ,"NADER, L          ",3,34,51,38,26,11,5,4,4,1,1,0,11
ANTHRO, 162,001,TOPICS IN FOLKLORE ,"YOUNG, K G        ",2,25,8,3,16,3,0,1,0,0,0,0,0
ANTHRO, 170,001,CHINA              ,"LIU, X            ",0,14,31,11,5,1,0,1,0,0,0,0,1
ANTHRO, 184,001,SOUTH ASIA         ,"COHEN, L          ",7,8,10,8,2,5,0,0,0,0,0,0,1
ANTHRO, 189,003,SPEC TOP:SOC/CULT  ,"HOLSTON, J        ",2,12,3,2,0,0,0,0,1,0,0,0,0
ANTHRO, 189,004,SPEC TOP:SOC/CULT  ,"MIALET, H         ",1,11,2,1,0,0,0,0,0,0,0,0,0
ANTHRO, 189,005,SPEC TOP:SOC/CULT  ,"KASNITZ, D        ",0,7,2,2,0,0,0,0,0,0,0,0,0
ANTHRO, 189A,001,TOPICS:CULTURE AREA,"OCHOA, T          ",0,30,11,5,6,2,0,0,0,0,0,0,0
ANTHRO,C100,001,HUMAN PALEONTOLOGY ,"WHITE, T D        ",0,2,1,3,5,1,2,3,1,0,1,0,1
ANTHRO,R005B,001,READING & COMP     ,"THEISSEN, A J     ",0,5,3,3,2,0,0,0,0,0,0,0,0
ANTHRO,R005B,002,READING & COMP     ,"SKAFISH, P W      ",0,6,7,1,0,0,0,0,0,0,0,0,0
ANTHRO,R005B,003,READING & COMP     ,"HUANG, C Y        ",0,3,6,4,2,0,0,0,0,0,0,0,0
ANTHRO,R005B,004,READING & COMP     ,"GOODWIN, M A      ",0,1,10,2,1,0,0,0,0,0,0,0,0
ANTHRO,R005B,005,READING & COMP     ,"MERCADO, S        ",1,2,8,2,1,1,0,0,0,0,0,0,0
ARABIC, 001B,001,ELEMENTARY ARABIC  ,"EL-SHAER, A H     ",2,4,2,0,0,2,1,0,0,0,0,0,0
ARABIC, 001B,002,ELEMENTARY ARABIC  ,"VIVRETTE, J C     ",2,7,6,1,1,0,0,0,0,0,0,0,0
ARABIC, 001B,003,ELEMENTARY ARABIC  ,"BAZIAN, H A       ",3,7,5,1,0,0,0,0,0,0,0,0,0
ARABIC, 020B,002,INTERMEDIATE ARABIC,"BAZIAN, H A       ",3,5,6,2,0,0,0,0,0,0,0,0,0
ARCH, 100A,001,FUND OF ARCH DESIGN,"DI NAPOLI, W W    ",7,16,15,22,7,2,2,0,0,0,0,0,2
ARCH, 100B,001,FUND OF ARCH DESIGN,"IWAMOTO, L M      ",0,7,7,12,13,8,9,0,4,5,0,0,4
ARCH, 102,001,DESIGN DEVELOPMENT ,"STONER, J         ",1,3,6,2,1,1,0,0,0,0,0,0,0
ARCH, 109X,001,SPEC TOPICS: DESIGN,"STONER, J         ",1,4,3,3,0,0,0,0,0,0,0,0,0
ARCH, 111,001,HOUSING: INTERNAT  ,"ALSAYYAD, N       ",0,4,4,11,1,2,0,0,0,0,0,0,0
ARCH, 130,001,"INTRO,DES THEORIES ","CRYSLER, C G      ",11,13,15,15,11,8,4,4,0,2,0,0,2
ARCH, 140,001,ENERGY & ENV MGMT  ,"BRAGER, G S       ",2,17,25,21,27,14,12,8,0,0,0,0,1
ARCH, 154,001,DES COMP ANAL STRUC,"BLACK, R          ",3,3,4,1,0,0,0,0,0,0,0,0,0
ARCH, 160,001,INTRO CONSTRUCTION ,"BUNTROCK, D L     ",4,16,26,21,7,4,0,2,1,0,0,0,1
ARCH, 170B,001,"HIST, ARCH&URBANISM","LITTMANN, B W     ",1,18,28,41,63,38,8,15,3,0,0,0,5
ART, 008,001,INTRO VIS THINKING ,"MCNAMARA, J S     ",27,47,19,2,2,0,0,0,0,0,0,0,1
ART, 012,001,LANG OF DRAW       ,"DEJESUS, V        ",11,5,3,0,0,0,0,0,0,0,0,0,1
ART, 012,002,LANG OF DRAW       ,"EBTEKAR, A M      ",3,12,3,1,0,0,0,0,0,0,0,0,0
ART, 012,003,LANG OF DRAW       ,"NAGASAWA, C K     ",0,15,3,3,0,0,0,0,0,0,0,0,0
ART, 013,001,LANG OF PAINTING   ,"MCNAMARA, J S     ",0,16,1,1,0,0,0,0,0,0,0,0,0
ART, 013,002,LANG OF PAINTING   ,"JAGEL, J          ",4,4,4,3,1,1,0,0,0,0,0,0,0
ART, 014,001,LANG OF SCULPTURE  ,"REIMAN, B L       ",0,9,2,1,0,0,0,0,0,0,0,0,0
ART, 014,002,LANG OF SCULPTURE  ,"ABBOTT, C D       ",3,9,7,2,1,0,0,0,0,0,1,0,0
ART, 102,001,APPROACHES TO PTNG ,"CARNWATH, S       ",0,9,7,4,1,1,1,0,0,0,0,0,0
ART, 102,002,APPROACHES TO PTNG ,"SHERWOOD, K D     ",2,8,3,4,2,1,0,0,0,0,0,0,1
ART, 102,003,APPROACHES TO PTNG ,"SLOAT, K M        ",1,10,4,1,1,3,0,3,0,0,0,0,0
ART, 117,001,DRAWING COMPOSITION,"NAGASAWA, C K     ",0,20,0,2,0,0,0,0,0,0,0,0,1
ART, 117,003,DRAWING COMPOSITION,"SCHNELL, K        ",0,8,2,5,3,0,0,0,0,0,0,0,0
ART, 118,001,FIGURE DRAWING     ,"TAYLOR, J         ",2,15,5,1,1,0,0,0,0,0,0,0,0
ART, 120,002,APP TO PRNTMG INTAG,"HUSSONG, R M      ",3,7,4,4,0,1,0,0,0,0,0,0,0
ART, 124,001,ADV PRINTMAKING    ,"HUSSONG, R M      ",0,13,6,2,0,0,0,0,0,0,0,0,0
ART, 132,001,APP TO SCULP CERAM ,"SHAW, R B         ",1,16,0,3,4,0,0,0,0,0,0,0,1
ART, 137,001,ADV PROJ CERAM SCUL,"SHAW, R B         ",6,5,0,0,2,1,0,1,0,0,0,0,0
ART, 138,001,INSTALLATIONS      ,"REIMAN, B L       ",0,16,1,0,0,0,0,0,0,0,0,0,0
ART, 142,001,NEW GENRES         ,"RADLEY, K P       ",10,6,4,1,0,0,0,0,0,0,0,0,0
ART, 160,002,SPEC TOPICS VIS STD,"PAGLEN, T         ",0,9,2,4,0,1,0,0,0,0,0,0,0
ART, 165,001,"ART,MED & DISABIL  ","SHERWOOD, K D     ",1,13,11,4,2,0,0,0,0,0,0,0,0
ART, 174,002,ADV DIGITAL VIDEO  ,"WALSH, A G        ",0,8,4,1,0,1,0,0,0,0,0,0,0
ART, 175,001,ADV CGI PRODUCTION ,"NIEMEYER, G       ",6,7,0,0,0,0,0,0,0,0,0,0,0
ASAMST, 020A,001,INTRO ASIAN AM HIST,"CHOY, C C         ",3,34,57,16,5,2,1,0,0,0,0,0,1
ASAMST, 020B,001,INTRO CONTEMP ISSUE,"DONG, H C         ",0,21,13,2,0,0,0,0,0,0,0,0,0
ASAMST, 125,001,ISSUES OF SE ASIANS,"UM, K             ",0,6,9,6,3,1,0,0,0,0,0,0,1
ASAMST, 127,001,SO AS-AMER ISSUES  ,"SINGH, J K        ",0,8,5,0,0,0,0,0,0,0,0,0,0
ASAMST, 145,001,POLITICS/PUB POLICY,"OMI, M            ",0,8,5,2,10,0,1,0,0,0,0,0,0
ASAMST, 146,001,ASIAN AMER & EDUC  ,"TAKAHASHI, J H    ",0,13,10,1,1,0,0,0,0,0,0,0,0
ASAMST, 151,001,ASIAN AMER WOMEN   ,"YAMANAKA, K       ",0,13,8,0,0,0,0,0,0,0,0,0,0
ASAMST, 171,001,"ASAM IN FILM, VIDEO","KIM, E H          ",0,31,8,20,18,4,3,1,0,0,0,0,0
ASAMST, 179,001,TRANSNATNL NARRATV ,"WONG, S C         ",5,7,5,4,2,0,0,0,0,0,0,0,0
ASAMST, 181,001,CHINESE AMER LIT   ,"CHOY, G P         ",0,16,10,2,2,0,0,0,0,0,0,0,0
ASAMST, 183,001,KOREAN AMER LIT    ,"KIM, E H          ",0,7,7,3,9,0,0,0,0,0,0,0,0
ASAMST,R002A,001,READING&COMPOSITION,"LEONG, A P        ",0,3,5,14,6,2,0,0,0,0,0,0,0
ASAMST,R002A,002,READING&COMPOSITION,"LI, C A           ",2,1,4,7,7,4,2,0,0,0,0,0,0
ASAMST,R002B,001,READING&COMPOSITION,"LEONG, A P        ",0,2,9,10,3,3,0,0,0,0,0,0,0
ASAMST,R002B,002,READING&COMPOSITION,"LEBO-PLANAS, A C  ",4,20,7,2,1,0,1,0,0,0,0,0,0
ASIANST, 150,001,SPECIAL TOPICS     ,"YAMANAKA, K       ",5,15,8,3,0,2,0,0,0,0,0,0,0
ASTRON, 007B,001,INTRO ASTROPHYSICS ,"BLOOM, J S        ",5,3,5,6,7,4,5,1,2,0,1,1,0
ASTRON, 010,001,GENERAL ASTRONOMY  ,"DAVIS, M          ",1,12,6,10,9,1,1,3,1,0,0,0,1
ASTRON, 121,001,RADIO ASTRONOMY LAB,"HEILES, C E       ",5,4,0,2,0,0,0,1,1,0,1,0,0
ASTRON,C012,001,THE PLANETS        ,"MARCY, G          ",0,28,10,8,5,9,2,4,4,0,0,0,0
