Grade Distribution for Spring 2012 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2012 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C181,001,International Trade,David Roland-Holst,01299,1,3,5,6,5,3,2,4,,,,,,2,,,,1,32
2012 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C183,001,Forest Ecosyst Mgmt,Matthew Potts,01323,,,2,2,3,2,,,,,,,,,1,,,1,11
2012 Spring,Anthropology,ANTHRO,Anthropology,1,001,Intro To Bio Anthro,Terrence Deacon,02303,35,51,64,48,63,48,31,25,10,,5,,2,32,,4,,2,420
2012 Spring,Anthropology,ANTHRO,Anthropology,2,001,Intro To Archaeol,Junko Habu,02396,3,37,29,14,14,5,7,2,,1,,,,19,,6,,,137
2012 Spring,Anthropology,ANTHRO,Anthropology,3AC,001,Intro Soc/Cult Ac,Charles Hirschkind,02441,8,85,63,25,42,6,3,2,2,,1,2,1,19,,1,,,260
2012 Spring,Anthropology,ANTHRO,Anthropology,R5B,001,Reading & Comp,Arpita Roy,02510,3,6,3,,1,2,,,,,,,,,,,,,15
2012 Spring,Anthropology,ANTHRO,Anthropology,R5B,002,Reading & Comp,Marc Goodwin,02513,,3,4,8,,,,1,,,,,,,,,,,16
2012 Spring,Anthropology,ANTHRO,Anthropology,R5B,003,Reading & Comp,Terrence Deacon; Theresa Molino,02516,1,5,3,3,3,,,,,,,,,,,1,,,16
2012 Spring,Anthropology,ANTHRO,Anthropology,R5B,004,Reading & Comp,Elizabeth Kelley; Terrence Deacon,02519,,4,5,3,2,1,,,,,,,,,,,,,15
2012 Spring,Anthropology,ANTHRO,Anthropology,R5B,006,Reading & Comp,Marc Goodwin,03425,,1,9,4,1,,,,,,,,,,,,,,15
2012 Spring,Anthropology,ANTHRO,Anthropology,R5B,007,Reading & Comp,Nicholas Bartlett; Terrence Deacon,03428,,5,6,2,,,,,,,,,,1,,,,,14
2012 Spring,Anthropology,ANTHRO,Anthropology,R5B,008,Reading & Comp,James Battle; Terrence Deacon,03431,,2,6,2,4,,,,,,,,,,,,,,14
2012 Spring,Anthropology,ANTHRO,Anthropology,R5B,010,Reading & Comp,Marc Goodwin,03437,,4,5,5,1,,,,,,,,,,,,,,15
2012 Spring,Anthropology,ANTHRO,Anthropology,84,001,Sophomore Seminar,Rosemary Joyce,02521,5,3,2,,,,,,,,,,,1,,,,,11
2012 Spring,Anthropology,ANTHRO,Anthropology,112,001,Sp Topics: Bio Anth,Stephanie Etting,02576,1,16,16,11,12,8,,8,2,,2,1,,4,,3,,,84
2012 Spring,Anthropology,ANTHRO,Anthropology,114,001,Hist/Anthro Thought,Lawrence Cohen,02579,18,38,43,38,24,8,5,3,3,,1,,2,2,,2,,,187
2012 Spring,Anthropology,ANTHRO,Anthropology,115,001,Intro Med Anthro,Deborah Gordon,02618,,30,28,8,15,2,3,,,,,,2,2,,3,,1,94
2012 Spring,Anthropology,ANTHRO,Anthropology,119,002,Med Anthro Topics,Clara Mantini-Briggs,02648,13,1,,,,,,,,,,,,1,,,,,15
2012 Spring,Anthropology,ANTHRO,Anthropology,121B,001,Theory Am Hist Arch,Jun Sunseri; Laurie Wilkie,02651,10,19,5,,2,,,1,,,,,,,,1,,,38
2012 Spring,Anthropology,ANTHRO,Anthropology,122E,001,Andean Archaeology,Christine Hastorf,02654,3,8,,2,11,2,1,5,1,,1,,1,3,1,1,,,40
2012 Spring,Anthropology,ANTHRO,Anthropology,122F,001,Calif Archaeology,Kent Lightfoot,02657,11,28,17,16,13,6,3,1,1,,1,,,10,,3,,,110
2012 Spring,Anthropology,ANTHRO,Anthropology,C123F,001,Disc Near East Arch,Benjamin Porter,02660,3,7,5,,,3,,1,,,,,,,,,,,19
2012 Spring,Anthropology,ANTHRO,Anthropology,136I,001,Archaeology & Media,Michael Ashley,02663,3,4,1,,2,,,2,,,,,,,,,,,12
2012 Spring,Anthropology,ANTHRO,Anthropology,137,001,Energy/Cult/Soc Org,Laura Nader,02669,3,20,37,19,24,16,7,2,,,,2,2,26,,,,,158
2012 Spring,Anthropology,ANTHRO,Anthropology,C146,001,Mobile City Chronic,James Holston,02678,,17,,,,,,,,,,,,1,,,,,18
2012 Spring,Anthropology,ANTHRO,Anthropology,C147B,001,Sexuality Culture,Jacqueline Asher,02681,,6,2,5,4,,1,2,,,,,3,1,,,,,24
2012 Spring,Anthropology,ANTHRO,Anthropology,156,001,Anthro Contemporary,Paul Rabinow,02684,1,13,3,6,5,3,,,,,,,,,,,,,31
2012 Spring,Anthropology,ANTHRO,Anthropology,162,001,Topics In Folklore,Kwesi Yankah,02687,,21,3,1,,,,,,,,,,4,,,,,29
2012 Spring,Anthropology,ANTHRO,Anthropology,169B,001,Res Theo/Meth Soc,Saba Mahmood,02690,1,9,5,,,,,,,,,,1,,,,,1,17
2012 Spring,Anthropology,ANTHRO,Anthropology,170,001,China,Xin Liu,02705,3,5,8,14,14,1,1,1,1,2,3,,2,11,,3,,,69
2012 Spring,Anthropology,ANTHRO,Anthropology,180,001,Europ Society,Stanley Brandes,02708,2,9,3,5,9,5,1,2,1,,1,,1,1,,,,,40
2012 Spring,Anthropology,ANTHRO,Anthropology,189,003,Spec Top:Soc/Cult,Corinne Hayden,02720,3,20,6,3,3,2,,1,,,,,,2,,,,,40
2012 Spring,Anthropology,ANTHRO,Anthropology,189,004,Spec Top:Soc/Cult,Arpita Roy,02723,3,8,8,4,2,,,,,,,,,2,,,,,27
2012 Spring,Anthropology,ANTHRO,Anthropology,189A,001,Topics:Culture Area,Stefania Pandolfo,02726,6,8,,,,,,,,,,,,,1,,,1,16
2012 Spring,Anthropology,ANTHRO,Anthropology,189A,002,Topics:Culture Area,Aihwa Ong,02728,2,8,4,4,3,1,2,,,,,,,,,,,,24
2012 Spring,Anthropology,ANTHRO,Anthropology,196,002,Undergrad Sem,Stephanie Etting,02855,,10,3,3,1,1,,1,,,,,1,,,,,,20
2012 Spring,Anthropology,ANTHRO,Anthropology,196,005,Undergrad Sem,Donald Moore,03452,,6,3,2,1,,,,,,,,1,,,,,,13
2012 Spring,Anthropology,ANTHRO,Anthropology,198,013,Directed Group Stdy,Corinne Hayden,02914,,,,,,,,,,,,,,26,,2,,,28
2012 Spring,Architecture,ARCH,Architecture,84,001,Sophomore Seminar,Dana Buntrock,03602,,,,,,,,,,,,,,11,,1,,,12
2012 Spring,Architecture,ARCH,Architecture,100A,001,Fund Of Arch Design,William Di Napoli,03615,,6,3,2,,1,,,,,,,,,,,,,12
2012 Spring,Architecture,ARCH,Architecture,100B,001,Fund Of Arch Design,Gerard Creedon,03639,,6,15,17,20,14,8,9,5,,1,,8,,,1,,,104
2012 Spring,Architecture,ARCH,Architecture,101,001,Case Stds In Arch,Darell Fields,03663,,2,1,2,5,,,,,,,,,2,,,,,12
2012 Spring,Architecture,ARCH,Architecture,108,001,Arch Internship,Mary Comerio,03675,,19,3,,,,,,,,,,,,,,,,22
2012 Spring,Architecture,ARCH,Architecture,111,001,Housing: Internat,Elena Tomlinson; Muna Guvenc; Nezar Alsayyad,03681,2,7,2,3,1,3,1,,,,,,,2,,1,,,22
2012 Spring,Architecture,ARCH,Architecture,130,001,Intr Arch Des Th/Cr,C Crysler,03693,7,32,34,10,8,7,2,1,,,,,3,7,,2,,,113
2012 Spring,Architecture,ARCH,Architecture,140,001,Energy & Environ,Gail Brager; Stefano Schiavon,03714,2,20,29,27,41,17,11,12,6,,,,,2,1,1,,,169
2012 Spring,Architecture,ARCH,Architecture,160,001,Intro Construction,Dana Buntrock; R.Gary Black,03732,2,12,27,16,32,13,4,2,3,,,,,2,,,,5,118
