Grade Distribution for Spring 2016 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 9/27/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Enrollments,
2016 Spring,Architecture,ENV DES,Environmental Design,101A,001,Short Compositions,Raymond Lifchez,29054,2,4,3,1,,1,,,,,,,,,,,,,11,
2016 Spring,Architecture,ENV DES,Environmental Design,106,001,Sustanbity Wrkshop,David Waldron,29057,,,5,7,3,,,,1,,,,,,,,,,16,
2016 Spring,Architecture,VIS STD,Visual Studies,185X,001,Word And Image,Anthony Dubovsky,04253,3,8,2,,2,,,,,,,,,,,,,,15,
2016 Spring,Architecture,VIS STD,Visual Studies,187A,001,Freehand Drawing,Jean Bourdier,04256,,6,5,2,,,,,,,,,,,,,,,13,
2016 Spring,Art Practice,ART,Art Practice,8,001,Intro Vis Thinking,John Mcnamara,04403,8,31,6,4,1,1,,,,,,,1,2,,,,,54,
2016 Spring,Art Practice,ART,Art Practice,12,001,Lang Of Draw,Masako Miki,04415,,18,,,1,,,,,,,,2,2,,1,,,24,
2016 Spring,Art Practice,ART,Art Practice,13,002,Lang Of Painting,Craig Nagasawa,04421,,14,,,1,,,,,,,,,1,,,,,16,
2016 Spring,Art Practice,ART,Art Practice,14,001,Lang Of Sculpture,Cara Levine,04424,1,6,6,,2,1,1,,,,,,,,,,,,17,
2016 Spring,Art Practice,ART,Art Practice,15,001,Lang Sculp:Ceram,Carmen Lang Merino,04427,3,7,3,,1,1,,,,,,,,4,,,,,19,
2016 Spring,Art Practice,ART,Art Practice,W23AC,001,Data Arts,Greg Niemeyer,04430,12,12,2,3,1,1,2,4,,,,,,14,,,,3,54,
2016 Spring,Art Practice,ART,Art Practice,98,006,Directed Group Stdy,James Pitt,04451,,,,,,,,,,,,,,12,,1,,,13,
2016 Spring,Art Practice,ART,Art Practice,100,001,Collaborative Innov,Stephanie Syjuco,04493,,4,7,1,1,,,,,,,,,,,,,,13,
2016 Spring,Art Practice,ART,Art Practice,100,002,Collaborative Innov,Amanda Eicher,04496,,2,4,1,,,,,,,,,,4,,,,,11,
2016 Spring,Art Practice,ART,Art Practice,102,002,Approaches To Ptng,James Pitt,04502,3,18,,,,,,,,,,,,,,,,,21,
2016 Spring,Art Practice,ART,Art Practice,117,001,"Rsrch, Mthds Draw",Aida Gamez,04505,4,15,1,,,,,,,,,,,,,,,,20,
2016 Spring,Art Practice,ART,Art Practice,118,001,Contmp Fig Drw,Indira Morre,04508,3,10,5,2,1,,,,,,,,,,,,,,21,
2016 Spring,Art Practice,ART,Art Practice,119,001,Gpca,Amanda Eicher,04511,7,6,5,,2,1,,,,,,,,,,,,,21,
2016 Spring,Art Practice,ART,Art Practice,120,001,App To Prntmg Intag,Randy Hussong,04514,3,6,1,,,,,,,,,,,1,,,,,11,
2016 Spring,Art Practice,ART,Art Practice,123,001,Screenprinting,Randy Hussong,04517,,13,4,2,,,,,,,,,,,,,,,19,
2016 Spring,Art Practice,ART,Art Practice,130,001,Concept/Construct,Brody Reiman,04520,,13,1,1,,,,,,,,,,,,,,,15,
2016 Spring,Art Practice,ART,Art Practice,132,001,App To Sculp Ceram,Erik Scollon,04525,,2,8,3,2,,,,,,,,,,,,,,15,
2016 Spring,Art Practice,ART,Art Practice,160,001,Spec Topics Vis Std,Azin Seraj,04526,5,1,7,2,1,,,,,,,,,,,,,,16,
2016 Spring,Art Practice,ART,Art Practice,165,001,"Art,Med & Disabil",Katherine Sherwood,04529,1,9,4,2,2,,,,,,,,,,,1,,,19,
2016 Spring,Art Practice,ART,Art Practice,180,001,Advanced Digital Ph,Jamil Hellu,04538,11,2,,,,,,,,,,,,1,,,,,14,
2016 Spring,Art Practice,ART,Art Practice,184,001,Jr Seminar,Stephanie Syjuco,04541,,4,11,,,,,,,,,,,,,,,,15,
2016 Spring,Art Practice,ART,Art Practice,185,001,Sn Projects,Brody Reiman,04544,,13,6,,1,,,,,,,,,,,,,,20,
2016 Spring,Art Practice,ART,Art Practice,196,001,Bridging The Arts,Elise Putnam,04658,1,5,1,1,3,,,,,,,,,2,,,,,13,
2016 Spring,Astronomy,ASTRON,Astronomy,7B,001,Intro Astrophysics,Eugene Chiang,05903,4,3,3,4,5,6,3,3,,,1,,1,2,,,,,35,
2016 Spring,Astronomy,ASTRON,Astronomy,10,001,General Astronomy,Leo Blitz,05912,14,15,13,10,7,5,5,4,3,,,,1,75,,10,,,162,
2016 Spring,Astronomy,ASTRON,Astronomy,C12,001,The Planets,Raymond Jeanloz,05933,3,6,7,5,4,2,3,,3,1,1,1,,23,,3,,,62,
2016 Spring,Astronomy,ASTRON,Astronomy,98,002,Directed Group Stdy,Mariska Kriek,05975,,,,,,,,,,,,,,28,,1,,,29,
2016 Spring,Astronomy,ASTRON,Astronomy,121,001,Radio Astronomy Lab,Carl Heiles,05990,5,3,5,,1,1,,,2,1,,,1,,,,,,19,
2016 Spring,Astronomy,ASTRON,Astronomy,C161,001,Rela Astro & Cosmo,Aaron Parsons,05993,,4,7,9,5,2,,1,,,,,,,,,,,28,
2016 Spring,Astronomy,ASTRON,Astronomy,198,002,Directed Group Stdy,Mariska Kriek,06017,,,,,,,,,,,,,,20,,3,,,23,
2016 Spring,Bioengineering,BIO ENG,Bioengineering,11,001,Engineering Molecul,John Dueber; Niren Murthy,06252,2,2,2,2,1,3,5,1,,,,,,,,,,,18,
2016 Spring,Bioengineering,BIO ENG,Bioengineering,25,001,Careers In Biotech,Hayley Lam; Terry Johnson,06253,,,,,,,,,,,,,,157,,7,,,164,
2016 Spring,Bioengineering,BIO ENG,Bioengineering,101,001,Instr Biology Med,Steven Conolly,06427,3,3,3,2,2,,1,,,,,,,1,,,,,15,
2016 Spring,Bioengineering,BIO ENG,Bioengineering,104,001,Bio Trans Phen,Terry Johnson,06439,4,14,30,4,8,4,,,1,,,,,,,,,1,66,
2016 Spring,Bioengineering,BIO ENG,Bioengineering,110,001,Biomed Phys For Eng,Dorian Liepmann,06460,7,19,29,23,12,1,1,,,,,,,,,,,1,93,
2016 Spring,Bioengineering,BIO ENG,Bioengineering,111,001,Func Bio Dev &,Seung-Wuk Lee,06469,8,10,,6,3,,,,,,,,,,,,,,27,
2016 Spring,Bioengineering,BIO ENG,Bioengineering,C112,001,Molec Biomec Cell,Mohammad Mofrad,06475,1,1,4,3,4,,,,,,,,,,,,,,13,
2016 Spring,Bioengineering,BIO ENG,Bioengineering,115,001,Cell Bio For Eng,Hayley Lam,06481,1,26,11,5,1,1,,,,,,,,,,,,,45,
2016 Spring,Bioengineering,BIO ENG,Bioengineering,C117,001,Struct Asp Biomater,Lisa Pruitt,06499,2,4,6,3,,,,,,,,,,,,,,,15,
2016 Spring,Bioengineering,BIO ENG,Bioengineering,121,001,Biomems & Med Dev,Luke Lee,06505,3,21,6,2,,,,,,,,,,,,,,1,33,
2016 Spring,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C117,001,Mongolian Buddhism,Brian Baumann,07658,1,3,2,,1,1,,,,,,,,3,,,,,11,
2016 Spring,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C128,001,Buddhism Contemp,Mark Blum,07659,11,5,6,3,2,2,1,,,,,,1,6,,,,,37,
2016 Spring,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,150,001,Buddhist Art S Asia,Christie Bopearachchi,07770,1,2,2,5,3,,,,,,,,,1,,,,,14,
2016 Spring,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,190,001,Topics,Alexander Von Rospatt,07680,2,2,1,4,,,,,,,,,,1,,,,,10,
2016 Spring,Business,UGBA,Business Admin-Undergrad,10,001,Principles Of Bus,Cristina Banks; John Briginshaw; Judy Hopelain; Mohammad Hossein Ghasemzadeh; Omar Romero-Hernandez,07803,22,50,144,94,81,38,19,9,7,3,1,2,1,24,,5,,,500,
2016 Spring,Business,UGBA,Business Admin-Undergrad,96,001,Ld Spec Top Bus Adm,Terrance Odean,07860,4,32,34,14,8,3,1,4,2,,,,1,61,,1,,,165,
2016 Spring,Business,UGBA,Business Admin-Undergrad,96,002,Ld Spec Top Bus Adm,Terrance Odean,07863,2,32,24,9,1,1,,,2,,,,1,65,,4,,1,142,
2016 Spring,Business,UGBA,Business Admin-Undergrad,96,003,Ld Spec Top Bus Adm,Terrance Odean,07865,8,21,18,10,4,2,1,,1,,,,,37,,4,,,106,
2016 Spring,Business,UGBA,Business Admin-Undergrad,100,001,Business Comm,Arturo Perez-Reyes,07917,,,4,8,4,,,,,,,,,,,,,,16,
2016 Spring,Business,UGBA,Business Admin-Undergrad,100,002,Business Comm,Krystal Thomas,07920,,3,17,9,,1,,1,,,,,,,,,,,31,
2016 Spring,Business,UGBA,Business Admin-Undergrad,100,003,Business Comm,Krystal Thomas,07923,,3,18,7,1,1,,,,,,,,,,,,,30,
2016 Spring,Business,UGBA,Business Admin-Undergrad,100,004,Business Comm,Ryan Sloan,07926,,4,17,9,1,,,,,,,,,,,,,,31,
2016 Spring,Business,UGBA,Business Admin-Undergrad,100,005,Business Comm,Ericka Lutz,07929,,3,12,7,2,,,,,,,,,,,,,,24,
2016 Spring,Business,UGBA,Business Admin-Undergrad,100,006,Business Comm,Ericka Lutz,07932,,2,9,3,,,,,,,,,,,,,,,14,
2016 Spring,Business,UGBA,Business Admin-Undergrad,100,007,Business Comm,Daniel Himelstein,07935,,,22,10,,,,,,,,,1,,,,,,33,
2016 Spring,Business,UGBA,Business Admin-Undergrad,100,008,Business Comm,Daniel Himelstein,07937,,,21,12,,,,,,,,,,,,,,,33,
2016 Spring,Business,UGBA,Business Admin-Undergrad,101A,001,Microeconomic Analy,Gregory La Blanc,07938,1,16,17,8,7,5,1,2,,,,,2,2,,,,,61,
2016 Spring,Business,UGBA,Business Admin-Undergrad,101B,001,Macroeconomics,James Wilcox,07944,,39,26,18,26,11,1,5,3,,2,,3,,,,,,134,
2016 Spring,Business,UGBA,Business Admin-Undergrad,101B,002,Macroeconomics,James Wilcox,07953,,55,17,28,27,4,,,,,,,1,,,,,,132,
2016 Spring,Business,UGBA,Business Admin-Undergrad,102A,001,Intro Fin Account,Tiffany Rasmussen,07962,,35,32,18,23,8,4,1,,,,,,14,,,,,135,
2016 Spring,Business,UGBA,Business Admin-Undergrad,102B,001,Intro Manager Acct,Alexander Nezlobin,07971,22,7,18,10,21,15,6,,1,,,,,8,,1,,1,110,
2016 Spring,Business,UGBA,Business Admin-Undergrad,102B,002,Intro Manager Acct,Alexander Nezlobin,07980,37,3,9,6,16,9,3,,1,,,,,4,,,,,88,
2016 Spring,Business,UGBA,Business Admin-Undergrad,102B,003,Intro Manager Acct,Alexander Nezlobin,07989,12,1,2,2,4,,3,,,,,,,4,,,,,28,
2016 Spring,Business,UGBA,Business Admin-Undergrad,103,001,Intro To Finance,Elizabeth Bailey,07998,13,31,16,16,17,13,12,7,12,,,,1,1,,,,,139,
2016 Spring,Business,UGBA,Business Admin-Undergrad,103,002,Intro To Finance,Elizabeth Bailey,08016,17,28,17,14,12,8,9,7,7,,,,2,9,,1,,,131,
2016 Spring,Business,UGBA,Business Admin-Undergrad,104,001,Sprdsheetmodeling,Andrew Shogan; Yiangos Papanastasiou,08034,,95,28,45,27,15,6,7,12,,,,,5,,,,,240,
2016 Spring,Business,UGBA,Business Admin-Undergrad,105,001,Leading People,Holly Schroth,08055,9,13,13,15,11,10,1,2,1,,,,,2,,,,,77,
2016 Spring,Business,UGBA,Business Admin-Undergrad,105,002,Leading People,Holly Schroth,08067,6,20,16,13,18,11,6,2,,1,,,,,,,,,93,
2016 Spring,Business,UGBA,Business Admin-Undergrad,106,001,Marketing,Wasim Azhar,08079,7,34,45,53,31,5,1,,2,,,,1,18,,,,,197,
2016 Spring,Business,UGBA,Business Admin-Undergrad,107,001,Soc & Pol Eth Env,Alan Ross,08100,1,27,57,46,16,3,4,1,1,,,,,34,,1,,1,192,
2016 Spring,Business,UGBA,Business Admin-Undergrad,115,001,Competitivestrategy,Frank Schultz,08121,,12,24,16,1,,,,,,,,,3,,,,,56,
2016 Spring,Business,UGBA,Business Admin-Undergrad,118,001,International Trade,Steven Wood,08124,1,16,12,11,4,1,,1,,,1,,1,6,,1,,,55,
2016 Spring,Business,UGBA,Business Admin-Undergrad,119,001,Leading Strat Imple,Frank Schultz,08130,,12,12,12,,,,,,,,,,6,,,,,42,
2016 Spring,Business,UGBA,Business Admin-Undergrad,120AA,001,Int Fin Acct 1,Tiffany Rasmussen,08133,,19,18,13,6,4,,,,,,,,4,,,,,64,
2016 Spring,Business,UGBA,Business Admin-Undergrad,120AB,001,Int Fin Accnting 2,Francis Stanton,08142,7,25,17,,3,2,,,,,,,,8,,1,,,63,
2016 Spring,Business,UGBA,Business Admin-Undergrad,120B,001,Adv Fin Accounting,Francis Stanton,08151,3,17,2,,4,,,,,,,,,8,,,,,34,
2016 Spring,Business,UGBA,Business Admin-Undergrad,121,001,Fed Inc Tax Acctg,Alan Cerf,08157,3,20,5,4,8,3,1,1,,,,,,5,,,,,50,
2016 Spring,Business,UGBA,Business Admin-Undergrad,122,001,Fin Info Analysis,Francis Stanton,08163,5,27,1,,22,,,,,,,,,8,,,,1,64,
2016 Spring,Business,UGBA,Business Admin-Undergrad,126,001,Auditing,Tiffany Rasmussen,08169,,12,9,8,6,2,,,,,,,,4,,,,,41,
2016 Spring,Business,UGBA,Business Admin-Undergrad,131,001,Corp Fin Analysis,Stephen Etter,08181,1,26,9,5,11,,,,,,,,,2,,,,,54,
2016 Spring,Business,UGBA,Business Admin-Undergrad,133,001,Investments,Samuel Olesky,08193,5,20,16,11,4,2,2,,,,,,,6,,,,,66,
