Grade Distribution for Spring 2015 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 4/14/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Incomplete,Total Grades for Course,,,,,,,,
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C1,001,Intro To Env Econ,Peter Berck,01203,3,18,3,6,4,8,2,5,,,2,,,,58,,,,,,,,
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,100,001,Microecon Theory,Ethan Ligon,01221,2,50,17,4,4,3,,1,,1,2,1,1,,94,,,,,,,,
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C102,001,Nat Res Econ,Larry Karp,01236,,6,11,8,18,7,1,1,,,1,,1,,58,,,,,,,,
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C115,001,Bioresource Models,Wayne Getz,01251,1,1,3,3,2,5,,,3,1,,,,,20,,,,,,,,
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C118,001,Intro Econometrics,Elisabeth Sadoulet,01260,9,5,7,13,3,7,7,4,3,,1,,2,,61,,,,,,,,
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,145,001,Hlth & Env Econ,Michael Anderson,01269,2,19,4,9,29,4,10,4,2,,,,,,85,,,,,,,,
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C151,001,Economic Develop,Aprajit Mahajan,01272,1,19,5,11,16,5,13,5,6,3,,,2,,90,,,,,,,,
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,152,001,Adv Topics Dev/Trad,Jeremy Magruder,01287,2,5,1,4,3,3,1,1,1,,,,,,24,,,,,,,,
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C180,001,Ecol Econ History,Jalel Sager,01322,3,4,11,11,1,1,2,1,,,,,,,35,,,,,,,,
2015 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C181,001,International Trade,Andres Rodriguez-Clare,01323,,11,8,7,12,2,1,3,,,,,1,,46,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,2AC,001,Intro Archaeology,Laurie Wilkie,02303,19,74,38,19,19,15,4,8,7,,4,1,5,,284,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,3AC,001,Intro Soc/Cult Ac,Mather George,02372,5,84,103,51,93,30,8,13,1,,1,2,4,2,420,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,R5B,001,Reading & Comp,Corinne Hayden; Kamala Russell,02477,1,6,4,1,1,1,,,,,,,1,,15,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,R5B,002,Reading & Comp,Corinne Hayden; Erin Rodriguez,02480,6,4,3,1,,,,,,,,,,,14,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,R5B,003,Reading & Comp,Corinne Hayden; Katherine Chiou,02483,5,8,2,2,,,,,,,,,,,17,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,107,001,Evol Hum Brain,Terrence Deacon,02558,3,19,15,16,14,8,12,4,2,,,,2,1,102,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,112,002,Sp Topics: Bio Anth,Christopher Ames,02587,,4,9,9,6,6,6,1,,,1,,1,,43,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,121AC,001,Amercn Materl Cultr,Kimberly Christensen,02594,15,22,23,9,4,5,,,,,,,1,1,102,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,122F,001,Calif Archaeology,Kent Lightfoot,02609,7,35,16,15,8,3,2,,,,1,,,1,90,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,128M,001,Topics:Arch/Method,Jun Sunseri,02624,4,9,,3,2,,,,,,,,,1,20,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,C136K,001,Cultural Heritage,Margaret Conkey; Ruth Tringham,02636,7,23,9,1,,,,,,,,,,,42,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,138A,001,Ethnog Film History,Daniel Fisher,02648,1,7,7,15,3,,3,,,,,,,1,45,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,140,001,Anthro Of Food,Christine Hastorf; Stanley Brandes,02651,4,17,19,11,13,5,1,1,2,,,,,,82,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,141,001,Comparative Society,Xin Liu,02654,2,4,3,,,1,,,,,,,,1,13,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,150,001,Utopia: Art & Power,Alexei Yurchak,02669,2,4,16,5,10,5,,,,,,,2,,59,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,155,001,Modernity,Paul Rabinow,02672,2,8,16,6,3,1,3,,,,,,,,40,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,157,001,Anthropology Of Law,Laura Nader,02675,14,27,7,9,5,1,,1,1,,,1,3,,77,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,160AC,001,Forms Of Folklore,Charles Briggs,02678,62,83,5,4,1,1,2,1,,,,,4,5,191,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,162,001,Topics In Folklore,Ruth Goldstein,02698,,23,,2,,,,,,,,,,4,30,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,169B,001,Res Theo/Meth Soc,Mather George,02699,,7,6,3,2,1,,,,,,,,1,20,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,181,001,Middle East & Islam,Saba Mahmood,02714,4,2,17,10,3,1,,,,,,,1,,39,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,189,001,Spec Top:Soc/Cult,James Holston,02738,,16,7,2,2,,,,,,,,,3,32,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,189,003,Spec Top:Soc/Cult,Aihwa Ong,02744,3,4,2,,2,1,,,,,,,,,13,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,196,001,Undergrad Sem,Terrence Deacon,02909,,6,1,,,,,,,,,,,3,11,,,,,,,,
2015 Fall,Anthropology,ANTHRO,Anthropology,196,002,Undergrad Sem,Alexei Yurchak,02912,1,3,,1,2,,,,,,,,1,,10,,,,,,,,
2015 Fall,Architecture,ARCH,Architecture,11A,001,Intro Vis Rep Draw,Darell Fields,03753,,,1,8,12,8,4,4,5,1,1,2,2,2,50,,,,,,,,
2015 Fall,Architecture,ARCH,Architecture,11B,001,Intro To Design,Keith Plymale,03761,,3,2,8,1,2,,,,,,,1,,17,,,,,,,,
2015 Fall,Architecture,ARCH,Architecture,98,001,Directed Group Stdy,Galen Cranz; Ian Lai,03762,,,,,,,,,,,,,,,16,,,,,,,,
2015 Fall,Architecture,ARCH,Architecture,100A,001,Fund Of Arch Design,Lisa Iwamoto,03774,,12,14,16,22,18,15,3,6,1,1,1,2,4,116,,,,,,,,
2015 Fall,Architecture,ARCH,Architecture,100C,001,Arch Design Iii,Rene Davids,03837,,7,4,4,,,,,,,,,,,15,,,,,,,,
2015 Fall,Architecture,ARCH,Architecture,100C,002,Arch Design Iii,Carol Galante; Christopher Calott,03840,2,7,3,3,,,,,,,,,,,15,,,,,,,,
2015 Fall,Architecture,ARCH,Architecture,100C,003,Arch Design Iii,Jean Bourdier,03843,2,,4,5,2,,,,,,,,,,13,,,,,,,,
2015 Fall,Architecture,ARCH,Architecture,100C,004,Arch Design Iii,Keith Plymale,03846,,4,8,2,1,,,,,,,,,,15,,,,,,,,
2015 Fall,Architecture,ARCH,Architecture,100C,005,Arch Design Iii,Jacob Atherton,03849,,1,3,7,2,2,1,,,,,,,,16,,,,,,,,
2015 Fall,Architecture,ARCH,Architecture,102A,001,Capstone Prep Sem,Margaret Crawford,03852,,6,10,,,,,,,,,,,1,17,,,,,,,,
2015 Fall,Architecture,ARCH,Architecture,110AC,001,Soc/Cult Bas Dsgn,Galen Cranz,03855,,6,23,14,16,15,5,21,3,1,3,5,4,3,137,,,,,,,,
2015 Fall,Architecture,ARCH,Architecture,130,001,Intr Arch Des Th/Cr,C Crysler,03882,6,12,13,7,1,2,1,1,,,1,,,,46,,,,,,,,
2015 Fall,Architecture,ARCH,Architecture,150,001,Intro To Structures,R.Gary Black,03909,2,14,19,13,9,13,5,10,10,,,,1,,98,,,,,,,,
2015 Fall,Architecture,ARCH,Architecture,170A,001,"Hist, Arch&Urbanism",Andrew Shanken,03930,1,5,16,17,20,19,12,12,5,,1,,6,,116,,,,,,,,
2015 Fall,Architecture,ARCH,Architecture,198,001,Directed Group Stdy,Galen Cranz; Ian Lai,03954,,,,,,,,,,,,,,,15,,,,,,,,
2015 Fall,Architecture,ARCH,Architecture,198BC,002,Directed Group Stud,C Crysler; Elaine Stiles,03987,,,,,,,,,,,,,,,14,,,,,,,,
2015 Fall,Architecture,ENV DES,Environmental Design,1,001,Intro To Env Des,Nicholas De Monchaux,29003,5,34,30,30,21,11,5,1,,,3,,,,148,,,,,,,,
2015 Fall,Architecture,ENV DES,Environmental Design,4A,001,Design And Activism,Blaine Merker; Madeleine Zayas Mart; Mitchell Squire,29020,,26,26,19,21,5,13,5,,,,,,,116,,,,,,,,
2015 Fall,Architecture,ENV DES,Environmental Design,101B,001,1 Long Composition,Raymond Lifchez,29033,2,6,,,1,,,1,,,,,,,10,,,,,,,,
2015 Fall,Architecture,ENV DES,Environmental Design,102,001,Sustnble Urbanism,David Waldron,29036,5,7,12,12,1,1,2,,,,,,,4,45,,,,,,,,
2015 Fall,Architecture,VIS STD,Visual Studies,185X,001,Word And Image,Anthony Dubovsky,04253,3,8,1,,2,,,,,,,,,,14,,,,,,,,
2015 Fall,Architecture,VIS STD,Visual Studies,186B,001,Photo Art Form,Jean Bourdier,04256,1,8,5,,1,,,,,,,,,,15,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,8,001,Intro Vis Thinking,John Mcnamara,04403,15,34,9,6,1,,,,,,,,,,65,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,12,001,Lang Of Draw,James Pitt,04418,3,19,,,,,,,,,,,,1,25,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,12,002,Lang Of Draw,Craig Nagasawa,04421,,16,2,,,,,,,,,,,,19,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,13,002,Lang Of Painting,John Mcnamara,04424,2,14,2,,,,,,,,,,1,,19,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,14,001,Lang Of Sculpture,Randy Hussong,04427,,15,2,,,,,,,,,,,,17,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,15,001,Lang Sculp:Ceram,Erik Scollon,04432,,6,7,2,2,,,,,,,,1,,20,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,16,001,Intro Printmaking,Randy Hussong,04433,,14,,1,,1,,,,,,,,,16,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,21,001,Digital Photography,Allan Desouza,04436,,10,6,1,,,,,,,,,,,18,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,26,001,Mov Image Media,Greg Niemeyer,04439,,7,,1,3,,,,,,,,,1,12,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,98,003,Directed Group Stdy,John Mcnamara,04454,,,,,,,,,,,,,,,12,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,102,001,Approaches To Ptng,Katherine Sherwood,04505,1,7,6,6,,,,,,,,,,,21,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,102,002,Approaches To Ptng,Michael Hall,04508,,15,1,,,,,,,,,,,,16,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,117,001,"Rsrch, Mthds Draw",Craig Nagasawa,04511,,21,1,,,,,,,,,,,,22,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,119,001,Gpca,Jenifer Wofford,04517,1,7,6,3,4,,,,,,,,,2,23,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,120,001,App To Prntmg Intag,Randy Hussong,04520,,11,,1,,,,,,,,,,2,14,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,132,001,App To Sculp Ceram,Stacy Jo Scott,04523,1,8,1,2,2,,,,,,,,,,15,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,133,002,Meaning/Material,Sahar Khoury,04526,1,9,3,,,,,,,,,,,,13,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,163,001,Social Practice,Stephanie Syjuco,04529,5,2,4,,1,,,,,,,,,,12,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,164,001,Art And Meditation,Azin Seraj; Katherine Sherwood,04532,,11,5,2,3,,,,,,,,,,21,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,171,001,Digital Video,Nathan Kwame Braun,04535,,2,4,3,3,,,,,,,,,1,13,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,173,001,Sound Art,Christopher Kubick,04544,,6,6,2,,,,,,,,,,,16,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,184,001,Jr Seminar,Brody Reiman,04546,6,7,4,,,,,,,,,,,,17,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,185,001,Sn Projects,Indira Morre,04547,4,15,1,3,1,,,,,,,,,,24,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,196,001,Bridging The Arts,Elise Putnam,04670,,6,1,1,2,1,,,,,,,,,11,,,,,,,,
2015 Fall,Art Practice,ART,Art Practice,198,005,Directed Group Stdy,Brody Reiman,04682,,,,,,,,,,,,,,,13,,,,,,,,
2015 Fall,Astronomy,ASTRON,Astronomy,3,001,Modern Cosmology,Chung-Pei Ma,05902,,10,3,,,3,,,,1,,2,,1,33,,,,,,,,
2015 Fall,Astronomy,ASTRON,Astronomy,7A,001,Intro Astrophysics,Mariska Kriek,05903,5,9,1,6,10,1,3,4,4,,1,,2,,52,,,,,,,,
2015 Fall,Astronomy,ASTRON,Astronomy,C10,001,General Astronomy,Alexei Filippenko,05915,41,99,73,45,69,20,8,13,10,2,,,1,2,610,,,,,,,,
2015 Fall,Astronomy,ASTRON,Astronomy,24,001,Freshman Seminars,Andrew Siemion; Gibor Basri,05995,,12,,,,,,,,,,,,,18,,,,,,,,
2015 Fall,Astronomy,ASTRON,Astronomy,84,001,Sophomore Seminar,Steven Beckwith,06227,,,,,,,,,,,,,,,15,,,,,,,,
2015 Fall,Astronomy,ASTRON,Astronomy,98,002,Directed Group Stdy,Eliot Quataert,05996,,,,,,,,,,,,,,,17,,,,,,,,
2015 Fall,Astronomy,ASTRON,Astronomy,120,001,Opt & Ir Astro,James Graham,06008,6,2,4,3,3,,,,,,,,,2,20,,,,,,,,
2015 Fall,Astronomy,ASTRON,Astronomy,160,001,Stellar Physics,Eliot Quataert,06011,1,4,5,1,9,2,2,2,4,,,,,,30,,,,,,,,
2015 Fall,Astronomy,ASTRON,Astronomy,C162,001,Planetary Astrophys,Imke De Pater,06020,1,11,7,3,,3,1,,,,,,1,,27,,,,,,,,
2015 Fall,Astronomy,ASTRON,Astronomy,198,002,Directed Group Stdy,Eliot Quataert,06032,,,,,,,,,,,,,,,12,,,,,,,,
2015 Fall,Bioengineering,BIO ENG,Bioengineering,10,001,Intro/Biomed Engin,Terry Johnson,06253,5,82,27,9,8,,,,1,,,,,1,133,,,,,,,,
2015 Fall,Bioengineering,BIO ENG,Bioengineering,24,001,Aspects Of Bioeng,Luke Lee,06268,,,,,,,,,,,,,,9,185,,,,,,,,
2015 Fall,Bioengineering,BIO ENG,Bioengineering,100,001,Ethics In Sci & Eng,Teresa Head-Gordon,06442,,73,4,,1,,,,,,,,1,,100,,,,,,,,
2015 Fall,Bioengineering,BIO ENG,Bioengineering,113,001,Stem Cells & Tech,Irina Conboy,06460,4,3,4,1,3,3,,,,,,,,,21,,,,,,,,
2015 Fall,Bioengineering,BIO ENG,Bioengineering,115,001,Cell Bio For Eng,Hayley Lam,06469,1,21,7,1,2,,,,,,,,,,32,,,,,,,,
2015 Fall,Bioengineering,BIO ENG,Bioengineering,C118,001,Biolog Perf Mats,Kevin Healy,06478,2,4,4,1,5,1,2,2,2,,,,,,23,,,,,,,,
2015 Fall,Bioengineering,BIO ENG,Bioengineering,121L,011,Biomems Bionano Lab,Dorian Liepmann,06493,4,6,3,,,,,,,,,,,,13,,,,,,,,
2015 Fall,Bioengineering,BIO ENG,Bioengineering,124,001,Basic Prin Drug,Niren Murthy,06499,,8,4,4,,,,,,,,,,,17,,,,,,,,
2015 Fall,Bioengineering,BIO ENG,Bioengineering,131,001,Intro To Comp Mcb,Ian Holmes,06523,,4,6,8,2,2,4,,1,,1,,,,30,,,,,,,,
2015 Fall,Bioengineering,BIO ENG,Bioengineering,140L,001,Synth Bio Lab,John Dueber,06535,,5,5,3,3,,1,1,,,,,1,,20,,,,,,,,
2015 Fall,Bioengineering,BIO ENG,Bioengineering,147,001,Prin Of Syn Bio,Adam Arkin,06541,6,3,2,2,,1,,,,,,,1,,17,,,,,,,,
2015 Fall,Bioengineering,BIO ENG,Bioengineering,150,001,Intro To Bio & Bion,Seung-Wuk Lee,06547,20,13,,12,10,,,,,,,,,,55,,,,,,,,
2015 Fall,Bioengineering,BIO ENG,Bioengineering,163,001,Prin Of Molec & Cel,Gerard Marriott,06556,2,12,1,,,,,,,,,,,,15,,,,,,,,
2015 Fall,Bioengineering,BIO ENG,Bioengineering,C181,001,Energy From Biomass,Wenjun Zhang,06568,,4,4,4,1,2,,,,,,,,,15,,,,,,,,
2015 Fall,Bioengineering,BIO ENG,Bioengineering,192,001,Sr Design Project,Hayley Lam,06571,,19,8,4,1,,,,,,,,,,32,,,,,,,,
2015 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C50,001,Intro To Buddhism,Mark Blum,07653,3,8,1,8,4,1,1,,,,,1,1,,43,,,,,,,,
2015 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C115,001,Japanese Buddhism,Michaela Mross,07674,,2,1,,2,,,,,,,,,,11,,,,,,,,
2015 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C120,001,Buddhsm-Silk Road,Sanjyot Mehendale,07677,,10,6,2,,,,,,,,,,,21,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,C5,001,Intro To Entrep,Ajay Bam,07803,1,,7,10,8,3,2,,,,,,,,42,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,10,001,Principles Of Bus,Cristina Banks; John Briginshaw; Judy Hopelain; Omar Romero-Hernandez,07806,22,61,129,103,92,31,22,15,7,6,4,2,4,,538,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,39AC,001,Philanthropy,Colin Lacon; Karina Moreno,07866,,5,6,9,1,,,,,,,,,,24,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,100,001,Business Comm,Daniel Himelstein,07926,,,22,12,,,,,,,,,,,34,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,100,002,Business Comm,Evan Elliot,07929,,,19,7,,,,,,,,,,,26,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,100,003,Business Comm,Krystal Thomas,07932,,3,17,9,,,,,,,,,,,29,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,100,004,Business Comm,Arturo Perez-Reyes,07935,,,8,19,4,,,,,,,,,,31,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,100,005,Business Comm,Arturo Perez-Reyes,07938,,1,4,5,8,1,,,,,,,,,19,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,100,006,Business Comm,Krystal Thomas,07941,,3,16,11,,,,,,,,,,,30,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,101A,001,Microeconomic Analy,Aaron Bodoh-Creed,07944,10,36,13,19,33,10,5,,,,,1,,,127,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,101A,002,Microeconomic Analy,Aaron Bodoh-Creed,07953,6,21,11,15,33,10,2,,,,,,,,104,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,101B,001,Macroeconomics,Steven Wood,07971,,5,10,12,8,5,5,4,7,,,,3,2,61,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,102A,001,Intro Fin Account,Rada Brooks,07977,9,33,23,21,21,8,8,3,1,,,,,,131,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,102A,002,Intro Fin Account,Rada Brooks,07995,7,11,16,15,5,5,1,3,1,,,,,,65,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,102A,003,Intro Fin Account,Tiffany Rasmussen,08013,,16,35,30,22,14,5,4,,,,,,,133,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,102A,004,Intro Fin Account,Tiffany Rasmussen,08022,,14,30,35,29,7,1,,,,,,,,131,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,102B,001,Intro Manager Acct,Rada Brooks,08028,13,34,15,19,20,9,4,7,2,,,,,,129,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,103,001,Intro To Finance,Dmitry Livdan,08037,12,24,18,19,18,9,8,4,2,,,,4,,128,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,103,002,Intro To Finance,Dmitry Livdan,08061,10,38,22,18,16,8,2,4,7,,,,4,1,141,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,104,001,Sprdsheetmodeling,Terrence Hendershott; Thomas Lee,08085,9,74,45,45,34,17,2,3,,,,,5,,259,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,105,001,Leading People,Dana Carney,08118,20,51,30,34,58,14,6,6,,,,,,,233,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,106,001,Marketing,William Fanning,08133,,48,35,53,30,14,13,4,5,,1,,,,205,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,107,001,Soc & Pol Eth Env,Alan Ross,08154,4,32,56,75,48,10,5,4,3,,,,1,1,245,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,115,001,Competitivestrategy,Frank Schultz,08175,,6,13,11,1,,1,,,,,,,1,33,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,118,001,International Trade,Steven Wood,08178,,12,6,3,2,1,2,1,,,,,,1,29,,,,,,,,
2015 Fall,Business,UGBA,Business Admin-Undergrad,119,001,Leading Strat Imple,Frank Schultz,08183,,4,19,9,,1,,,,,,,,,33,,,,,,,,
