Grade Distribution for Spring 2013 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Enrollments
2013 Spring,Architecture,ARCH,Architecture,160,001,Intro Construction,Dana Buntrock,03741,13,31,30,26,25,8,1,2,,,1,,,5,,1,,,143
2013 Spring,Architecture,ARCH,Architecture,170B,001,"Hist, Arch&Urbanism",Braden Engel; Margaret Crawford,03762,2,12,25,27,26,39,17,16,5,,2,,2,8,,3,,1,185
2013 Spring,Architecture,ARCH,Architecture,179,001,"Prosem, Arch Hist",Andrew Shanken; Kathleen Moran,03789,,2,2,1,3,,2,,,,,,,5,,,,,15
2013 Spring,Architecture,ARCH,Architecture,198,004,Directed Group Stdy,Dana Buntrock; Jacqueline Lin,03816,,,,,,,,,,,,,,13,,1,,,14
2013 Spring,Architecture,ENV DES,Environmental Design,1,001,People & Env Des,Nicholas De Monchaux,28703,1,10,9,14,11,7,2,1,,,,,2,4,,3,,,64
2013 Spring,Architecture,ENV DES,Environmental Design,R3B,001,R & C In Env Des,Mona Damluji; Renee Chow,28721,,7,3,3,1,1,,,,,,,1,,,,,,16
2013 Spring,Architecture,ENV DES,Environmental Design,11A,001,Intro Vis Rep Draw,Charles Sullivan,28724,10,26,8,7,3,,1,,,,2,,3,1,,,,,61
2013 Spring,Architecture,ENV DES,Environmental Design,11B,001,Intro To Design,Walter Hood,28745,,1,3,3,1,1,,,,,,,,,,,,1,10
2013 Spring,Architecture,ENV DES,Environmental Design,100,001,The City,Marco Cenzatti,28769,3,24,31,16,15,1,2,1,1,,,,2,12,,1,,,109
2013 Spring,Architecture,ENV DES,Environmental Design,101A,001,Short Compositions,Raymond Lifchez,28786,6,6,,,2,,,,,,,,,,,,,,14
2013 Spring,Architecture,ENV DES,Environmental Design,C169B,001,"Am Landscape,1900--",Paul Groth,28787,,14,12,6,5,,1,2,,,1,,,3,1,,,,45
2013 Spring,Architecture,ENV DES,Environmental Design,198,002,Directed Group Stdy,Jean Bourdier; Kari Sandell,28823,,,,,,,,,,,,,,9,,1,,,10
2013 Spring,Architecture,VIS STD,Visual Studies,185X,001,Word And Image,Anthony Dubovsky,04153,,14,,,,,,,,,,,,2,,,,,16
2013 Spring,Architecture,VIS STD,Visual Studies,187A,001,Freehand Drawing,Jean Bourdier,04155,,2,8,1,,,,,,,,,,,,,,,11
2013 Spring,Art Practice,ART,Art Practice,8,001,Intro Vis Thinking,John Mcnamara,04303,19,44,6,2,1,1,,,,,,,,1,,,,,74
2013 Spring,Art Practice,ART,Art Practice,12,001,Lang Of Draw,Stephanie Lie,04318,1,18,3,,1,,,,,,,,,4,,,,,27
2013 Spring,Art Practice,ART,Art Practice,12,003,Lang Of Draw,Indira Morre,04321,5,9,7,1,1,,,,,,,,,1,,,,,24
2013 Spring,Art Practice,ART,Art Practice,13,001,Lang Of Painting,John Mcnamara,04324,,21,2,,,,,,,,,,,,,1,,,24
2013 Spring,Art Practice,ART,Art Practice,13,002,Lang Of Painting,Craig Nagasawa,04327,,16,,2,,,,,,,,,,3,,,,,21
2013 Spring,Art Practice,ART,Art Practice,14,001,Lang Of Sculpture,Brody Reiman,04330,2,13,3,,1,,,,,,,,,,,,,,19
2013 Spring,Art Practice,ART,Art Practice,14,002,Lang Of Sculpture,Asma Kazmi,04333,2,11,4,,1,1,,,1,1,,,,,,,,,21
2013 Spring,Art Practice,ART,Art Practice,W23AC,001,American Cybercultr,Greg Niemeyer,04338,10,14,,,5,,,,,,,,,5,,,,,34
2013 Spring,Art Practice,ART,Art Practice,98,006,Directed Group Stdy,Hertha Wong,04354,,,,,,,,,,,,,,21,,1,,,22
2013 Spring,Art Practice,ART,Art Practice,102,001,Approaches To Ptng,Craig Nagasawa,04396,,22,2,1,1,,,,,,,,,,,,,,26
2013 Spring,Art Practice,ART,Art Practice,102,002,Approaches To Ptng,Michael Hall,04399,2,14,6,,1,,,,,,,,,,,,,,23
2013 Spring,Art Practice,ART,Art Practice,117,001,Drawing Composition,Aida Gamez,04402,,6,12,4,,,,,,,,,,,,,,,22
2013 Spring,Art Practice,ART,Art Practice,118,001,Figure Drawing,Josephine Taylor,04405,2,13,4,,1,,,1,,,,,,,,,,,21
2013 Spring,Art Practice,ART,Art Practice,119,001,Gpca,Fiamma Di Montezemolo,04408,,4,9,11,4,,,,,,,,,,,,,,28
2013 Spring,Art Practice,ART,Art Practice,120,001,App To Prntmg Intag,Randy Hussong,04411,,12,,1,,1,,1,,,,,,,,,,,15
2013 Spring,Art Practice,ART,Art Practice,123,001,Screenprinting,Randy Hussong,04413,2,12,1,,3,1,,,,,,,1,,,,,,20
2013 Spring,Art Practice,ART,Art Practice,137,001,Adv Proj Ceram Scul,Michael Swaine,04423,3,4,3,2,,,,,,,,,,,,,,,12
2013 Spring,Art Practice,ART,Art Practice,138,001,Installations,Brody Reiman,04425,,9,4,1,1,,,,,,,,,,,,,,15
2013 Spring,Art Practice,ART,Art Practice,165,001,"Art,Med & Disabil",Katherine Sherwood,04428,5,13,13,2,,2,,,,,,,,,,,,,35
2013 Spring,Art Practice,ART,Art Practice,185,001,Sn Projects,Anne Walsh,04441,,7,5,2,1,,,,1,,,,,,,,,,16
2013 Spring,Art Practice,ART,Art Practice,185,102,Sn Projects,Asma Kazmi,04444,4,8,5,1,,,,1,,,,,,,,,,,19
2013 Spring,Astronomy,ASTRON,Astronomy,7B,001,Intro Astrophysics,Eugene Chiang,05903,1,8,2,4,8,1,,3,3,,,,,,,1,,,31
2013 Spring,Astronomy,ASTRON,Astronomy,C10,001,General Astronomy,Alexei Filippenko,05912,47,99,51,51,55,11,7,7,4,1,1,,3,252,,17,,,606
2013 Spring,Astronomy,ASTRON,Astronomy,121,001,Radio Astronomy Lab,Geoffrey Bower,06014,1,4,3,1,1,,,,,,,,,,,,,,10
2013 Spring,Astronomy,ASTRON,Astronomy,C161,001,Rela Astro & Cosmo,Marc Davis,06017,3,12,3,,,1,,,,,,,1,,1,,,,21
2013 Spring,Astronomy,ASTRON,Astronomy,C162,001,Planetary Astrophys,Raymond Jeanloz,06026,1,2,1,5,,,1,,,,,,,,,2,,,12
2013 Spring,Astronomy,ASTRON,Astronomy,198,002,Directed Group Stdy,Geoffrey Marcy,06043,,,,,,,,,,,,,,14,,1,,,15
2013 Spring,Bioengineering,BIO ENG,Bioengineering,25,001,Careers In Biotech,Dorian Liepmann,06353,,,,,,,,,,,,,,216,,2,,,218
2013 Spring,Bioengineering,BIO ENG,Bioengineering,101,001,Instr Biology Med,Frank Myers,06515,3,4,4,6,8,2,3,3,,,,,,1,,,,,34
2013 Spring,Bioengineering,BIO ENG,Bioengineering,104,001,Bio Trans Phen,Terry Johnson,06527,2,22,19,15,21,2,,3,5,,,1,,,,,,1,91
2013 Spring,Bioengineering,BIO ENG,Bioengineering,110,001,Biomed Phys For Eng,Sanjay Kumar,06554,2,40,6,16,24,15,,,,,,,,1,1,,,,105
2013 Spring,Bioengineering,BIO ENG,Bioengineering,115,001,Cell Bio For Eng,Hayley Lam,06569,1,20,5,3,1,,,,,,,,,,,,,,30
2013 Spring,Bioengineering,BIO ENG,Bioengineering,121L,001,Biomems Bionano Lab,Dorian Liepmann,06587,3,9,2,1,,,,,,,,,,,,,,,15
