Grade Distribution for Spring 2014 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (Sereeta Alexander) 3/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2014 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,154,001,Poverty/Technology,Sara Boettiger,01287,,13,23,16,3,4,1,,,,,,,1,,,,,61
2014 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,162,001,Econ Of Water Res,David Sunding,01290,,6,5,4,5,5,5,4,5,,2,,2,1,,,,,44
2014 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C180,001,Ecol Econ History,Isha Ray; Jalel Sager,01299,,,5,5,3,,1,,,,,,,1,1,,,1,17
2014 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C181,001,International Trade,Andres Rodriguez-clare,01302,,1,2,2,6,11,1,2,3,,2,3,4,2,,2,,1,42
2014 Spring,Anthropology,ANTHRO,Anthropology,1,001,Intro To Bio Anthro,Sabrina Agarwal,02303,53,79,57,33,35,13,8,4,4,1,,,2,15,,4,,1,309
2014 Spring,Anthropology,ANTHRO,Anthropology,2AC,001,Intro Archaeology,Laurie Wilkie,02396,4,45,17,16,34,12,4,14,3,2,3,3,3,66,,18,,,244
2014 Spring,Anthropology,ANTHRO,Anthropology,3AC,001,Intro Soc/Cult Ac,Stanley Brandes,02453,22,125,98,43,32,9,3,3,,,,,3,38,,7,,,383
2014 Spring,Anthropology,ANTHRO,Anthropology,R5B,001,Reading & Comp,Mary Berry; Terra Edwards,02558,3,12,2,1,2,,,,,,,,,,,,,,20
2014 Spring,Anthropology,ANTHRO,Anthropology,R5B,002,Reading & Comp,Joshua Craze; Mary Berry,02561,,11,4,3,2,1,,,,,,,,,,,,,21
2014 Spring,Anthropology,ANTHRO,Anthropology,R5B,003,Reading & Comp,Elizabeth Green; Mary Berry,02564,2,5,3,6,,1,1,,,,,,,,,,,,18
