Grade Distribution for Fall 2016 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 2/28/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2016 Fall,Anthropology,ANTHRO,Anthropology,R5B,2,Reading & Comp,Samuele Collu,12513,1,8,4,1,2,1,,,,,,,,,,,,,17
2016 Fall,Anthropology,ANTHRO,Anthropology,R5B,3,Reading & Comp,Laurie Wilkie,12514,,7,8,1,,1,,,,,,,,,,,,,17
2016 Fall,Anthropology,ANTHRO,Anthropology,R5B,4,Reading & Comp,Laurie Wilkie,12515,5,4,5,1,,,,,,2,,,,,,,,,17
2016 Fall,Anthropology,ANTHRO,Anthropology,84,2,Sophomore Seminar,Rosemary Joyce,33709,,,,,,,,,,,,,,11,,1,,,12
2016 Fall,Anthropology,ANTHRO,Anthropology,107,1,Evol Hum Brain,Terrence Deacon,12548,8,14,14,15,13,18,15,11,6,,,,1,10,,3,,,128
2016 Fall,Anthropology,ANTHRO,Anthropology,114,1,Hist/Anthro Thought,Mary George,31668,7,44,20,3,5,1,,1,2,,,,1,6,,1,,,91
2016 Fall,Anthropology,ANTHRO,Anthropology,115,1,Intro Med Anthro,Nancy Scheper-Hughes,31683,4,24,8,7,3,1,,,,,,,2,2,,2,,1,54
2016 Fall,Anthropology,ANTHRO,Anthropology,119,1,Med Anthro Topics,Stefania Pandolfo,12489,4,24,6,2,1,,,,,,,,,1,,1,,2,41
2016 Fall,Anthropology,ANTHRO,Anthropology,121C,1,Hist Artifact/Analy,Laurie Wilkie,31732,11,1,3,,3,,1,,,1,,,,,,,,,20
2016 Fall,Anthropology,ANTHRO,Anthropology,122A,1,Archaeol No Amer,Jun Sunseri,31734,16,15,6,,1,,,,1,,,1,,1,,,,1,42
2016 Fall,Anthropology,ANTHRO,Anthropology,C125A,1,Arch East Asia,Junko Habu,31735,1,11,5,6,5,,1,,,,,,1,1,,1,,,32
2016 Fall,Anthropology,ANTHRO,Anthropology,127A,1,Skltl Bio & Bioarch,Sabrina Agarwal,12480,3,4,3,3,1,1,,,,,,1,,,,,,,16
2016 Fall,Anthropology,ANTHRO,Anthropology,135,1,Paleoethnobotany,Christine Hastorf,31782,2,3,1,,3,1,2,3,,,2,,1,,,,,,18
2016 Fall,Anthropology,ANTHRO,Anthropology,136F,1,Cult Heritage Media,Rosemary Joyce,32893,1,14,2,,1,,,,,,,,,2,,,,,20
2016 Fall,Anthropology,ANTHRO,Anthropology,136G,1,Cultural Policy,Rosemary Joyce,12605,14,17,3,,2,,,,,,1,,2,1,,1,,,41
2016 Fall,Anthropology,ANTHRO,Anthropology,138A,1,Ethnog Film History,Daniel Fisher,12810,,14,18,10,22,5,5,3,1,,,,2,4,,2,,2,88
2016 Fall,Anthropology,ANTHRO,Anthropology,150,1,Utopia: Art & Power,Alexei Yurchak,12510,3,22,14,8,6,1,,,,,,,1,5,,2,,,62
2016 Fall,Anthropology,ANTHRO,Anthropology,155,1,Modernity,Paul Rabinow,12737,,5,12,11,3,2,,,,,1,,,1,,,,,35
