Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Enrollments
2017 Spring,Psychology,PSYCH,Psychology,260B,1,Prosem-Social Psych,Serena Chen,33558,,10,1,,,,,,,,,,,,,,,,11
2017 Spring,Journalism,JOURN,Journalism,213,1,Documentary Photo,Ken Light,28697,3,8,,,,,,,,,,,,,,,,,11
2017 Spring,South & SE Asian Studies,VIETNMS,South & SE Asian Studies,39,1,Freshman/Sophomore Seminar,Cynthia Agnes Aban; Maria Barrios-Leblanc; Ninik Lunde,33276,5,6,,,,,,,,,,,,,,,,,11
2017 Spring,Journalism,JOURN,Journalism,298,8,Group Study,Michael Pollan,28753,2,9,,,,,,,,,,,,,,,,,11
2017 Spring,Law,LEGALST,Law,277.7,1,Art&Cultur Prop Law,Carla Shapreau,30390,,,,,1,,,,,,,,,10,,,,,11
2017 Spring,American Studies,AMERSTD,American Studies,H110,1,Honors Seminar,Scott Saul,31951,2,9,,,,,,,,,,,,,,,,,11
2017 Spring,Nuclear Engineering,NUC ENG,Nuclear Engineering,198,1,Directed Group Stdy,Rachel Slaybaugh,27912,,,,,,,,,,,,,,10,,1,,,11
2017 Spring,Education,EDUC,Education,290A,1,Sp Topic Sem: Pome,Mark Wilson,28216,,8,,,,,,,,,,,,,3,,,,11
2017 Spring,American Studies,AMERSTD,American Studies,H195,1,Honors Thesis,Christine Palmer,12414,,10,1,,,,,,,,,,,,,,,,11
2017 Spring,Molecular & Cell Biology,MCELLBI,Molecular & Cell Biology,380,B03,Teaching Of Mcellbi,Michael Meighan,19480,,,,,,,,,,,,,,4,7,,,,11
2017 Spring,Public Policy,PUB POL,Public Policy,299,8,Ind Stdy Mst Essay,Daniel Lindheim,28526,,8,3,,,,,,,,,,,,,,,,11
2017 Spring,Physical Education,PHYS ED,Physical Education,198,2,Directed Group Stdy,Vishnupriya Shah,34783,,,,,,,,,,,,,,10,1,,,,11
2017 Spring,Public Policy,PUB POL,Public Policy,299,6,Ind Stdy Mst Essay,Jennifer Bussell,28524,,10,1,,,,,,,,,,,,,,,,11
2017 Spring,Public Health,PB HLTH,Public Health,293,5,Doctoral Seminar,S Hammond,32653,,7,,,,,,,,,,,,,4,,,,11
2017 Spring,Latin,LATIN,Latin,140,1,Medieval Latin,Frank Bezner,17751,,10,1,,,,,,,,,,,,,,,,11
2017 Spring,Public Policy,PUB POL,Public Policy,205,3,Adv Pol Anal,Eugene Bardach,28434,,7,4,,,,,,,,,,,,,,,,11
2017 Spring,Statistics,STAT,Statistics,C241B,1,Adv Learn & Decisn,Benjamin Recht,23559,,10,,,,,,,,,,,,,1,,,,11
2017 Spring,Statistics,STAT,Statistics,198,1,Directed Group Stdy,Jasjeet Sekhon; Sujayam Saha,23533,,,,,,,,,,,,,,9,,2,,,11
2017 Spring,Psychology,PSYCH,Psychology,237E,1,Prodev-Clinical Sci,Heng-hsian Liu,21972,,10,,,,,,,,,,,,,1,,,,11
2017 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,290,1,Adv Topics In Cee,Roger Bales,26071,,9,2,,,,,,,,,,,,,,,,11
2017 Spring,Mechanical Engineering,MEC ENG,Mechanical Engineering,C205,1,Critical Making,Adam Hutz; Eric Paulos,31864,,5,6,,,,,,,,,,,,,,,,11
2017 Spring,Plant & Microbial Biology,PLANTBI,Plant & Microbial Biology,290,5,Seminar,Devin Coleman Derr; Michael Freeling,31599,2,9,,,,,,,,,,,,,,,,,11
2017 Spring,Social Welfare,SOC WEL,Social Welfare,250L,1,Human Sexuality,Richard Nizzardini,31770,,11,,,,,,,,,,,,,1,,,,12
2017 Spring,Spanish,SPANISH,Spanish,198,2,Supervised Grp Stdy,Estelle Tarica,34481,,,,,,,,,,,,,,11,,1,,,12
2017 Spring,Political Science,POL SCI,Political Science,291IR,1,Res Workshop Ir,Aila Matanock,21316,,,,,,,,,,,,,,2,10,,,,12
2017 Spring,Journalism,JOURN,Journalism,260,1,Inv Rptg - Tv/Print,Lowell Bergman,28717,,9,3,,,,,,,,,,,,,,,,12
2017 Spring,Persian,PERSIAN,Persian,104B,1,Contemp Persian Lit,Shahwali Ahmadi,31535,1,11,,,,,,,,,,,,,,,,,12
2017 Spring,African American Studies,AFRICAM,African American Studies,602,1,Ind Stdy For Doc St,Leigh Raiford,12376,,,,,,,,,,,,,,,11,,1,,12
2017 Spring,Public Health,PB HLTH,Public Health,212D,1,Exp Foundations Ph,Anke Hemmerling; Phuoc Le,32563,,11,,,,,,,,,,,,,1,,,,12
2017 Spring,Anthropology,ANTHRO,Anthropology,240B,1,Fd Anthro Theo,William Hanks,12678,,11,,,,,,,,,,,,,1,,,,12
2017 Spring,Psychology,PSYCH,Psychology,198,1,Directed Group Stdy,Linda Wilbrecht,21870,,,,,,,,,,,,,,11,,1,,,12
2017 Spring,UGIS-UG Interdisc Studies,UGIS,UGIS-UG Interdisc Studies,192B,32,Research Soc Sci,Jeroen Dewulf,23924,,,,,,,,,,,,,,11,,1,,,12
2017 Spring,Public Policy,PUB POL,Public Policy,205,6,Adv Pol Anal,Jennifer Bussell,28437,,8,4,,,,,,,,,,,,,,,,12
2017 Spring,Social Welfare,SOC WEL,Social Welfare,238C,1,Health Policy,Martin Lynch,29700,,9,3,,,,,,,,,,,,,,,,12
2017 Spring,Physical Education,PHYS ED,Physical Education,11,9,Pe Activities,Steven Desimone; Susanna Li-Jue,20414,,,,,,,,,,,,,,11,,1,,,12
2017 Spring,Physical Education,PHYS ED,Physical Education,11,10,Pe Activities,Steven Desimone; Susanna Li-Jue,20415,,,,,,,,,,,,,,11,,1,,,12
2017 Spring,Public Policy,PUB POL,Public Policy,198,2,Directed Group Stdy,Jane Mauldon,28415,,,,,,,,,,,,,,11,,1,,,12
2017 Spring,Public Health,PB HLTH,Public Health,293,12,Doctoral Seminar,Hector Rodriguez; Julianna Deardorff; William Dow,34191,,11,1,,,,,,,,,,,,,,,,12
2017 Spring,Public Policy,PUB POL,Public Policy,190,1,Spec Topics Pub Pol,Alexander Gelber,28406,,10,2,,,,,,,,,,,,,,,,12
2017 Spring,Theater Dance & Perf Stds,THEATER,Theater Dance & Perf Stds,163,1,Stage Directing,Christopher Herold,23721,,11,1,,,,,,,,,,,,,,,,12
2017 Spring,Filipino,FILIPN,Filipino,W101B,1,Adv Filipino Online,Maria Barrios-Leblanc,15138,8,4,,,,,,,,,,,,,,,,,12
2017 Spring,Chemical Engineering,CHM ENG,Chemical Engineering,298C,2,Directed Group Stud,Bryan Mccloskey,31615,,,,,,,,,,,,,,,11,,,1,12
2017 Spring,Law,LEGALST,Law,225.1,1,Legal Institutions,Rachel Stern,30234,,3,,,,,,,,,,,,9,,,,,12
2017 Spring,Architecture,VIS STD,Architecture,98,3,Directed Group Stdy,Diana Kang; Keith Plymale,11840,,,,,,,,,,,,,,11,,1,,,12
2017 Spring,Electrical Eng & Computer Sci,EL ENG,Electrical Eng & Computer Sci,151LB,102,Dig Des Ic Fpga Lab,Elad Alon,26823,,7,5,,,,,,,,,,,,,,,,12
2017 Spring,Education,EDUC,Education,290C,2,Sp Topic Sem:Dcemst,Susan Holloway,34457,,11,,,,,,,,,,,,,1,,,,12
2017 Spring,"Env Sci, Policy, & Mgmt",ESPM,"Env Sci, Policy, & Mgmt",98BC,6,Directed Group Stud,Erica Rosenblum,24521,,,,,,,,,,,,,,11,,1,,,12
2017 Spring,City & Regional Planning,CY PLAN,City & Regional Planning,198,1,Directed Group Stdy,Carol Galante,12019,,,,,,,,,,,,,,11,,1,,,12
2017 Spring,City & Regional Planning,CY PLAN,City & Regional Planning,299,3,Indiv Study Res,Carolina Reid,12072,,4,,,,,,,,,,,,,8,,,,12
2017 Spring,Chemistry,CHEM,Chemistry,299,21,Research,Matthew Francis,11473,,11,,,,,,,,,,,,,1,,,,12
2017 Spring,Sociology,SOCIOL,Sociology,198,12,Directed Group Stdy,Samuel Lucas,22887,,,,,,,,,,,,,,11,,1,,,12
2017 Spring,Public Health,PB HLTH,Public Health,293,10,Doctoral Seminar,Richard Scheffler,33236,,6,,,,,,,,,,,,,6,,,,12
2017 Spring,Architecture,VIS STD,Architecture,298,1,Special Group Study,Tom Buresh,11960,,3,,,,,,,,,,,,,9,,,,12
2017 Spring,Public Health,PB HLTH,Public Health,293,2,Doctoral Seminar,Stephen Shortell,32596,,10,,,,,,,,,,,,,2,,,,12
