Grade Distribution for Fall 2013 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Enrollments
2013 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,153,001,Envir & Development,Robin Marsh,01301,,14,12,8,3,5,2,2,,,,,,1,,,,,47
2013 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C175,001,Econ Climate Chg,Christian Traeger,01311,3,2,6,4,5,3,2,,,,,,,2,,2,,,29
2013 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C181,001,International Trade,Asrat Tesfayesus,01323,3,5,13,14,9,2,1,1,,,,,1,4,,3,,,56
2013 Fall,Anthropology,ANTHRO,Anthropology,2AC,001,Intro Archaeology,Jun Sunseri,02303,14,64,70,56,25,12,5,3,1,1,,1,3,63,,5,,,323
2013 Fall,Anthropology,ANTHRO,Anthropology,3AC,001,Intro Soc/Cult Ac,Xin Liu,02372,25,171,142,49,32,7,3,4,1,,2,1,1,32,,,,2,472
2013 Fall,Anthropology,ANTHRO,Anthropology,R5B,001,Reading & Comp,Mary Berry; Ruth Goldstein,02477,,9,6,2,,1,,,,,,,,,,,,,18
2013 Fall,Anthropology,ANTHRO,Anthropology,R5B,002,Reading & Comp,Mary Berry; Saleem Al-Bahloly,02480,,7,4,2,,1,,,,,,,,,,,,,14
2013 Fall,Anthropology,ANTHRO,Anthropology,R5B,003,Reading & Comp,Khashayar Beigi; Mary Berry,02483,,4,8,2,2,,,,,,,,,,,,,,16
2013 Fall,Anthropology,ANTHRO,Anthropology,R5B,004,Reading & Comp,Di Hu; Mary Berry,02486,,7,5,1,1,1,,,,,,,,,,,,,15
2013 Fall,Anthropology,ANTHRO,Anthropology,106,001,Primate Behavior,Patrick Beauchesne,02534,4,14,23,7,7,4,1,,,,,,,11,,,,,71
2013 Fall,Anthropology,ANTHRO,Anthropology,119,001,Med Anthro Topics,Stefania Pandolfo,02561,4,10,13,7,8,,1,,,,,,,2,,1,,1,47
2013 Fall,Anthropology,ANTHRO,Anthropology,121AC,001,Amercn Materl Cultr,Kimberly Christensen,02564,42,42,22,14,6,,2,,1,,1,,1,44,,,,1,176
2013 Fall,Anthropology,ANTHRO,Anthropology,124A,001,Arch South Pacific,Patrick Kirch,02567,9,9,7,8,7,1,,,,,1,,,5,,,,,47
2013 Fall,Anthropology,ANTHRO,Anthropology,C125A,001,Arch East Asia,Junko Habu,02570,2,12,4,7,3,2,,2,,,,,,,,,,,32
2013 Fall,Anthropology,ANTHRO,Anthropology,127A,001,Skltl Bio & Bioarch,Patrick Beauchesne,02573,2,5,4,1,4,2,,,,,,,,3,,,,,21
2013 Fall,Anthropology,ANTHRO,Anthropology,C129F,001,Archahealth Disease,Laurie Wilkie; Sabrina Agarwal,02582,8,12,13,3,12,3,,,,,,,,3,,,,,54
2013 Fall,Anthropology,ANTHRO,Anthropology,134,001,Anal Archaeo Record,Kent Lightfoot,02585,1,12,4,3,,,,,,,,,,,,,,,20
2013 Fall,Anthropology,ANTHRO,Anthropology,134,002,Anal Archaeo Record,Lisa Maher,02588,3,7,2,3,1,,,,,,1,,,,,,,,17
2013 Fall,Anthropology,ANTHRO,Anthropology,140,001,Anthro Of Food,Christine Hastorf; Stanley Brandes,02597,4,35,10,10,9,3,1,2,,,,,,5,,2,,1,82
2013 Fall,Anthropology,ANTHRO,Anthropology,C147B,001,Sexuality Culture,Jacqueline Asher,02599,,1,6,3,2,,,,1,,,,3,3,,1,,,20
2013 Fall,Anthropology,ANTHRO,Anthropology,148,001,Anth Of Environment,Donald Moore,02600,,5,5,6,3,1,,2,1,,,,,,,1,,2,26
2013 Fall,Anthropology,ANTHRO,Anthropology,150,001,Utopia: Art & Power,Alexei Yurchak,02603,4,11,11,13,4,,2,,,,,,1,6,,1,,2,55
2013 Fall,Anthropology,ANTHRO,Anthropology,157,001,Anthropology Of Law,Laura Nader,02609,5,9,13,15,13,5,6,2,4,1,,,3,,,1,,,77
2013 Fall,Anthropology,ANTHRO,Anthropology,160AC,001,Forms Of Folklore,Charles Briggs,02612,16,64,22,11,18,5,1,1,1,,,,5,17,,4,,2,167
2013 Fall,Anthropology,ANTHRO,Anthropology,169B,001,Res Theo/Meth Soc,Mariane Ferme,02633,,5,5,4,2,1,2,,1,,,,1,,,,,,21
