UC Berkeley Spring 2007 Course Grades,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CourseID,CNUM,SECTION,CDESC,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
ANTHRO, 162,001,TOPICS IN FOLKLORE ,"NAITHANI, S       ",0,23,3,7,6,1,0,0,0,0,0,0,2
ANTHRO, 166,001,LANGUAGE IN SOCIETY,"YURCHAK, A        ",1,16,10,21,25,8,1,0,0,0,1,0,0
ANTHRO, 170,001,CHINA              ,"LIU, X            ",1,11,14,13,10,3,1,0,0,0,0,0,0
ANTHRO, 183,001,ANTHRO OF AFRICA   ,"FERME, M C        ",3,6,6,5,2,2,0,0,0,1,0,0,0
ANTHRO, 188,001,TOPICS AREA STUDIES,"DAWUTI, R         ",2,12,5,1,0,0,0,0,0,0,0,0,0
ANTHRO, 189,002,SPEC TOP:SOC/CULT  ,"HAYDEN, C P       ",1,8,3,6,4,2,0,0,0,0,1,0,0
ARABIC, 015A,001,SPOKEN ARABIC      ,"BAZIAN, H A       ",7,5,6,2,0,0,0,0,0,0,0,0,0
ARABIC, 020B,001,INTERMEDIATE ARABIC,"BAZIAN, H A       ",2,3,4,4,1,0,0,0,0,0,0,0,0
ARABIC, 020B,002,INTERMEDIATE ARABIC,"S'HIRI, S         ",4,8,6,4,2,1,0,0,0,0,0,0,0
ARABIC, 107,001,HIST & GEOGR TEXTS ,"HAYES, J L        ",0,7,3,1,1,0,0,0,0,0,0,0,0
ARCH, 100A,001,FUND OF ARCH DESIGN,"DI NAPOLI, W W    ",0,14,13,15,13,5,5,3,1,0,0,0,0
ARCH, 100B,001,FUND OF ARCH DESIGN,"IWAMOTO, L M      ",0,9,13,12,16,6,6,4,2,1,1,0,0
ARCH, 101,001,CASE STDS IN ARCH  ,"KUO, J M          ",1,2,3,1,2,1,1,0,0,0,0,0,0
ARCH, 111,001,HOUSING: INTERNAT  ,"ALSAYYAD, N       ",0,7,6,4,2,0,2,1,0,0,0,0,0
ARCH, 130,001,"INTRO,DES THEORIES ","CRYSLER, C G      ",13,12,20,17,4,7,2,3,3,0,0,0,1
ARCH, 140,001,ENERGY & ENV MGMT  ,"BENTON, C C       ",2,17,27,20,34,13,7,9,3,0,2,0,1
ARCH, 160,001,INTRO CONSTRUCTION ,"COMERIO, M C      ",0,15,5,8,9,6,2,6,1,0,1,0,0
ARCH, 170B,001,"HIST, ARCH&URBANISM","LITTMANN, B W     ",1,14,59,74,37,26,12,5,3,0,0,0,2
ART, 008,001,INTRO VIS THINKING ,"MCNAMARA, J S     ",16,57,15,5,3,0,0,0,0,0,0,0,0
ART, 012,001,LANG OF DRAW       ,"INNIS, C          ",4,13,7,0,1,0,0,0,0,0,0,0,0
ART, 012,002,LANG OF DRAW       ,"BERSAMINA, L R    ",0,10,5,0,0,2,0,0,0,0,0,0,0
ART, 012,003,LANG OF DRAW       ,"DEJESUS, V        ",6,2,8,1,0,0,0,0,1,0,0,0,0
ART, 013,001,LANG OF PAINTING   ,"MCNAMARA, J S     ",3,16,3,0,0,0,0,0,0,0,0,0,0
ART, 013,002,LANG OF PAINTING   ,"NAGASAWA, C K     ",0,10,0,1,0,0,0,0,0,0,0,0,1
ART, 014,001,LANG OF SCULPTURE  ,"OPPENHEIMER, G    ",1,4,0,4,6,0,2,1,0,0,0,0,0
ART, 014,002,LANG OF SCULPTURE  ,"TOOL, E A         ",2,14,3,1,1,1,0,1,0,0,0,0,0
ART, 102,001,APPROACHES TO PTNG ,"BERSAMINA, L R    ",0,14,8,5,2,0,0,0,0,0,0,0,0
ART, 102,002,APPROACHES TO PTNG ,"CARNWATH, S       ",1,8,2,4,2,2,0,0,0,0,0,0,0
ART, 117,001,DRAWING COMPOSITION,"NAGASAWA, C K     ",0,14,1,0,0,0,0,0,0,0,0,0,0
ART, 117,003,DRAWING COMPOSITION,"VONMERTENS, A W   ",2,2,12,2,2,0,0,0,0,0,0,0,0
ART, 118,001,FIGURE DRAWING     ,"BERSAMINA, L R    ",0,10,8,5,0,0,0,1,0,0,0,0,0
ART, 120,002,APP TO PRNTMG INTAG,"HUSSONG, R M      ",2,9,5,0,1,0,0,0,0,0,0,0,0
ART, 124,001,ADV PRINTMAKING    ,"HUSSONG, R M      ",2,11,1,6,0,0,0,0,0,0,0,0,0
ART, 132,001,APP TO SCULP CERAM ,"SHAW, R B         ",0,19,0,4,2,0,0,1,0,0,0,0,1
ART, 137,001,ADV PROJ CERAM SCUL,"SHAW, R B         ",2,15,0,2,1,0,0,0,0,0,0,0,0
ART, 138,001,INSTALLATIONS      ,"REIMAN, B L       ",1,8,2,2,3,1,0,0,0,0,0,0,0
