Grade Distribution for Fall 2014 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2014-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall  (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (Sereeta Alexander) 3/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2014 Fall,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C181,001,International Trade,Thibault Fally,01329,1,1,2,4,10,3,2,4,7,,2,,1,1,,,,1,39
2014 Fall,Anthropology,ANTHRO,Anthropology,2AC,001,Intro Archaeology,Jun Sunseri,02303,11,112,63,24,26,5,1,5,1,1,1,,1,43,,6,,,300
2014 Fall,Anthropology,ANTHRO,Anthropology,3AC,001,Intro Soc/Cult Ac,Charles Hirschkind,02372,44,145,83,57,45,18,5,4,3,2,2,,4,33,,3,,1,449
2014 Fall,Anthropology,ANTHRO,Anthropology,R5B,001,Reading & Comp,Corinne Hayden; Jason Price,02477,2,4,3,5,1,,,,,,,,,,,,,,15
2014 Fall,Anthropology,ANTHRO,Anthropology,R5B,002,Reading & Comp,Corinne Hayden; Rachel Ceasar,02480,3,1,2,2,1,2,,,,,,,,1,,,,,12
2014 Fall,Anthropology,ANTHRO,Anthropology,R5B,003,Reading & Comp,Carolyn Smith; Corinne Hayden,02483,9,5,,1,,,,,,,,,,,,,,,15
2014 Fall,Anthropology,ANTHRO,Anthropology,R5B,004,Reading & Comp,Corinne Hayden; Olesya Shayduk-Immerman,02486,1,6,3,2,2,,,,,,,,,,,,,,14
2014 Fall,Anthropology,ANTHRO,Anthropology,107,001,Evol Hum Brain,Terrence Deacon,02552,2,11,9,12,13,15,12,5,5,,,,,15,,4,,,103
2014 Fall,Anthropology,ANTHRO,Anthropology,119,001,Med Anthro Topics,Clara Mantini-Briggs,02582,15,10,8,3,,,,,,,,,,1,,,,1,38
2014 Fall,Anthropology,ANTHRO,Anthropology,121AC,001,Amercn Materl Cultr,Laurie Wilkie,02585,7,34,12,9,18,3,6,,1,,,,1,12,,1,,,104
2014 Fall,Anthropology,ANTHRO,Anthropology,122E,001,Andean Archaeology,Christine Hastorf,02588,3,8,1,5,6,,,3,1,,1,,2,2,,1,,1,34
2014 Fall,Anthropology,ANTHRO,Anthropology,123A,001,Stone Age Archaeol,Kevin Gibbs,02590,3,,4,3,5,2,1,,2,,,,,2,,,,,22
2014 Fall,Anthropology,ANTHRO,Anthropology,127A,001,Skltl Bio & Bioarch,Sabrina Agarwal,02591,,5,2,3,4,,2,,,,,,,,,,,1,17
2014 Fall,Anthropology,ANTHRO,Anthropology,128M,001,Topics:Arch/Method,Robert David,03458,1,2,4,2,1,,,1,,,,,,,,,,1,12
2014 Fall,Anthropology,ANTHRO,Anthropology,132A,001,Ceramic Analysis,Bryan Cockrell,02603,,2,3,2,4,,1,,,,,,,3,,,,,15
2014 Fall,Anthropology,ANTHRO,Anthropology,138A,001,Ethnog Film History,Daniel Fisher,02609,1,3,5,6,2,3,2,,,,,,,,,2,,,24
2014 Fall,Anthropology,ANTHRO,Anthropology,141,001,Comparative Society,Aihwa Ong,02612,,7,12,3,4,1,1,1,2,,,1,,,,1,,1,34
2014 Fall,Anthropology,ANTHRO,Anthropology,157,001,Anthropology Of Law,Laura Nader,02627,2,15,10,10,9,4,2,,2,,2,,,5,,3,,1,65
2014 Fall,Anthropology,ANTHRO,Anthropology,160AC,001,Forms Of Folklore,Charles Briggs,02630,11,52,40,16,17,3,1,3,2,,,,2,32,,5,,1,185
2014 Fall,Anthropology,ANTHRO,Anthropology,169B,001,Res Theo/Meth Soc,Saba Mahmood,02651,3,7,10,3,1,,,,,,1,,1,1,,,,1,28
2014 Fall,Anthropology,ANTHRO,Anthropology,174AC,001,Ca Historical Anth,Kimberly Christensen,02665,16,11,4,1,3,,,,,,,,,6,,1,,1,43
2014 Fall,Anthropology,ANTHRO,Anthropology,180,001,Europ Society,Stanley Brandes,02666,10,20,5,3,4,4,,,,,,,,7,,,,,53
2014 Fall,Anthropology,ANTHRO,Anthropology,183,001,Anthro Of Africa,Donald Moore,02669,,9,5,7,4,,1,1,,,,,,1,,1,,,29
2014 Fall,Anthropology,ANTHRO,Anthropology,189,001,Spec Top:Soc/Cult,James Holston,02675,3,16,3,5,3,,1,,,,,,1,2,,1,,,35
2014 Fall,Anthropology,ANTHRO,Anthropology,189,004,Spec Top:Soc/Cult,Amelia Moore,02684,2,4,2,3,,1,,,,,,,,,,,,,12
2014 Fall,Architecture,ARCH,Architecture,100A,001,Fund Of Arch Design,Rudabeh Pakravan,03659,,9,9,22,28,15,9,5,8,2,,,3,,,2,,1,113
2014 Fall,Architecture,ARCH,Architecture,100C,001,Arch Design Iii,Jacob Atherton,03725,,2,3,3,8,3,,1,,,,,,,,,,,20
2014 Fall,Architecture,ARCH,Architecture,100C,002,Arch Design Iii,Jean Bourdier,03728,1,7,5,1,,,,,,,,,,,,,,,14
2014 Fall,Architecture,ARCH,Architecture,100C,004,Arch Design Iii,Darell Fields,03734,,1,2,3,3,4,1,1,1,,,,,,,,,,16
2014 Fall,Architecture,ARCH,Architecture,100C,005,Arch Design Iii,Patrick Lynch,03737,,2,2,5,4,2,,,,,,,,,,,,,15
2014 Fall,Architecture,ARCH,Architecture,102A,001,Capstone Prep Sem,Padma Maitland; Raveevarn Choksombatchai,03740,,4,3,3,1,1,1,1,1,,,,,,,,,,15
2014 Fall,Architecture,ARCH,Architecture,110AC,001,Soc/Cult Bas Dsgn,Galen Cranz,03746,7,27,29,16,11,6,6,5,1,,1,,,13,,2,,,124
2014 Fall,Architecture,ARCH,Architecture,129,002,Spec Top Digit Des,Raveevarn Choksombatchai,03770,1,3,5,4,5,,1,,,,,,,1,,,,,20
2014 Fall,Architecture,ARCH,Architecture,130,001,Intr Arch Des Th/Cr,C Crysler,03773,9,8,9,6,7,5,4,1,,1,,,2,1,,,,,53
2014 Fall,Architecture,ARCH,Architecture,144,001,Intro To Acoustics,Charles Salter,03785,,,,,,,,,,,,,,23,4,,,,27
2014 Fall,Architecture,ARCH,Architecture,150,001,Intro To Structures,John Voekel,03788,2,5,18,22,25,10,10,6,4,,,,,3,,1,,,106
