Grade Distribution for Spring 2015 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2014-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 3/16/2015,,,,,,,,,,, ,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2015 Spring,City & Regional Planning,CY PLAN,City & Regional Planning,114,001,Intro Urb Reg Trans,Daniel Chatman,13683,1,6,10,15,10,6,8,3,1,,,,,2,,1,,,63
2015 Spring,City & Regional Planning,CY PLAN,City & Regional Planning,116,001,Urban Plng Process,Kimberly Smith,13686,1,6,5,6,,,,,,,,,,,,,,,18
2015 Spring,City & Regional Planning,CY PLAN,City & Regional Planning,116,002,Urban Plng Process,Hector Burga,13688,9,10,,,,,,,,,,,,,,,,,19
2015 Spring,City & Regional Planning,CY PLAN,City & Regional Planning,118AC,001,The Urban Comm,Malo Hutson,13689,12,26,22,15,11,4,3,4,,,,,,15,,2,,3,117
2015 Spring,City & Regional Planning,CY PLAN,City & Regional Planning,120,001,Com Plan/Pb Pol Dis,Michael Dear,13704,,8,17,13,10,2,,,,,,,,2,,,,,52
2015 Spring,City & Regional Planning,CY PLAN,City & Regional Planning,190,001,Adv Topcs Urban Stu,Deborah Mckoy,13707,2,10,1,1,2,,,,,,,,,,,,,,16
2015 Spring,City & Regional Planning,CY PLAN,City & Regional Planning,190,002,Adv Topcs Urban Stu,David Waldron,13709,,7,2,5,,1,,,,,,,,,,,,,15
2015 Spring,City & Regional Planning,CY PLAN,City & Regional Planning,198,002,Directed Group Stdy,Carolina Reid,13712,,,,,,,,,,,,,,9,,1,,,10
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,11,001,Eng Sys & Sustain,Robert Harley,14003,2,19,9,10,9,11,7,8,,,3,,1,,,,,,79
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,C30,001,Intro Solid Mechncs,Tony Keaveny,14006,1,2,2,4,2,4,1,1,1,1,,,,,,,,,19
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,C30,002,Intro Solid Mechncs,Francisco Armero,14015,1,4,3,4,5,4,4,2,,1,,,1,,,,,,29
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,60,001,Civil Engrg Matls,Claudia Ostertag,14024,,2,4,6,6,2,1,4,1,,,,2,,,,,,28
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,93,001,Engrg Data Analysis,Mark Hansen,14036,4,9,7,11,6,3,2,,,1,1,,1,1,,,,,46
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,100,001,Elem Fluid Mechanic,Lissa Macvean,14081,2,6,9,7,7,6,2,3,3,,,,3,,,,,,48
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,103,001,Intro To Hydrology,Lissa Macvean,14093,3,4,6,7,4,5,,2,,,,,,1,,,,,32
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,C106,001,Air Pollution,Allen Goldstein,14099,,10,1,2,5,,,1,1,,,,,,,1,,,21
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,107,001,Climate Chg Mitig,William Nazaroff,14111,3,6,4,12,14,4,2,3,1,,,,,1,,,,,50
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,112,001,Environ Eng Design,Slawomir Hermanowicz,14123,,5,6,1,5,1,,,,,,,,,,,,,18
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,114,001,Environ Microbio,Lisa Alvarez-Cohen,14129,1,6,7,6,5,3,,1,,,,,,,,,,,29
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,120,001,Structural Engrg,Jack Moehle,14138,2,23,8,17,11,1,3,4,,,5,,,,,,,1,75
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,121,001,Adv Struct Analysis,Filippos Filippou,14147,,5,4,9,6,3,,,,,,,,,,,,,27
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,122L,001,Steel Design Proj,Mark Thomas,14153,6,5,2,1,,1,,,,,,,,,,,,,15
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,130N,001,Mech Of Structures,Sanjay Govindjee,14159,1,12,4,7,9,5,5,6,4,,3,,1,,,,,,57
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,C133,001,Eng Analyfinite Mth,Shawn Shadden,14171,1,3,2,2,2,2,,1,1,,,,,1,,,,,15
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,155,001,Trans Sys Engrg,Alexey Pozdnukhov,14183,3,5,2,3,2,6,,2,,,1,,,2,,,,,26
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,165,001,Concrete Mat/Cons,Paulo Monteiro,14189,1,8,9,4,4,2,,,,,,,,,,,,,28
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,171,001,Intro To Geol Eng,Steven Glaser,14192,2,5,3,1,2,1,,2,3,,,,1,,,,,,20
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,175,001,Geot Geoenv Engrg,Jonathan Bray,14195,1,4,6,5,6,4,,,,,,,,,,,,,26
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,176,001,Environ Geotechnics,Nicholas Sitar,14204,1,2,1,1,1,2,,,1,,2,,,,,,,,11
2015 Spring,Civil & Environmental Eng,CIV ENG,Civil & Environmental Eng,180,001,Cee Systems Design,Nicholas Santero,14207,,21,11,1,,1,,,,,,,,,,,,,34
