UC Berkeley Spring 2009 Course Grades,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CourseID,CNUM,SECTION,CDESC,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
ANTHRO, 166,002,"LANG,CULTURE,SOCITY","JACOBS, J E       ",0,17,14,6,5,1,0,1,1,0,3,0,2
ANTHRO, 174AC,001,CA HISTORICAL ANTH ,"LIGHTFOOT, K G    ",2,40,35,11,12,4,2,3,0,0,0,0,1
ANTHRO, 181,001,MIDDLE EAST & ISLAM,"MAHMOOD, S        ",1,7,12,11,8,3,0,0,1,0,1,0,1
ANTHRO, 183,001,ANTHRO OF AFRICA   ,"HUBBARD, L        ",0,7,12,11,10,1,1,1,0,0,1,0,1
ANTHRO, 189,002,SPEC TOP:SOC/CULT  ,"PANDOLFO, S       ",3,18,4,0,0,0,0,0,0,0,0,0,0
ANTHRO, 189,003,SPEC TOP:SOC/CULT  ,"HOLSTON, J        ",2,17,2,0,1,0,0,0,0,0,0,0,1
ANTHRO,R005B,001,READING & COMP     ,"SARGENT, A M      ",0,2,3,1,4,0,0,0,1,0,0,0,0
ANTHRO,R005B,003,READING & COMP     ,"LEITE, N          ",0,5,6,1,2,0,0,0,0,0,0,0,0
ANTHRO,R005B,004,READING & COMP     ,"CHIO, J           ",0,2,3,3,2,2,1,0,0,0,0,0,0
ANTHRO,R005B,005,READING & COMP     ,"EPPINGER, M       ",1,10,2,0,0,0,1,0,0,0,0,0,0
ANTHRO,R005B,006,READING & COMP     ,"HUANG, C Y        ",1,5,5,3,0,0,0,0,0,0,0,0,0
ANTHRO,R005B,007,READING & COMP     ,"GOODWIN, M A      ",0,0,10,2,0,1,0,0,0,0,0,0,1
ARABIC, 001B,004,ELEMENTARY ARABIC  ,"SCHWARTZ, K L     ",2,4,4,1,2,0,0,0,0,0,0,0,0
ARABIC, 001B,006,ELEMENTARY ARABIC  ,"BAZIAN, H A       ",3,4,6,2,0,0,0,0,0,0,0,0,0
ARABIC, 020B,002,INTERMEDIATE ARABIC,"NEALE, H          ",1,3,2,1,2,1,0,0,1,0,0,0,0
ARABIC, 020B,003,INTERMEDIATE ARABIC,"S'HIRI, S         ",2,7,6,2,2,0,0,0,0,0,0,0,0
ARABIC, 108,001,ISLAM & PHIL TEXTS ,"HAYES, J L        ",0,7,3,1,1,0,0,0,0,0,0,0,0
ARCH, 100A,001,FUND OF ARCH DESIGN,"DI NAPOLI, W W    ",0,13,14,22,18,7,1,0,0,0,0,0,0
ARCH, 100B,001,FUND OF ARCH DESIGN,"CREEDON, G T      ",0,5,15,18,17,5,3,4,0,0,0,0,1
ARCH, 101,001,CASE STDS IN ARCH  ,"ANDERSON, M S     ",0,2,4,0,6,0,0,0,0,0,0,0,0
ARCH, 111,001,HOUSING: INTERNAT  ,"ALSAYYAD, N       ",0,7,7,1,3,2,0,2,0,0,0,0,0
ARCH, 128,001,ARCH INTERNSHIP    ,"COMERIO, M C      ",0,20,1,0,0,0,0,0,0,0,0,0,0
ARCH, 130,001,"INTRO,DES THEORIES ","CRYSLER, C G      ",10,21,9,19,5,1,4,0,0,0,0,0,0
ARCH, 140,001,ENERGY & ENV MGMT  ,"BENTON, C C       ",1,20,22,27,19,17,8,10,2,0,0,0,1
ARCH, 160,001,INTRO CONSTRUCTION ,"MALLAS, L         ",3,2,29,17,14,7,1,0,0,2,0,0,1
ARCH, 170B,001,"HIST, ARCH&URBANISM","LITTMANN, B W     ",0,27,47,60,42,24,6,2,0,2,0,0,7
ART, 008,001,INTRO VIS THINKING ,"MCNAMARA, J S     ",15,42,34,8,3,1,0,1,0,0,0,0,0
ART, 012,001,LANG OF DRAW       ,"NAGASAWA, C K     ",0,14,1,1,0,0,0,0,0,0,0,0,0
ART, 012,002,LANG OF DRAW       ,"DEJESUS, V        ",9,5,4,0,0,0,0,0,0,0,0,0,0
ART, 012,003,LANG OF DRAW       ,"RODRIGUEZ, L E    ",6,5,2,3,1,0,0,0,0,0,0,0,0
ART, 013,001,LANG OF PAINTING   ,"MCNAMARA, J S     ",0,14,3,0,0,0,0,0,0,0,0,0,0
ART, 013,002,LANG OF PAINTING   ,"SCHNELL, K        ",0,15,2,0,3,2,1,0,0,0,0,0,0
ART, 014,001,LANG OF SCULPTURE  ,"REIMAN, B L       ",1,10,0,1,1,1,0,0,0,0,0,0,0
ART, 014,002,LANG OF SCULPTURE  ,"LINGER, D W       ",2,8,5,2,1,0,0,1,0,0,0,0,0
ART, 102,001,APPROACHES TO PTNG ,"INNIS, C          ",3,13,3,0,0,0,0,0,0,0,0,0,0
