Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
AEROSPC,135A,25525,002,Air Force Studies,Mary Holman,under,5,3,0,0,0,1,1,0,0,0,0,0,0,0,0
AEROSPC,1A,21256,001,Found Us Air Force,Shawn Whitney,under,0,15,0,0,1,0,0,0,0,0,0,0,1,0,0
AEROSPC,1A,25363,002,Found Us Air Force,Shawn Whitney,under,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0
AEROSPC,2A,21255,001,Evolut Of Air Power,Michael Kraft,under,1,15,5,0,1,0,0,0,0,0,0,0,0,1,0
AEROSPC,2A,25364,002,Evolut Of Air Power,Michael Kraft,under,1,9,2,1,2,0,0,0,0,0,0,0,0,1,0
AFRICAM,101,25666,001,Research Methods,Chiyuma Elliott,under,10,12,1,0,3,0,1,0,0,0,0,0,1,1,2
AFRICAM,111,30668,001,Race Class Gen U S,Stephen Small,under,2,11,14,16,7,0,1,0,0,0,0,0,1,6,1
AFRICAM,134,24653,001,Info Tech And Soc,Gladys Wilkerson,under,10,53,5,1,1,0,0,0,0,0,1,0,0,0,0
AFRICAM,150B,30675,001,Afriam Lit '20-Pres,Darieck Scott,under,0,13,9,5,3,0,0,0,0,0,1,0,0,6,2
AFRICAM,153C,24822,001,Toni Morrision,Darieck Scott,under,3,17,10,6,1,2,1,0,1,1,1,2,0,8,0
AFRICAM,164,24035,001,Spoken Word:  Oral,Aya De Leon,under,0,25,4,1,4,0,0,0,0,0,0,0,0,1,0
AFRICAM,195,19142,001,Senior Capstone,G Ugo Nwokeji,under,4,4,2,1,1,1,1,0,0,0,0,0,0,0,0
AFRICAM,27AC,24227,001,Lives/Strug/Maj Cul,Gladys Wilkerson,under,54,84,22,2,1,1,0,2,0,0,0,0,2,13,0
AFRICAM,4A,20857,001,Africa:  Hist & Cul,G Ugo Nwokeji,under,1,49,16,3,9,1,3,0,1,2,0,0,0,6,0
AFRICAM,5A,20868,001,Afam Life & Cul U S,Brandi Catanese,under,0,43,14,17,11,2,3,3,0,0,0,1,3,10,0
AFRICAM,C133A,30180,001,Race Urban Sch,Travis Bristol; Christian Gordon; Aukeem Ballard,under,15,3,7,7,2,0,1,0,0,0,0,0,1,2,2
AFRICAM,R1B,23564,002,Freshmn Composition,Nikki Jones; Demond Hill,under,0,13,0,0,4,0,1,0,0,0,1,0,0,0,0
