Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
OPTOM,440A,71318,002,Adv Optom Clinic,Christina Wilmer,grad,4,20,23,11,0,2,0,0,0,0,0,0,0,0,0
DATASCI,W203,53623,003,Explor/Analy Data,Ali Sanaei,grad,2,3,0,3,0,2,0,0,0,0,0,0,0,0,0
PB HLTH,292,80045,001,M.P.H. Seminar,Phuoc Le,grad,0,7,0,0,0,0,0,0,0,0,0,0,0,12,0
DATASCI,W210,53665,001,Capstone,Benjamin Gimpert,grad,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0
MUSIC,N299,67935,001,Special Study,Bonnie Wade,grad,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
EWMBA,252,20645,001,"Negot, Conflict Res",Holly Schroth,grad,1,10,18,15,9,1,1,0,0,0,0,0,1,0,0
DATASCI,W209,53635,001,Viz/Comm Data,Annette Greiner,grad,0,10,3,2,0,0,0,0,0,0,0,0,0,0,0
CY PLAN,N299,26035,001,Ind Stdy Or Res,Paul Waddell,grad,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0
DATASCI,W251,53725,003,Scaling Up Big Data,Dmitry Rekesh,grad,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0
MFE,230D,62610,001,Deriv: Quant Meth,Eric Reiner,grad,5,7,26,17,9,4,0,0,0,0,0,0,0,0,0
HMEDSCI,261,51720,001,Research Seminar,Colette Auerswald; Douglas Jutte,grad,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0
DATASCI,W207,53645,002,Applied Mach Learn,Todd Holloway,grad,0,12,1,0,0,0,0,0,0,0,0,0,1,0,0
EWMBA,290T,20668,001,Spec Top Inn/Desgn,Andrew Isaacs; Donald Proctor,grad,0,1,3,2,3,0,0,0,0,0,0,0,0,0,0
DATASCI,W201,53614,004,Res Dsgn Data Analy,Brooks Ambrose,grad,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0
MFE,230V,62630,001,Credit Rsk Modeling,Deepak Agrawal,grad,0,16,17,20,15,0,0,0,0,0,0,0,0,0,0
EDUC,241E,33955,001,Eng Lang Learners,Sahara Baquedano-Lopez,grad,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
SOC WEL,232,82830,001,Soc Work And Educ,Christina Feliciana,grad,0,6,1,1,0,0,0,0,0,0,0,0,0,4,0
PB HLTH,W206,80023,001,Mat&Child Nutrition,Cindy Leung,grad,0,11,9,4,5,0,0,0,0,0,0,0,0,0,0
DATASCI,W203,53624,004,Explor/Analy Data,Ali Sanaei,grad,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0
PB HLTH,W200E,80010,001,Hpm Breadth,Brent Fulton,grad,3,25,21,17,8,0,0,0,0,0,0,0,0,0,0
DATASCI,W241,53705,003,Exp & Causal Infer,Douglas Hughes,grad,2,8,2,1,0,0,0,0,0,0,0,0,0,0,0
PB HLTH,W200G,80015,001,Hsb Breadth,Charlotte Chang,grad,17,46,5,6,1,0,0,0,0,0,0,0,0,0,0
DATASCI,W205,53625,001,Stor/Retriev Dat,Arash Nourian,grad,4,3,5,1,1,0,0,0,0,0,0,0,0,0,0
EDUC,249C,33965,001,Foundations In Rdg,Stephanie Robillard,grad,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0
OPTOM,430A,71308,002,Optometry Clinics,Christina Wilmer,grad,0,0,15,37,5,1,0,0,0,0,0,0,0,0,0
DATASCI,W231,53680,002,Behind The Data,Anna Hoffmann,grad,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
EDUC,290C,34005,001,Sp Topic Sem:Dcemst,Elisa Salasin,grad,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0
EWMBA,200P,20615,011,Pfps,Clark Kellogg,grad,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0
PB HLTH,250A,80025,001,Epidemiolog Meth I,Michael Bates,grad,4,10,8,9,4,0,0,0,0,0,0,0,1,0,0
XMBA,296,21130,004,Topics In Bus Adm,Joshua Rauh; Veselina Dinova,grad,0,6,7,9,6,4,0,0,0,0,0,0,0,0,0
XMBA,290T,21035,001,Topics In Inno/Des,Andrew Isaacs; Donald Proctor,grad,0,6,4,10,1,0,0,0,0,0,0,0,0,0,0
DATASCI,W241,53700,002,Exp & Causal Infer,Katherine Krumme,grad,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0
EDUC,236A,33950,001,Science Educ Elem,Carrie Strohl,grad,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0
DATASCI,W203,53620,002,Explor/Analy Data,Blaine Robbins,grad,1,4,3,3,1,0,0,0,0,0,0,0,0,0,0
EWMBA,269,20655,001,Pricing,Wasim Azhar,grad,1,5,13,11,0,0,0,0,0,0,0,0,0,0,0
EDUC,460A,34185,001,School Site Mgt. I,Viet Nguyen,grad,0,20,2,1,0,0,0,0,0,0,0,0,0,0,0
PB HLTH,W204,80020,001,Mass Communication,Caricia Catalani,grad,25,12,3,0,0,0,1,1,0,0,2,0,0,0,0
HMEDSCI,201,51705,001,Hum Anat & Develop,Kamla Ahluwalia,grad,2,9,3,2,0,0,0,0,0,0,0,0,0,0,0
PB HLTH,W289,80030,001,Interdis Health,Robert Hosang,grad,54,5,4,0,0,0,0,0,0,0,0,0,0,0,0
PB HLTH,W258,80028,001,Globl Disaster Prep,Robyn Gershon,grad,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
EDUC,262H,33975,001,Urbschldship/Mgt 2,Rebecca Cheung,grad,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0
XMBA,201A,21010,001,Managerial Econ,Steven Tadelis,grad,1,12,13,19,13,8,2,1,0,0,0,0,0,0,0
