Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
AEROSPC,135B,57218,001,Air Force Studies,Alexander Simpson; Mack-jan Spencer; Mariko Boone,under,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0
AEROSPC,1B,57206,001,Found Us Air Force,Alexander Simpson; Mack-jan Spencer,under,4,11,4,1,1,0,0,1,0,0,0,0,0,0,0
AEROSPC,2B,57212,001,Evolut Of Air Power,Alexander Simpson; Mack-jan Spencer,under,0,5,1,3,7,0,2,0,0,0,0,0,0,0,0
AFRICAM,112B,00617,001,Pol/Eco Dev 3rd Wld,Kwame Nimako,under,2,13,21,4,1,2,0,1,0,0,0,0,0,0,0
AFRICAM,117,00626,001,Afric Am:Indust Age,Ula Taylor,under,0,6,5,1,2,2,0,3,2,1,1,1,2,3,0
AFRICAM,11B,00560,001,Elementary Swahili,David Kyeu,under,1,4,0,1,7,0,0,0,0,0,0,0,0,1,0
AFRICAM,122,00632,001,"Afam Family, Am Soc",Hardy Frye,under,5,10,1,5,4,3,5,2,1,4,0,0,1,3,0
AFRICAM,134,00636,001,Info Tech And Soc,Michel Laguerre,under,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0
AFRICAM,142AC,00788,001,Race/American Film,Michael Cohen,under,0,16,14,16,18,10,5,4,2,0,0,0,0,14,2
AFRICAM,153C,00641,001,Toni Morrision,Darieck Scott,under,3,5,3,5,2,1,1,0,0,0,0,0,0,5,0
AFRICAM,156AC,00644,001,Poetry 4 People:Int,Aya De Leon,under,6,25,4,3,1,1,0,0,0,0,0,0,2,2,1
AFRICAM,157,00670,001,Creative Writing,Darieck Scott,under,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0
AFRICAM,159,00677,002,Spec Top Afam Lit,Frederick Vincent,under,2,12,3,2,1,0,0,0,0,0,0,0,0,0,0
AFRICAM,173AC,00680,001,Gandhi: Cv Rts Amer,Purushottama Bilimoria,under,0,6,5,0,2,0,0,0,0,0,0,0,0,12,0
AFRICAM,197,00697,005,Field Study,Nailah Suad-Bakari,under,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
