Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
AFRICAM,R1A,00503,001,Fresh Composition,Aparajita Nanda,under,1,5,3,3,3,1,0,0,0,0,0,0,0,0,0
AFRICAM,4B,00515,001,Africa:  Hist & Cul,G. Ugo Nwokeji,under,2,19,20,12,4,7,2,2,2,0,0,1,0,3,0
AFRICAM,112B,00617,001,Pol/Eco Dev 3rd Wld,Tianna Paschel,under,3,29,14,7,5,2,2,1,1,0,1,0,0,5,0
AFRICAM,115,00625,001,Lang Soc Iss Africa,Sam Mchombo,under,7,18,4,0,2,1,0,0,0,0,0,0,0,0,0
AFRICAM,131,00638,001,"Carib Soc, Cultures",Michel Laguerre,under,1,15,3,3,0,0,0,0,0,0,0,0,0,0,1
AFRICAM,139,00641,001,Sel Top:Africam Soc,Jovan Lewis,under,2,8,1,3,7,0,0,1,0,0,0,0,1,3,1
AFRICAM,152F,00653,001,Neo-Slave Narrative,Darieck Scott,under,4,7,2,1,1,2,0,0,0,0,1,0,0,2,0
AFRICAM,153C,00656,001,Toni Morrision,Darieck Scott,under,5,11,1,2,5,1,0,0,0,0,0,0,0,3,0
AFRICAM,156AC,00659,001,Poetry 4 People:Int,Aya De Leon,under,1,12,9,5,5,5,0,0,1,0,0,0,0,3,0
AFRICAM,159,00673,001,Spec Top Afam Lit,Cara Stanley,under,1,1,5,3,2,3,0,0,0,0,0,0,0,2,0
ENVECON,C1,01203,001,Intro To Env Econ,Gordon Rausser,under,6,5,5,3,3,2,9,15,1,0,1,0,1,4,1
ENVECON,100,01218,001,Microecon Theory,Jeffrey Perloff,under,11,8,23,0,5,6,1,7,5,0,1,0,2,1,2
ENVECON,143,01278,001,Econ Of Innovation,Brian Wright,under,3,20,18,22,11,5,0,2,0,0,0,0,0,4,0
ENVECON,147,01281,001,Reg Of Energy & Env,Meredith Fowlie,under,5,13,8,8,11,2,4,0,0,0,0,0,1,0,1
ENVECON,C151,01290,001,Economic Develop,Benjamin Faber,under,1,0,5,10,6,3,1,0,0,0,0,0,0,1,0
ENVECON,162,01311,001,Econ Of Water Res,David Sunding,under,1,13,6,10,8,3,5,7,7,0,2,0,0,1,0
ENVECON,C181,01323,001,International Trade,Thibault Fally,under,1,2,0,8,8,11,4,2,0,0,0,0,0,0,0
AMERSTD,10,02003,001,Intro American Stdy,Christine Palmer; Kathleen Moran,under,3,5,4,3,9,7,6,3,0,0,0,0,1,1,2
AMERSTD,10,02018,002,Intro American Stdy,Justin Gomer,under,1,4,3,0,10,1,2,2,0,0,0,0,1,1,0
AMERSTD,102,02024,001,Us Cultures/Place,Alex Saragoza,under,1,8,9,5,4,2,0,0,0,0,0,0,0,3,0
ANTHRO,1,02303,001,Intro To Bio Anthro,Sabrina Agarwal,under,30,62,40,34,28,19,14,8,6,2,3,1,8,36,11
ANTHRO,2AC,02372,001,Intro Archaeology,Jun Sunseri,under,14,42,56,27,12,7,4,3,1,2,0,1,6,71,6
ANTHRO,3AC,02432,001,Intro Soc/Cult Ac,James Holston,under,46,201,59,38,21,8,1,2,3,0,0,0,3,54,4
ANTHRO,R5B,02528,001,Reading & Comp,Celise Chilcote; Corinne Hayden,under,3,4,4,1,0,1,0,0,0,0,0,0,1,0,0
ANTHRO,R5B,02531,002,Reading & Comp,Corinne Hayden; Michael D'Arcy,under,3,6,5,2,0,2,0,0,0,0,0,0,0,0,0
ANTHRO,R5B,02534,003,Reading & Comp,Corinne Hayden; Kirsten Vacca,under,2,14,1,0,1,0,0,0,0,0,0,0,0,0,0
ANTHRO,111,02606,001,Human Behavior,Terrence Deacon,under,9,13,13,12,10,10,6,3,0,0,0,0,5,20,7
ANTHRO,114,02612,001,Hist/Anthro Thought,Rosemary Joyce,under,36,49,20,7,7,1,0,2,1,0,1,0,0,2,1
ANTHRO,126M,02668,001,Geoarchaeology,Lisa Maher,under,5,5,2,3,1,0,0,0,0,0,0,0,0,0,0
ANTHRO,134,02678,001,Anal Archaeo Record,Kent Lightfoot,under,1,10,7,3,0,0,0,0,0,0,0,0,0,0,0
ANTHRO,137,02684,001,Energy/Cult/Soc Org,Laura Nader,under,16,23,24,10,8,4,4,0,0,0,0,0,0,4,0
ANTHRO,149,02693,001,Psychological Anth,Stefania Pandolfo,under,4,35,9,12,4,1,2,0,0,0,0,0,0,2,3
ANTHRO,179,02714,001,The Maya,William Hanks,under,8,15,19,15,5,2,5,0,1,1,1,0,5,15,1
ANTHRO,184,02716,001,South Asia,Lawrence Cohen,under,6,18,8,1,1,0,0,0,0,0,0,0,3,4,0
ANTHRO,189,02717,001,Spec Top:Soc/Cult,Corinne Hayden,under,6,18,4,6,3,2,0,1,0,0,0,0,0,1,0
ANTHRO,189,02719,002,Spec Top:Soc/Cult,Clara Mantini-Briggs,under,20,0,3,0,0,0,0,2,0,0,0,0,0,1,0
ARCH,11B,03753,001,Intro To Design,William Atwood,under,1,13,11,16,12,2,0,0,0,0,0,0,0,2,0
ARCH,100D,03858,003,Arch Design Iv,Sarah Hirschman,under,1,2,3,2,4,1,0,0,0,0,0,0,0,0,0
ARCH,100D,03861,004,Arch Design Iv,Keith Plymale,under,1,3,5,4,2,0,0,0,0,0,0,0,0,0,0
