Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
COLWRIT,9S,16000,004,Esp Pronunciation,Margi Wald; Melody Noll,under,0,5,4,0,1,0,1,0,0,0,0,0,0,1,0
COLWRIT,W9,11216,003,Esp Skills Online,Katherine Ha; Margi Wald,under,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3
UGBA,196,10140,004,Spec Topics Bus Adm,Ryan Sloan,under,0,12,13,2,0,0,0,0,0,0,0,0,0,0,0
ETH STD,197,11575,004,Field Study,Dewey St Germaine; Keith Feldman; Mitzi Iniguez,under,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1
GEOG,182,11651,001,Field Study Cities,Nathan Sayre; Seth Denizen,under,1,10,6,1,1,2,2,0,0,0,0,0,0,0,0
MUSIC,44,12448,001,Voice Class,Candace Johnson,under,8,12,2,0,0,0,0,0,0,0,0,0,0,3,0
SLAVIC,R5B,13177,003,Reading And Comp,Eric Naiman; Isobel Palmer,under,0,2,5,1,2,1,0,0,0,0,0,0,0,0,0
JOURN,120,14764,001,Invest Reporting,Emily Kehrt; Thomas Peele,under,10,15,14,4,7,2,0,0,0,0,0,0,0,0,0
AFRICAM,R1B,10770,001,Freshmn Composition,Leigh Raiford; Leigh Raiford; Zachary Manditch-Prottas,under,0,2,3,3,3,2,0,1,0,0,0,0,1,0,0
ARCH,11B,10660,001,Intro To Design,James Tate,under,1,2,9,2,2,1,1,0,0,0,0,0,0,0,0
INTEGBI,132,11858,001,Surv Human Physiol,Nidhi Ahuja,under,0,0,0,2,2,4,1,5,2,1,0,0,1,0,1
UGBA,165,10125,001,Advertise Strategy,William Fanning,under,0,4,11,1,3,5,1,1,3,0,0,0,0,4,0
CLASSIC,N28,11086,001,Classic Myths,Kristina Chew,under,0,12,11,8,7,1,0,1,0,0,0,0,0,2,0
MATH,54,12146,006,Lin Alg & Diff Eqns,Patrick Lutz; Richard Borcherds,under,2,7,4,3,5,3,3,0,2,1,1,0,4,2,2
UGBA,120AA,10099,002,Int Fin Acct 1,Francis Stanton,under,4,6,1,1,1,2,0,0,0,0,1,0,0,0,0
ASTRON,10,10980,002,General Astronomy,Bryan Mendez,under,0,3,14,8,1,5,0,0,0,0,0,1,1,3,1
MEC ENG,40,14388,001,Thermodynamics,David Rich; David Rich,under,2,2,6,0,2,5,3,1,2,0,1,0,0,0,0
UGBA,115,15933,1,Competitivestrategy,Mario Alvarez,under,1,4,0,1,4,2,2,4,3,1,0,0,1,0,0
COLWRIT,9A,11218,002,Esp Acad Research,Carolyn Carr; Margi Wald,under,0,2,1,4,1,4,0,1,1,0,1,0,0,0,0
INTEGBI,41,11835,001,Marine Mammals,Timothy Markowitz,under,1,5,3,2,2,5,0,1,0,0,1,0,0,13,1
STAT,134,13299,001,Concepts Of Prob,Seema Singh Saharan; Seema Singh Saharan,under,3,14,9,6,12,9,7,11,4,0,2,0,0,5,4
COLWRIT,9N,11246,002,Esp Legal English,Margi Wald; Marvin Schwartz,under,2,7,0,6,3,0,0,0,1,0,0,0,0,0,0
MATH,113,12190,002,Abstract Algebra,Alexander Paulin,under,7,9,3,7,5,2,0,3,1,0,0,0,3,1,2
COLWRIT,9N,11247,003,Esp Legal English,M Catherine Beck; Margi Wald,under,1,13,3,0,0,0,0,1,0,0,0,0,0,0,0
HISTORY,N160,11795,001,Mod Internatl Econ,Andrej Milivojevic,under,0,4,3,1,5,5,1,4,1,0,1,0,2,0,1
ASAMST,R2A,10954,002,Reading&Composition,Khatharya Um; Ramya Janandharan,under,0,3,7,6,0,0,0,0,0,0,0,0,0,0,0
HISTART,N107,15542,001,Images And The Law,Gregory Levine; Katherine Mintie,under,0,5,3,5,3,0,0,1,1,0,1,0,0,0,0
SOC WEL,110,14934,001,Soc Wk As A Prof,Christina Feliciana,under,0,39,2,2,1,0,0,0,0,0,0,0,0,0,0
COLWRIT,7E,11197,002,Environmt & Culture,Margi Wald; Michele Rajotte,under,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
AMERSTD,10,15766,001,Intro American Stdy,Shannon Steen,under,2,0,3,1,3,2,0,0,0,0,0,0,0,0,0
CHEM,3A,10207,001,Chem Struct React,Anjum Sareshwala; Steven Pedersen,under,5,32,25,33,54,29,40,38,39,0,6,0,27,0,7
MATH,1A,12088,001,Calculus,Hong Suh; Richard Borcherds,under,4,3,5,3,5,3,5,2,0,0,4,0,1,1,1
ETH STD,147AC,11567,001,Women/Color In Us,Laura Perez,under,2,5,1,2,0,0,0,0,0,0,0,0,1,3,0
COLWRIT,6E,11157,001,Esl Grammar Editing,Margi Wald; Teri Crisp,under,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
INTEGBI,116L,11846,001,Medical Parasit,John Sullivan; Judith Sakanari,under,1,7,3,6,1,2,2,1,2,1,0,0,1,2,0
ARCH,11A,10657,001,Intro Vis Rep Draw,Darell Fields,under,0,0,3,0,2,4,0,1,0,1,0,0,2,0,0
UGBA,101B,10062,002,Macroeconomics,Steven Wood,under,1,10,12,18,8,12,13,7,15,0,10,0,9,1,3
CIV ENG,130N,13928,001,Mech Of Structures,Maryam Tabbakhha,under,11,5,4,1,1,0,1,0,1,0,0,0,1,0,0
UGIS,W157,13377,006,Experiential Learn,Joel Clark,under,0,6,3,0,0,0,0,0,0,0,0,0,1,5,1
CHICANO,110,11050,001,Latina/O Phil & Rel,Lara Medina,under,0,8,3,3,0,0,0,0,0,0,0,0,0,0,0
UGBA,106,10093,004,Marketing,David Robinson,under,1,5,1,12,8,8,7,10,4,0,0,0,0,3,0
FRENCH,R1B,11617,001,Eng Com With Fr Lit,Sokrat Postoli; Susan Maslan,under,0,4,5,3,1,0,0,0,2,0,0,0,0,0,0
SPANISH,1,13250,002,Elem Spanish,Felix Trevino; Miriam Hernandez-rodriguez,under,1,2,1,1,4,4,0,0,0,0,0,0,0,4,1
ARABIC,10,10934,001,Intens Elem Arabic,Amel Belguith,under,0,6,0,0,1,0,0,1,0,0,0,0,0,2,0
ENGLISH,R1B,15753,002,Reading And Comp,Jennifer Lorden; Mitchell Breitwieser,under,0,6,4,0,3,0,0,0,0,0,0,1,1,0,0
PHYSICS,7B,12699,001,Scient Engin Phys,Raul Hennings Yeomans,under,3,1,12,14,1,9,10,0,8,2,0,1,1,2,1
COG SCI,C101,11109,001,Mind And Language,Patricia Lichtenstein,under,1,6,3,4,0,0,2,0,0,0,0,0,1,0,0
MATH,54,12141,001,Lin Alg & Diff Eqns,Onyebuchi Ekenta; Richard Borcherds,under,3,6,3,3,3,1,2,2,1,3,1,0,4,0,3
COLWRIT,9E,11229,004,Esp Business Engl,Janet Christensen; Margi Wald,under,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0
MEC ENG,C85,15113,001,Intro Solid Mechncs,Abdulrahman Jbaily; Abdulrahman Jbaily; Tony Keaveny,under,1,1,1,3,1,5,0,1,1,0,1,0,0,0,0
ETH STD,N194,16122,001,Transfer Student Tr,Luisa Giulianetti,under,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0
UGBA,193I,10135,001,Business Abroad,David Rochlin,under,0,3,12,5,0,0,0,0,0,0,0,0,0,6,0
COG SCI,N1,11104,002,Intro To Cog Sci,Paul Li; Paul Li,under,2,8,9,6,12,3,0,1,2,1,0,0,1,1,0
MATH,54,12143,003,Lin Alg & Diff Eqns,Hossein Heidari; Richard Borcherds,under,2,6,5,4,10,2,2,1,3,0,0,0,1,2,1
COLWRIT,9I,11237,001,Esp Conflict Res,Margi Wald; Melody Noll,under,0,8,0,1,4,2,0,0,1,0,0,0,0,0,0
UGBA,102A,10068,003,Intro Fin Account,John Briginshaw,under,5,13,6,10,7,5,3,1,2,0,0,0,0,0,0
PHYSICS,7A,12690,001,Scient Engin Phys,William Golightly,under,3,12,10,7,10,5,4,3,4,0,0,1,4,0,0
EPS,3,15385,001,Water Planet,Naama Raz Yaseef,under,3,4,5,1,0,0,1,1,1,0,0,0,0,6,2
SOCIOL,190,15540,001,Sem & Res In So,Joshua Seim; Michael Burawoy,under,0,9,10,10,3,2,0,0,0,0,0,1,0,0,0
COLWRIT,9F,11232,002,Esp Business Speak,Elizabeth Wadell; Margi Wald,under,1,12,0,0,0,0,0,1,1,0,0,0,0,0,0
PSYCH,W1,12915,001,General Psychology,Catherine Anicama; John Kihlstrom,under,0,27,9,7,7,10,6,7,0,0,1,0,0,52,4
IND ENG,185,14336,001,Challenge Lab,Kenneth Singer,under,12,37,9,1,1,0,0,0,0,0,0,0,0,2,0
PHYSICS,8B,12734,001,Intro Physics,Terrence Buehler,under,3,15,10,16,18,9,12,11,10,0,4,0,1,2,2
COMPSCI,N10,15963,001,Beauty Joy Computng,Carlos Flores,under,4,3,1,2,3,1,1,1,0,0,0,0,0,10,1
UGBA,106,10092,003,Marketing,David Robinson,under,1,1,4,5,6,8,10,12,6,0,0,0,1,2,0
RHETOR,153,15073,001,American Politics,Norman Dale Carrico,under,1,3,5,4,1,0,0,1,0,0,0,0,0,1,1
GERMAN,R5B,11733,003,Reading And Comp,Deniz Gokturk; Jennifer Ingalls,under,0,4,8,2,2,0,0,0,0,0,0,0,0,0,0
UGBA,102B,10076,001,Intro Manager Acct,Dennis Geyer,under,4,8,8,6,9,0,3,1,1,0,0,0,0,0,0
PB HLTH,150D,14840,001,Intro Hlth Pol Mgt,Robin Flagg,under,5,21,28,13,3,13,4,1,0,0,0,0,1,1,1
UGBA,126,15545,002,Auditing,Tiffany Rasmussen,under,0,5,6,0,2,0,1,1,0,0,0,0,0,0,0
CHM ENG,160,10587,001,Chem Process Design,P. Henrik Wallman,under,0,2,1,3,3,1,1,0,0,0,0,0,0,0,0
GERMAN,R5B,11731,001,Reading And Comp,Deniz Gokturk; Seth Meyer,under,0,5,7,4,1,1,0,0,0,0,0,0,0,0,0
MEC ENG,132,14406,001,Dyn System/Feedback,George Anwar; George Anwar,under,1,5,0,2,4,1,0,0,1,0,0,0,0,0,0
COLWRIT,7K,15999,003,Humor & Us Culture,Brandon Spars; Margi Wald,under,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
UGIS,W158,13411,012,Global Citizenship,Jeroen Dewulf,under,0,13,0,1,0,0,0,0,0,0,0,0,0,2,1
CLASSIC,10B,11084,001,Intro Roman Civ,Dylan Sailor; Kevin Moch,under,1,10,5,0,2,1,0,0,0,0,0,0,1,2,0
COLWRIT,9B,11220,001,Esp Acad Vocab,James Seger; Margi Wald,under,0,14,0,1,1,0,0,0,0,0,0,0,0,1,0
SPANISH,3,13255,001,Intermed Spanish,Justin Berner; Miriam Hernandez-rodriguez,under,1,0,3,0,6,0,0,0,0,0,0,0,0,8,0
AFRICAM,R1B,10771,002,Freshmn Composition,Aparajita Nanda,under,0,5,4,3,1,0,0,0,0,0,0,0,2,0,0
BIOLOGY,1A,11003,001,General Biology Lec,Erol Kepkep; James Baxter; Mark Barnby; Michael Meighan,under,2,14,14,10,15,22,15,19,15,0,1,0,4,3,2
ASAMST,138,10960,001,Topics Asn Pop Cult,Hannah Michell,under,3,0,7,0,0,0,0,0,0,1,0,1,0,1,0
COLWRIT,9E,16002,006,Esp Business Engl,Kyle Ridley; Margi Wald,under,0,1,11,1,0,0,0,0,0,0,0,0,0,1,0
PSYCH,136,12969,001,Human Sexuality,Christopher Adalio; James McHale; Lauren Weittenhiller,under,0,34,3,0,5,0,0,2,0,0,0,0,4,3,0
HISTART,R1B,11764,001,Visual Experience,Gregory Levine; Rebecca Whittington,under,0,4,3,4,2,0,0,0,1,0,0,0,0,0,0
ETH STD,N180,11568,001,Sel Top Es Std Abrd,Ramon Grosfoguel,under,3,25,3,4,1,0,0,0,0,0,0,0,0,1,0
JOURN,100,15650,003,News Reporting,Danielle Parenteau Decker; Gary Moskowitz,under,0,2,5,5,1,0,0,1,0,0,0,0,1,1,3
SPANISH,122,13266,001,Spanish Civilizatn,Michael Iarocci,under,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0
MUSIC,44,12450,003,Voice Class,Candace Johnson,under,5,7,0,2,1,0,0,0,0,0,0,0,1,2,0
MATH,54,12145,005,Lin Alg & Diff Eqns,Kyle Russ-navarro; Richard Borcherds,under,1,7,4,6,6,2,2,3,0,1,0,0,3,1,1
GERMAN,R5B,11734,004,Reading And Comp,Deniz Gokturk; Scott Shell,under,0,7,3,1,2,0,0,0,0,0,0,0,0,0,0
MUSIC,140,12469,001,Javanese Gamelan,Midiyanto Midiyanto,under,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
INTEGBI,C156,15251,002,Prin Conserv Biol,Gregory Biging; Jean Erick Rakotoarisoa,under,0,10,2,2,4,1,0,0,0,0,1,0,0,0,0
ANTHRO,169B,10858,001,Res Theo/Meth Soc,Samuele Collu,under,0,9,5,2,0,2,0,0,0,0,0,0,0,0,1
UGBA,152,15611,002,Negotiation,Edward Kass,under,0,10,12,3,2,0,0,0,0,0,0,0,0,4,0
MATH,53,12129,003,Multivar Calculus,Arash Farahmand,under,8,5,6,3,5,1,1,2,1,0,5,0,0,0,1
INFO,W18,14749,002,Python For Data Sci,Denis Vrdoljak; Denis Vrdoljak,under,3,3,0,0,0,0,0,0,0,0,0,0,0,1,4
