Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
AFRICAM,4A,10140,001,Africa:  Hist & Cul,G. Ugo Nwokeji,under,2,1,1,1,3,0,1,0,0,0,0,0,0,1,0
AFRICAM,4B,10150,001,Africa:  Hist & Cul,Arif Gamal,under,4,10,9,5,2,1,0,0,0,0,0,0,1,1,0
AFRICAM,115,10175,001,Lang Soc Iss Africa,Sam Mchombo,under,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0
AFRICAM,W124,10180,001,Pol Phil M L King,Charles Henry,under,5,8,4,1,1,0,0,1,2,0,1,0,3,14,9
AMERSTD,101AC,11505,001,Us Cultures In Time,Justin Gomer,under,1,8,2,1,1,1,2,0,0,0,0,0,0,2,0
AMERSTD,182E,11513,001,Sf Urban Field Geog,Paul Groth,under,1,19,2,0,1,0,0,0,0,0,0,0,0,3,0
AMERSTD,188E,11535,001,Sports & Am Culture,George Thomas; Kathleen Moran,under,5,15,11,2,0,0,1,2,0,1,1,1,2,18,0
AMERSTD,188F,11540,001,Amer. Pop. Music,Timothy Rowe,under,9,13,5,7,10,0,4,13,5,0,3,0,6,26,0
AMERSTD,188G,11545,001,Pop Culture: Shop,Kristen Loutensock,under,1,30,11,9,14,0,0,0,0,0,0,0,2,26,0
ANTHRO,1,12105,001,Intro To Bio Anthro,Sabrina Agarwal,under,7,7,5,4,3,0,0,0,0,0,0,0,0,1,0
ANTHRO,2AC,12130,002,Intro Archaeology,Kimberly Christensen,under,7,8,3,2,1,0,0,1,3,0,0,0,0,0,0
ANTHRO,3AC,12185,001,Intro Soc/Cult Ac,Arpita Roy,under,2,10,11,10,5,2,0,1,0,0,0,0,1,2,0
ANTHRO,R5B,12215,003,Reading & Comp,Jerry Zee; Mary Berry,under,1,6,2,0,1,0,0,1,0,0,0,0,2,0,0
ANTHRO,105,12230,001,Primate Evolution,Kathaeryne Soluri,under,3,7,5,0,0,1,2,0,0,0,0,0,0,3,0
ANTHRO,106,12235,001,Primate Behavior,Stephanie Etting,under,1,6,1,0,2,1,1,1,0,0,1,0,0,1,1
ANTHRO,114,12240,001,Hist/Anthro Thought,Arpita Roy,under,2,26,9,4,0,1,0,1,0,0,0,0,0,2,0
ANTHRO,119,12265,002,Med Anthro Topics,Christopher Roebuck,under,4,5,3,3,0,0,1,0,0,0,0,0,2,0,1
ANTHRO,121AC,12270,001,Amercn Materl Cultr,Kimberly Christensen,under,6,6,1,0,0,0,0,0,0,0,0,0,0,3,0
ANTHRO,134A,12290,001,Archeo Field Meth,Laurie Wilkie,under,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0
ANTHRO,140,12295,001,Anthro Of Food,Mio Owens,under,1,10,4,1,0,0,0,0,0,0,0,0,1,0,0
ANTHRO,169B,12303,001,Res Theo/Meth Soc,Jason Price,under,1,2,5,1,0,0,0,0,0,0,0,0,0,1,0
ARABIC,10,13005,001,Intens Elem Arabic,Soufiane Chami,under,2,3,0,1,0,0,0,0,0,0,0,0,0,7,0
ARCH,101,13330,002,Case Stds In Arch,Mark Anderson,under,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCH,108,13340,001,Arch Internship,Mark Schatz,under,1,15,3,0,0,0,0,0,0,0,0,0,0,3,0
ARCH,124B,13375,002,3-D Computer Tech,Carlos Sandoval Olascoaga,under,1,3,0,1,0,0,0,0,1,0,0,0,1,4,1
ARCH,149,13405,001,Spec Top Erg Envir,Brendon Levitt,under,4,10,6,1,0,0,0,0,1,0,0,0,0,2,0
ART,8,14005,001,Intro Vis Thinking,Erin Johnson,under,4,7,10,0,1,0,0,0,0,0,0,0,0,0,0
ART,8,14010,002,Intro Vis Thinking,Drucilla Anderson,under,12,7,1,0,1,0,0,0,0,0,0,0,0,0,0
ART,8,14015,003,Intro Vis Thinking,Sean Talley,under,4,11,3,1,0,0,0,0,0,0,0,0,0,4,1
ART,8,14020,004,Intro Vis Thinking,Sahar Khoury,under,4,14,3,1,0,0,0,0,0,0,0,0,0,0,0
ART,12,14025,001,Lang Of Draw,Indira Morre,under,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0
ART,12,14030,002,Lang Of Draw,Dusadee Huntrakul,under,3,5,0,1,0,0,0,0,0,0,0,0,0,1,0
ART,W23AC,14035,001,American Cybercultr,Greg Niemeyer,under,23,23,2,0,1,0,0,0,0,0,0,0,1,18,2
ART,102,14045,101,Approaches To Ptng,Alicia Mccarthy,under,16,2,1,0,0,0,0,0,0,0,0,0,0,1,0
ART,132,14060,001,App To Sculp Ceram,Ehren Tool,under,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0
HISTART,R1B,14610,002,Visual Experience,Marcelo Sousa; Margaretta Lovell,under,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0
ASAMST,R2B,15240,002,Reading&Composition,Anna Leong; Margaret Rhee,under,1,10,0,1,0,0,0,0,0,0,0,0,1,0,1
ASAMST,121,15255,001,Chinese Amer Hist,Harvey Dong,under,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0
ASAMST,124,15260,001,Filipino Amer Hist,Maria Barrios-Leblanc,under,3,12,1,0,0,1,0,0,0,0,0,0,0,0,0
ASAMST,138,15265,001,Topics Asn Pop Cult,Hannah Michell,under,4,5,0,4,2,1,0,0,0,0,0,0,0,0,0
