Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
AFRICAM,125AC,14307,001,Hist Mod Civ Rt Mov,Ula Taylor,under,2,62,15,14,13,2,7,5,0,1,5,0,5,33,7
AFRICAM,127,15978,001,Pan Afrikan Social,G Ugo Nwokeji,under,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AFRICAM,136L,13409,001,Criminal Jus Sur Am,Nikki Jones,under,0,14,6,9,9,4,1,5,3,0,3,0,4,9,9
AFRICAM,139L,14308,001,Spec Top Race Law,Frederick Vincent,under,8,13,0,1,1,0,0,0,0,0,0,0,3,1,0
AGRS,10A,13549,001,Intro Ancnt Greece,Alice Chapman,under,0,13,2,0,0,1,1,0,0,1,0,0,0,2,0
AGRS,N172A,14471,001,Arch Fld Schl Nemea,Kim Shelton,under,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0
AGRS,N28,14472,001,Greek & Roman Myths,Kristina Chew,under,0,9,6,3,2,1,0,0,0,0,0,0,2,3,0
AMERSTD,10,15461,001,Intro American Stdy,Bryan Wagner,under,0,34,0,6,15,0,3,1,0,0,0,0,5,12,0
AMERSTD,101,13460,001,Us Cultures In Time,Christine Palmer; Bryan Wagner,under,0,8,5,5,7,7,0,2,0,0,0,0,2,2,0
ANTHRO,122H,15417,001,Afr Am Archaeology,William White,under,0,18,0,0,1,0,0,1,0,0,0,0,0,0,0
ANTHRO,136B,15706,001,Museum Methods,Christopher Lowman,under,13,4,0,0,1,0,0,0,0,0,0,0,0,0,0
ANTHRO,150,15529,001,Utopia: Art & P,Alexei Yurchak,under,2,6,1,2,1,0,0,0,0,0,0,0,0,0,0
ANTHRO,166,14218,001,"Lang,Culture,Socity",Brian Karl,under,1,1,3,0,0,0,0,0,2,0,0,0,3,0,0
ANTHRO,171,15418,001,Japan,Mikiko Soga,under,4,13,0,1,1,1,0,0,0,0,0,0,0,0,0
ANTHRO,2AC,14363,001,Intro Archaeology,Christopher Lowman,under,19,31,7,1,1,1,1,0,0,0,0,0,4,2,0
ANTHRO,3AC,14215,001,Intro Soc/Cult Ac,Brian Karl,under,12,28,19,7,4,2,1,0,0,0,1,0,0,1,0
ANTHRO,R5B,15428,001,Reading & Comp,Venicia Slotten; Rosemary Joyce; Elizabeth Dresser-Kluchman,under,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
ANTHRO,R5B,15429,002,Reading & Comp,Rosemary Joyce; Elizabeth Dresser-Kluchman,under,3,4,0,2,0,1,0,0,0,0,0,0,2,0,0
ARCH,108,15128,001,Arch Internship,Mark Schatz,under,0,15,2,1,0,0,0,0,0,0,0,0,0,0,0
ARCH,124A,15149,001,Digital Dsgn Methds,Floor van de Velde,under,8,6,0,0,0,0,0,0,0,0,1,0,0,1,1
ARCH,125A,15104,001,Bldng Info Tech,Christina Lin; John Schlueter,under,0,1,1,1,1,0,2,0,1,0,0,0,1,3,1
ARMENI,128,14066,001,Armeni Art Culture,Tamar Boyadjian,under,5,6,0,0,0,0,0,0,0,0,0,0,0,3,0
ART,119,14222,002,Gpca,Sholeh Asgary,under,10,3,0,0,0,1,0,0,0,0,0,0,0,2,0
ART,12,14221,002,Drawing: Fdns,Fred Dewitt,under,3,7,4,0,0,0,0,0,0,0,0,0,0,2,0
