Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
AFRICAM,125AC,16034,001,Hist Mod Civ Rt Mov,Gabriel Regalado; Kianna Middleton; Nicole-Marie Cotton; Ula Taylor,under,5,10,15,9,13,12,13,7,5,2,2,2,6,60,17
AFRICAM,136L,16035,001,Criminal Jus Sur Am,Kenly Brown; Ula Taylor,under,0,9,1,1,2,2,0,0,0,0,0,0,0,0,0
AFRICAM,139L,16036,001,Spec Top Race Law,Frederick Vincent,under,1,10,2,1,0,0,0,0,0,0,1,0,0,1,1
AFRICAM,159,14196,001,Spec Top Afam Lit,Frederick Vincent,under,2,19,6,0,0,0,0,0,0,0,1,0,0,1,0
AFRICAM,39D,13160,001,Fresh/Soph Seminar,Cara Stanley,under,0,1,2,4,5,2,2,1,0,0,0,0,0,2,0
AFRICAM,39E,13161,001,Fresh/Soph Seminar,Gabriel Regalado; Ula Taylor,under,0,4,4,3,3,0,0,1,0,0,0,0,0,0,0
AFRICAM,R1B,13158,001,Freshmn Composition,Ula Taylor; Zachary Manditch-Prottas,under,0,2,2,4,1,0,0,0,0,0,0,1,0,0,0
AFRICAM,R1B,13159,002,Freshmn Composition,Aparajita Nanda,under,0,5,4,4,2,0,1,1,0,0,0,0,0,0,0
AFRICAM,W111,13162,001,"Race, Class & Gen",Elizabeth Hunter; Mariko Pegs; Stephen Small,under,0,16,11,11,0,1,0,0,0,0,0,0,0,25,3
AMERSTD,101AC,14166,001,Us Cultures In Time,Robert Nelson,under,4,3,9,1,3,3,3,0,0,1,0,0,2,2,0
ANTHRO,1,13171,001,Intro To Bio Anthro,Katrina Eichner,under,1,5,2,3,2,1,2,0,0,0,0,0,0,0,0
ANTHRO,112,13184,001,Sp Topics: Bio Anth,Celise Chilcote,under,0,7,1,4,4,1,1,2,0,0,0,0,0,1,0
ANTHRO,122B,15086,001,Culture Contact: Na,Katrina Eichner,under,4,4,3,0,1,2,0,0,1,0,0,0,0,0,0
