Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
XENGLIS,R1A,32709,011,Reading And Comp,Mary Miller,under,0,0,0,5,5,2,1,1,0,0,0,0,1,0,0
GWS,195,19399,001,Senior Seminar,Jocelyn Saidenberg; Melinda Chen,under,4,2,3,3,0,0,0,2,0,0,0,0,0,0,1
L & S,1W,24755,001,Liberal Arts,Alix Schwartz,under,0,0,0,0,0,0,0,0,0,0,0,0,0,57,9
COM LIT,171,21437,001,Modern Greek Lit,Maria Kotzamanidou,under,0,12,2,0,0,0,0,0,0,0,0,0,0,1,0
ENGLISH,R1B,21669,008,Reading And Comp,Carla Serpell; Laura Ritland,under,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMENI,1A,21117,001,Intro Armenian,Myrna Douzjian,under,0,9,1,0,0,0,0,0,0,0,0,0,0,2,0
AFRICAM,198,20894,002,Directed Group Stdy,Ula Taylor,under,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
PHYS ED,32,23642,001,Fitness: Phs Ada/Ex,Sue Johannessen,under,1,14,7,5,4,2,2,2,0,0,0,0,0,25,1
NUSCTX,171,26980,001,Nutr And Tox Lab,Han Xiao; Marta Vuckovic,under,7,9,0,0,1,0,0,0,0,0,0,0,0,0,0
THEATER,119,23939,001,Performance Theory,Brandi Catanese,under,0,8,12,6,5,0,2,0,1,0,0,0,1,1,0
SLAVIC,100,30920,001,Sem Rus E Eur Euras,Darya Kavitskaya,under,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0
SPANISH,25,24012,005,Read And Analysis,Alexandra Saum Pascual; Jose Patino Romero,under,0,9,5,3,1,0,2,0,0,0,0,0,0,2,0
UGBA,120B,20006,001,Adv Fin Accounting,Francis Stanton,under,2,5,3,0,2,0,0,0,0,0,0,0,0,7,0
BIO ENG,150,27331,001,Intro To Bio & Bion,Seung-Wuk Lee,under,9,21,0,19,10,0,0,3,0,0,0,0,0,5,0
ENGLISH,166,26454,003,Special Topics,Cecil Giscombe,under,0,10,4,1,0,0,0,0,0,0,0,0,0,0,0
CHINESE,10X,25248,001,Int Chinese Mandar,Li Liu,under,0,8,3,1,1,0,0,0,0,0,0,0,0,2,0
MCELLBI,90A,19208,002,Freshman Seminars,Jeremy Thorner,under,2,3,3,3,2,0,0,0,0,0,0,0,0,0,0
MAT SCI,45L,28339,104,Prop Of Mats L,Anshu Agarwal; Dhananjay Kamat; Lane Martin,under,2,22,0,2,5,0,1,1,0,0,1,0,0,0,0
CHEM,32,20492,001,Prep For Gen Chem,Alexis Shusterman; Emma Berger,under,0,0,0,0,0,0,0,0,0,0,0,0,0,64,9
GWS,111,26456,001,Special Topics,Natalia Duong,under,3,7,4,1,0,0,0,0,0,0,0,0,0,0,0
PHILOS,98BC,19231,002,Directed Group Stud,Lara Buchak,under,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
GPP,115,22008,001,Global Poverty,Fatmir Haskaj; James Delong,under,15,45,129,35,30,8,3,1,0,0,0,0,1,58,5
JAPAN,1A,22249,004,Elementary Japanese,Hayato Saito,under,0,2,2,0,1,0,0,0,0,0,0,0,0,7,3
GEOG,C148,26430,001,Biogeography,Jeffrey Chambers; Rosemary Gillespie,under,1,4,5,3,3,1,0,0,0,0,0,0,0,0,0
PHYS ED,4,23101,003,Pe Activities,Elmar Stefke,under,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0
PHYS ED,2,23414,011,Pe Activities,Jason Britton,under,1,8,0,0,0,0,0,0,0,0,0,0,0,4,0
PHYS ED,4,23102,080,Pe Activities,Lon Rork,under,0,3,0,0,1,0,0,0,0,0,0,0,0,23,1
PHYSICS,137A,23384,001,Quantum Mechanics,Dan Stamper-Kurn,under,2,13,10,6,6,2,3,3,1,0,1,0,5,3,3
AMERSTD,101AC,25466,001,Us Cultures In Time,Michael Cohen,under,0,10,18,5,3,0,0,2,0,0,0,1,0,7,1
ENGLISH,120,31155,001,Lit Later 18th Cent,Joanna Picciotto,under,0,7,7,4,2,0,0,0,0,0,0,0,0,0,0
ETH STD,175,21926,001,Lit From Eth Mvmts,Gregory Choy,under,1,17,6,1,1,0,0,0,0,0,0,0,0,2,0
UGIS,188,24087,001,Research Methods,Elisa Stone; Elizabeth Gerard,under,0,21,2,0,1,0,0,0,1,0,0,0,0,0,0
PB HLTH,162A,29515,001,Pub Hlth Microbiol,Diana Holden; Eduardo Lujan; Eva Harris; Fenyong Liu; Sarah Stanley,under,20,67,29,28,13,5,10,10,5,0,2,0,1,0,0
CHM ENG,180,31714,001,Chem Eng Economics,Gregory Schoofs,under,0,3,1,4,1,4,2,0,0,0,0,0,0,0,0
PB HLTH,196,16949,003,Spec Topics Pb Hlth,Hannah Mack; Kevin Williams,under,3,47,6,0,1,0,0,0,0,0,1,0,1,0,0
PHYS ED,2,26031,032,Pe Activities,Dini Wong,under,0,4,0,0,0,0,0,0,1,0,0,0,1,14,2
HISTART,185A,31050,001,Amer Art From 1800,Margaretta Lovell,under,0,4,7,3,3,3,0,2,1,0,0,0,1,4,2
HISTART,134C,30986,001,Modern Buddhist Art,Gregory Levine,under,0,5,9,2,0,0,0,0,0,0,0,0,0,2,0
SPANISH,1,24126,004,Elem Spanish,Alejandro Munera; Miriam Hernandez-Rodriguez,under,0,3,2,3,1,0,0,0,0,0,0,0,0,7,2
ENVECON,100,26739,001,Microecon Theory,Leo Simon,under,5,17,18,13,15,3,2,4,2,0,2,0,2,1,0
CLASSIC,39K,32530,001,Ancient Travel,J Pena,under,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0
ENGLISH,166,26098,001,Special Topics,Poulomi Saha,under,5,12,1,0,0,0,0,0,0,0,0,0,0,1,0
SOCIOL,198,23770,015,Directed Group Stdy,Laura Enriquez,under,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1
HISTORY,12,26217,001,The Middle East,Ussama Makdisi,under,2,14,19,9,4,2,1,1,0,0,0,0,0,18,1
COLWRIT,R1A,33814,024,College Writing 1a,Lindsey Lanfersieck,under,0,1,7,4,2,0,0,0,0,0,0,0,0,0,0
PUB POL,190,17505,007,Spec Topics Pub Pol,Anibel Ferus-Comelo,under,0,12,2,2,0,2,0,1,0,0,1,0,2,0,1
ART,8,21119,001,Intro Vis Thinking,Anne Walsh,under,20,38,11,3,1,0,0,0,0,0,0,0,0,1,1
ENV DES,4A,20594,001,Design And Activism,Achvabenzinberg Stein; Elena Bouton; Elnaz Tafrihi; Greg Castillo; Marcus Owens,under,1,96,44,5,1,3,4,0,0,0,0,0,2,7,1
INTEGBI,137,22135,001,Human Endo,Tyrone Hayes,under,7,7,1,1,7,0,0,9,0,0,0,2,1,6,2
COLWRIT,R4B,24921,013,"Read,Comp,Research",Caroline Cole,under,0,2,3,2,2,0,2,1,0,0,0,0,0,0,0
UGBA,101A,19991,001,Microeconomic Analy,Todd Fitch,under,0,15,36,11,24,9,5,6,2,0,0,0,2,4,1
LEGALST,190,31373,005,Topics In Law/Soc,Mallika Kaur,under,1,6,0,5,2,2,0,0,0,0,0,0,0,0,0
GLOBAL,10B,25232,001,Issues Global Stud,Darren Zook,under,3,17,8,13,19,3,0,1,1,0,0,0,1,4,1
SCANDIN,R5B,23711,001,Reading & Comp,Jonas Wellendorf; Sarah Eriksen; Timothy Waters,under,1,5,4,1,2,0,0,1,1,0,0,0,0,0,0
ASAMST,W20AC,25312,001,As Am Comm Race Rel,Harvey Dong,under,0,54,9,1,9,1,0,0,6,0,0,0,2,47,4
PHYS ED,1,23448,038,Pe Activities,Sue Johannessen,under,0,15,0,0,0,0,0,0,0,0,0,0,0,9,3
XENGLIS,R1B,29741,003,Reading And Comp,Catherine Hollis,under,0,9,7,1,0,0,0,0,0,0,0,0,0,0,0
AMERSTD,24,25285,001,Freshman Seminar,Richard Hutson,under,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
CHM ENG,162,20386,001,Dyn Contr Chem Proc,Ali Mesbah,under,6,5,8,6,6,5,2,2,1,0,0,0,0,0,0
ENGLISH,122,24761,001,Victorian Period,Joseph Lavery,under,1,16,12,1,3,2,1,0,0,0,0,1,0,7,1
MCELLBI,C112L,22582,001,Microbiology Lab,Dylan Mcclung; Matthew Traxler; Sean Carim,under,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0
MUSIC,198,22914,002,Directed Group Stdy,Lisa Gold; Madeline Saldana; Nicholas Badal,under,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
COLWRIT,10A,24131,003,Public Speaking,Mary Grover,under,0,17,1,0,1,0,0,0,0,0,0,0,0,1,0
ENGLISH,141,21694,001,Modes Of Writing,Melanie Chandra,under,0,32,9,1,4,0,0,1,0,0,0,0,0,0,0
KOREAN,1A,24167,008,Elementary Korean,Meehyei Lee,under,0,12,4,0,0,0,0,0,0,0,0,0,0,1,0
XENGLIS,R1A,29807,007,Reading And Comp,Kirsten Schwartz,under,4,8,4,1,0,0,0,0,0,0,0,0,0,0,0
FILM,151,31533,001,Auteur Theory,Miryam Sas,under,0,7,4,2,2,1,0,1,0,0,0,0,0,1,0
SPANISH,100,23955,001,Spanish Linguistics,Juan Sempere Martinez,under,1,6,7,2,2,5,0,1,2,0,0,0,0,3,1
DES INV,98,28890,3,Directed Group Stud,Purin Phanichphant,under,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2
PUB POL,101,29125,001,Intro Pub Pol Anal,Larry Rosenthal,under,22,86,21,12,1,0,0,0,0,0,0,0,0,2,0
ENGLISH,R1B,21675,001,Reading And Comp,Carla Serpell; Katherine Hobbs,under,0,3,11,3,0,1,0,0,1,0,0,0,0,0,0
ENGLISH,R1B,21677,003,Reading And Comp,Carla Serpell; Eliot D'Silva,under,1,4,6,4,4,2,0,0,0,0,0,0,0,0,0
PHYS ED,1,31747,022,Pe Activities,Kyungmi Yoo,under,6,1,0,0,0,0,0,0,0,0,0,0,0,23,2
PHYS ED,12,23339,023,Pe Activities,Steven Murray; Thomas Salinaro,under,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1
GLOBAL,154M,24772,001,Topics Middle East,Peter Bartu,under,0,12,21,3,0,0,0,0,0,0,0,0,0,2,0
UGBA,88,33263,001,Data And Decisions,Conrad Miller,under,0,12,14,7,10,2,2,0,0,0,0,0,1,7,1
PLANTBI,C109,27141,001,Evo Eco Devo,Benjamin Blackman,under,0,3,2,3,2,1,1,0,0,0,0,0,1,0,0
THEATER,R1B,30975,010,Performce & Writing,Sima Belmar,under,0,11,3,0,0,3,0,0,0,0,0,0,1,0,0
PHILOS,176,31236,001,Hume,Michael Martin,under,0,14,21,8,1,0,1,0,0,0,0,0,0,1,0
FILM,185,24521,001,Narrative Productio,J Kopell,under,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0
CIV ENG,123N,27447,001,Rc Structures,Cindy Wong; Jack Moehle,under,1,12,9,1,2,1,0,1,0,0,0,0,0,1,0
POLECON,107,31344,001,Inter Macro Theory,Mario Muzzi,under,1,15,10,14,15,10,8,8,4,1,6,0,2,0,0
CHEM,98,20351,003,Directed Group Stdy,Kurt Vollhardt,under,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
THEATER,R1B,25551,004,Performce & Writing,Abigail De Kosnik; Christian Nagler,under,1,9,5,0,1,1,0,0,1,0,0,0,0,0,0
SOCIOL,1,23782,001,Intro To Sociology,Sandra Smith,under,14,69,69,37,43,33,11,21,10,1,5,1,5,22,4
ECON,139,25231,001,Intermed Fin Econ,Stephen Bianchi,under,0,10,13,3,8,5,0,0,0,0,0,0,1,5,2
CELTIC,R1B,21318,001,Voices/Celtic World,Myriah Williams,under,0,3,4,3,2,2,0,0,0,0,0,0,0,0,0
EDUC,131AC,28981,001,Sci And Math Equity,Daniel Golub,under,0,21,11,1,0,0,0,0,0,0,0,0,0,0,0
KOREAN,7A,22238,001,Premod Korean Lit,Tae Hyun Kim,under,3,36,1,0,0,0,0,0,0,0,0,0,0,19,0
UGIS,98,24066,001,Directed Group Stdy,Mathilde Andrews; Robert Jacobsen,under,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
MAT SCI,45L,28309,101,Prop Of Mats L,Anshu Agarwal; Dhananjay Kamat; Lane Martin,under,3,16,0,2,11,0,0,0,0,0,0,0,0,0,0
UGBA,192N,19997,001,Topics In Ssl,Joseph Dougherty,under,0,10,6,6,3,1,0,0,0,0,0,0,0,4,1
FRENCH,1,21872,003,Elementary French,Daniel Hoffmann; Molly Bronstein,under,0,6,0,3,1,1,2,0,0,1,0,0,0,6,0
XGWS,50AC,33773,001,Gender In Amer Cult,Aparajita Nanda,under,5,27,18,3,2,0,0,0,0,0,0,0,0,5,0
ETH STD,190,19139,001,Adv Sem In Eth Std,Michael Omi,under,0,6,2,2,5,0,0,0,0,0,0,0,0,0,0
GWS,24,32806,001,Freshman Seminars,Laura Nelson,under,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
LD ARCH,133,32561,001,Drawn From  Field,Charles Sullivan; Hannah Pae,under,19,4,1,0,0,0,0,0,0,0,0,0,0,0,0
LINGUIS,100,22534,001,Intro Ling Sci,Keith Johnson,under,0,77,67,46,39,18,14,10,6,4,1,3,3,17,2
ITALIAN,120,24322,001,Italian Studies,Danielle Callegari,under,17,18,3,1,3,0,1,0,0,0,0,0,0,5,0
HISTORY,5,25876,001,Modern Europe,Jonathan Sheehan,under,2,24,12,7,6,1,0,2,0,0,1,0,1,13,2
CIV ENG,173,27443,001,"Groundwater,Seepage",Yoram Rubin,under,4,6,5,1,7,2,1,2,0,0,1,0,0,2,0
SOCIOL,198,34088,044,Directed Group Stdy,Laura Enriquez; Rebecca Culbert-Franklin,under,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
SPANISH,2,23887,003,Elem Spanish,Luis Barco; Miriam Hernandez-Rodriguez,under,0,4,3,1,0,2,0,1,0,0,0,0,0,7,0
HISTORY,103E,33346,002,Proseminar: Lat Am,Elena Schneider,under,0,2,5,1,0,1,0,0,0,0,0,0,1,0,0
THEATER,20U,24010,001,London: Thr Capital,Alan Read; Manik Varma,under,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0
PB HLTH,199,14319,047,Superv Indep Study,Jaspal Sandhu,under,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
XMATH,10A,29900,001,Calculus,Richard Patz,under,0,7,11,7,12,6,2,7,1,0,2,1,0,0,0
ENGLISH,98BC,15137,001,Directed Group Stud,Catherine Flynn,under,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2
RHETOR,R1A,25817,004,Craft Of Writing,Myke Samuels; Nathan Atkinson; William Morgan,under,2,4,14,9,4,1,0,0,0,0,0,0,0,0,0
SPANISH,1,23908,002,Elem Spanish,Emily Linares; Miriam Hernandez-Rodriguez,under,0,2,3,2,0,2,0,0,0,0,0,0,0,5,1
SOCIOL,115G,31109,001,Global Health,Yan Long,under,5,6,9,4,2,1,0,0,0,1,0,0,0,1,0
ESPM,C125,27265,001,Biogeography,Jeffrey Chambers; Rosemary Gillespie,under,1,3,3,2,2,2,1,1,0,0,0,0,0,0,0
KOREAN,170,33585,001,Cultural Encounters,Tae Hyun Kim,under,2,21,0,0,0,0,0,0,0,0,0,0,0,2,1
UGBA,101B,20064,001,Macroeconomics,John Gonzales,under,0,20,25,18,26,16,7,5,6,1,2,1,3,2,1
EL ENG,16B,27756,001,Design Info Dev Ii,Anant Sahai; Karina Chang; Ramsey Mardini,under,31,54,9,36,56,21,5,6,10,1,2,0,15,0,3
XENGLIS,R1A,29791,009,Reading And Comp,Srijani Ghosh,under,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
UGBA,100,20054,003,Business Comm,Krystal Thomas,under,0,2,20,10,0,0,0,0,0,0,0,0,0,0,0
KOREAN,101,22269,001,4th Year Read--Lit,Minsook Kim,under,0,14,2,0,0,0,0,0,0,0,0,0,0,0,1
ITALIAN,3,22280,001,Interm Italian,Anna Bellezza; Giuliana Perco,under,0,1,1,0,1,0,0,0,0,0,0,0,0,7,0
IND ENG,172,27879,001,Probability Eng,Rhonda Righter,under,1,33,3,4,32,3,0,0,0,0,0,0,2,2,0
HISTORY,103D,24892,002,Proseminar: U.S.,Caitlin Rosenthal,under,0,8,5,2,1,0,0,0,0,0,0,0,0,0,0
ENGIN,117,31541,001,Meth Engr Analysis,David Steigmann,under,2,4,11,9,2,0,1,0,0,0,0,0,0,0,0
SPANISH,111B,31135,001,Cervantes,Ignacio Navarrete,under,0,4,5,8,1,1,0,1,0,0,0,0,1,1,0
HISTORY,103B,24887,001,Proseminar:  Europe,Raphael Murillo,under,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0
BIO ENG,C118,28225,001,Biolog Perf Mats,Kevin Healy,under,4,3,0,3,2,0,2,0,0,0,0,0,0,0,0
THEATER,R1A,30969,006,Performce & Writing,Abigail De Kosnik; Jeniffer Tamayo,under,0,12,2,2,0,0,2,0,0,0,0,0,0,0,0
ENGLISH,43A,33250,001,Intro/Writ Fiction,Melanie Chandra,under,0,13,1,0,0,0,0,1,0,0,0,0,0,0,0
ANTHRO,189,14863,001,Spec Top:Soc/Cult,Karen Nakamura,under,21,8,6,2,3,0,1,0,1,0,0,0,0,2,0
GWS,50AC,22018,001,Gender In Amer Cult,Jacqueline Asher,under,0,38,50,24,15,8,2,3,1,0,0,0,0,31,7
ARABIC,1A,21056,006,Elementary Arabic,Nathalie Khankan,under,1,4,1,1,2,1,0,0,1,0,0,0,1,1,2
COM LIT,R1B,21474,003,Engl Comp World Lit,Laila Riazi; Miryam Sas,under,0,1,7,7,1,1,0,0,0,0,0,0,0,0,0
ESPM,6,26836,001,Environ Biology,Ignacio Chapela,under,0,241,0,0,0,0,0,0,0,0,0,0,0,14,0
PHYSICS,7B,23314,003,Scient Engin Phys,ALESSANDRA LANZARA; Jacob Leedom,under,1,58,14,5,51,22,11,13,26,0,4,0,1,1,0
LINGUIS,1A,22499,001,American Sign Lang,Sherry Hicks,under,1,8,2,1,1,2,0,0,0,1,1,0,0,0,0
COM LIT,R1B,21472,001,Engl Comp World Lit,Dinah Lensing-Sharp; Miryam Sas,under,0,0,8,7,1,0,0,1,0,0,0,0,0,0,0
THEATER,172,24051,001,Stage Mgmt,Laxmi Kumaran,under,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0
