Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
AEROSPC,135A,20431,001,Air Force Studies,Andrew Emerson,under,2,10,9,2,3,0,0,1,0,0,0,0,0,0,0
AEROSPC,1A,20960,001,Found Us Air Force,Austin Hirsch,under,7,20,6,0,1,1,0,0,1,0,0,0,1,0,0
AEROSPC,2A,20959,001,Evolut Of Air Power,Austin Hirsch,under,9,9,1,2,1,0,0,0,0,0,0,0,2,0,0
AFRICAM,111,20408,001,Race Class Gen U S,Mariko Pegs; Ula Taylor,under,0,9,18,15,8,10,5,2,1,1,0,0,1,4,0
AFRICAM,114,30871,001,Intro African Ling,Sam Mchombo,under,2,2,5,2,1,2,0,0,0,0,0,0,0,1,0
AFRICAM,116,20407,001,Slavery And African,Kevin Rigby; Ula Taylor,under,1,5,6,1,1,5,4,0,1,0,0,0,1,2,0
AFRICAM,11A,20424,001,Elementary Swahili,David Kyeu,under,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
AFRICAM,134,32637,001,Info Tech And Soc,Michel Laguerre,under,0,37,2,1,0,0,0,0,0,0,0,0,0,0,0
AFRICAM,136,25359,001,Criminal Just& Comm,Michael Myers Ii; Nikki Jones,under,7,28,7,7,3,2,0,3,0,0,1,0,1,7,1
AFRICAM,137,20403,001,Multicultural Comm,Michel Laguerre,under,0,22,5,0,1,0,0,0,0,0,0,0,0,2,0
AFRICAM,139,20402,001,Sel Top:Africam Soc,Ula Taylor,under,0,3,4,1,3,2,1,0,0,0,0,0,0,0,0
AFRICAM,152F,31173,001,Neo-Slave Narrative,Darieck Scott,under,1,7,3,2,1,1,1,0,0,0,0,0,0,1,1
AFRICAM,157,31174,001,Creative Writing,Darieck Scott,under,0,12,4,1,0,1,0,0,0,0,0,0,0,1,0
AFRICAM,164,25309,001,Spoken Word:  Oral,Aya De Leon,under,0,13,1,1,1,0,0,0,0,0,0,0,0,1,0
AFRICAM,165,25301,001,Eyes On The Prize,Chiyuma Elliott,under,2,5,2,1,0,1,0,0,0,0,0,0,0,0,0
AFRICAM,195,25310,001,Senior Capstone,Ula Taylor,under,0,1,2,1,2,3,0,2,0,0,0,0,0,0,0
AFRICAM,197,15219,003,Field Study,Ula Taylor,under,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
AFRICAM,27AC,20432,001,Lives/Strug/Maj Cul,Leigh Raiford,under,15,64,39,21,24,2,1,0,0,0,1,0,1,21,3
AFRICAM,4A,20425,001,Africa:  Hist & Cul,G. Ugo NWOKEJI,under,2,30,40,7,3,4,1,2,0,0,0,0,0,5,0
AFRICAM,5A,20439,001,Afam Life & Cul U S,Brandi Catanese,under,0,43,21,12,5,3,0,0,0,0,0,1,0,12,1
AFRICAM,C133A,34328,001,Race Urban Sch,Travis Bristol,under,2,0,5,4,4,0,0,0,0,0,0,0,0,1,0
AFRICAM,R1A,20430,001,Fresh Composition,Gabriel Regalado; Ula Taylor,under,1,4,3,5,2,0,0,0,0,0,0,0,0,0,0
AFRICAM,R1B,24285,002,Freshmn Composition,Olivia Young; Ula Taylor,under,0,2,9,5,0,1,0,0,0,0,0,0,0,0,0
AFRICAM,R1B,24639,001,Freshmn Composition,Gabrielle Williams; Ula Taylor,under,0,1,5,4,3,2,0,0,0,0,0,0,0,0,0
AMERSTD,10,24244,001,Intro American Stdy,Christine Palmer,under,0,3,13,16,12,23,8,6,2,1,2,0,1,7,0
AMERSTD,101,20444,001,Us Cultures In Time,Kathleen Moran,under,0,13,7,9,12,10,6,4,3,1,0,0,2,2,1
AMERSTD,101,24246,002,Us Cultures In Time,Christine Palmer,under,0,4,8,4,6,4,4,4,3,1,0,1,1,3,1
AMERSTD,102,25771,001,Us Cultures/Place,Alex Saragoza,under,0,9,11,6,3,3,3,4,0,0,0,0,0,10,0
AMERSTD,102,32310,002,Us Cultures/Place,Kathleen Moran,under,0,16,17,13,12,6,3,2,3,1,0,0,0,8,1
AMERSTD,191,15233,001,Senior Seminar,Christine Palmer,under,0,1,5,2,1,2,0,0,0,0,0,0,0,0,0
AMERSTD,C152,20499,001,Native American Lit,Beth Piatote,under,0,5,1,0,1,0,0,0,0,0,0,0,0,2,1
AMERSTD,C171,20498,001,Amer Dsgn Land 1850,Marcus Owens,under,1,3,3,2,4,1,0,0,0,1,0,0,0,6,0
ANTHRO,107,20477,001,Evol Hum Brain,Terrence Deacon,under,6,18,21,18,17,18,15,13,5,0,0,0,0,9,2
ANTHRO,112,32770,001,Sp Topics: Bio Anth,Lucas Martindale Johnson,under,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTHRO,121AC,30950,001,Amercn Materl Cultr,Laurie Wilkie,under,32,63,9,2,5,2,0,1,1,0,0,0,1,13,1
ANTHRO,121C,24190,001,Hist Artifact/Analy,William White,under,0,21,0,0,3,0,0,0,0,0,0,0,0,0,0
ANTHRO,127A,20443,001,Skltl Bio & Bioarch,Sabrina Agarwal,under,3,6,3,1,2,0,0,0,3,0,0,0,1,0,0
ANTHRO,128,25343,001,Spec Topics In Arch,Lisa Maher,under,6,11,1,3,0,0,0,0,0,0,0,0,0,1,0
ANTHRO,135,30959,001,Paleoethnobotany,Christine Hastorf,under,2,6,4,1,1,0,1,0,0,0,0,0,0,1,0
ANTHRO,138A,20569,001,Ethnog Film History,Daniel Fisher,under,0,5,6,10,7,6,3,1,3,0,5,0,0,1,0
ANTHRO,157,20514,001,Anthropology Of Law,Laura Nader,under,15,24,18,7,6,6,4,1,2,0,1,0,5,7,2
ANTHRO,169B,25356,001,Res Theo/Meth Soc,Mariane Ferme,under,1,1,2,4,3,0,0,1,0,0,0,0,0,0,0
ANTHRO,170,30963,001,China,Xin Liu,under,3,10,9,3,2,4,2,1,0,0,0,0,1,26,3
ANTHRO,171,34127,001,Japan,Karen Nakamura,under,12,9,2,1,0,1,0,0,0,0,0,0,0,0,0
ANTHRO,181,30968,001,Middle East & Islam,Stefania Pandolfo,under,8,22,6,0,0,0,0,0,0,0,0,0,0,5,0
ANTHRO,189,15051,002,Spec Top:Soc/Cult,Paul Rabinow,under,1,6,1,5,4,0,0,0,0,0,1,0,1,0,0
ANTHRO,189,15052,003,Spec Top:Soc/Cult,Sarah Vaughn,under,1,7,4,2,2,0,0,0,0,0,0,0,0,1,0
ANTHRO,189,33641,004,Spec Top:Soc/Cult,Charles Hirschkind,under,1,17,2,1,4,0,1,1,0,0,0,1,1,1,0
ANTHRO,196,31038,001,Undergrad Sem,Corinne Hayden,under,1,6,4,1,0,0,0,0,0,0,0,0,1,0,0
ANTHRO,2AC,20552,001,Intro Archaeology,Jun Sunseri,under,40,101,41,20,6,8,3,2,4,0,1,0,1,39,2
ANTHRO,3AC,20488,001,Intro Soc/Cult Ac,James Holston,under,22,167,126,37,38,16,0,8,2,0,1,0,4,46,2
ANTHRO,C125A,24192,001,Arch East Asia,Junko Habu,under,2,7,4,8,3,2,0,0,0,0,0,0,0,3,1
ANTHRO,C12AC,30797,001,"Fire: Past, Present",Kent Lightfoot; Scott Stephens,under,25,28,10,3,7,3,3,1,2,1,0,0,0,19,0
