Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
INTEGBI,31,13700,001,Ecol/Evol Anml Behv,Timothy Markowitz,under,1,5,4,2,0,0,0,2,0,0,0,0,1,1,0
INTEGBI,41,13506,001,Marine Mammals,Timothy Markowitz,under,0,6,1,0,1,1,2,1,0,0,0,0,0,7,1
INTEGBI,51,14959,001,Origins And Evoluti,Eric Harris,under,0,2,3,1,0,0,0,0,0,0,1,0,0,2,1
ISF,100D,14078,001,Technol & Society,Rakesh Bhandari,under,0,10,5,5,0,2,0,0,0,0,0,0,1,6,0
ISF,100H,15310,001,Media & Intntl Rel,Rakesh Bhandari,under,2,2,2,1,4,0,1,1,0,0,0,0,0,0,0
ITALIAN,R5B,15258,001,Reading & Comp,Mia Fuller; Kyle Thomson,under,8,2,0,1,2,0,0,1,0,0,0,0,0,0,0
ITALIAN,R5B,15259,002,Reading & Comp,Mia Fuller; Michiko Arai,under,4,11,0,0,0,0,0,0,0,0,0,0,1,0,0
ITALIAN,R5B,15260,003,Reading & Comp,Mia Fuller; Rhiannon Welch; Daisy Ament,under,2,14,1,1,0,0,0,0,0,0,0,0,0,0,0
JAPAN,10A,13285,001,Interm Japanese,Yuriko Caltabiano,under,0,2,2,1,1,1,0,0,0,0,0,0,0,2,1
JAPAN,10B,14200,001,Interm Japanese,Kayoko Imagawa,under,0,4,2,1,3,0,0,0,0,0,0,0,0,1,0
JAPAN,1A,13283,001,Elementary Japanese,Yukiko Tsuchiya,under,1,9,0,1,1,0,0,0,0,0,0,0,1,3,1
JAPAN,1B,14198,001,Elementary Japanese,Yukiko Tsuchiya,under,0,5,1,0,0,1,0,0,0,0,0,0,0,2,1
JAPAN,7A,13164,001,Premod Japan Lit,Mark Blum; Bonnie McClure,under,4,4,0,0,1,0,1,0,0,0,0,0,0,0,0
JAPAN,7B,14030,001,Modern Japan Lit,Mark Blum; Chelsea Ward,under,0,5,2,2,2,0,0,0,0,0,0,0,0,0,0
JOURN,100,14660,001,News Reporting,Gary Moskowitz,under,1,14,7,2,2,1,0,0,0,0,0,0,0,0,0
JOURN,100,14662,002,News Reporting,Monica Campbell,under,1,8,8,0,5,0,0,0,0,0,0,0,1,0,0
JOURN,100,14668,003,News Reporting,David Thigpen,under,0,5,4,3,4,1,1,1,0,0,0,0,0,0,0
JOURN,110,14661,001,Intro To Multimedia,Scot Tucker,under,0,17,2,2,1,0,0,0,0,0,0,0,0,0,0
JOURN,110,14663,002,Intro To Multimedia,Francesca Fenzi,under,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0
JOURN,110,14669,003,Intro To Multimedia,Richard Koci Hernandez; David Thigpen,under,0,43,0,0,0,0,0,2,0,0,1,0,5,1,1
JOURN,111,14664,001,Social Mdia Journ,David Thigpen; Lakshmi Eassey,under,16,17,7,4,0,6,0,1,0,0,0,0,0,0,0
JOURN,112,15889,001,Intro To Podcasting,David Thigpen; Corey Takahashi,under,6,12,6,2,1,0,0,0,0,0,0,0,0,0,0
JOURN,115,14665,001,Adv Multimedia,David Thigpen; Lakshmi Eassey,under,6,18,5,1,2,0,0,1,0,0,0,0,0,1,0
JOURN,122,14671,001,Future Of Vis Journ,Jeremy Rue; David Thigpen; Nani Walker,under,8,16,5,3,0,1,0,0,0,0,0,0,0,0,0
JOURN,124,14672,001,Intro To Data Journ,David Thigpen; Dana Amihere,under,0,19,8,4,1,0,0,0,0,0,0,0,0,0,0
JOURN,134,14667,001,International Reprt,David Thigpen,under,0,17,10,4,0,1,0,0,0,0,0,0,0,0,0
KOREAN,1A,13244,001,Elementary Korean,Kyongmi Park,under,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0
L & S,1,15423,001,Liberal Arts,Aileen Liu,under,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7
L & S,C12,13987,001,Changemaker,Christyna Serrano; Alex Budak,under,9,30,1,2,2,1,1,0,1,1,0,2,2,11,6
L & S,C196C,15875,001,Changemaker,Christyna Serrano; Alex Budak,under,1,22,4,0,2,3,2,1,2,1,0,1,3,9,1
LATIN,15,13386,001,The Latin Workshop,Dylan Sailor; Kyle Ralston; Daniel Squire; Claire Healy; Liam Deihr,under,6,5,1,0,1,0,0,1,1,0,0,0,2,1,0
LD ARCH,1,15577,001,Draw Green Future,Robert Glass,under,2,3,5,4,1,1,0,0,0,0,0,0,0,1,0
LD ARCH,12,15579,001,Env Sci Sustainable,G Mathias Kondolf; Vicente TINOCO,under,1,1,4,3,2,2,0,0,1,2,0,1,1,0,0
