Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
MATH,98,58800,002,Directed Group Stdy,Mark Haiman; Michael Wong,under,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4
MATH,53,58610,002,Multivar Calculus,Mark Haiman; Samuel Ramsey,under,2,6,4,4,9,2,0,0,3,0,2,0,1,1,0
PB HLTH,150D,72635,001,Intro Hlth Pol Mgt,Joan Bloom,under,6,24,4,5,0,1,0,0,1,0,0,0,0,2,0
PHYS ED,1,67130,204,Pe Activities,Richard Morris,under,0,5,0,0,0,0,0,0,0,0,0,0,2,6,0
ENGLISH,N1B,41520,001,1st-Yr Read & Comp,Adam Ahmed; Mitchell Breitwieser,under,0,2,6,2,2,0,1,0,0,0,0,0,1,0,0
THEATER,52AC,80925,002,American Dance,Jenefer Johnson,under,0,11,2,0,1,0,1,3,0,0,2,0,1,0,1
CY PLAN,114,26015,001,Intro Urb Reg Trans,Andrea Broaddus; Jesus Barajas; Paul Waddell,under,0,6,2,9,20,10,2,1,0,0,1,0,0,0,0
UGBA,127,19340,001,Spec Topics In Acct,Satyaraj Berde,under,1,2,4,3,10,4,2,0,1,0,1,0,0,0,1
MATH,55,58750,002,Discrete Math,Austin Shapiro,under,2,1,3,3,4,4,3,2,1,1,1,1,3,0,1
PHYS ED,1,67120,202,Pe Activities,Toni Mar,under,0,3,0,0,1,0,0,0,0,0,0,0,1,4,9
ISF,W187,51635,005,Exprientl Lm Org Ct,Joel Clark,under,0,6,7,3,2,0,0,0,0,0,0,0,1,19,3
MATH,53,58600,001,Multivar Calculus,Charles Skipper; Mark Haiman,under,3,2,6,5,5,2,0,6,0,0,3,0,0,4,0
COLWRIT,6J,27048,001,Esl Test Prep,Margi Wald; Peter Vahle,under,0,5,1,3,1,1,0,0,0,0,0,0,1,4,0
GWS,111,46020,002,Special Topics,Christine Quinan; Juana Rodriguez,under,0,12,5,2,2,0,0,1,1,0,0,0,1,2,0
COLWRIT,9F,27270,003,Esp Business Speak,David Wiese; Margi Wald,under,0,11,2,0,1,0,1,0,0,0,0,0,0,3,0
MUSIC,45,62149,002,Beginning Piano 1,Jacqueline Chew,under,3,4,1,0,3,0,0,0,0,0,0,0,0,3,0
COLWRIT,6A,26973,104,Esl Acad Speaking,Harry Seng; Margi Wald,under,0,2,1,4,6,0,1,1,0,0,0,0,0,4,0
ITALIAN,R5B,52610,101,Reading & Comp,Albert Ascoli; Julia Nelsen,under,0,4,7,2,0,0,0,0,0,0,0,0,1,0,0
HISTORY,C192,48990,001,History Of Info,Blake Johnson,under,0,3,3,3,1,0,0,2,0,0,0,0,1,5,0
MEC ENG,109,39865,001,Heat Transfer,Deborah Sunter,under,3,4,8,5,3,1,3,6,2,0,0,0,1,0,0
COLWRIT,R1A,26905,001,College Writing 1a,Donnett Flash,under,0,0,1,1,4,2,0,1,0,0,0,0,2,0,0
COLWRIT,9E,27250,003,Esp Business Engl,James Seger; Margi Wald,under,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0
PB HLTH,14N,72603,001,Healthy People,Sarah Gamble,under,0,6,13,9,2,1,2,0,0,0,0,0,0,4,0
PHILOS,2,66505,001,Ind Moral/Soc Just,John Macfarlane; Quinn Gibson,under,0,3,1,4,1,2,2,1,1,1,0,0,0,3,0
INTEGBI,131L,50630,001,Human Anatomy Lab,Joshua Carlson; Thomas Carlson,under,1,6,3,2,3,1,2,0,2,0,0,0,0,2,0
LINGUIS,125,57348,001,"Gesture, Cognition",Elise Stickles; Line Mikkelsen,under,0,3,4,2,4,1,2,1,0,0,1,0,1,1,0
MATH,53,58620,003,Multivar Calculus,Richard Ketchersid,under,2,1,4,4,6,0,4,1,1,0,0,1,2,1,1
SOCIOL,190,76870,001,Sem & Res In So,Dylan Riley,under,0,0,4,3,0,5,0,3,1,0,0,0,1,1,0
SOCIOL,110,76825,001,Org & Soc Institut,Linus Huang,under,0,16,12,6,8,2,4,3,1,1,1,1,2,1,2
COLWRIT,7B,27070,102,Beat Generation,Margi Wald; Michael Clark,under,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
COLWRIT,R1A,26915,003,College Writing 1a,Kimberly Freeman,under,0,0,2,3,2,0,0,1,2,0,0,0,0,0,0
UGBA,120AA,19295,002,Int Fin Acct 1,Gary Pieroni,under,1,4,2,4,4,4,2,1,6,1,1,0,8,7,1
EDUC,149,33345,001,Teach Lang Arts,Janet Levenson,under,3,11,2,0,0,0,0,0,0,0,0,0,0,0,0
SPANISH,N4,78930,001,Intermed Spanish,Victoria Robertson,under,0,7,6,0,3,0,0,0,0,0,0,0,0,0,0
ENGLISH,N31AC,41530,001,Lit Amer Cultures,Leila Mansouri; Mitchell Breitwieser,under,1,2,4,3,3,1,1,1,0,0,0,0,1,5,2
ESPM,169,43180,001,Intnatl Env Politic,Katherine O'Neill,under,4,9,9,7,1,0,0,1,0,0,0,0,0,1,1
COLWRIT,7D,27075,101,Food Culture,Elizabeth Boner; Margi Wald,under,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2
INTEGBI,132,50650,001,Surv Human Physiol,Nidhi Ahuja,under,0,5,8,10,6,4,4,1,3,3,1,0,0,0,0
COMPSCI,61A,28630,001,Str Interp Cmp Prgs,Rohin Shah; Shidi Huang,under,20,24,5,27,29,25,7,8,8,8,3,4,13,17,14
EDUC,130,33338,001,Know Learn Math Sci,Benedikt Harrer,under,0,5,2,1,1,1,0,0,0,0,0,0,1,0,0
PSYCH,6,71518,001,Stress And Coping,Christopher Gade,under,14,23,17,18,11,7,2,6,5,6,3,2,3,26,10
UGBA,127,19345,002,Spec Topics In Acct,John Briginshaw,under,1,8,7,4,1,0,0,0,0,0,0,0,2,4,1
MUSIC,128R,62155,001,Jazz In America,David Milnes,under,2,6,3,0,3,1,0,0,0,0,0,0,1,9,0
GERMAN,1,47205,001,Elementary German 1,Christine Vais; Nikolaus Euba,under,1,4,6,1,0,0,0,1,0,0,0,0,0,1,1
GEOG,182,46640,001,Field Study Cities,Paul Groth,under,2,20,4,0,1,0,0,0,0,0,0,0,0,0,0
COLWRIT,6F,27010,102,Esl Listen Speak,Margi Wald; Therese Naber,under,0,0,3,2,7,3,2,0,0,0,0,0,0,3,0
ISF,190,51660,001,Senior Thesis,Rakesh Bhandari,under,0,2,4,0,0,1,0,0,1,0,0,0,4,0,0
CHICANO,50,25248,002,Intro Chicano Hist,Alex Saragoza; Edgar Mojica,under,1,17,14,11,3,1,0,0,0,0,0,0,0,3,1
STAT,20,79650,001,Intro Prob Stat Cal,Philip Stark; Tessa Childers-Day,under,2,5,3,8,5,5,6,6,1,0,2,0,3,6,0
MATH,1B,58425,001,Calculus,Khalilah Beal; Mark Haiman,under,2,4,3,7,7,1,5,1,0,0,0,0,5,0,2
AFRICAM,139,10185,001,Sel Top:Africam Soc,Jarvis Givens; Nailah Suad-Bakari,under,0,1,5,0,2,1,0,0,0,0,0,0,1,4,0
IAS,106,52010,001,Inter Micro Theory,Calanit Kamala,under,1,5,2,2,2,5,2,0,2,0,0,0,0,0,0
PSYCH,N107,71575,001,Buddhist Psychology,Davina Chan,under,8,36,3,4,6,0,2,0,0,0,0,0,1,0,1
MEDIAST,C104C,59810,001,History Of Info,Blake Johnson,under,0,6,1,1,5,0,2,1,2,0,0,0,0,1,1
ENGLISH,N132,41575,001,American Novel,Mitchell Breitwieser,under,12,20,13,21,23,11,1,1,0,0,0,0,3,4,1
SPANISH,1,78905,001,Elem Spanish,Krista Brune; Miriam Hernandez-Rodriguez,under,0,4,4,0,3,0,0,1,0,0,1,0,1,3,0
NATAMST,R1A,62715,002,"Reading,Composition",Julie Underhill; Shari Huhndorf,under,1,7,1,1,1,0,0,0,0,0,0,0,1,0,0
MEC ENG,40,39805,001,Thermodynamics,David Rich,under,0,4,6,7,9,9,2,5,0,0,0,0,2,0,0
INTEGBI,131,50625,001,Human Anatomy,Thomas Carlson,under,4,34,24,19,20,11,4,10,2,0,2,0,1,6,4
