Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
UGBA,151,14924,001,Mgmt Human Resourcs,Brenda Fellows,under,0,0,2,0,0,8,3,1,0,0,0,0,0,1,0
COLWRIT,9B,19578,001,Esp Acad Vocab,James Seger; Margi Wald,under,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0
NE STUD,R1A,44502,001,Read Comp Ne Stud,Aria Fani; Aria Fani; Carol Redmount,under,3,10,4,0,0,0,0,0,0,0,1,0,0,0,0
PHILOS,12A,47326,002,Intro To Logic,Ethan Jerzak; Ethan Jerzak; Hannah Ginsborg,under,3,8,3,3,1,2,1,1,0,0,0,0,1,7,2
COLWRIT,9I,19612,001,Esp Conflict Res,Margi Wald; Melody Noll,under,0,4,2,6,3,0,1,0,0,0,0,0,1,1,0
COMPSCI,61C,24072,001,Machine Structure,Justin Hsia; Justin Hsia; Shreyas Chand; Shreyas Chand,under,5,22,26,14,29,10,8,14,12,0,1,0,7,1,4
MCELLBI,102,42762,001,Surv Biochem &,Natalia Caporale; Natalia Caporale,under,6,41,16,13,48,33,15,39,15,0,15,0,12,3,4
HISTART,108,12606,001,Cities And The Ar,Elaine Yau; Elaine Yau; Gregory Levine,under,0,4,0,1,1,1,1,2,1,0,0,0,1,1,0
RHETOR,10,51806,001,Reason And Argument,Dale Carrico; Norman Carrico,under,1,5,4,5,3,1,0,0,0,0,0,0,0,1,0
CLASSIC,N172A,19012,001,Arch Fld Schl Nem,Kim Shelton,under,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0
COLWRIT,W9,19568,002,Eng As A Sec Lang,Katherine Ha; Margi Wald,under,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3
CY PLAN,118AC,18508,001,The Urban Comm,Ricardo Huerta; Ricardo Huerta,under,1,9,3,2,1,1,0,1,0,0,0,0,0,2,0
COLWRIT,9A,19574,002,Esp Acad Research,Margi Wald; Susana Leong; Susana Leong,under,0,11,2,0,1,0,0,0,0,0,0,0,0,0,0
COLWRIT,6A,19460,003,Esl Acad Speaking,Margi Wald; Ruth Acker,under,0,5,6,1,0,0,0,0,0,0,0,0,2,1,0
HISTORY,N174T,31533,001,Coexist In Mod Eu,Daniel Sargent; Mark Peterson,under,2,3,4,2,2,2,0,0,0,0,0,0,0,0,0
POL SCI,2,49612,001,Intro Comparat Po,Eric Schickler; Tara Buss; Tara Buss,under,9,6,2,7,3,8,6,8,5,1,2,0,1,3,1
MATH,16B,39746,003,Anal Geo & Calculus,Andrew Dudzik; Andrew Dudzik; Lawrence Evans,under,1,2,3,2,4,3,2,3,1,2,1,1,1,2,1
NATAMST,R1B,44110,001,"Reading,Compositi",Angela Aguilar; Angela Aguilar; Beth Piatote,under,6,6,1,2,1,0,1,0,0,0,0,0,0,0,0
CIV ENG,W30,18702,001,Intro Solid Mechn,Sanjay Govindjee,under,0,1,1,1,5,5,1,3,0,0,3,0,1,0,3
COLWRIT,6J,19498,001,Esl Test Prep,Amanda Fox; Margi Wald,under,0,9,4,2,1,1,1,0,0,0,0,0,0,2,0
HISTORY,100AC,31516,001,Topics Am Cult,Stephanie Jones-Rogers,under,4,2,8,2,1,1,0,1,0,0,0,0,1,8,0
INTEGBI,131,34536,001,Human Anatomy,Thomas Carlson; Thomas Carlson,under,7,16,6,6,17,12,4,4,2,0,0,0,3,3,1
MEC ENG,191K,40546,001,Prof Communicatio,Marcel Kristel,under,0,19,0,2,1,0,0,0,0,0,0,0,0,2,0
MUSIC,45A,43432,001,Adv Beginning Piano,Jacqueline Chew,under,1,5,1,0,0,0,0,0,1,0,0,0,0,4,0
POLECON,100,49202,001,Theory Of Pol Eco,Stephanie Ballenger; Stephanie Ballenger,under,0,4,4,10,4,3,1,1,0,0,0,0,1,1,0
SPANISH,4,58210,001,Intermed Spanish,Daniel Rodriguez; Daniel Rodriguez; Miriam Hernandez-Rodriguez,under,0,5,4,4,0,3,0,0,0,0,1,0,0,1,0
POLECON,101,49204,001,Contemp Theo Pol,Fatmir Haskaj,under,0,8,15,6,2,5,1,2,2,0,0,0,1,0,1
SPANISH,N3,58208,001,Intermed Spanish,Ignacio Navarrete; Victoria Robertson,under,0,4,0,0,1,0,1,0,0,0,0,0,0,10,1
THEATER,113A,59520,001,Irish Theater,Joy Christine Nicholson,under,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0
COLWRIT,7E,19534,001,Lang  Environmen,Margi Wald; Michele Rajotte,under,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2
EPS,80,21516,002,Environ Earth Sci,Stephen Andrews,under,3,15,14,10,4,9,0,1,2,0,0,0,3,13,1
COLWRIT,9F,19604,003,Esp Business Spea,Kyle Ridley; Margi Wald,under,1,2,6,6,2,1,0,0,0,0,0,0,0,0,0
UGBA,101B,14806,001,Macroeconomics,John Gonzales,under,0,7,3,3,5,3,1,3,1,0,0,0,1,0,0
PHYSICS,111A,48148,001,Instrumentation L,Joseph Broz; Joseph Broz; Kevin Hayakawa; Kevin Hayakawa; Matthias Reinsch; Matthias Reinsch; Ryan Smith; Ryan Smith; Seth Hirsh,under,3,8,3,3,5,2,0,0,0,0,0,0,0,0,0
UGBA,165,14934,001,Advertise Strategy,William Fanning,under,0,6,5,9,2,2,5,2,0,3,0,0,0,4,0
FRENCH,1,28706,003,Elementary French,Sarah Roberts; Sarah Roberts,under,2,4,3,1,0,0,0,0,0,0,0,0,1,6,0
HISTORY,106B,31556,001,The Roman Empire,Carlos Norena; Carlos Norena,under,0,2,10,2,5,0,0,0,0,0,0,0,1,0,2
ENV DES,100,26030,001,The City,Pietro Calogero; Pietro Calogero,under,4,4,4,3,2,3,0,1,0,0,0,0,1,0,0
MATH,16B,39738,001,Anal Geo & Calculus,Lawrence Evans; Mira Peterka; Mira Peterka,under,2,7,3,2,2,2,4,4,2,0,0,0,6,0,2
MATH,16A,39730,002,Anal Geo & Calculus,Lawrence Evans; Sierra Reyburn; Sierra Reyburn,under,7,8,5,1,2,0,1,2,1,0,0,0,2,0,0
COLWRIT,9N,19630,002,Esp Legal English,Margi Wald; Robert Downey,under,0,9,5,2,0,0,0,0,0,0,0,0,1,0,0
COLWRIT,9V,19654,002,Esp Engl Sci Engi,Harry Seng; Margi Wald,under,1,4,5,3,1,4,0,2,0,0,0,0,0,0,0
COG SCI,C142,19224,002,Language & Thou,Alexandra Carstensen; Alexandra Carstensen; Terrance Regier; Terrance Regier,under,0,4,1,0,4,0,0,1,0,0,0,0,1,0,0
MATH,32,39754,002,Precalculus,Michael Leong; Mike Leong,under,0,6,2,4,9,1,0,0,0,0,0,0,1,7,1
UGBA,132,14908,001,Fin Instit & Mrkts,Samuel Olesky,under,4,9,14,14,6,7,2,2,1,0,0,1,0,0,0
UGBA,133,14916,002,Investments,Arash Namvar; Arash Namvar,under,2,39,7,2,4,3,0,5,0,0,1,0,5,4,0
CLASSIC,N28,19010,001,Classic Myths,Kristina Chew,under,0,10,1,7,8,5,0,0,0,0,0,0,2,0,0
COLWRIT,9R,19638,001,Engl For Speaking,Margi Wald; Rachel Kotok,under,0,10,3,2,1,1,0,0,0,0,0,0,0,0,0
ECON,1,21902,001,Intro To Economics,Monica Deza; Monica Deza,under,6,14,39,22,47,19,8,12,5,0,6,0,7,11,3
ART,160,12326,001,Spec Topics Vis Std,Jennifer Justice,under,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
ENV DES,9,26022,001,Intro To Env Des,Kimberly Smith; Kimberly Suczynski,under,1,24,11,2,1,2,0,0,0,0,0,0,0,0,0
MUSIC,45,43426,001,Beginning Piano 1,Jacqueline Chew,under,0,11,0,1,0,0,0,0,0,0,0,0,1,2,1
MATH,113,39912,001,Abstract Algebra,James Mcivor; James Mcivor; Lawrence Evans,under,5,4,6,4,6,4,1,0,4,0,1,0,2,1,0
COLWRIT,9F,19606,004,Esp Business Spea,Ellen Rosenfield; Margi Wald,under,3,11,4,0,0,0,0,0,0,0,0,0,0,0,0
ASAMST,R2A,12906,003,Reading&Composition,Khuyen Nguyen; Khuyen Nguyen,under,0,0,4,4,7,0,0,1,0,0,0,0,0,0,0
BIOLOGY,1A,13902,001,General Biology L,James Baxter; James Baxter; Mark Barnby; Mark Barnby; Michael Meighan; Michael Meighan,under,2,18,21,15,21,18,15,16,20,0,0,0,3,2,5
MATH,1A,39702,001,Calculus,Lawrence Evans; Michael Yeh; Michael Yeh,under,2,7,5,6,4,3,4,3,2,0,1,0,1,1,0
MATH,54,39808,003,Lin Alg & Diff,Kyle Miller; Kyle Miller; Lawrence Evans,under,2,6,4,4,5,4,1,2,2,0,0,0,2,1,2
HISTORY,7B,31502,001,The Us Civ War Pr,Daniel Robert; Daniel Robert,under,0,6,8,2,5,4,1,2,0,1,0,0,6,8,1
JOURN,100,36602,001,News Reporting,Gary Moskowitz; Harriet Chiang,under,0,60,0,0,21,0,0,1,0,0,0,0,0,2,0
ETH STD,144AC,27544,001,Racism And U.S. L,Trina Thompson Stanley,under,4,2,1,0,1,0,0,1,0,0,0,0,0,1,0
ETH STD,101A,27530,001,Soc Sci Methods,John Dougherty; John Dougherty,under,0,9,1,2,2,0,0,0,1,0,0,0,0,0,1
INTEGBI,141,34568,001,Human Genetics,Gemma Niermann; Gemma Niermann,under,0,34,4,8,21,4,2,9,2,1,8,0,3,0,0
PHILOS,132,47354,001,Philosophy Of Mind,Katrina Winzeler; Katrina Winzeler,under,0,10,11,5,3,0,1,0,0,0,0,0,0,0,0
POL SCI,W145A,49702,001,Poli Dev India,Pradeep Chhibber,under,0,6,14,15,25,10,7,3,2,0,0,0,2,25,5
COLWRIT,5A,19428,001,Engl Brdwy Musica,David Frasca; Margi Wald,under,0,3,2,3,7,0,0,0,0,0,0,0,0,1,0
MATH,55,39840,003,Discrete Math,Arash Farahmand,under,4,12,5,0,4,3,0,5,0,0,2,0,2,0,2
COLWRIT,N2,19414,004,Wrtg The Bridge,Elizabeth Williams; Elizabeth Williams,under,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
ECON,140,21976,001,Econometrics,Scott Carson,under,0,35,9,10,11,11,2,3,4,1,4,1,9,3,7
ECON,C125,21962,001,Environmental Econ,Liang Lu; Liang Lu,under,1,6,1,1,0,1,2,1,0,0,0,0,0,0,1
ECON,121,21960,001,Ind Org & Pub P,Marquise Mcgraw; Marquise Mcgraw,under,0,12,3,2,6,1,0,0,0,0,0,0,0,0,0
COG SCI,C142,19215,001,Language & Thou,Alexandra Carstensen; Alexandra Carstensen; Terrance Regier; Terrance Regier,under,2,3,2,1,1,2,1,0,0,0,0,0,0,0,0
GREEK,15,30702,001,The Greek Workshop,Daniel Esses; Daniel Esses; Kathleen Mccarthy,under,3,11,0,2,2,0,0,0,0,0,0,0,0,3,0
ANTHRO,119,11452,001,Med Anthro Topics,Katharine Young,under,0,2,3,2,3,0,0,0,0,0,0,0,0,0,0
PHILOS,25B,47342,002,Modern Philosophy,Timothy Crockett; Timothy Crockett,under,0,6,1,12,4,5,3,1,0,1,0,0,1,1,0
CRWRIT,130,20404,001,Creative Prose,Serena Le; Serena Le,under,2,21,0,0,0,0,0,0,0,0,0,0,0,0,1
INTEGBI,132L,34558,003,Mammal Physiol La,Austin Peck; Austin Peck; Nidhi Ahuja,under,0,7,4,2,1,1,0,0,0,0,0,0,0,0,0
UGBA,152,14926,001,Negotiation,Cort Worthington; Cort Worthington,under,0,10,6,9,4,0,0,0,0,0,0,0,0,0,0
FILM,R1B,28202,001,Writing-Film Focus,Jeffrey Skoller; Jeffrey Skoller; Katherine Guerra; Katherine Guerra,under,0,1,5,4,3,1,0,0,0,0,0,0,0,0,0
UGBA,101B,14810,002,Macroeconomics,Steven Wood,under,1,8,10,19,20,12,12,8,7,0,7,0,6,5,1
UGBA,193C,14952,001,Cpt Int'L Stdnts,Erika Burns; Erika Walker,under,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7
GEOG,N50AC,29506,001,California,Nathan Sayre; William Payne,under,0,18,1,4,1,1,1,0,0,0,1,0,2,1,0
SOC WEL,112,54918,001,Soc Welfare Polic,Genevieve Graaf; Genevieve Graaf; Hanna Mark; Hanna Mark; Jill Berrick; Jill Duerr,under,5,6,11,2,3,3,2,0,1,0,0,1,0,4,1
PSYCH,N140,50306,001,Development Psych,Amy Strage; Amy Strage,under,13,22,6,1,3,2,0,0,0,1,1,0,0,1,0
SPANISH,3,58207,001,Intermed Spanish,Azucena Hernandez-Ramirez; Azucena Hernandez-Ramirez; Miriam Hernandez-Rodriguez,under,0,4,1,1,1,2,1,0,0,0,0,0,0,4,1
COLWRIT,9R,19640,002,Engl For Speaking,Jeffrey Mcclelland; Margi Wald,under,0,8,6,4,0,0,0,0,0,0,0,0,0,1,0
GWS,40,29006,001,Special Topics,Barbara Barnes,under,4,16,4,1,0,0,0,1,0,0,0,0,1,2,0
POL SCI,150,49716,001,Amer Legal System,Eric Schickler; Susan Ostermann; Susan Ostermann,under,1,7,26,19,4,1,0,0,0,0,0,0,0,2,0
LD ARCH,12,37306,001,Env Sci Sustainab,G. Mathias Kondolf,under,1,0,2,1,4,0,1,3,0,0,0,0,0,0,0
SLAVIC,R5B,53602,001,Reading And Comp,Lyubov Golburt; Lyubov Golburt; Thomas Dyne; Thomas Dyne,under,1,10,2,0,1,0,0,0,0,0,0,0,1,0,0
CHM ENG,150B,17801,001,Trans & Separa,Robert Eldridge,under,2,5,9,4,6,4,3,4,3,0,6,0,3,0,0
MEC ENG,104,40520,001,Engr Mechanics Ii,Oliver O'Reilly,under,0,3,2,2,9,7,1,1,2,0,3,0,1,0,0
COG SCI,C101,19212,001,Mind And Language,Andrew Garrett; Oana David; Oana David,under,1,0,0,1,2,2,3,1,0,0,0,0,1,2,1
PB HLTH,107,50872,001,Viol Soc Jst Pb H,Sarah Gamble,under,0,4,4,6,1,1,0,0,0,0,0,0,0,3,1
UGBA,106,14870,005,Marketing,Wasim Azhar,under,3,8,28,7,5,1,1,0,0,0,0,0,0,0,0
PSYCH,3,50206,001,How The Brain Works,Robin Ball; Robin Ball,under,3,20,11,7,11,8,2,11,2,2,5,0,6,43,3
UGBA,102A,14816,001,Intro Fin Account,Francis Stanton,under,2,2,3,7,2,2,0,0,0,0,0,0,0,0,0
COLWRIT,R4A,19422,001,Reading & Comp,Daniel Husman; Daniel Husman,under,0,2,6,2,2,0,0,0,0,0,0,0,0,1,0
LINGUIS,R1B,39202,001,Endangered Langua,Andrew Garrett; Eric Prendergast; Eric Prendergast,under,1,10,1,0,0,0,0,1,1,0,0,0,0,0,0
SOC WEL,186,54940,001,Domestic Violence,Jennifer Jackson,under,3,6,4,0,0,0,0,0,0,0,0,0,0,2,0
SOC WEL,197,54942,001,Field Study,Christina Feliciana; Christina Feliciana,under,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1
UGBA,106,14866,003,Marketing,David Robinson,under,0,11,2,6,3,8,1,3,3,0,2,0,3,8,1
COLWRIT,5E,19442,001,Engl Thru Pop Mus,Margi Wald; Matthew Barclay,under,1,8,4,0,3,1,0,1,0,0,0,0,0,1,0
MEC ENG,109,40534,001,Heat Transfer,David Rich; David Rich,under,2,2,2,9,5,3,0,2,1,0,0,1,1,1,0
GEOG,138,29512,001,Global Environ Poli,Gustavo Oliveira; Gustavo Oliveira; Nathan Sayre,under,0,5,20,6,6,1,1,0,0,0,0,1,0,1,0
ETH STD,N180,27548,001,Sel Top Es Std Ab,Carlos Munoz,under,4,2,13,0,0,1,0,0,0,0,0,0,0,4,1
ETH STD,122AC,27540,002,Eth/Race In Am Fi,Edgar Mojica; Edgar Mojica; Raymond Telles,under,0,26,14,4,2,2,1,0,0,0,0,0,1,9,1
LEGALST,147,38614,001,Law & Economics,Corwin Vencill,under,2,16,5,4,1,0,0,1,0,0,1,0,2,3,0
SOCIOL,110,55510,001,Org & Soc Insti,Linus Huang; Linus Huang,under,13,8,1,5,8,7,1,2,2,1,1,1,3,1,0
POL SCI,W135,49672,001,Game Theory,Sean Gailmard,under,0,11,3,4,3,7,6,7,5,0,0,0,9,13,13
CY PLAN,114,18506,001,Intro Urb Reg Tra,Andrea Broaddus; Andrea Broaddus,under,0,4,4,5,5,3,3,1,0,0,0,0,0,1,0
MATH,185,39938,002,Complex Analysis,Albert Ai; Albert Ai; Lawrence Evans,under,2,11,6,4,7,1,2,2,1,0,0,0,2,0,0
MATH,128A,39930,002,Numerical Analysis,Chen Shen; Chen Shen; Lawrence Evans,under,0,8,7,8,5,4,5,3,0,0,0,0,0,0,0
UGBA,178,14938,001,Intro Internatl Bus,Daniel Himelstein,under,0,18,39,55,9,0,0,0,0,0,0,0,2,6,1
COLWRIT,7G,19540,002,Amer Cult Communi,Elizabeth Boner; Elizabeth Boner; Margi Wald,under,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2
HISTORY,N124B,31528,001,U.S. Wwii-Vietnam,Sarah Selvidge; Sarah Selvidge,under,1,3,3,8,4,0,1,1,0,0,0,0,0,5,0
HISTORY,122AC,31526,001,Antebellum Americ,Robert Chester,under,0,4,7,4,0,1,0,0,0,0,0,0,3,6,0
COLWRIT,7E,19536,002,Lang  Environmen,Margi Wald; Michele Rajotte,under,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
EPS,N82,21518,001,Intro To Oceans,Douglas Long; Douglas Long,under,1,11,9,9,16,7,5,9,7,0,2,0,4,13,2
COLWRIT,5C,19434,003,Engl Thru Film,Ivy Mills; Ivy Mills; Margi Wald,under,1,2,1,3,4,1,0,0,0,0,0,0,1,0,0
