Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
AEROSPC,135A,20963,001,Air Force Studies,Andrew Emerson,under,1,1,4,2,1,0,0,0,0,0,0,0,0,2,0
AEROSPC,135A,31223,002,Air Force Studies,Andrew Emerson,under,0,1,1,10,2,0,0,0,0,0,0,0,0,0,0
AEROSPC,1A,21395,001,Found Us Air Force,Mary Holman,under,17,4,1,0,2,0,0,0,1,0,0,0,4,0,0
AEROSPC,1A,26721,002,Found Us Air Force,Mary Holman,under,12,2,3,0,1,0,0,0,0,0,0,0,3,0,0
AEROSPC,2A,21394,001,Evolut Of Air Power,Mary Holman,under,2,8,2,0,1,0,0,2,0,0,0,0,3,4,0
AEROSPC,2A,26722,002,Evolut Of Air Power,Mary Holman,under,8,9,0,0,2,0,0,2,0,0,0,0,1,0,1
AFRICAM,101,31566,001,Research Methods,Chiyuma Elliott,under,4,8,1,0,1,1,0,0,0,0,0,0,1,1,0
AFRICAM,114,25060,001,Intro African Ling,Sam Mchombo,under,2,4,2,0,1,0,0,0,0,0,0,0,0,1,0
AFRICAM,116,20940,001,Slavery And African,Adriana Green; Ula Taylor,under,2,4,12,6,4,4,3,0,0,0,0,0,2,17,2
AFRICAM,134,25401,001,Info Tech And Soc,Gladys Wilkerson,under,10,52,4,0,2,0,0,1,0,0,0,0,2,1,1
AFRICAM,153C,25720,001,Toni Morrision,Darieck Scott,under,8,31,8,1,1,0,0,1,0,0,1,0,0,3,0
AFRICAM,164,24572,001,Spoken Word:  Oral,Aya De Leon,under,0,25,3,3,0,1,0,0,0,0,0,0,0,5,0
AFRICAM,165,31574,001,Eyes On The Prize,Chiyuma Elliott,under,9,6,0,0,2,0,0,1,0,0,0,0,0,4,0
AFRICAM,18A,26205,001,Elementary Amharic,Shiferaw Assefa,under,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0
AFRICAM,195,19283,001,Senior Capstone,Ula Taylor,under,0,2,5,2,1,0,2,1,1,0,0,0,2,0,0
AFRICAM,197,15133,002,Field Study,Sarumathi Jayaraman,under,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
AFRICAM,39B,34241,001,Fresh/Soph Seminar,John Patton,under,1,11,16,3,0,0,0,0,0,0,0,0,1,0,0
AFRICAM,4A,20957,001,Africa:  Hist & Cul,G Ugo Nwokeji,under,4,16,25,10,3,15,1,1,3,1,0,0,0,16,0
AFRICAM,5A,20969,001,Afam Life & Cul U S,Brandi Catanese,under,0,37,30,16,6,2,0,0,0,0,0,0,1,10,2
AFRICAM,C20AC,33927,001,2020 Election,Michael Cohen; Sarumathi Jayaraman,under,0,150,6,0,2,0,0,0,0,0,0,0,0,10,0
AFRICAM,R1A,20962,001,Fresh Composition,Aya De Leon,under,1,10,4,2,0,0,0,0,0,0,0,0,0,0,0
AFRICAM,R1B,23994,002,Freshmn Composition,Gabriel Regalado; Ula Taylor,under,0,5,7,4,1,0,0,0,0,0,0,0,0,0,1
AFRICAM,R1B,24210,001,Freshmn Composition,Brittany Botts; Ula Taylor,under,0,2,9,5,0,2,0,0,0,0,0,0,0,0,0
AFRICAM,W111,34437,01,"Race, Class & G",Ina Kelleher; Stephen Small,under,0,9,14,21,10,1,1,0,0,0,0,0,1,8,1
AMERSTD,10,23974,001,Intro American Stdy,Christine Palmer,under,0,0,7,4,6,3,3,1,0,0,0,0,3,14,3
AMERSTD,101AC,24933,001,Us Cultures In Time,Sarah Gold Mcbride,under,0,23,20,1,3,0,0,1,0,0,0,0,2,11,1
