Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
UGIS,82,89995,003,K-8 Teaching,Allison Krasnow; Benedikt Harrer,under,0,7,3,1,0,0,0,0,0,0,0,0,0,5,0
ARABIC,20B,62124,001,Intermediate Arabic,Hatem Bazian,under,2,4,6,1,0,0,0,0,0,0,0,0,0,1,0
SOCIOL,130,81831,001,Soc Inequalities,Daniel Schneider,under,4,17,8,9,7,5,3,3,1,2,0,0,0,2,0
PHYS ED,4,68046,007,Pe Activities,William Caraway,under,0,3,0,0,1,0,0,0,0,0,0,0,0,9,0
THEATER,125,88199,001,Performance/History,Jenefer Johnson,under,0,8,4,2,3,3,1,0,1,0,1,0,0,1,1
PHYSICS,C10,69261,001,Descriptive Intro,Steven Stahler,under,8,19,7,6,13,4,1,3,0,0,0,0,1,56,6
CHM ENG,185,10426,001,Tech Communication,Shannon Ciston,under,1,13,7,9,5,0,0,0,0,0,0,0,0,0,0
GERMAN,R5B,37251,005,Reading And Comp,Lindsay Preseau; Winfried Kudszus,under,0,9,7,2,1,0,0,0,0,0,0,0,1,0,0
NATAMST,R1B,61221,002,"Reading,Composition",Julie Underhill; Shari Huhndorf,under,2,5,1,3,0,0,1,1,2,0,0,0,1,0,0
HISTORY,101,39324,015,"Research, Writing",Felicia Viator,under,0,5,3,1,1,1,1,1,0,0,0,0,0,0,0
ENV DES,98,28713,003,Directed Group Stdy,Arami Matevosyan; Keith Plymale,under,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3
LD ARCH,130,48524,001,Sustain Landscapes,Kimberlee Stryker,under,0,28,18,11,6,1,2,2,0,0,1,0,0,4,1
SOCIOL,163,81882,001,Popular Culture,Jill Bakehorn,under,0,5,18,25,31,12,10,2,1,1,0,0,1,10,5
RHETOR,R1B,77835,009,Craft Of Writing,Felipe Gutterriez; Megan Alvarado Saggese,under,0,1,2,4,2,0,1,1,0,1,0,0,2,0,0
SOC WEL,197,80835,011,Field Study,Jill Berrick,under,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2
HISTORY,7B,39081,001,The Us Civ War Pres,Felicia Viator,under,0,80,79,67,46,12,5,8,7,0,1,0,8,57,8
UGBA,196,08307,003,Spec Topics Bus Adm,Faris Natour; Roger Mcelrath,under,3,3,1,2,3,1,0,0,0,0,0,0,0,1,0
ENGLISH,143A,28097,002,Short Fiction,Georgina Kleege,under,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0
ASAMST,132AC,05524,001,Islamophobia,Hatem Bazian,under,30,25,25,14,0,5,0,0,0,0,0,0,0,34,0
THEATER,171,88247,003,Theatre Performance,Angela Marino,under,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
PHYSICS,198BC,69609,003,Directed Group Stud,Bernard Sadoulet; Jesse Livezey,under,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2
PHYS ED,4,68040,005,Pe Activities,Richard Morris,under,0,10,0,0,1,0,0,0,0,0,0,0,0,7,1
ECON,151,22681,001,Labor Economics,Archana Dube,under,11,34,38,63,29,8,20,5,5,0,0,0,0,8,0
SPANISH,1,86115,005,Elem Spanish,Miriam Hernandez-Rodriguez; Molly Borowitz,under,0,9,5,3,0,1,0,1,0,0,0,0,0,2,1
CHEM,125,11631,001,Phys Chem Lab,Stephen Leone,under,1,5,5,3,8,6,0,4,1,0,0,0,0,0,0
THEATER,R1A,88109,003,Performce & Writing,Caitlin Marshall; Susan Kwan,under,0,0,4,3,5,1,3,1,0,0,0,0,0,0,0
MATH,185,54239,001,Complex Analysis,Jason Murphy,under,3,7,5,3,9,3,2,3,3,1,0,0,1,0,0
MCELLBI,C61,57554,001,"Brain, Mind, Behav",David Presti,under,4,55,34,34,69,0,16,45,26,0,11,0,5,30,7
ISF,100H,45545,001,Media & Intntl Rel,Gary Wren,under,3,4,10,4,9,9,11,7,6,1,1,0,1,13,3
MATH,128A,54179,001,Numerical Analysis,Ming Gu,under,10,18,24,21,19,14,4,6,10,0,10,0,18,4,6
NE STUD,109,61530,001,Mesopotamian Hist,Francesca Rochberg,under,1,4,6,1,1,1,0,0,0,0,0,0,0,2,0
ANTHRO,189,02789,003,Spec Top:Soc/Cult,Charles Hirschkind,under,3,9,0,1,4,0,3,1,0,0,0,0,1,1,0
BIO ENG,121L,06461,001,Biomems Bionano Lab,Byungrae Cho; Luke Lee,under,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0
AFRICAM,R1B,00521,003,Freshmn Composition,Nailah Suad-Bakari,under,0,4,3,4,1,1,0,0,0,0,0,0,0,0,0
ANTHRO,1,02303,001,Intro To Bio Anthro,Terrence Deacon,under,6,38,55,57,45,27,29,14,7,0,0,0,8,48,9
PHYS ED,2,67953,008,Pe Activities,Jason Britton,under,0,2,0,0,0,0,0,1,0,0,0,0,0,17,3
STAT,2,87356,002,Intro To Stat,Ann Kalinowski,under,0,11,12,16,18,7,23,9,19,0,0,0,3,17,4
CHM ENG,141,10324,001,Chem Eng Thermo,Danielle Ercek,under,2,10,14,4,44,19,11,10,3,0,1,0,1,1,0
PSYCH,10,73714,001,Res & Data Anal,Jennifer Lee,under,0,4,2,1,8,3,0,0,3,1,0,0,0,0,0
UGBA,192N,08280,001,Topics In Nonprofit,Colin Lacon,under,2,5,8,6,1,0,0,0,0,0,0,0,0,8,0
ESPM,111,29325,001,Ecosystem Ecology,Whendee Silver,under,2,3,5,3,2,2,0,2,0,0,1,0,1,1,2
SOCIOL,182,81888,001,Rac Dom/Intn'L Pers,Loic Wacquant,under,3,4,3,1,0,2,0,2,0,0,1,0,0,2,1
MAT SCI,104,53012,001,Matls Charac,Lane Martin,under,2,10,0,5,9,0,3,6,0,3,2,0,1,0,0
MEC ENG,101,55307,001,Intro Lean Mfg Sys,Sara Mcmains,under,0,4,2,1,4,0,5,0,1,0,0,0,0,0,0
JAPAN,102,21081,001,Fourth-Yr: Culture,Chika Shibahara,under,2,6,3,0,0,0,0,0,0,0,0,0,0,2,0
S ASIAN,1B,84003,001,Civ Med & Mod India,Vasudha Paramasivan,under,2,4,2,3,2,1,0,1,0,0,0,0,0,4,0
PHYS ED,2,67941,004,Pe Activities,Lon Rork,under,0,2,0,0,0,0,0,0,0,0,0,0,0,11,1
ENGLISH,R1A,27823,008,Reading And Comp,Nilofar Gardezi,under,0,1,3,1,3,0,0,0,0,0,0,0,2,0,0
UGBA,100,07902,003,Business Comm,Krystal Thomas,under,0,3,17,8,2,0,0,0,0,0,0,0,0,0,0
UGBA,183,08244,001,Intro Real Est Fin,Amir Mohsenzadeh Kermani,under,0,9,8,3,3,0,0,0,0,0,0,0,0,8,2
INTEGBI,132L,42388,005,Mammal Physiol Lab,Jeffrey Hirschey; Natalia Caporale,under,3,13,2,1,1,0,0,1,0,0,1,0,0,0,0
MATH,53,53720,001,Multivar Calculus,James Sethian,under,4,15,26,22,26,41,28,19,20,0,31,0,24,8,11
POL SCI,191,71850,001,Junior Seminar,J Ziegler,under,0,6,3,2,2,0,0,0,0,0,0,0,0,0,0
UGBA,152,08196,001,Negotiation,Holly Schroth,under,0,9,14,6,9,0,0,0,0,0,0,0,0,0,0
BIOLOGY,1AL,07302,001,General Biology Lab,Michael Meighan,under,2,100,104,78,114,91,57,47,42,0,3,3,2,7,9
FRENCH,3,32272,002,Intermediate French,Corine Stofle; Vesna Rodic,under,0,7,1,1,1,0,0,1,0,0,0,0,0,5,1
RHETOR,R1B,77812,001,Craft Of Writing,Alisa Sanchez; Felipe Gutterriez; Richard Grijalva,under,1,12,9,5,1,0,0,0,1,1,0,0,0,0,0
CHM ENG,195,10576,031,Special Topics,David Graves,under,1,3,8,6,1,0,0,0,0,0,0,0,0,5,0
CHEM,3B,11403,001,Chem Struct React,Kyle Owens; Richmond Sarpong,under,8,10,13,26,38,51,25,21,14,0,0,0,5,7,1
THEATER,173B,88262,001,Scenic Design,Carol Smart,under,0,1,4,1,2,2,1,1,0,0,0,0,0,0,1
SOCIOL,190,81912,004,Sem & Res In So,Sandra Smith,under,0,8,2,8,5,0,0,0,0,0,0,0,0,0,0
S ASIAN,R5B,84015,002,India Writers Eye,Hannah Archambault; Robert Goldman,under,0,3,5,3,3,1,0,0,0,0,0,0,1,1,0
KOREAN,10B,21936,001,Intermediate Korean,Kijoo Ko; Soojin Lee,under,1,11,5,0,1,0,0,0,0,0,0,0,0,3,0
ITALIAN,2,46927,004,Elementary Italian,Brandon Schneider,under,2,6,1,1,0,0,1,0,0,0,1,0,0,1,1
POL SCI,186,71841,001,Public Problems,Christopher Ansell,under,0,18,17,14,7,2,0,0,0,0,0,0,1,0,0
EDUC,190,23761,002,Critical Studies,Glynda Hull,under,1,21,3,4,0,1,1,0,0,0,0,0,0,0,0
POLECON,100,71206,001,Theory Of Pol Econ,Clare Talwalker,under,0,14,21,21,40,28,8,4,3,0,0,0,1,6,0
GERMAN,155,37301,001,Kafka,Chenxi Tang,under,1,2,5,5,3,0,0,0,0,0,0,0,0,0,0
PHYSICS,98BC,69324,003,Directed Group Stud,Bernard Sadoulet; Jesse Livezey,under,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
SOCIOL,3AC,81654,001,Prin Soc: Am Cultur,Tiffany Page,under,0,36,50,34,35,14,8,9,4,4,0,0,1,18,2
PHYS ED,1,67857,019,Pe Activities,Toni Mar,under,0,5,0,0,5,0,0,0,0,0,0,0,0,16,0
ENVECON,142,01263,001,Indust Organization,Kristin Kiesel,under,0,6,19,39,17,3,0,0,0,0,0,0,0,2,0
MCELLBI,150,58319,001,Molecular Immunol,Ellen Robey; Laurent Coscoy; Nilabh Shastri,under,1,20,16,20,27,11,2,3,1,0,1,0,3,9,0
PHYS ED,2,67989,020,Pe Activities,William Caraway,under,0,2,0,0,0,0,0,2,0,0,0,0,0,12,0
MUSIC,20A,60312,003,Basic Musicianship,Amalya Lehmann; Michael Orland,under,4,17,3,2,4,0,0,0,0,0,0,0,0,2,1
ENGLISH,R1B,27845,008,Reading And Comp,Kevis Bea Goodman; Spencer Strub,under,0,4,8,4,1,1,0,0,0,0,0,0,1,0,0
SLAVIC,2,79709,001,Elementary Russian,Jennifer Flaherty; Lisa Little,under,0,3,3,0,1,0,0,1,1,1,0,0,0,3,0
GWS,104,32966,001,Feminist Theory,Barbara Barnes,under,6,25,7,3,2,0,0,1,0,0,0,0,0,3,0
PHYSICS,98BC,69327,004,Directed Group Stud,Bernard Sadoulet; Punit Gandhi,under,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
SOCIOL,113AC,81786,001,Education,Brian Powers,under,1,13,14,12,5,1,0,0,0,0,0,0,1,2,1
INTEGBI,C176L,42619,001,Fish Ecology,Stephanie Carlson,under,1,3,6,5,2,3,0,0,0,0,0,0,0,0,0
POL SCI,171,71829,001,California Politics,Edward Lempert,under,0,17,7,5,10,7,0,0,0,0,1,0,1,0,0
ASAMST,145,05542,001,Politics/Pub Policy,Michael Omi,under,1,3,1,8,1,2,1,0,1,0,0,0,1,0,2
PHYS ED,11,68073,007,Pe Activities,Jeff Tedford; M. Scott,under,0,0,0,0,0,0,0,0,0,0,0,0,0,91,6
CHINESE,1B,20618,006,Elementary Chinese,Chen-Hui Tsai; Pei San Ng,under,0,6,6,0,0,0,0,0,0,0,0,0,0,1,0
ENGLISH,166,28115,001,Special Topics,Ian Duncan,under,0,9,10,5,1,0,0,0,0,0,0,0,0,0,0
SPANISH,102A,86238,002,Adv Gram And Comp,Amelia Barili,under,3,4,6,5,0,0,0,0,0,0,0,0,0,1,0
ESPM,163AC,29466,001,Enviro Just:Equity,Dara O'Rourke,under,10,49,21,13,10,2,0,1,1,0,0,0,4,10,1
KOREAN,112,21966,001,Fifth-Year: Researc,Kijoo Ko,under,2,12,4,0,0,0,0,0,0,0,0,0,0,1,0
ENVECON,C118,01254,001,Intro Econometrics,Steven Buck,under,1,8,4,4,9,10,1,2,1,0,1,0,1,0,0
RHETOR,138,77938,001,Tv Criticism,Felipe Gutterriez,under,2,7,11,9,0,0,0,0,0,0,0,0,0,0,0
PHYS ED,2,67977,016,Pe Activities,Dylan Blackburn,under,1,1,0,0,4,1,0,0,0,0,0,0,0,8,0
