Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
AERO ENG,10,32936,001,Intro Aerosp Design,Philip Marcus; Aaron Berliner; Koushil Sreenath,under,4,7,0,0,0,0,0,0,0,0,0,0,0,4,0
AERO ENG,24,32937,001,Freshman Seminars,Lawrence Kuznetz,under,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
AEROSPC,100,20881,001,Leadership Lab,Michael Kraft; Shawn Whitney; Megan Haley,under,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1
AEROSPC,135B,20882,001,Air Force Studies,Shawn Whitney,under,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
AEROSPC,135B,24712,002,Air Force Studies,Shawn Whitney,under,0,10,3,1,0,0,0,0,0,0,0,0,0,1,0
AEROSPC,1A,25344,002,Found Us Air Force,Megan Haley,under,3,6,5,1,0,0,0,0,1,0,0,0,0,2,1
AEROSPC,1B,20878,001,Found Us Air Force,Megan Haley,under,1,2,1,2,2,0,1,0,1,0,0,0,0,1,0
AEROSPC,1B,23949,002,Found Us Air Force,Megan Haley,under,7,5,8,1,0,0,0,0,0,0,1,0,2,1,0
AEROSPC,2B,20880,001,Evolut Of Air Power,Michael Kraft,under,7,12,0,0,1,0,0,0,0,0,0,0,1,2,0
AEROSPC,2B,23950,002,Evolut Of Air Power,Michael Kraft,under,6,25,0,0,0,0,0,0,0,0,0,0,0,4,0
AFRICAM,123,27063,001,Social & Political,Stephen Small,under,3,0,0,8,5,0,0,0,0,0,0,0,0,0,0
AFRICAM,126,31458,001,Africn Am Women His,Ula Taylor,under,0,8,9,11,1,3,3,1,0,0,0,1,3,5,3
AFRICAM,139,26516,001,Sel Top:Africam Soc,Michael Cohen,under,0,38,3,4,0,0,0,0,0,0,0,0,0,4,0
AFRICAM,140,26519,002,Spec Top: Cul Std,Peace And Love El Henson,under,1,5,7,1,6,4,1,0,1,0,0,0,0,1,0
AFRICAM,140,26518,001,Spec Top: Cul Std,Victoria Grubbs,under,0,24,4,0,0,0,0,0,0,0,0,0,0,1,0
AFRICAM,159,31495,002,Spec Top Afam Lit,Sam Mchombo,under,0,7,7,2,2,0,1,0,0,0,0,0,0,3,0
AFRICAM,182AC,31771,001,Social Movements An,Sarumathi Jayaraman,under,7,41,2,1,0,0,0,0,0,0,0,0,0,8,0
AFRICAM,194B,23765,001,Aatp Seminar,Takiyah Jackson,under,0,18,0,0,15,0,0,2,0,0,0,0,0,0,0
AFRICAM,194B,33404,002,Aatp Seminar,Takiyah Jackson,under,0,42,0,0,2,0,0,0,0,0,0,0,0,0,0
AFRICAM,198BC,17062,001,Directed Group Stud,Keith Feldman,under,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2
AFRICAM,28AC,20890,001,Glob & Min Am Comm,Frederick Vincent,under,15,18,7,3,4,3,1,4,0,0,1,0,3,3,1
AFRICAM,4B,26511,001,Africa:  Hist & Cul,Arif Gamal,under,23,17,0,1,0,0,1,1,0,0,0,0,0,5,0
AFRICAM,5B,24169,001,Afam Life & Cul U S,Nikki Jones,under,6,39,14,9,6,3,1,3,0,0,2,0,1,3,2
AFRICAM,98BC,17064,001,Directed Group Stud,Keith Feldman,under,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
AFRICAM,R1B,23959,001,Freshmn Composition,Ashia Ajani,under,0,2,8,4,1,0,1,0,1,0,0,0,0,0,0
AFRICAM,R1B,31395,002,Freshmn Composition,Nikki Jones; Michael Myers II,under,0,0,2,2,5,1,0,1,1,2,0,0,1,0,0
AGRS,10B,26790,001,Intro Ancient Rome,Christopher Hallett,under,4,42,26,28,18,7,1,4,2,0,0,0,3,40,7
AGRS,130B,30785,001,The Origins Of Rome,J Pena,under,0,2,3,1,2,0,0,0,0,0,0,0,0,9,0
AGRS,130F,32697,001,The History Of Hell,Trevor Murphy,under,0,5,7,3,6,0,1,3,1,0,0,0,0,2,0
AGRS,130S,33276,001,God Philosophers,Giovanni Ferrari,under,2,15,4,2,0,0,0,0,0,0,0,0,0,2,0
AGRS,161,31670,001,Gender Anc World,Leslie Kurke; Mary Mussman,under,0,8,3,3,7,1,1,0,0,0,0,0,0,8,0
AGRS,17A,30766,001,Elem Greek Arch,Kathleen Mccarthy; Maribelisa Gillespie,under,16,8,2,2,3,0,0,1,0,0,0,0,2,12,2
AHMA,R1B,30779,001,Read Comp Ahma,Emily Mackil; Jesse Obert,under,1,6,0,1,3,3,0,0,0,0,0,0,2,0,0
AMERSTD,10,20926,001,Intro American Stdy,Christine Palmer; Mark Brilliant,under,2,8,5,8,4,6,8,4,5,1,1,3,6,20,1
AMERSTD,101,23957,002,Us Cultures In Time,Michael Cohen,under,0,42,0,1,0,0,0,0,0,0,0,0,0,2,0
AMERSTD,102,20930,001,Us Cultures/Place,Alexander Craghead,under,1,4,5,2,4,1,1,1,3,0,0,0,0,0,0
AMERSTD,102,24833,002,Us Cultures/Place,Andrew Shanken,under,7,9,11,3,5,3,1,1,0,0,0,0,2,2,0
AMERSTD,102AC,33583,001,Us Cultures/Place,Sarah Gold McBride,under,0,15,10,13,2,4,0,0,0,0,0,0,0,4,0
