Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
ANTHRO,123A,33163,001,Old World Prehistor,Lisa Maher,under,18,8,6,4,0,0,0,0,0,0,0,0,1,2,1
ANTHRO,128,30782,001,Spec Topics In Arch,Nicholas Laluk,under,23,12,0,2,4,0,0,1,0,0,0,0,0,1,2
ANTHRO,128M,30237,001,Topics:Arch/Method,Jun Sunseri,under,6,5,1,0,0,0,0,0,0,0,0,0,0,3,0
ANTHRO,135,32591,001,Paleoethnobotany,Christine Hastorf,under,0,9,2,2,2,1,0,0,1,0,0,0,0,0,1
ANTHRO,150,24612,001,Utopia: Art & P,Alexei Yurchak,under,1,28,12,6,4,0,0,1,0,0,0,0,0,5,1
ANTHRO,156A,32906,001,Politics And Anthro,James Holston,under,0,53,2,0,0,0,0,0,0,0,0,0,0,0,1
ANTHRO,169C,25417,001,Ling Anthr Method,William Hanks,under,1,3,8,4,5,0,0,0,0,0,0,0,0,5,1
ANTHRO,170,23846,001,China,Xin Liu,under,7,14,12,1,0,0,0,0,0,0,0,0,0,10,0
ANTHRO,189,32315,004,Spec Top:Soc/Cult,Jackie Feldman,under,7,1,5,2,1,2,0,0,0,0,0,0,0,4,0
ANTHRO,196,32316,001,Undergrad Sem,Daena Funahashi,under,8,2,0,0,0,0,0,0,0,0,0,0,1,1,0
ANTHRO,198,33674,001,Directed Group Stdy,Sabrina Agarwal,under,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
ANTHRO,2AC,20816,001,Intro Archaeology,Christopher Lowman,under,60,162,10,2,5,1,0,0,0,0,0,0,2,30,0
ANTHRO,3AC,20758,001,Intro Soc/Cult Ac,Daniel Fisher,under,0,91,40,26,27,20,6,7,6,1,7,2,4,53,8
ANTHRO,C119A,33810,001,"Hlth, Med, Soc,Env",Seth Holmes,under,1,7,3,0,3,0,0,0,0,0,0,0,1,1,0
ANTHRO,C125A,24683,001,Arch East Asia,Junko Habu,under,2,13,6,8,2,1,0,0,0,0,0,0,0,0,0
ANTHRO,C12AC,23797,001,"Fire: Past, Present",Scott Stephens; Kent Lightfoot,under,13,42,11,3,7,2,1,1,1,0,0,0,0,16,2
ANTHRO,R5B,20739,001,Reading & Comp,Rosemary Joyce; Gustavo Capela,under,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTHRO,R5B,20740,002,Reading & Comp,Rosemary Joyce; Rosa Norton,under,2,16,0,0,1,0,0,0,0,0,0,0,0,0,0
ANTHRO,R5B,20741,003,Reading & Comp,Rosemary Joyce; Angela Castillo Ardila,under,2,16,1,0,0,0,0,0,0,0,0,0,0,1,0
ANTHRO,R5B,30787,004,Reading & Comp,Rosemary Joyce; Philip Balboni,under,4,13,0,0,0,0,0,0,0,0,0,0,0,3,0
ARABIC,1A,20829,004,Elementary Arabic,Elsa Elmahdy; Doaa Atamna,under,1,7,1,0,0,0,0,0,0,0,0,0,0,1,3
ARABIC,1A,20834,001,Elementary Arabic,Nathalie Khankan,under,4,6,1,0,0,0,0,0,0,0,0,0,0,2,0
ARABIC,1A,20835,002,Elementary Arabic,Nathalie Khankan,under,1,3,1,0,2,0,0,0,0,0,0,0,0,0,3
ARABIC,1A,20836,003,Elementary Arabic,Amel Belguith,under,2,10,2,1,0,1,0,0,0,0,0,0,0,1,0
ARABIC,20A,20831,001,Intermediate Arabic,Haitham Mohamed,under,4,5,2,0,0,0,0,0,0,0,0,0,0,3,0
ARCH,100A,20452,001,Fund Of Arch Design,William Atwood,under,0,16,17,37,26,12,1,0,0,0,0,0,0,0,0
ARCH,100C,20565,006,Arch Design Iii,Mark Anderson,under,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0
ARCH,100C,20647,008,Arch Design Iii,Javier Arizmendi,under,2,1,3,3,4,0,0,1,1,0,0,0,0,0,0
ARCH,100C,20446,004,Arch Design Iii,Keith Plymale,under,0,5,4,2,0,1,0,0,0,0,0,0,0,0,0
ARCH,100C,20447,005,Arch Design Iii,Nastaran Mousavi,under,0,3,2,4,1,1,1,1,1,0,0,0,0,0,0
ARCH,100C,20570,007,Arch Design Iii,Ronald Rael,under,0,7,1,1,0,2,1,1,0,0,0,0,0,0,0
ARCH,100C,33675,009,Arch Design Iii,Michael Young,under,0,5,4,4,2,0,0,0,0,0,0,0,0,0,0
ARCH,100C,34027,001,Arch Design Iii,Neyran Turan,under,0,1,5,3,3,1,1,0,1,0,0,0,0,0,0
ARCH,102A,20448,001,Capstone Prep Sem,Catherine Covey,under,1,7,1,2,0,1,1,0,0,0,0,0,0,0,0
ARCH,11A,20481,001,Intro Vis Rep Draw,Peter Suen,under,4,17,26,4,5,8,2,0,0,0,0,2,2,0,1
ARCH,130,20470,001,Intr Arch Des Th/Cr,C Crysler,under,12,27,14,9,3,1,1,1,2,0,0,0,0,0,0
ARCH,142,20563,001,Sustainability Coll,Gail Brager,under,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2
ARCH,150,20475,001,Intro To Structures,Andrew Rastetter,under,4,23,19,6,20,7,4,9,3,0,0,0,1,1,0
ARCH,170A,20463,001,"Hist, Arch&Urbanism",Andrew Shanken,under,0,32,52,29,19,1,0,1,3,0,0,0,2,6,2
ARCH,98BC,16653,002,Directed Group Stud,Margaret Crawford,under,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1
ARMENI,1A,20853,001,Intro Armenian,Myrna Douzjian,under,2,3,2,0,0,0,0,0,0,0,0,0,0,5,1
ART,102,20850,001,Adv Ptng R&M,Indira Morre,under,5,9,2,2,0,0,0,0,0,0,0,0,0,0,0
ART,103,23677,001,Adv Pntng Portrait,Gabrielle Wolodarski,under,4,8,0,1,2,0,0,1,0,0,0,0,0,1,0
ART,116,24323,001,Anc.Pigmts&Cont Drw,Craig Nagasawa,under,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ART,118,23163,001,Adv Draw Figure,Indira Morre,under,7,9,1,0,0,0,0,0,0,0,0,0,1,0,0
ART,119,33825,002,Gpca,Sholeh Asgary,under,14,5,1,1,0,0,0,0,0,0,0,0,0,0,0
ART,119,20844,001,Gpca,Genevieve Quick,under,0,5,9,2,2,0,0,1,1,0,0,0,0,0,0
ART,12,20849,001,Drawing: Fdns,Craig Nagasawa,under,2,14,0,0,0,0,0,0,0,0,0,0,0,2,0
ART,123,32568,001,Adv Prntmkg Screen,Emily Gui,under,3,13,4,0,0,0,0,0,0,0,0,0,0,0,0
ART,13,20852,001,Painting: Fdns,Fred Dewitt,under,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0
ART,132,23164,001,Adv Ceramcs Methods,Sahar Khoury,under,0,14,0,2,0,0,0,1,0,0,0,0,0,0,0
ART,133,26197,001,Adv Sculpt Material,Brody Reiman,under,1,12,3,1,0,0,0,0,0,0,0,0,0,0,0
ART,136,32570,001,Adv Sculpt: Rad Wea,Stephanie Syjuco,under,0,10,3,2,2,0,0,0,0,0,0,0,0,1,0
ART,15,20847,001,Ceramics: Fdns,Emma Logan,under,0,14,1,2,0,0,0,0,0,0,0,0,0,0,0
ART,16,20848,001,Prnt:Rlf/Int:Fdns,Irene Carvajal,under,2,7,2,1,2,1,0,1,1,0,0,0,0,0,1
ART,163,26287,001,Social Practice: Critical Site,Jill Miller,under,1,7,3,2,0,0,0,0,0,0,0,0,0,0,0
ART,171,26198,001,Video Projects,Sholeh Asgary,under,3,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ART,173,20839,001,Electro-Crafting,Christopher Kubick,under,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0
ART,180,32598,001,Advanced Digital Ph,Arielle Rebek,under,0,8,7,2,0,0,0,0,1,0,0,0,0,1,0
ART,185,23165,001,Sn Projects,Brody Reiman,under,7,10,4,0,1,0,0,0,0,0,0,0,0,0,0
ART,185,23284,002,Sn Projects,Jill Miller,under,0,15,3,4,0,0,0,0,0,0,0,0,0,0,0
ART,199,34102,006,Superv Indep Study,Jill Miller,under,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
ART,21,20851,001,Digital Photo: Fdns,Amy Elkins,under,4,10,1,0,1,0,0,0,0,0,0,0,0,2,0
ART,23AC,32567,001,Digital Media: Fdns,Greg Niemeyer,under,0,42,0,0,0,0,0,0,0,0,0,0,0,8,0
ART,26,25228,001,Moving Image: Fdns,Anahita Hekmat,under,1,7,4,1,0,0,0,0,1,0,0,0,0,0,0
ART,8,20855,001,Intro Vis Thinking,Al An deSouza,under,0,58,0,0,0,0,0,0,0,0,0,0,0,1,0
ASAMST,128AC,20857,001,Muslims In America,Aian Mendoza; Hatem al-Bazian; Nilam Faqhir; Muhammad Yusuf Tarr,under,142,47,7,1,1,0,0,0,1,0,0,0,1,11,0
ASAMST,131,23217,001,Asian Diaspora,Khatharya Um,under,0,4,5,4,1,1,0,0,0,0,0,0,0,4,0
ASAMST,138,24738,001,Topics Asn Pop Cult,Hannah Michell,under,3,6,12,9,2,2,0,0,0,0,0,0,0,4,0
ASAMST,141,24119,001,Law In Asam Commun,Michael Chang,under,1,10,10,0,0,0,0,0,0,0,0,0,0,1,0
ASAMST,143AC,23136,001,As Am Health,Winston Tseng,under,20,11,0,0,1,0,0,0,0,0,0,0,0,6,1
ASAMST,146,23223,001,Asian Amer & Ed,Lisa Hirai Tsuchitani,under,0,11,6,2,3,1,0,0,0,1,0,0,0,3,0
ASAMST,197,15890,014,Field Study,Eunice Kwon; Lok Siu,under,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
