Abbreviation,CourseNum,CCN,SectionNum,CourseDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
UGBA,190T,10549,002,Topics Innov/Design,Michael Barry; Virginia Rath,under,3,6,8,4,1,0,0,0,0,0,0,0,0,1,0
UGBA,10,10551,001,Principles Of Bus,Cristina Banks; John Briginshaw; Judith Hopelain; Omar Romero-hernandez,under,24,63,133,100,95,24,15,2,2,0,0,0,1,21,1
UGBA,106,10554,001,Marketing,Wasim Azhar,under,6,53,39,66,40,17,9,3,0,0,0,0,0,2,0
UGBA,107,10582,001,Soc & Pol Eth Env,Alan Ross; Alexandria Yuan; Juan Ramirez; Sara Green,under,4,27,69,86,34,11,3,1,0,0,0,0,0,0,0
UGBA,192P,10597,001,Sust Bus Consulting,Claudia Lesser; Michael Kobori,under,2,10,7,6,2,0,0,0,0,0,0,0,0,2,0
UGBA,192N,10615,001,Topics In Nonprofit,Joseph Dougherty,under,2,4,11,8,3,0,0,0,0,0,0,0,0,2,0
UGBA,105,10617,001,Leading People,Dana Carney,under,17,38,42,80,61,12,0,0,0,0,0,0,0,5,1
UGBA,121,10640,001,Fed Inc Tax Acctg,Alan Cerf,under,2,14,3,0,13,0,0,1,0,0,0,0,0,1,0
UGBA,196,10652,003,Spec Topics Bus Adm,Charles Huggins; Solomon Fulp,under,1,5,17,4,2,0,0,0,0,0,0,0,1,3,0
UGBA,196,10653,004,Spec Topics Bus Adm,Ericka Lutz,under,1,5,4,6,1,0,0,0,0,0,0,0,0,1,0
UGBA,120B,10659,001,Adv Fin Accounting,Francis Stanton,under,3,11,5,1,7,0,0,0,0,0,0,0,0,4,0
UGBA,196,10664,001,Spec Topics Bus Adm,Fred Selinger,under,11,45,37,17,15,4,1,1,0,0,0,0,0,131,0
UGBA,196,10665,002,Spec Topics Bus Adm,Fred Selinger,under,11,23,18,8,9,2,1,0,0,0,0,0,0,58,1
UGBA,127,10671,001,Spec Topics In Acct,John Mccauley,under,5,2,4,4,1,0,0,0,0,0,0,0,0,10,0
UGBA,103,10687,001,Intro To Finance,Dmitry Livdan; William Fuchs,under,5,24,17,23,22,22,2,3,0,0,0,0,0,14,0
UGBA,103,10688,002,Intro To Finance,Dmitry Livdan; William Fuchs,under,5,23,20,25,17,22,1,4,0,0,0,0,2,11,1
UGBA,175,10697,001,Legal Aspects,Alan Ross,under,1,8,7,10,5,4,0,1,1,0,1,0,0,8,0
UGBA,102A,10705,001,Intro Fin Account,Francis Stanton,under,13,29,29,0,23,17,0,6,1,0,0,0,0,10,1
UGBA,102A,10706,002,Intro Fin Account,Francis Stanton,under,8,6,19,5,9,11,3,1,0,0,0,0,0,0,0
UGBA,122,10718,001,Fin Info Analysis,Patricia Dechow,under,13,15,4,2,3,0,2,0,1,0,0,0,0,8,0
UGBA,102B,10733,001,Intro Manager Acct,John Briginshaw,under,5,19,36,22,23,16,7,2,1,0,2,0,0,1,0
UGBA,167,10740,001,Spec Topics In Mkt,David Robinson,under,1,7,11,7,5,3,1,1,0,0,0,0,0,6,0
UGBA,180,10743,001,Intro Real Estate,David Nelson,under,5,54,10,21,19,7,0,2,2,0,0,0,0,12,0
