Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
NATAMST,R1B,61165,001,"Reading,Composition",Fuifuilupe Niumeitolu; Thomas Biolsi,under,1,8,4,2,0,0,0,0,0,0,0,0,1,0,0
ASTRON,C13,05974,001,Orgins Big Bang,Charles Marshall; Eliot Quataert,under,2,7,5,6,3,3,4,0,0,1,0,0,1,16,1
AFRICAM,100,00620,001,Black Intllctl Thgh,Leigh Raiford,under,0,7,2,2,2,2,1,3,0,1,2,0,1,0,0
COMPSCI,98,26539,030,Directed Group Stdy,Paul Hilfinger,under,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3
PHYS ED,1,68117,039,Pe Activities,Russell Ahn,under,0,4,0,2,1,0,0,0,0,0,0,0,0,7,0
GPP,105,38303,001,Global Practice,Clare Talwalker,under,1,4,5,2,1,0,0,0,0,0,0,0,0,0,0
HISTORY,2,39014,001,Comp World Hist,Rebecca Mclennan; Victoria Frede,under,0,13,21,8,14,4,2,0,1,0,0,0,1,21,5
CIV ENG,115,14126,001,Water Chemistry,David Sedlak,under,2,11,2,10,4,3,1,0,0,0,2,0,1,2,0
INTEGBI,160,42339,001,Evolution,Jeffrey Boore; Kevin Padian,under,8,23,22,11,21,13,12,8,3,1,1,0,3,2,2
COM LIT,R1B,17251,010,Engl Comp World Lit,Michael Lucey; Oya Erez; Sydney Cochran,under,2,5,11,9,5,1,0,0,0,0,0,0,1,0,0
SOCIOL,185,83082,001,Global Sociology,Jill Bakehorn,under,1,3,2,0,2,0,0,0,0,0,0,0,0,4,0
UGBA,100,08179,006,Business Comm,Evan Elliot,under,0,0,18,7,0,0,0,0,0,0,0,0,0,0,0
UGIS,188,89062,001,Research Methods,Kevin Lai,under,0,5,3,2,0,0,0,0,0,0,0,0,0,0,1
PSYCH,198,74700,001,Directed Group Stdy,Lucia Jacobs,under,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
ECON,191,22759,001,Topic Econ Research,Barry Eichengreen,under,0,5,6,6,5,2,2,0,0,0,0,0,1,5,4
MAT SCI,125,53130,001,Thin-Film Mat Sci,Oscar Dubon,under,1,0,0,4,5,0,1,1,1,0,0,0,0,0,0
SPANISH,1,86120,007,Elem Spanish,Jeremias Zunguze; Miriam Hernandez-Rodriguez,under,0,5,5,0,1,2,0,0,0,0,0,0,0,3,1
INTEGBI,154,42291,001,Plant Ecology,David Ackerly,under,0,9,5,4,11,3,1,2,0,0,1,0,0,3,0
JAPAN,10A,21060,001,Interm Japanese,Yasuko Baker; Yuriko Caltabiano,under,0,5,3,1,1,0,1,0,0,0,0,0,0,4,0
PACS,130,66756,002,Cross-Listed Topics,Clare Talwalker,under,0,2,2,1,3,1,0,0,0,0,0,0,1,0,0
STAT,135,87570,001,Concepts Of Stat,Shobhana Murali Stoyanov,under,11,10,10,13,11,15,4,8,5,0,4,0,2,0,3
ARABIC,1A,62009,003,Elementary Arabic,Elsa Elmahdy; Friedman Rachel,under,0,8,0,0,2,0,0,0,1,0,0,0,1,4,1
RHETOR,171,77932,001,Mass Culture,Felipe Gutterriez,under,0,10,8,12,0,0,0,0,0,0,0,0,0,1,2
ECON,C110,22543,001,Game Theory Soc Sci,Robert Powell,under,0,33,20,20,23,12,17,10,3,2,1,0,1,5,0
COMPSCI,198,26153,037,Directed Group Stdy,James Lee; Pieter Abbeel; Yerin Kim,under,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6
CIV ENG,105,14105,001,Env Fluid Mech Des,Mark Stacey,under,2,19,3,2,1,0,0,0,0,0,0,0,0,0,0
CHEM,1AL,11159,002,General Chem Lab,Peter Marsden,under,27,256,50,2,0,0,0,1,2,0,0,0,1,3,2
NUSCTX,110,64647,001,Toxicology,Daniel Nomura; Jen Chywan Wang,under,4,35,12,7,12,2,1,2,0,0,0,0,0,3,1
MUSIC,20A,60365,005,Basic Musicianship,Elizabeth De Martelly; Karen Rosenak,under,8,12,1,4,7,1,2,0,1,1,0,0,0,2,1
SPANISH,135W,86265,001,Writing Intensive,Sonia Cajade Frias,under,3,9,3,0,0,0,0,0,0,0,0,0,1,0,1
ART,16,04333,001,Intro Printmaking,Randy Hussong,under,0,13,2,0,3,2,0,0,0,0,0,0,0,0,0
CHEM,196,12170,017,Special Lab Study,Michelle Douskey,under,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
LINGUIS,110,52308,001,Phonets & Phonol,Keith Johnson,under,3,11,28,5,7,8,15,5,4,2,1,0,1,0,1
AFRICAM,155,00665,001,Lit Carib: Sig Them,Aparajita Nanda,under,0,4,3,5,2,0,0,0,0,0,0,0,0,0,1
THEATER,144,88153,001,Sources Of Movement,Peggy Hackney,under,0,8,8,5,4,0,0,0,0,0,0,0,0,2,0
COMPSCI,9F,26118,001,Programmers' C++,Paul Hilfinger,under,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11
MUSIC,158,60703,002,Appl Computer Music,Edmund Campion; Ilya Rostovtsev,under,6,24,3,0,0,0,0,0,0,0,0,0,2,0,1
SOCIOL,166,81843,001,Society & Technolog,Timothy King,under,38,28,13,7,5,4,1,1,1,0,1,0,0,6,0
COLWRIT,R1A,16415,003,College Writing 1a,Jordan Ruyle,under,0,2,2,1,3,3,0,0,1,1,1,0,0,0,0
ESPM,102BL,29148,001,Sampling Lab,Gregory Biging,under,2,7,0,7,1,0,2,1,0,0,0,0,0,0,0
SOCIOL,190,81861,002,Sem & Res In So,Samuel Lucas,under,0,3,3,3,4,2,1,3,0,0,0,0,0,0,0
CLASSIC,R44,14739,001,Roots Western Civ,Dylan Sailor; Ellen Oliensis,under,1,22,28,22,15,3,1,0,0,0,0,0,6,1,1
ARABIC,100A,62033,001,Advanced Arabic,Hatem Bazian,under,6,9,5,1,1,0,0,0,0,0,0,0,0,1,0
