Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
EPS,102,19048,001,Hist/Evol Pl Earth,Bruce Buffett,under,7,11,13,7,9,2,3,2,0,0,0,0,0,1,0
SPANISH,135W,86241,001,Writing Intensive,Dru Dougherty,under,0,2,5,5,2,1,0,0,0,0,0,0,1,0,0
PSYCH,C123,74088,001,Comp Models Of Cog,Thomas Griffiths,under,7,12,1,2,2,0,0,1,0,0,0,0,0,4,0
AMERSTD,139AC,02072,001,Us Social Movements,Lisa Cardyn,under,0,2,1,5,1,2,2,2,4,0,0,0,2,2,1
COM LIT,R1B,17269,017,Engl Comp World Lit,Johnathan Vaknin; Kfir Cohen; Michael Lucey,under,1,3,1,7,10,5,1,0,0,0,0,0,0,0,0
ANTHRO,115,02612,001,Intro Med Anthro,Lawrence Cohen,under,2,28,20,14,6,1,0,0,0,0,0,0,1,9,1
CHINESE,1B,20615,005,Elementary Chinese,Chen-Hui Tsai; I-Hsuan Chen; Xiaojing Sun,under,0,8,7,0,1,1,0,0,0,0,0,0,0,3,0
ENGLISH,166,28204,003,Special Topics,Justin Eichenlaub,under,1,21,1,2,1,0,0,0,0,0,0,0,0,1,0
CY PLAN,116,13586,001,Urban Plng Process,Kimberly Suczynski,under,3,13,4,5,0,0,0,0,0,0,0,0,0,0,0
MUSIC,150H,60653,001,Early Music Perfor,Carla Moore; David Tayler; Davitt Moroney; Elisabeth Reed; George Emblom; John Dornenburg; Katherine Heater,under,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0
CHM ENG,154,10448,001,Chem Eng Laboratory,Alexander Katz; Clayton Radke; David Graves,under,5,10,8,13,12,9,1,1,1,0,1,0,1,0,0
MUSIC,142,60593,002,Univ Wind Ensemble,Robert Calonico,under,0,127,0,0,0,0,0,0,0,0,0,0,0,1,0
UGBA,10,08053,001,Principles Of Bus,Cristina Banks; David Robinson; David Vogel,under,21,42,53,86,61,29,18,17,13,0,1,0,4,50,24
KOREAN,1B,21915,005,Elementary Korean,Minsook Kim; Seung-Eun Chang,under,2,13,3,0,0,0,0,0,0,0,0,0,0,1,0
