Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
LINGUIS,C105,15595,001,Cognitive Linguisti,Keith Johnson; Schuyler Laparle,under,2,3,1,2,1,1,0,0,0,0,0,0,0,0,0
COLWRIT,6P,15878,002,Esl Pronunc Skills,David Wiese; Margi Wald; Paula Runnals,under,0,3,1,4,6,3,0,2,0,0,0,0,0,1,0
ENV DES,2,13333,003,Summer Institute,Jason Luger,under,13,13,4,0,0,0,0,0,0,0,0,0,0,5,0
MUSIC,20A,15694,004,Basic Musicianship,Carla Brunet,under,6,10,7,1,1,0,0,0,0,0,0,0,1,2,2
PHYS ED,1,15381,102,Pe Activities,Alexandra Cummins,under,0,2,1,0,0,0,0,0,0,0,0,0,0,19,2
SCANDIN,R5B,14207,101,Reading & Comp,Karin Sanders; Tiffany White,under,8,3,1,0,0,0,0,1,0,0,0,1,0,0,0
ART,119,14081,001,Gpca,Edith Garcia Monnet,under,7,5,0,0,2,0,0,0,0,0,0,0,0,0,0
ECON,140,13581,001,Econometrics,Scott Carson,under,0,28,10,8,9,4,6,8,7,2,2,1,7,0,0
LEGALST,132AC,15343,001,Immgrtn & Citiznshp,Abigail Stepnitz; Carrie Rosenbaum,under,0,3,5,2,2,4,3,1,0,0,1,0,0,0,0
ETH STD,101A,13605,001,Soc Sci Methods,John Dougherty,under,0,7,4,2,3,0,0,0,0,0,0,0,0,0,1
FILM,177,14261,001,Entertainment Law,Isaac Hager; Sachiko Schuricht,under,10,4,4,5,0,0,3,3,1,1,0,1,0,5,4
UGBA,102B,13183,001A,Managerial Acct,Leslie Vaughan,under,0,8,5,5,2,3,1,0,0,2,0,0,0,0,0
FILM,R1B,14263,001,Writing-Film Focus,Kaitlin Forcier; Mark Sandberg,under,1,6,3,1,2,1,0,0,0,0,0,0,0,0,0
COLWRIT,6H,14281,002,Esl Writing,David Wiese; Margi Wald; Michelle Baptiste,under,5,10,1,0,0,0,0,0,0,0,0,0,2,0,0
COG SCI,C101,15604,001,Cognitive Linguisti,Keith Johnson; Schuyler Laparle,under,1,8,1,2,2,0,0,0,0,0,0,0,0,0,0
ECON,182,13590,001,Intl Monet Econ,Bilal Bagis,under,2,3,4,5,9,6,2,1,0,1,1,0,0,1,2
SPANISH,122,14021,001,Spanish Civilizatn,Maria del Mar Vega-Fernandez,under,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0
CLASSIC,10A,13472,001,Intro Greek Civ,Dylan Sailor; Evan Vance,under,0,7,1,2,2,0,0,1,0,0,0,0,0,1,1
ANTHRO,R5B,13383,003,Reading & Comp,Ralph Steinhardt; Rosemary Joyce,under,0,6,2,4,2,2,0,0,0,0,0,0,0,0,0
POL SCI,149W,13961,001,Topics In Area Stdy,Jason Wittenberg; Sarah Lee,under,0,11,8,8,11,2,0,0,0,1,0,0,0,2,0
THEATER,5,15532,005,Public Speaking,Mark Rafael,under,2,11,7,0,0,0,0,0,0,0,0,0,0,0,0
CHICANO,R1A,16177,001,Reading & Comp,Ramon Grosfoguel; Richard Grijalva,under,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0
BIOLOGY,1A,13434,001,General Biology Lec,Erol Kepkep; James Baxter; Mark Barnby; Michael Meighan,under,1,21,25,11,30,20,16,14,3,0,0,0,0,0,1
UGBA,105,13194,001A,Leading People,Janet Brady,under,0,6,10,8,9,1,0,0,1,0,0,0,0,0,0
ENGLISH,143N,15431,001,Prose Nonfiction,Max Stevenson; Oliver Arnold; Steven Justice,under,0,5,4,2,0,0,0,0,0,0,0,0,0,2,0
MCELLBI,63L,15722,001,Intro Neuroanat Lab,Anmol Chadha; Fei Lin; Robin Ball,under,0,4,3,1,1,1,1,1,1,0,0,0,0,0,0
FRENCH,43A,13626,001,Aspects Fr Culture,Daniel Hoffmann,under,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0
COM LIT,W60AC,14457,001,Lit Amer Cultures,Karina Palau,under,0,22,3,1,4,0,0,0,0,0,0,0,1,11,1
UGBA,122,13212,001,Fin Info Analysis,John Briginshaw,under,3,5,7,4,3,0,0,0,0,0,0,0,0,2,0
ESPM,105B,15986,002,For Measurements,Robert York,under,10,13,4,1,0,0,0,0,0,0,0,0,0,0,0
COLWRIT,9E,13526,002,Esp Business Engl,Aida Corpuz; David Wiese; Margi Wald,under,0,4,7,5,0,1,0,0,0,0,0,0,1,0,0
POL SCI,140M,15863,001,Topics In Comp Pol,Christopher Ansell; Melanie Phillips; Rachel Fisher,under,4,6,6,3,5,3,3,2,3,0,0,0,2,0,0
COLWRIT,6Q,15882,001,Esl Adr Professnals,Barrie Roberts; David Wiese; Margi Wald,under,3,15,0,0,0,0,0,0,0,0,1,0,0,0,0
