Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
ESPM,164,23534,001,Gis And Env Science,Kelly Easterday; Nina Kelly,under,0,8,3,6,6,1,2,1,0,0,0,0,0,1,0
AFRICAM,5A,12334,001,Afam Life & Cul U S,Brandi Catanese,under,0,11,27,12,12,13,8,3,2,0,0,0,2,5,0
IND ENG,131,46004,001,Discrete Event Sim,Theresa Roeder,under,6,16,7,6,7,3,3,4,2,1,1,0,0,1,0
MATH,1A,16455,003,Calculus,Sug Woo Shin,under,20,43,60,36,45,41,26,20,26,8,11,6,1,9,23
BIO ENG,C165,24690,001,Med Img Sig & S,Steven Conolly,under,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0
BIO ENG,168L,44503,001,Prac Lt Microscopy,Daniel Fletcher,under,0,9,4,2,3,2,0,0,0,0,0,0,0,0,0
MEC ENG,108,39564,001,Mech Beh Eng Matris,Kyriakos Komvopoulos,under,0,2,12,16,9,18,6,5,2,2,0,0,1,0,0
SPANISH,2,20985,003,Elem Spanish,Miriam Hernandez-rodriguez; Victor Quiroz Ciriaco,under,0,3,3,0,1,1,0,2,1,0,0,0,0,8,2
COLWRIT,R1A,13479,004,College Writing 1a,Michelle Baptiste,under,0,7,0,1,4,1,0,1,0,0,0,0,0,0,0
NUC ENG,120,39764,001,Nucl Mater,Amanda Lupinacci,under,0,3,5,8,6,4,0,0,0,0,0,0,0,0,1
CHEM,1A,10782,003,General Chemistry,Alexander Pines; Anjum Fitch; Aya Buckley; Dean Toste; Kristie Boering; Rebecca Triano,under,1,41,23,55,32,22,26,43,16,0,9,0,4,9,6
STAT,20,20960,001,Intro Prob Stat Cal,Adam Lucas,under,14,32,43,36,41,43,28,76,29,0,15,0,7,8,10
PACS,100,18321,001,Peace Theories,Karenjot Bhangoo Randhawa,under,0,5,7,5,6,0,1,0,0,0,0,0,0,7,1
PHILOS,12A,18591,001,Intro To Logic,Seth Yalcin,under,27,25,13,14,8,4,1,1,4,0,1,0,2,43,8
XPHILOS,2,43068,002,Ind Moral/Soc Just,Richard Kim,under,0,6,7,6,8,4,2,2,0,0,0,1,0,7,1
XMATH,16A,43140,003,Anal Geo & Calc,Arun Sharma,under,0,4,2,1,3,2,0,2,0,0,0,0,0,1,0
ECON,C102,13917,001,Nat Res Econ,Larry Karp,under,3,9,13,7,6,2,0,0,0,0,0,0,0,2,1
PHYSICS,141A,18817,001,Solid State Physics,James Analitis,under,1,8,12,6,7,0,1,1,1,0,1,0,0,0,2
PB HLTH,130,46924,001,Advanced Health Pol,Robin Flagg,under,0,11,12,1,0,0,0,0,0,0,0,0,0,0,0
GWS,C146A,15156,001,Rep Sexuality/Lit,Melinda Chen,under,1,5,3,2,4,4,0,2,0,0,0,0,0,8,0
ETH STD,198,14848,003,Superv Group Study,Victoria Robinson,under,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
CHM ENG,196,11765,008,Special Lab Study,Jay Keasling,under,4,8,0,0,2,0,0,0,0,0,0,0,0,0,0
