Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
AFRICAM,R1A,1,Aparajita Nanda,,6,2,7,1,,1,1,,,,,,,,1,,
AFRICAM,R1B,1,Aparajita Nanda,2,4,4,6,3,,,,,,,,,,,,,
AFRICAM,R1B,2,Charisse Burden-Stelly; Nailah Suad-Bakari,,2,4,3,4,1,1,,,,,,,,,,,2
AFRICAM,R1B,3,Nailah Suad-Bakari,,4,3,4,1,1,,,,,,,,,,,,1
AFRICAM,5B,1,Nikki Jones,6,17,11,6,2,4,1,,1,1,,,1,6,,,,
AFRICAM,11B,1,David Kyeu,2,3,6,,,,,,,,,,,,1,,,
AFRICAM,24,2,William Banks,,,,,,,,,,,,,,9,,1,,
AFRICAM,28AC,1,Frederick Vincent,4,18,6,1,3,1,,,1,,,,,9,,1,,
AFRICAM,112B,1,Kwame Nimako,,23,24,7,5,3,,2,2,,,,2,4,,,,
AFRICAM,115,1,Sam Mchombo,2,7,12,7,2,,,,,,,,,1,,,,
AFRICAM,117,1,Ula Taylor,,2,2,4,2,5,2,1,1,,,,,2,,,,2
AFRICAM,122,1,Hardy Frye,1,12,10,7,4,1,,,,,,,3,3,,,,
AFRICAM,126,1,Ula Taylor,,5,3,3,3,5,,1,2,1,1,,,4,,2,,1
AFRICAM,138,1,James Taylor,,10,6,4,4,2,1,1,1,,1,,2,,,1,,1
AFRICAM,142AC,1,Justin Gomer,1,5,10,5,4,7,7,,1,,,,1,13,,1,,2
AFRICAM,153C,1,Darieck Scott,1,8,8,4,2,1,,,,,,,,,,,,1
AFRICAM,156AC,1,Aya De Leon,3,17,5,2,1,,1,,,,,,,1,,,,2
AFRICAM,157,1,Darieck Scott,,8,,2,1,,,,,,,,,,,,,
AFRICAM,159,1,Nailah Suad-Bakari,,3,7,4,10,3,2,,,,,,,2,,,,3
AFRICAM,198,3,Nailah Suad-Bakari,,,,,,,,,,,,,,9,,1,,
ENVECON,C1,1,Gordon Rausser,3,9,6,2,12,6,1,6,1,,,,,4,,1,,
ENVECON,100,1,Calanit Kamala,3,12,5,4,5,5,2,3,2,,1,,,1,,3,,
ENVECON,C101,1,Helene Ollivier,10,29,34,15,16,2,1,,,,,,1,4,,2,,1
ENVECON,C118,1,Steven Buck,1,8,4,4,9,10,1,2,1,,1,,1,,,,,1
ENVECON,142,1,Kristin Kiesel,,6,19,39,17,3,,,,,,,,2,,,,
ENVECON,143,1,Brian Wright,2,14,22,6,10,7,,1,,,,,,5,,,,
ENVECON,147,1,Meredith Fowlie,4,10,7,8,5,4,3,,,,,,,4,,1,,1
ENVECON,162,1,David Sunding,1,5,7,5,7,4,5,6,3,,1,,,2,1,,,
ENVECON,C180,1,David Anthoff; Jalel Sager,2,4,7,8,5,2,1,1,,1,1,,,,,,,
ENVECON,C181,1,Andres Rodriguez-Clare,,3,3,4,18,5,2,5,2,,1,,1,4,,4,,
ENVECON,C183,1,Matthew Potts,,1,1,,4,3,2,,2,1,1,,,,,,,
ANTHRO,1,1,Terrence Deacon,6,38,55,57,45,27,29,14,7,,,,8,48,,9,,
ANTHRO,2,1,Christine Hastorf,4,20,8,9,18,,1,1,1,,,,2,4,,2,,1
ANTHRO,3AC,1,James Holston,32,155,82,46,36,19,6,7,3,1,1,1,2,28,,5,,1
ANTHRO,R5B,1,Corinne Hayden; Marlee Tichenor,1,7,2,2,1,3,,1,,,,,,,,,,
ANTHRO,R5B,2,Corinne Hayden; Olesya Shayduk-Immerman,,9,2,2,,,1,,,,,,,,,,,
ANTHRO,114,1,Saba Mahmood,10,46,29,13,16,6,3,4,,,,,,1,,2,,1
ANTHRO,115,1,Lawrence Cohen,1,23,31,8,2,6,,1,,,,,,6,1,,,1
ANTHRO,119,1,Nancy Scheper-Hughes,3,8,4,,,1,,,,,,,,,,,,
ANTHRO,121C,1,Laurie Wilkie,4,8,1,1,,,,1,,,,,,1,,,,
ANTHRO,124A,1,Patrick Kirch,7,3,3,3,3,1,4,,,,,,,3,,1,,
ANTHRO,C125A,1,Kevin Gibbs,1,4,3,1,3,,,,,,,,,,,,,
