Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
AFRICAM,R1A,1,Aparajita Nanda,,5,8,3,3,1,,,,,,,,,,,,
AFRICAM,R1B,1,Aparajita Nanda,1,6,3,3,3,3,,1,1,,,,1,,,,,
AFRICAM,R1B,2,Jessyka Finley,1,9,3,2,1,,1,,,,,,,,,,,
AFRICAM,R1B,3,Gabrielle Williams; Nailah Suad-Bakari,,4,6,1,3,2,,,,,,,1,,,,,
AFRICAM,4B,1,G. Ugo NWOKEJI,2,11,17,10,11,4,2,2,2,,,,,12,,,,1
AFRICAM,5B,1,Jessyka Finley,,10,15,10,8,4,2,1,3,1,,,1,1,,1,,
AFRICAM,11B,1,David Kyeu,1,4,,1,7,,,,,,,,,1,,,,1
AFRICAM,24,2,William Banks,,,,,,,,,,,,,,11,,1,,
AFRICAM,39F,1,Cara Stanley,1,,3,2,3,2,1,,,,,,,1,,,,
AFRICAM,98,4,Harris Quraishi; Ula Taylor,,,,,,,,,,,,,,10,,1,,
AFRICAM,98,5,Nailah Suad-Bakari,,,,,,,,,,,,,,46,,2,,
AFRICAM,112B,1,Kwame Nimako,2,13,21,4,1,2,,1,,,,,,,,,,2
AFRICAM,117,1,Ula Taylor,,6,5,1,2,2,,3,2,1,1,1,2,2,1,,,
AFRICAM,122,1,Hardy Frye,5,10,1,5,4,3,5,2,1,4,,,1,3,,,,2
AFRICAM,134,1,Michel Laguerre,,14,1,1,,,,,,,,,,,,,,3
AFRICAM,142AC,1,Michael Cohen,,16,14,16,18,10,5,4,2,,,,,14,,2,,1
AFRICAM,153C,1,Darieck Scott,3,5,3,5,2,1,1,,,,,,,5,,,,
AFRICAM,156AC,1,Aya De Leon,6,25,4,3,1,1,,,,,,,2,2,,1,,3
AFRICAM,157,1,Darieck Scott,4,3,3,,,,,,,,,,,,,,,
AFRICAM,159,2,Frederick Vincent,2,12,3,2,1,,,,,,,,,,,,,
AFRICAM,173AC,1,Purushottama Bilimoria,,6,5,,2,,,,,,,,,12,,,,
AFRICAM,197,5,Nailah Suad-Bakari,,,,,,,,,,,,,,27,,1,,
AFRICAM,198,4,Jennifer Fei; Ula Taylor,,,,,,,,,,,,,,12,,1,,
AFRICAM,198,12,Brittney Mcdonald; Nailah Suad-Bakari,,,,,,,,,,,,,,10,,,,1
ENVECON,C1,1,Matthew Van Dusen,,10,8,1,15,5,3,3,,,2,,1,2,,,,
ENVECON,100,1,Calanit Kamala,3,8,5,6,9,4,4,3,5,,1,,,3,,,,
ENVECON,C101,1,David Zilberman,3,9,16,6,23,17,12,12,,,2,,1,4,,1,,1
ENVECON,C118,1,Steven Buck,1,5,3,,7,1,3,6,1,,,,1,,,,,1
ENVECON,142,1,Sofia Villas-Boas,13,35,13,7,8,4,1,,,,,,,,,1,,
ENVECON,147,1,Meredith Fowlie,1,9,11,10,5,5,1,1,1,,,,,3,,1,,1
ENVECON,153,1,Robin Marsh,1,8,17,11,11,3,2,,,,,,,4,,,,
ENVECON,154,1,Sara Boettiger,,13,23,16,3,4,1,,,,,,,1,,,,
ENVECON,162,1,David Sunding,,6,5,4,5,5,5,4,5,,2,,2,1,,,,
ENVECON,C180,1,Isha Ray; Jalel Sager,,,5,5,3,,1,,,,,,,1,1,,,1
ENVECON,C181,1,Andres Rodriguez-clare,,1,2,2,6,11,1,2,3,,2,3,4,2,,2,,1
