Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
AFRICAM,R1A,2,Aparajita Nanda,,4,4,6,2,,,2,,,,,,,,,,
AFRICAM,R1B,1,Aparajita Nanda,,5,5,2,3,,,,,,,,,,,,,
AFRICAM,R1B,2,Gabrielle Williams; Leigh Raiford,,1,6,2,2,2,,,,,1,,,,,,,
AFRICAM,4A,1,G. Ugo Nwokeji,,7,16,10,7,6,,,,3,,,1,,,,,1
AFRICAM,5A,1,Leigh Raiford; Michael Mcgee,,22,18,11,5,1,,,,,1,,,,,,,
AFRICAM,11A,1,David Kyeu,1,4,2,4,,,,,,,,,,,,,,
AFRICAM,27AC,1,Michael Cohen,,37,30,12,10,5,1,,,,,,3,,,,,2
AFRICAM,98,7,Leigh Raiford; Sonya Dugas,,,,,,,,,,,,,,,,,,
AFRICAM,100,1,Leigh Raiford,,3,7,4,4,,1,,,,,1,,,,,,1
AFRICAM,111,1,Stephen Small,3,9,5,7,5,4,,1,,,,,1,,,,,1
AFRICAM,116,1,Mariko Pegs; Ula Taylor,,5,10,8,5,1,5,2,1,2,1,1,1,,,,,
AFRICAM,126,1,Ula Taylor,,1,1,3,2,2,1,,,,,,,,,,,
AFRICAM,C133A,1,Kihana Ross; Matthew Horton; Nailah Suad-Bakari,5,7,1,,,,,,,,,,,,,,,1
AFRICAM,C134,1,Michel Laguerre,,9,4,,1,,,,,,,,,,,,,
AFRICAM,137,1,Michel Laguerre,,14,,2,,,,,,,,,,,,,,1
AFRICAM,139,1,Nikki Jones,9,26,10,3,3,,,,,,,,1,,,,,
AFRICAM,139,2,Hardy Frye; Sonya Dugas,,1,1,4,,1,,1,,,,,,,,,,
AFRICAM,144,1,Leigh Raiford,,5,8,5,5,2,1,2,1,,1,,1,,,,,
ENVECON,C1,1,Peter Berck,3,18,3,6,4,8,2,5,,,2,,,,,,,
ENVECON,100,1,Ethan Ligon,2,50,17,4,4,3,,1,,1,2,1,1,,,,,
ENVECON,C102,1,Larry Karp,,6,11,8,18,7,1,1,,,1,,1,,,,,
ENVECON,C115,1,Wayne Getz,1,1,3,3,2,5,,,3,1,,,,,,,,
ENVECON,C118,1,Elisabeth Sadoulet,9,5,7,13,3,7,7,4,3,,1,,2,,,,,
ENVECON,145,1,Michael Anderson,2,19,4,9,29,4,10,4,2,,,,,,,,,
ENVECON,C151,1,Aprajit Mahajan,1,19,5,11,16,5,13,5,6,3,,,2,,,,,
ENVECON,152,1,Jeremy Magruder,2,5,1,4,3,3,1,1,1,,,,,,,,,
ENVECON,C180,1,Jalel Sager,3,4,11,11,1,1,2,1,,,,,,,,,,
ENVECON,C181,1,Andres Rodriguez-Clare,,11,8,7,12,2,1,3,,,,,1,,,,,
ANTHRO,2AC,1,Laurie Wilkie,19,74,38,19,19,15,4,8,7,,4,1,5,,,,,
ANTHRO,3AC,1,Mather George,5,84,103,51,93,30,8,13,1,,1,2,4,,,,,2
ANTHRO,R5B,1,Corinne Hayden; Kamala Russell,1,6,4,1,1,1,,,,,,,1,,,,,
ANTHRO,R5B,2,Corinne Hayden; Erin Rodriguez,6,4,3,1,,,,,,,,,,,,,,
ANTHRO,R5B,3,Corinne Hayden; Katherine Chiou,5,8,2,2,,,,,,,,,,,,,,
ANTHRO,107,1,Terrence Deacon,3,19,15,16,14,8,12,4,2,,,,2,,,,,1
ANTHRO,112,2,Christopher Ames,,4,9,9,6,6,6,1,,,1,,1,,,,,
ANTHRO,121AC,1,Kimberly Christensen,15,22,23,9,4,5,,,,,,,1,,,,,1
ANTHRO,122F,1,Kent Lightfoot,7,35,16,15,8,3,2,,,,1,,,,,,,1
ANTHRO,128M,1,Jun Sunseri,4,9,,3,2,,,,,,,,,,,,,1
ANTHRO,C136K,1,Margaret Conkey; Ruth Tringham,7,23,9,1,,,,,,,,,,,,,,
ANTHRO,138A,1,Daniel Fisher,1,7,7,15,3,,3,,,,,,,,,,,1
ANTHRO,140,1,Christine Hastorf; Stanley Brandes,4,17,19,11,13,5,1,1,2,,,,,,,,,
ANTHRO,141,1,Xin Liu,2,4,3,,,1,,,,,,,,,,,,1
ANTHRO,150,1,Alexei Yurchak,2,4,16,5,10,5,,,,,,,2,,,,,
ANTHRO,155,1,Paul Rabinow,2,8,16,6,3,1,3,,,,,,,,,,,
ANTHRO,157,1,Laura Nader,14,27,7,9,5,1,,1,1,,,1,3,,,,,
ANTHRO,160AC,1,Charles Briggs,62,83,5,4,1,1,2,1,,,,,4,,,,,5
ANTHRO,162,1,Ruth Goldstein,,23,,2,,,,,,,,,,,,,,4
ANTHRO,169B,1,Mather George,,7,6,3,2,1,,,,,,,,,,,,1
ANTHRO,181,1,Saba Mahmood,4,2,17,10,3,1,,,,,,,1,,,,,
ANTHRO,189,1,James Holston,,16,7,2,2,,,,,,,,,,,,,3
ANTHRO,189,3,Aihwa Ong,3,4,2,,2,1,,,,,,,,,,,,
ANTHRO,196,1,Terrence Deacon,,6,1,,,,,,,,,,,,,,,3
ANTHRO,196,2,Alexei Yurchak,1,3,,1,2,,,,,,,,1,,,,,
ARCH,11A,1,Darell Fields,,,1,8,12,8,4,4,5,1,1,2,2,,,,,2
ARCH,11B,1,Keith Plymale,,3,2,8,1,2,,,,,,,1,,,,,
ARCH,98,1,Galen Cranz; Ian Lai,,,,,,,,,,,,,,,,,,
ARCH,100A,1,Lisa Iwamoto,,12,14,16,22,18,15,3,6,1,1,1,2,,,,,4
ARCH,100C,1,Rene Davids,,7,4,4,,,,,,,,,,,,,,
ARCH,100C,2,Carol Galante; Christopher Calott,2,7,3,3,,,,,,,,,,,,,,
ARCH,100C,3,Jean Bourdier,2,,4,5,2,,,,,,,,,,,,,
ARCH,100C,4,Keith Plymale,,4,8,2,1,,,,,,,,,,,,,
ARCH,100C,5,Jacob Atherton,,1,3,7,2,2,1,,,,,,,,,,,
ARCH,102A,1,Margaret Crawford,,6,10,,,,,,,,,,,,,,,1
ARCH,110AC,1,Galen Cranz,,6,23,14,16,15,5,21,3,1,3,5,4,,,,,3
ARCH,130,1,C Crysler,6,12,13,7,1,2,1,1,,,1,,,,,,,
ARCH,150,1,R.Gary Black,2,14,19,13,9,13,5,10,10,,,,1,,,,,
ARCH,170A,1,Andrew Shanken,1,5,16,17,20,19,12,12,5,,1,,6,,,,,
ARCH,198,1,Galen Cranz; Ian Lai,,,,,,,,,,,,,,,,,,
ARCH,198BC,2,C Crysler; Elaine Stiles,,,,,,,,,,,,,,,,,,
ENV DES,1,1,Nicholas De Monchaux,5,34,30,30,21,11,5,1,,,3,,,,,,,
ENV DES,4A,1,Blaine Merker; Madeleine Zayas Mart; Mitchell Squire,,26,26,19,21,5,13,5,,,,,,,,,,
ENV DES,101B,1,Raymond Lifchez,2,6,,,1,,,1,,,,,,,,,,
ENV DES,102,1,David Waldron,5,7,12,12,1,1,2,,,,,,,,,,,4
VIS STD,185X,1,Anthony Dubovsky,3,8,1,,2,,,,,,,,,,,,,
VIS STD,186B,1,Jean Bourdier,1,8,5,,1,,,,,,,,,,,,,
ART,8,1,John Mcnamara,15,34,9,6,1,,,,,,,,,,,,,
ART,12,1,James Pitt,3,19,,,,,,,,,,,,,,,,1
ART,12,2,Craig Nagasawa,,16,2,,,,,,,,,,,,,,,
ART,13,2,John Mcnamara,2,14,2,,,,,,,,,,1,,,,,
ART,14,1,Randy Hussong,,15,2,,,,,,,,,,,,,,,
ART,15,1,Erik Scollon,,6,7,2,2,,,,,,,,1,,,,,
ART,16,1,Randy Hussong,,14,,1,,1,,,,,,,,,,,,
ART,21,1,Allan Desouza,,10,6,1,,,,,,,,,,,,,,
ART,26,1,Greg Niemeyer,,7,,1,3,,,,,,,,,,,,,1
ART,98,3,John Mcnamara,,,,,,,,,,,,,,,,,,
ART,102,1,Katherine Sherwood,1,7,6,6,,,,,,,,,,,,,,
ART,102,2,Michael Hall,,15,1,,,,,,,,,,,,,,,
ART,117,1,Craig Nagasawa,,21,1,,,,,,,,,,,,,,,
ART,119,1,Jenifer Wofford,1,7,6,3,4,,,,,,,,,,,,,2
ART,120,1,Randy Hussong,,11,,1,,,,,,,,,,,,,,2
ART,132,1,Stacy Jo Scott,1,8,1,2,2,,,,,,,,,,,,,
ART,133,2,Sahar Khoury,1,9,3,,,,,,,,,,,,,,,
ART,163,1,Stephanie Syjuco,5,2,4,,1,,,,,,,,,,,,,
ART,164,1,Azin Seraj; Katherine Sherwood,,11,5,2,3,,,,,,,,,,,,,
ART,171,1,Nathan Kwame Braun,,2,4,3,3,,,,,,,,,,,,,1
ART,173,1,Christopher Kubick,,6,6,2,,,,,,,,,,,,,,
ART,184,1,Brody Reiman,6,7,4,,,,,,,,,,,,,,,
ART,185,1,Indira Morre,4,15,1,3,1,,,,,,,,,,,,,
ART,196,1,Elise Putnam,,6,1,1,2,1,,,,,,,,,,,,
ART,198,5,Brody Reiman,,,,,,,,,,,,,,,,,,
ASTRON,3,1,Chung-Pei Ma,,10,3,,,3,,,,1,,2,,,,,,1
ASTRON,7A,1,Mariska Kriek,5,9,1,6,10,1,3,4,4,,1,,2,,,,,
ASTRON,C10,1,Alexei Filippenko,41,99,73,45,69,20,8,13,10,2,,,1,,,,,2
ASTRON,24,1,Andrew Siemion; Gibor Basri,,12,,,,,,,,,,,,,,,,
ASTRON,84,1,Steven Beckwith,,,,,,,,,,,,,,,,,,
ASTRON,98,2,Eliot Quataert,,,,,,,,,,,,,,,,,,
ASTRON,120,1,James Graham,6,2,4,3,3,,,,,,,,,,,,,2
ASTRON,160,1,Eliot Quataert,1,4,5,1,9,2,2,2,4,,,,,,,,,
ASTRON,C162,1,Imke De Pater,1,11,7,3,,3,1,,,,,,1,,,,,
ASTRON,198,2,Eliot Quataert,,,,,,,,,,,,,,,,,,
BIO ENG,10,1,Terry Johnson,5,82,27,9,8,,,,1,,,,,,,,,1
BIO ENG,24,1,Luke Lee,,,,,,,,,,,,,,,,,,9
BIO ENG,100,1,Teresa Head-Gordon,,73,4,,1,,,,,,,,1,,,,,
BIO ENG,113,1,Irina Conboy,4,3,4,1,3,3,,,,,,,,,,,,
BIO ENG,115,1,Hayley Lam,1,21,7,1,2,,,,,,,,,,,,,
BIO ENG,C118,1,Kevin Healy,2,4,4,1,5,1,2,2,2,,,,,,,,,
BIO ENG,121L,11,Dorian Liepmann,4,6,3,,,,,,,,,,,,,,,
BIO ENG,124,1,Niren Murthy,,8,4,4,,,,,,,,,,,,,,
BIO ENG,131,1,Ian Holmes,,4,6,8,2,2,4,,1,,1,,,,,,,
BIO ENG,140L,1,John Dueber,,5,5,3,3,,1,1,,,,,1,,,,,
BIO ENG,147,1,Adam Arkin,6,3,2,2,,1,,,,,,,1,,,,,
BIO ENG,150,1,Seung-Wuk Lee,20,13,,12,10,,,,,,,,,,,,,
BIO ENG,163,1,Gerard Marriott,2,12,1,,,,,,,,,,,,,,,
BIO ENG,C181,1,Wenjun Zhang,,4,4,4,1,2,,,,,,,,,,,,
BIO ENG,192,1,Hayley Lam,,19,8,4,1,,,,,,,,,,,,,
BUDDSTD,C50,1,Mark Blum,3,8,1,8,4,1,1,,,,,1,1,,,,,
BUDDSTD,C115,1,Michaela Mross,,2,1,,2,,,,,,,,,,,,,
BUDDSTD,C120,1,Sanjyot Mehendale,,10,6,2,,,,,,,,,,,,,,
UGBA,C5,1,Ajay Bam,1,,7,10,8,3,2,,,,,,,,,,,
UGBA,10,1,Cristina Banks; John Briginshaw; Judy Hopelain; Omar Romero-Hernandez,22,61,129,103,92,31,22,15,7,6,4,2,4,,,,,
UGBA,39AC,1,Colin Lacon; Karina Moreno,,5,6,9,1,,,,,,,,,,,,,
UGBA,100,1,Daniel Himelstein,,,22,12,,,,,,,,,,,,,,
UGBA,100,2,Evan Elliot,,,19,7,,,,,,,,,,,,,,
UGBA,100,3,Krystal Thomas,,3,17,9,,,,,,,,,,,,,,
UGBA,100,4,Arturo Perez-Reyes,,,8,19,4,,,,,,,,,,,,,
UGBA,100,5,Arturo Perez-Reyes,,1,4,5,8,1,,,,,,,,,,,,
UGBA,100,6,Krystal Thomas,,3,16,11,,,,,,,,,,,,,,
UGBA,101A,1,Aaron Bodoh-Creed,10,36,13,19,33,10,5,,,,,1,,,,,,
UGBA,101A,2,Aaron Bodoh-Creed,6,21,11,15,33,10,2,,,,,,,,,,,
UGBA,101B,1,Steven Wood,,5,10,12,8,5,5,4,7,,,,3,,,,,2
UGBA,102A,1,Rada Brooks,9,33,23,21,21,8,8,3,1,,,,,,,,,
UGBA,102A,2,Rada Brooks,7,11,16,15,5,5,1,3,1,,,,,,,,,
UGBA,102A,3,Tiffany Rasmussen,,16,35,30,22,14,5,4,,,,,,,,,,
UGBA,102A,4,Tiffany Rasmussen,,14,30,35,29,7,1,,,,,,,,,,,
UGBA,102B,1,Rada Brooks,13,34,15,19,20,9,4,7,2,,,,,,,,,
UGBA,103,1,Dmitry Livdan,12,24,18,19,18,9,8,4,2,,,,4,,,,,
UGBA,103,2,Dmitry Livdan,10,38,22,18,16,8,2,4,7,,,,4,,,,,1
UGBA,104,1,Terrence Hendershott; Thomas Lee,9,74,45,45,34,17,2,3,,,,,5,,,,,
UGBA,105,1,Dana Carney,20,51,30,34,58,14,6,6,,,,,,,,,,
