Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
AFRICAM,R1A,1,Aparajita Nanda,,5,7,2,2,1,,,,,,,1,,,,,
AFRICAM,R1B,1,Aparajita Nanda,,3,5,4,1,3,,,,,,,,,,,,
AFRICAM,R1B,2,Christina Bush,,1,,1,8,5,1,,,,,,,,,,,
AFRICAM,4A,1,G. Ugo NWOKEJ,9,20,9,10,3,3,2,,1,1,,,2,6,,2,,1
AFRICAM,5A,1,Brandi Catanese,2,15,8,5,12,2,5,3,4,,1,2,1,8,,5,,
AFRICAM,11A,1,David Kyeu,,14,,,,,,,,,,,,,1,,,
AFRICAM,27AC,1,Michael Cohen,,76,48,13,11,4,1,2,4,2,,,,20,,2,,1
AFRICAM,100,1,Leigh Raiford,,7,6,8,3,2,1,,,,,,,4,,,,2
AFRICAM,111,1,Stephen Small,8,6,20,14,6,3,,2,,,,,,10,,2,,
AFRICAM,116,1,Ula Taylor,,5,5,4,2,4,5,3,2,,1,,,1,,1,,2
AFRICAM,123,1,Stephen Small,,6,6,12,3,1,,,,,,,3,3,,1,,2
AFRICAM,C134,1,Michel Laguerre,,7,6,,,,,,,,,,,1,,,,
AFRICAM,137,1,Michel Laguerre,,13,5,2,,1,,,,,,,,,,,,2
AFRICAM,139,1,Nikki Jones,2,21,6,3,2,2,1,,,,,,,1,,,,2
AFRICAM,158A,1,Aya De Leon,,11,1,,1,,,,,,,,,,,,,1
AFRICAM,159,1,Aya De Leon,,9,2,1,2,1,,,1,,,,,,,,,
AFRICAM,159,2,Chiyuma Elliott,1,5,1,2,,,,,1,,,,,,,,,
AFRICAM,198,3,Leigh Raiford,,,,,,,,,,,,,,43,,2,,
ENVECON,C1,1,Peter Berck,,5,8,9,13,5,13,11,,,,,2,4,,1,,
ENVECON,100,1,Ethan Ligon,1,33,28,15,3,3,,,1,1,,,1,6,,2,,
ENVECON,C102,1,Larry Karp,2,13,3,10,18,7,,3,1,,1,,1,,,,,
ENVECON,C118,1,Elisabeth Sadoulet,8,8,10,11,12,16,10,10,8,,1,,1,,,1,,1
ENVECON,141,1,David Zilberman,10,16,20,8,6,,,,,,,,,1,,,,
ENVECON,145,1,Michael Anderson,4,14,15,14,23,9,6,6,5,,,1,,,,,,1
ENVECON,C151,1,Aprajit Mahajan,,15,11,15,10,9,7,5,2,1,,,,4,,1,,
ENVECON,152,1,Jeremy Magruder,4,4,3,7,4,5,2,,,,,,1,3,,,,
ENVECON,C181,1,Thibault Fally,4,3,2,1,6,7,3,6,11,,1,,1,,,,,3
ANTHRO,1,1,Lisa Johnson,12,34,27,24,16,9,4,6,1,3,1,1,5,19,,4,,
ANTHRO,2AC,1,Michael Grone,9,77,49,34,24,15,7,2,8,2,3,,4,28,,7,,
ANTHRO,3AC,1,James Holston,12,208,113,46,27,6,4,8,2,,4,,4,38,,3,,
ANTHRO,R5B,1,Laurie Wilkie,3,13,,1,,,,,,,,,,,,,,
ANTHRO,R5B,2,Samuele Collu,1,8,4,1,2,1,,,,,,,,,,,,
ANTHRO,R5B,3,Laurie Wilkie,,7,8,1,,1,,,,,,,,,,,,
ANTHRO,R5B,4,Laurie Wilkie,5,4,5,1,,,,,,2,,,,,,,,
ANTHRO,84,2,Rosemary Joyce,,,,,,,,,,,,,,11,,1,,
ANTHRO,107,1,Terrence Deacon,8,14,14,15,13,18,15,11,6,,,,1,10,,3,,
ANTHRO,114,1,Mary George,7,44,20,3,5,1,,1,2,,,,1,6,,1,,
ANTHRO,115,1,Nancy Scheper-Hughes,4,24,8,7,3,1,,,,,,,2,2,,2,,1
ANTHRO,119,1,Stefania Pandolfo,4,24,6,2,1,,,,,,,,,1,,1,,2
ANTHRO,121C,1,Laurie Wilkie,11,1,3,,3,,1,,,1,,,,,,,,
ANTHRO,122A,1,Jun Sunseri,16,15,6,,1,,,,1,,,1,,1,,,,1
ANTHRO,C125A,1,Junko Habu,1,11,5,6,5,,1,,,,,,1,1,,1,,
ANTHRO,127A,1,Sabrina Agarwal,3,4,3,3,1,1,,,,,,1,,,,,,
