CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AEROSPC, 002B,1,A HENSON,3,1,3,4,0,0,1,0,0,0,0,0,0
AEROSPC,24,1,A HENSON,4,3,1,1,0,0,0,0,0,0,0,0,3
AFRICAM, 004B,1,U TAYLOR,3,11,13,10,12,7,4,3,4,2,1,0,1
AFRICAM, 005B,1,R ALLEN,0,11,13,14,6,6,5,2,1,1,0,0,1
AFRICAM,100,1,K NOON,0,0,9,4,4,8,0,2,0,0,0,0,0
AFRICAM,111,1,H FRYE,1,5,9,5,6,2,2,2,0,0,1,0,0
AFRICAM, 112B,1,P HINTZEN,0,2,20,6,7,2,1,1,1,0,0,0,0
AFRICAM,117,1,U TAYLOR,0,8,13,7,4,6,2,4,2,3,0,0,3
AFRICAM,119,1,M COHEN,0,9,4,0,2,0,0,0,0,0,0,0,0
AFRICAM,122,1,H FRYE,0,3,8,13,8,5,5,0,1,1,2,0,0
AFRICAM,131,1,M LAGUERRE,0,7,6,5,7,2,3,1,0,1,0,0,0
AFRICAM, 156AC,1,A DE LEON,2,44,12,0,2,2,0,1,0,0,0,0,0
AFRICAM,159,1,A NANDA,0,3,6,0,1,0,1,0,0,0,0,0,1
AFRICAM,159,2,C HENRY,0,14,9,12,14,5,0,0,2,0,1,0,0
AFRICAM,C132,1,J AGEE,4,9,0,1,4,0,0,1,0,0,0,0,0
AFRICAM,R001A,1,D FLASH,0,0,4,3,10,5,1,0,0,0,0,0,0
AFRICAM,R001B,1,A NANDA,3,10,5,6,3,3,1,2,0,0,0,0,0
AFRICAM,R001B,2,A NANDA,2,9,4,4,9,3,1,0,0,0,0,0,1
AMERSTD,10,1,S SAUL,1,6,11,13,16,9,7,3,9,3,1,0,2
AMERSTD, 101AC,2,D HENKIN,0,6,12,10,6,6,1,0,0,0,0,0,1
AMERSTD,102,1,K BIESTMAN,0,8,4,4,12,5,7,6,5,0,0,0,1
AMERSTD,102,2,K MORAN,1,4,5,8,8,9,3,1,0,0,1,0,1
AMERSTD,110,1,M BRILLIANT,0,3,0,2,4,1,0,2,1,0,0,0,0
AMERSTD,191,1,C PALMER,0,0,2,5,0,3,2,0,1,0,0,0,0
AMERSTD,191,2,C PALMER,0,1,3,5,1,3,1,0,0,0,1,0,1
AMERSTD,191,3,K BIESTMAN,0,4,1,5,3,2,1,3,0,0,0,0,1
AMERSTD,C111E,1,R HUTSON,0,0,3,3,12,1,1,0,0,0,0,0,0
AMERSTD,C112B,1,P GROTH,2,5,7,4,8,2,2,0,2,0,0,0,1
AMERSTD,C172,1,C ROSEN,0,3,12,10,8,8,4,2,1,0,0,0,2
AMERSTD,H195,1,C PALMER,0,8,2,1,0,0,0,0,0,0,0,0,0
ANTHRO,1,1,T DEACON,0,35,70,51,47,40,38,40,15,1,1,0,4
ANTHRO, 002AC,1,R TRINGHAM,16,87,32,17,6,6,1,2,2,1,0,1,2
ANTHRO, 003AC,1,L HUBBARD,4,43,84,71,35,26,8,3,3,0,0,1,4
ANTHRO,114,1,M CONKEY,29,65,15,19,7,1,3,5,0,0,0,0,1
ANTHRO,119,1,N SCHEPER-HUGHES,1,2,5,4,0,0,0,0,0,0,0,0,0
ANTHRO, 122C,1,K BLAISDELL-SLOAN,5,13,19,1,1,1,2,2,1,0,0,0,5
ANTHRO, 122G,1,M SHACKLEY,8,7,4,0,0,0,0,0,0,0,0,0,0
ANTHRO, 127A,1,S HOLLIMON,1,5,3,2,1,1,0,1,0,0,0,0,0
ANTHRO, 128A,2,L WILKIE,5,24,5,4,13,4,1,0,0,0,0,0,0
ANTHRO,134,1,K LIGHTFOOT,3,9,7,2,0,0,0,0,0,0,0,0,0
ANTHRO, 135B,1,C HASTORF,1,6,1,1,6,1,3,4,0,0,1,0,0
ANTHRO, 136H,1,C UNDERWOOD,6,5,0,1,2,0,0,2,0,0,0,0,0
