Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
AFRICAM,R1A,1,Aparajita Nanda,,1,3,6,1,2,1,,,,,,,2,,,,
AFRICAM,R1B,1,Aparajita Nanda,,2,4,3,3,2,1,1,,,,,,,,,,1
AFRICAM,R1B,2,Ronald Williams,,2,3,3,2,3,1,,,,,,,,,,,
AFRICAM,R1B,3,Ronald Williams,,8,1,3,4,1,,,,,,,2,,,,,
AFRICAM,R1B,4,Ivy Mills,,,4,3,6,,1,,,,,,,,,,,1
AFRICAM,R1B,5,Ivy Mills,,1,5,2,5,1,,1,,,,,,,,,,
AFRICAM,4B,1,G. Ugo Nwokeji,,10,12,10,13,10,5,6,1,1,2,,1,10,,3,,
AFRICAM,5B,1,Robert Allen,6,12,11,4,5,6,2,2,1,,4,1,1,8,,,,
AFRICAM,11B,1,Edwin Okongo,5,2,4,2,1,,1,,1,,,,,1,1,1,,
AFRICAM,11B,2,Sam Mchombo,3,2,5,2,1,3,2,2,2,,,,,,,,,1
AFRICAM,98,8,Adrian Schurr; Charles Henry,,,,,,,,,,,,,,16,,2,,
AFRICAM,117,1,Ula Taylor,,4,2,3,2,1,6,3,1,,,,4,,,,,2
AFRICAM,122,1,Hardy Frye,5,10,8,5,1,3,,1,1,1,,,,,,,,1
AFRICAM,123,1,Stephen Small,,6,,3,,,,,,,,,,1,,,,
AFRICAM,125,1,Ula Taylor,,5,,2,5,2,4,4,1,3,,,2,16,,3,,1
AFRICAM,131,1,Michel Laguerre,,12,6,1,1,,,,,,,,,2,,1,,
AFRICAM,139,3,Charles Henry,,3,3,,5,1,1,1,,,2,,,3,,1,,4
AFRICAM,142AC,1,Michael Cohen,,19,9,10,24,11,1,2,,,,,,16,,2,,3
AFRICAM,152F,1,Darieck Scott,,4,8,3,3,2,,2,,,,1,1,1,,,,
