Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
ARCH,105,1,M Ubbelohde,,10,1,,,,,,,,,,,3,,,,
ARCH,110AC,1,Johann Nicholas Sagan; Lusi Morhayim,7,44,18,13,10,7,3,3,7,,,,,5,,,,1
ARCH,130,1,Steven Doctors,2,8,8,12,13,5,5,5,5,,,,1,1,,,,
ARCH,144,1,Charles Salter,,,,,,,,,,,,,,18,1,1,,
ARCH,150,1,R.Gary Black,1,12,15,18,16,26,8,10,2,2,,,3,2,,6,,
ARCH,170A,1,Andrew Shanken,,8,11,26,24,27,12,11,7,,2,,1,4,,,,1
ARCH,179,3,Margaret Crawford,,3,4,10,,,,,,,,,,,,,,1
ENV DES,1,1,Linda Jewell,7,13,23,18,12,7,4,2,,,,,2,1,,,,
ENV DES,4B,1,Carolina Reid; Kristina Hill; Marco Cenzatti,,16,15,7,3,3,1,,,,,,,2,,1,,
ENV DES,11A,1,Darell Fields,,1,5,4,8,3,1,1,5,,1,,,,,,,
ENV DES,11B,1,Walter Hood,,5,9,12,9,5,,2,,,,,,,,,,
ENV DES,101B,1,Raymond Lifchez,4,6,1,,1,,,,,,,,,1,,,,
ENV DES,C169A,1,Paul Groth,,9,4,3,4,,1,5,,,,,,3,,2,,
ENV DES,198,1,Jennifer Wolch,,,,,,,,,,,,,,17,,,,2
VIS STD,185X,1,Anthony Dubovsky,2,11,1,,,,,,,,,,,1,,,,
VIS STD,186B,1,Jean Bourdier,1,,6,3,,,,,,,,,,1,,,,
ART,8,1,John Mcnamara,20,20,10,2,6,1,,1,,,,,,,,,,1
ART,12,1,Stephanie Lie,2,16,1,1,,1,,,,,,,,,,,,
ART,12,2,Craig Nagasawa,,14,,1,1,,,,,,,,,1,,,,
ART,13,2,John Mcnamara,,20,2,1,,,,,,,,,,,,,,
ART,14,1,Randy Hussong,2,13,1,2,,1,,,,,,,,,,,,
ART,14,2,Erik Scollon,,,4,4,,,,2,,,,,1,1,,,,
ART,16,1,Randy Hussong,,13,2,,3,2,,,,,,,,,,,,
ART,21,1,Allan Desouza,,5,13,1,1,,,,,,,,,,,,,
ART,26,1,Anne Walsh,,8,5,,1,,,2,,,,,,1,,,,1
ART,102,1,Katherine Sherwood,,13,5,3,2,1,1,,,,,,,,,,,
ART,102,2,Lordy Rodriguez,,7,8,3,,,,,,,,,,1,,,,
ART,117,1,Craig Nagasawa,3,20,,,,,,,,,,,,,,,,
ART,118,1,Indira Morre,3,14,7,,1,,,,,,,,,,,,,
ART,119,1,Jenifer Wofford,2,6,6,2,2,3,,1,,,,,,,,,,1
ART,120,1,Randy Hussong,1,16,2,,1,,,,,,,,,,,,,
ART,132,1,Michael Swaine,7,4,4,,,,,,,,,,,,,,,
ART,133,2,Daniel Nevers,,10,7,1,3,,,,,,,,,,,,,
ART,160,2,Elise Putnam,2,2,2,,,1,,,,,,,1,1,,1,,
ART,164,1,Katherine Sherwood,2,9,1,3,1,,,,,,,,,,,,,
ART,173,1,Christopher Kubick,,9,8,,,,,,,,,,,1,,,,1
ART,185,1,Greg Niemeyer,5,18,,,,,,,,,,,,,,,,
ASTRON,7A,1,Mariska Kriek,5,5,6,6,10,10,4,6,3,,1,,2,1,,3,,
ASTRON,10,1,Leo Blitz,4,26,18,10,7,6,7,3,2,,,,,73,,5,,
ASTRON,C12,1,Geoffrey Marcy,,26,11,22,16,16,10,11,2,,1,,1,38,,3,,
ASTRON,C13,1,Charles Marshall; Eliot Quataert,2,7,5,6,3,3,4,,,1,,,1,16,,1,,
ASTRON,98,1,Geoffrey Marcy,,,,,,,,,,,,,,12,,1,,
ASTRON,160,1,Geoffrey Marcy,3,4,,4,9,,,7,,,,,,,,,,
ASTRON,198,1,Geoffrey Marcy,,,,,,,,,,,,,,7,,3,,
BIO ENG,10,1,Terry Johnson,2,74,26,33,8,2,,3,,,,,,,,,,
BIO ENG,24,1,Terry Johnson,,,,,,,,,,,,,,255,,7,,
