CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
ANTHRO, 121AC,1,L WILKIE,15,35,23,16,44,6,5,7,2,1,3,0,2,40,,1,,4
ANTHRO, 122C,1,D MALDONADO,5,22,5,7,2,0,0,2,1,0,1,0,2,1,,3,,0
ANTHRO, 127A,1,S AGARWAL,4,12,0,2,1,0,0,0,1,0,0,0,0,0,,0,,0
ANTHRO,134,1,K LIGHTFOOT,0,12,6,1,0,0,0,0,0,0,0,0,0,1,,0,,0
ANTHRO, 136A,1,D MALDONADO,1,9,2,1,1,0,1,0,0,0,0,0,0,1,,0,,1
ANTHRO,141,1,X LIU,9,14,9,3,0,0,0,0,1,0,0,0,1,0,,0,,2
ANTHRO,149,1,S PANDOLFO,9,42,20,7,1,1,0,0,0,0,0,0,1,3,,1,,1
ANTHRO,150,1,A YURCHAK,5,11,14,7,4,2,0,0,0,0,0,0,0,2,,1,,5
ANTHRO,155,1,P RABINOW,7,7,6,10,4,0,1,0,0,0,0,0,0,0,,0,,0
ANTHRO,158,1,C HIRSCHKIND,2,22,6,10,5,2,1,1,0,0,0,0,0,2,,2,,1
ANTHRO, 160AC,1,C BRIGGS,6,27,32,38,27,14,9,4,3,0,1,0,5,35,,3,,1
ANTHRO, 169B,1,J HOLSTON,4,12,14,2,0,0,0,0,0,0,0,0,0,0,,0,,0
ANTHRO, 169C,1,W HANKS,5,10,1,2,2,1,1,0,0,0,0,0,0,0,,2,,0
ANTHRO,171,1,J HABU,0,13,17,9,10,0,1,0,0,0,0,0,2,5,,1,,0
ANTHRO, 189A,2,S MAHMOOD,4,6,8,11,2,0,0,0,0,0,1,0,0,1,,0,,0
ANTHRO,196,2,S BRANDES,0,10,0,0,0,2,0,0,0,0,0,0,1,0,,0,,0
ANTHRO,196,3,A ONG,2,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,,2
ANTHRO,196,4,S ETTING,0,4,5,2,3,1,0,1,0,0,0,1,0,0,,0,,0
ANTHRO,196,5,D MOORE,0,7,2,2,4,0,0,0,0,0,0,0,1,1,,0,,0
ANTHRO,196,6,L NADER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0
ANTHRO,197,8,T DEACON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0
ANTHRO,C125A,1,M OWENS,1,15,7,2,4,1,1,0,0,0,0,0,1,1,,0,,0
ANTHRO,C147B,1,L COHEN,2,7,3,2,1,0,1,2,0,0,0,0,0,1,,0,,0
ANTHRO,R005B,1,M GOODWIN,0,3,8,2,1,0,0,0,0,0,0,0,0,0,,0,,0
ANTHRO,R005B,2,M GOODWIN,0,2,9,2,0,0,0,0,0,0,0,0,1,0,,1,,1
ANTHRO,R005B,3,A ROY,4,4,2,2,0,1,0,0,0,0,0,0,1,0,,0,,0
ARCH,24,1,C CRYSLER,0,16,2,0,1,0,0,0,0,0,0,0,0,2,,1,,0
ARCH, 039C,1,M COMERIO,4,4,3,10,4,0,0,1,0,0,0,0,0,3,,0,,0
ARCH,84,1,R RAEL,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,2,,0
ARCH, 100A,1,R RAEL,1,7,20,17,18,13,9,4,3,1,1,0,0,0,,1,,1
ARCH, 100B,1,L IWAMOTO,0,5,9,10,10,12,5,2,2,0,1,0,5,0,,1,,1
ARCH,101,1,J BOURDIER,2,3,2,4,0,0,0,0,0,0,0,0,0,0,,0,,0
ARCH,101,2,R CHOW,0,8,2,0,1,0,0,0,0,0,0,0,0,1,,1,,0
ARCH, 110AC,1,G CRANZ,0,18,33,24,20,13,8,6,4,0,1,3,0,6,,3,,5
ARCH,129,1,M DHAEMERS,0,7,0,0,0,0,0,0,0,0,0,0,0,1,,0,,0
ARCH,144,1,C SALTER,0,0,0,0,0,0,0,0,0,0,0,0,0,23,,1,,0
ARCH,150,1,R BLACK,0,18,13,22,21,16,8,6,6,0,1,0,0,6,,0,,1
ARCH, 170A,1,P ALLEN,0,15,21,31,48,22,9,3,1,0,1,0,1,6,,0,,2
VIS STD, 185X,1,A DUBOVSKY,0,14,0,0,0,0,0,0,0,0,0,0,0,0,,0,,1
VIS STD, 186B,1,J BOURDIER,1,4,3,0,0,0,0,0,0,0,0,0,0,2,,1,,0
ART,8,1,J MCNAMARA,15,58,12,7,0,0,0,0,0,0,0,0,0,1,,0,,0
ART,12,1,J CORTEZ,0,7,4,1,2,1,0,0,0,0,0,0,0,1,,0,,0
ART,12,2,C NAGASAWA,0,13,0,0,0,0,0,0,0,0,0,0,1,2,,0,,0
ART,14,1,R HUSSONG,1,8,2,0,1,0,0,0,0,0,0,0,0,0,,0,,0
ART,14,2,W ZHANG,4,5,4,2,0,0,1,0,0,0,0,0,0,2,,0,,0
ART,16,1,R HUSSONG,0,13,4,1,1,0,0,0,0,0,0,0,0,0,,1,,0
ART, 023AC,1,G NIEMEYER,2,14,10,2,2,0,0,0,0,0,0,0,0,2,,0,,0
ART,98,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,1,,0
ART,102,1,S VORA,2,2,8,3,2,0,0,0,0,0,0,0,0,0,,0,,0
ART,102,2,S CARNWATH,4,5,10,4,0,0,0,1,0,0,0,0,0,0,,0,,0
ART,117,1,C NAGASAWA,1,20,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0
ART,118,1,R SHAW,0,19,1,8,1,0,1,2,0,0,0,0,0,0,,1,,0
ART,119,1,J HAMILTON,0,20,0,0,5,1,0,0,0,0,0,0,0,1,,0,,0
ART,120,1,R HUSSONG,1,13,1,1,0,0,0,0,0,0,0,0,0,0,,0,,1
ART,132,1,R SHAW,2,16,0,6,0,0,0,0,0,0,0,0,0,1,,0,,0
ART,160,1,A EICHER,2,4,2,0,0,0,0,0,0,0,0,0,0,0,,0,,0
ART,160,2,N BRAUN,0,3,3,3,1,2,0,0,0,0,0,0,0,0,,0,,0
ART,164,1,A SERAJ,8,5,4,2,0,0,0,0,0,0,0,0,0,1,,0,,1
ART,171,1,C VARGAS,6,3,1,0,0,0,0,0,0,0,0,0,0,1,,0,,0
ART,173,1,C KUBICK,0,1,7,5,1,0,0,0,0,0,0,0,0,1,,0,,0
ART,185,1,B REIMAN,0,7,5,0,0,0,0,0,0,0,0,0,0,0,,0,,1
ART,198,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,18,,1,,0
ART,C171,1,G MOSES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0
ASTRON,3,1,C MA,3,13,3,2,3,2,2,0,0,0,1,0,0,8,,5,,0
ASTRON, 007A,1,E CHIANG,9,5,4,3,7,8,4,1,2,0,0,0,1,5,,0,,0
ASTRON,10,2,M DAVIS,5,16,4,4,5,0,6,4,0,0,0,0,0,29,,7,,0
ASTRON,24,1,S BECKWITH,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,0,,1
ASTRON,122,1,G BOWER,2,4,3,5,0,4,1,0,0,0,0,0,0,0,,0,,0
ASTRON,160,1,E QUATAERT,1,1,3,3,5,2,3,2,1,0,0,0,2,0,,1,,0
ASTRON,C010,1,A FILIPPENKO,55,112,59,52,70,34,18,13,5,2,3,1,1,158,,21,,0
BIO ENG,10,1,T JOHNSON,9,56,33,2,6,6,1,0,0,0,0,0,0,3,,0,,0
BIO ENG,102,1,M MOFRAD,0,13,9,12,23,14,5,5,5,2,0,0,2,0,,0,,0
BIO ENG,113,1,I CONBOY,7,23,20,0,25,12,0,3,0,0,0,0,0,2,,0,,0
BIO ENG,115,1,H LAM,1,14,9,4,2,1,0,0,0,0,0,0,0,0,,0,,0
BIO ENG,121,1,L LEE,2,24,9,9,0,0,0,0,0,0,0,0,0,0,,0,,0
BIO ENG, 121L,11,C FU,3,4,3,2,1,0,0,0,0,0,0,0,0,0,,0,,0
BIO ENG, 121L,12,C FU,1,1,2,0,2,0,0,0,0,0,0,0,0,0,,0,,0
BIO ENG,131,1,I HOLMES,0,0,4,4,6,3,7,1,1,1,3,2,2,0,,0,,0
BIO ENG,132,1,J ANDERSON,1,4,2,2,1,4,1,1,0,0,0,0,0,1,,0,,0
BIO ENG, 140L,1,J DUEBER,1,3,4,4,5,0,1,2,0,0,0,0,0,0,,0,,0
BIO ENG,143,1,T HEAD-GORDON,0,3,7,1,0,0,0,0,0,0,0,0,2,0,,1,,0
BIO ENG, 168L,1,D FLETCHER,2,8,0,0,2,3,0,0,0,0,0,0,0,0,,0,,0
BIO ENG, 190D,1,A ARKIN,0,5,2,0,0,0,0,0,0,0,0,0,0,0,,0,,0
BIO ENG, 190H,1,M MOFRAD,1,1,0,1,8,0,0,0,0,0,0,0,0,0,,0,,0
BIO ENG,192,1,A HERR,0,21,9,1,0,0,0,0,0,0,0,0,0,0,,0,,0
