Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
AFRICAM,R1A,2,Lia Bascomb; Nailah Suad-Bakari,,2,2,4,3,2,,,,,,,1,,,,,
AFRICAM,R1B,1,Aparajita Nanda,,5,5,7,3,,,1,,,,,,,,1,,2
AFRICAM,R1B,2,Ronald Williams,,5,6,2,4,,1,,1,,,,,,,,,
AFRICAM,4A,1,G. Ugo Nwokeji,,4,9,9,7,7,5,,5,3,1,1,,5,,2,,3
AFRICAM,5B,1,Robert Allen,5,18,14,1,9,6,2,7,2,,,,1,8,,,,
AFRICAM,11A,1,Edwin Okongo,4,6,3,1,2,,1,,,,,,,3,,2,,
AFRICAM,11A,2,Edwin Okongo,4,6,1,1,5,1,3,4,,,,1,1,5,,,,
AFRICAM,27AC,1,Michael Cohen,5,32,16,7,5,3,2,1,,,,,,40,,3,,
AFRICAM,28AC,1,Frederick Vincent; Kimberly Mcnair,4,6,14,2,4,5,2,2,3,1,3,1,2,7,,1,,1
AFRICAM,98,6,Nailah Suad-Bakari,,,,,,,,,,,,,,16,,,,1
AFRICAM,100,1,Leigh Raiford,,2,4,2,3,2,,,,,1,,1,,,,,
AFRICAM,101,1,Hardy Frye,1,6,3,2,,1,,1,,,,,1,,,,,3
AFRICAM,112A,1,Kwame Nimako,,5,14,9,4,,,,,,,,,1,,,,
AFRICAM,115,1,Sam Mchombo,4,15,2,5,6,2,,1,,,2,,1,2,,,,1
AFRICAM,116,1,Ula Taylor,2,2,2,2,1,3,10,,2,1,1,,1,6,,,,
AFRICAM,121,1,Ronald Williams,,10,1,3,,,,1,,,1,,,1,,2,,4
AFRICAM,C133A,1,Nailah Suad-Bakari,5,9,5,1,1,,,,,,,,,1,,,,2
AFRICAM,137,1,Michel Laguerre,,11,3,,2,1,,,,,,,,1,,,,
AFRICAM,139,4,Doniel Wilson,2,2,1,2,2,,,,,,,,,1,,,,2
AFRICAM,139,6,Hashim Alauddeen; Nailah Suad-Bakari,13,13,5,2,1,2,,,,,,,,,,,,2
AFRICAM,150B,1,Darieck Scott,1,7,5,1,2,3,,,,,1,,,,,,,
AFRICAM,155,1,Aparajita Nanda,1,2,5,4,2,1,1,,,,,,,,,,,
AFRICAM,159,1,Aya De Leon,,8,3,,2,,1,,,,,,,,,,,
AFRICAM,159,2,Aparajita Nanda,,2,2,4,1,1,,,,,,,,1,,,,
ENVECON,C1,1,Peter Berck,1,10,8,7,2,8,9,7,1,,,,,2,,,,
ENVECON,100,1,Ethan Ligon,7,8,37,11,5,10,,,1,,1,,,5,1,1,,
ENVECON,C102,1,David Sunding,1,6,7,8,8,8,9,11,4,,1,,1,4,,8,,
ENVECON,C118,1,Elisabeth Sadoulet,5,8,2,10,3,7,2,5,2,1,,,2,,,,,
ENVECON,131,1,Larry Karp,1,3,7,2,2,2,1,,1,,,,,,,2,,
ENVECON,143,1,Brian Wright,2,10,7,12,13,7,5,1,,,,,6,3,,1,,
ENVECON,145,1,Michael Anderson,1,7,9,12,8,10,3,,,3,1,,1,,,,,
ENVECON,C151,1,Alain Dejanvry,5,8,8,9,14,4,4,6,4,,,,1,3,,,,
ENVECON,152,1,Jeremy Magruder,2,2,3,4,2,4,2,,1,,,,,3,,,,
ENVECON,C175,1,Christian Traeger,3,3,7,12,4,2,,1,,,,,,1,,,,
ENVECON,C181,1,Calanit Kamala,,9,3,4,4,1,4,3,,,2,1,2,4,,2,,
ANTHRO,2AC,1,Kent Lightfoot,15,126,46,26,25,12,5,8,1,1,1,,5,45,,10,,1
ANTHRO,3AC,1,Corinne Hayden,21,184,124,51,44,14,6,4,4,,1,,3,17,,5,,2
ANTHRO,R5B,1,Saleem Al-Bahloly; Terrence Deacon,,7,5,,,,,,,,,,1,,,,,
ANTHRO,R5B,2,Teresa Bulger; Terrence Deacon,2,8,2,2,1,,2,,,,,,,,,,,
ANTHRO,R5B,3,Elizabeth Kelley; Terrence Deacon,,3,3,6,3,,,,,,,,,,,,,
ANTHRO,R5B,4,Arpita Roy,1,9,2,,,1,,,,,,,,1,,,,
