Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
AFRICAM,R1A,001,Aparajita Nanda,1,5,3,3,3,1,,,,,,,,,,,,
AFRICAM,R1B,001,Aparajita Nanda,,4,4,5,2,,,,,,,,,,,,,
AFRICAM,4B,001,G. Ugo Nwokeji,2,19,20,12,4,7,2,2,2,,,1,,3,,,,
AFRICAM,5B,001,James Taylor,,12,3,7,3,2,1,,,,,,1,6,,1,,3
AFRICAM,11B,001,David Kyeu,,4,5,2,,,,,,,,,,,1,,,1
AFRICAM,28AC,001,Stephen Small,,10,10,15,9,2,1,,,,,,,9,,1,,1
AFRICAM,98,004,Leigh Raiford; Sonya Dugas,,,,,,,,,,,,,,24,,3,,
AFRICAM,101,001,Chiyuma Elliott,,7,6,2,,1,,,,,,,,,,,,
AFRICAM,112B,001,Tianna Paschel,3,29,14,7,5,2,2,1,1,,1,,,5,,,,
AFRICAM,115,001,Sam Mchombo,7,18,4,,2,1,,,,,,,,,,,,1
AFRICAM,117,001,Ula Taylor,,7,9,5,2,4,3,1,3,,,,3,3,,1,,
AFRICAM,131,001,Michel Laguerre,1,15,3,3,,,,,,,,,,,,1,,
AFRICAM,139,001,Jovan Lewis,2,8,1,3,7,,,1,,,,,1,3,,1,,1
AFRICAM,142AC,001,Michael Cohen,,21,12,8,28,2,1,2,,,,,1,19,,2,,4
AFRICAM,152F,001,Darieck Scott,4,7,2,1,1,2,,,,,1,,,2,,,,
AFRICAM,153C,001,Darieck Scott,5,11,1,2,5,1,,,,,,,,3,,,,
AFRICAM,156AC,001,Aya De Leon,1,12,9,5,5,5,,,1,,,,,3,,,,
AFRICAM,159,001,Cara Stanley,1,1,5,3,2,3,,,,,,,,2,,,,
AFRICAM,198,003,Nailah Suad-Bakari,,,,,,,,,,,,,,48,,1,,
ENVECON,C1,001,Gordon Rausser,6,5,5,3,3,2,9,15,1,,1,,1,4,,1,,1
ENVECON,100,001,Jeffrey Perloff,11,8,23,,5,6,1,7,5,,1,,2,1,,2,,1
ENVECON,C101,001,David Roland-Holst,,10,46,26,16,22,19,4,2,,,,2,,,,,
ENVECON,143,001,Brian Wright,3,20,18,22,11,5,,2,,,,,,4,,,,
ENVECON,147,001,Meredith Fowlie,5,13,8,8,11,2,4,,,,,,1,,,1,,
ENVECON,C151,001,Benjamin Faber,1,,5,10,6,3,1,,,,,,,1,,,,
ENVECON,162,001,David Sunding,1,13,6,10,8,3,5,7,7,,2,,,1,,,,1
ENVECON,C175,001,David Anthoff,,4,9,3,,,,,,,,,,,,,,
ENVECON,C181,001,Thibault Fally,1,2,,8,8,11,4,2,,,,,,,,,,
ANTHRO,1,001,Sabrina Agarwal,30,62,40,34,28,19,14,8,6,2,3,1,8,36,,11,,1
ANTHRO,2AC,001,Jun Sunseri,14,42,56,27,12,7,4,3,1,2,,1,6,71,,6,,
ANTHRO,3AC,001,James Holston,46,201,59,38,21,8,1,2,3,,,,3,54,,4,,3
ANTHRO,R5B,001,Celise Chilcote; Corinne Hayden,3,4,4,1,,1,,,,,,,1,,,,,
ANTHRO,R5B,002,Corinne Hayden; Michael D'Arcy,3,6,5,2,,2,,,,,,,,,,,,
ANTHRO,R5B,003,Corinne Hayden; Kirsten Vacca,2,14,1,,1,,,,,,,,,,,,,
ANTHRO,R5B,004,Callie Maidhof; Corinne Hayden,,5,,2,3,2,1,,,,,,1,,,,,
ANTHRO,111,001,Terrence Deacon,9,13,13,12,10,10,6,3,,,,,5,20,,7,,1
ANTHRO,114,001,Rosemary Joyce,36,49,20,7,7,1,,2,1,,1,,,2,,1,,
ANTHRO,115,001,Diane Tober,,14,12,11,7,1,,,,,,,,1,,1,,2
ANTHRO,126M,001,Lisa Maher,5,5,2,3,1,,,,,,,,,,,,,
ANTHRO,134,001,Kent Lightfoot,1,10,7,3,,,,,,,,,,,,,,
ANTHRO,137,001,Laura Nader,16,23,24,10,8,4,4,,,,,,,4,,,,1
ANTHRO,138B,001,Nathan Kwame Braun,,1,7,,2,,,,,,,,,,,,,
ANTHRO,149,001,Stefania Pandolfo,4,35,9,12,4,1,2,,,,,,,2,,3,,1
ANTHRO,162,001,Amanda Morrison,,27,6,2,,,,,,,,,,,,,,
ANTHRO,170,001,Xin Liu,,6,8,10,8,10,7,2,,,,,,9,,1,,
ANTHRO,179,001,William Hanks,8,15,19,15,5,2,5,,1,1,1,,5,15,,1,,1
ANTHRO,184,001,Lawrence Cohen,6,18,8,1,1,,,,,,,,3,4,,,,1
ANTHRO,189,001,Corinne Hayden,6,18,4,6,3,2,,1,,,,,,1,,,,1
ANTHRO,189,002,Clara Mantini-Briggs,20,,3,,,,,2,,,,,,1,,,,
ANTHRO,189A,001,Aihwa Ong,,3,8,1,3,,,,,,,,,1,,,,
ARCH,11B,001,William Atwood,1,13,11,16,12,2,,,,,,,,2,,,,
ARCH,98BC,002,C Crysler; Elaine Stiles,,,,,,,,,,,,,,13,,2,,
ARCH,100B,001,Gerard Creedon,,12,14,22,24,17,7,5,,,,,2,,,,,2
ARCH,100D,002,Darell Fields,,2,2,2,5,2,1,,,,,,,,,,,1
ARCH,100D,003,Sarah Hirschman,1,2,3,2,4,1,,,,,,,,,,,,2
ARCH,100D,004,Keith Plymale,1,3,5,4,2,,,,,,,,,,,,,
ARCH,100D,005,Ajay Manthripragada,,2,1,6,3,1,2,1,,,,,,,,,,
ARCH,102B,001,Margaret Crawford; Rudabeh Pakravan,,5,3,3,4,1,,,,,,,,,,,,
ARCH,140,001,Gail Brager; Stet Sanborn,3,8,16,16,16,13,8,4,1,,2,,,3,,,,
ARCH,160,001,Dana Buntrock,7,26,28,14,21,11,2,4,1,,,1,1,2,,,,
ARCH,179,001,Andrew Shanken,,3,3,1,1,1,,,,,,,,1,,,,
ENV DES,1,001,Achvabenzinberg Stein,1,11,15,8,12,3,1,1,1,,,1,1,5,,1,,1
ENV DES,R3B,001,Caitlin Declercq; Renee Chow,1,4,5,3,1,1,,1,,,,,,,,,,
ENV DES,4B,001,Achvabenzinberg Stein; Karen Frick; Marco Cenzatti,,87,15,12,6,3,,,3,,,,,,,,,1
ENV DES,4C,001,Jennifer Wolch; Kristina Hill; M Ubbelohde,3,10,22,6,12,12,4,1,4,,1,,,1,,2,,
ENV DES,100,001,Marco Cenzatti,15,34,17,12,7,3,3,1,,2,,,1,20,,1,,
ENV DES,101A,001,Raymond Lifchez,2,4,3,1,,1,,,,,,,,,,,,
ENV DES,106,001,David Waldron,,,5,7,3,,,,1,,,,,,,,,
VIS STD,185X,001,Anthony Dubovsky,3,8,2,,2,,,,,,,,,,,,,
VIS STD,187A,001,Jean Bourdier,,6,5,2,,,,,,,,,,,,,,
ART,8,001,John Mcnamara,8,31,6,4,1,1,,,,,,,1,2,,,,
ART,12,001,Masako Miki,,18,,,1,,,,,,,,2,2,,1,,
ART,13,002,Craig Nagasawa,,14,,,1,,,,,,,,,1,,,,
ART,14,001,Cara Levine,1,6,6,,2,1,1,,,,,,,,,,,
ART,15,001,Carmen Lang Merino,3,7,3,,1,1,,,,,,,,4,,,,
ART,W23AC,001,Greg Niemeyer,12,12,2,3,1,1,2,4,,,,,,14,,,,3
ART,98,006,James Pitt,,,,,,,,,,,,,,12,,1,,
ART,100,001,Stephanie Syjuco,,4,7,1,1,,,,,,,,,,,,,
ART,100,002,Amanda Eicher,,2,4,1,,,,,,,,,,4,,,,
ART,102,002,James Pitt,3,18,,,,,,,,,,,,,,,,
ART,117,001,Aida Gamez,4,15,1,,,,,,,,,,,,,,,
ART,118,001,Indira Morre,3,10,5,2,1,,,,,,,,,,,,,
ART,119,001,Amanda Eicher,7,6,5,,2,1,,,,,,,,,,,,
ART,120,001,Randy Hussong,3,6,1,,,,,,,,,,,1,,,,
ART,123,001,Randy Hussong,,13,4,2,,,,,,,,,,,,,,
ART,130,001,Brody Reiman,,13,1,1,,,,,,,,,,,,,,
ART,132,001,Erik Scollon,,2,8,3,2,,,,,,,,,,,,,
ART,160,001,Azin Seraj,5,1,7,2,1,,,,,,,,,,,,,
ART,165,001,Katherine Sherwood,1,9,4,2,2,,,,,,,,,,,1,,
ART,180,001,Jamil Hellu,11,2,,,,,,,,,,,,1,,,,
ART,184,001,Stephanie Syjuco,,4,11,,,,,,,,,,,,,,,
ART,185,001,Brody Reiman,,13,6,,1,,,,,,,,,,,,,
ART,196,001,Elise Putnam,1,5,1,1,3,,,,,,,,,2,,,,
ASTRON,7B,001,Eugene Chiang,4,3,3,4,5,6,3,3,,,1,,1,2,,,,
ASTRON,10,001,Leo Blitz,14,15,13,10,7,5,5,4,3,,,,1,75,,10,,
ASTRON,C12,001,Raymond Jeanloz,3,6,7,5,4,2,3,,3,1,1,1,,23,,3,,
ASTRON,98,002,Mariska Kriek,,,,,,,,,,,,,,28,,1,,
ASTRON,121,001,Carl Heiles,5,3,5,,1,1,,,2,1,,,1,,,,,
ASTRON,C161,001,Aaron Parsons,,4,7,9,5,2,,1,,,,,,,,,,
ASTRON,198,002,Mariska Kriek,,,,,,,,,,,,,,20,,3,,
BIO ENG,11,001,John Dueber; Niren Murthy,2,2,2,2,1,3,5,1,,,,,,,,,,
BIO ENG,25,001,Hayley Lam; Terry Johnson,,,,,,,,,,,,,,157,,7,,
BIO ENG,101,001,Steven Conolly,3,3,3,2,2,,1,,,,,,,1,,,,
BIO ENG,104,001,Terry Johnson,4,14,30,4,8,4,,,1,,,,,,,,,1
BIO ENG,110,001,Dorian Liepmann,7,19,29,23,12,1,1,,,,,,,,,,,1
BIO ENG,111,001,Seung-Wuk Lee,8,10,,6,3,,,,,,,,,,,,,
BIO ENG,C112,001,Mohammad Mofrad,1,1,4,3,4,,,,,,,,,,,,,
BIO ENG,115,001,Hayley Lam,1,26,11,5,1,1,,,,,,,,,,,,
BIO ENG,C117,001,Lisa Pruitt,2,4,6,3,,,,,,,,,,,,,,
BIO ENG,121,001,Luke Lee,3,21,6,2,,,,,,,,,,,,,,1
BUDDSTD,C117,001,Brian Baumann,1,3,2,,1,1,,,,,,,,3,,,,
BUDDSTD,C128,001,Mark Blum,11,5,6,3,2,2,1,,,,,,1,6,,,,
BUDDSTD,150,001,Christie Bopearachchi,1,2,2,5,3,,,,,,,,,1,,,,
BUDDSTD,190,001,Alexander Von Rospatt,2,2,1,4,,,,,,,,,,1,,,,
UGBA,10,001,Cristina Banks; John Briginshaw; Judy Hopelain; Mohammad Hossein Ghasemzadeh; Omar Romero-Hernandez,22,50,144,94,81,38,19,9,7,3,1,2,1,24,,5,,
UGBA,96,001,Terrance Odean,4,32,34,14,8,3,1,4,2,,,,1,61,,1,,
UGBA,96,002,Terrance Odean,2,32,24,9,1,1,,,2,,,,1,65,,4,,1
UGBA,96,003,Terrance Odean,8,21,18,10,4,2,1,,1,,,,,37,,4,,
UGBA,100,001,Arturo Perez-Reyes,,,4,8,4,,,,,,,,,,,,,
UGBA,100,002,Krystal Thomas,,3,17,9,,1,,1,,,,,,,,,,
UGBA,100,003,Krystal Thomas,,3,18,7,1,1,,,,,,,,,,,,
UGBA,100,004,Ryan Sloan,,4,17,9,1,,,,,,,,,,,,,
UGBA,100,005,Ericka Lutz,,3,12,7,2,,,,,,,,,,,,,
UGBA,100,006,Ericka Lutz,,2,9,3,,,,,,,,,,,,,,
UGBA,100,007,Daniel Himelstein,,,22,10,,,,,,,,,1,,,,,
UGBA,100,008,Daniel Himelstein,,,21,12,,,,,,,,,,,,,,
UGBA,101A,001,Gregory La Blanc,1,16,17,8,7,5,1,2,,,,,2,2,,,,
UGBA,101B,001,James Wilcox,,39,26,18,26,11,1,5,3,,2,,3,,,,,
UGBA,101B,002,James Wilcox,,55,17,28,27,4,,,,,,,1,,,,,
UGBA,102A,001,Tiffany Rasmussen,,35,32,18,23,8,4,1,,,,,,14,,,,
UGBA,102B,001,Alexander Nezlobin,22,7,18,10,21,15,6,,1,,,,,8,,1,,1
UGBA,102B,002,Alexander Nezlobin,37,3,9,6,16,9,3,,1,,,,,4,,,,
UGBA,102B,003,Alexander Nezlobin,12,1,2,2,4,,3,,,,,,,4,,,,
UGBA,103,001,Elizabeth Bailey,13,31,16,16,17,13,12,7,12,,,,1,1,,,,
UGBA,103,002,Elizabeth Bailey,17,28,17,14,12,8,9,7,7,,,,2,9,,1,,
UGBA,104,001,Andrew Shogan; Yiangos Papanastasiou,,95,28,45,27,15,6,7,12,,,,,5,,,,
UGBA,105,001,Holly Schroth,9,13,13,15,11,10,1,2,1,,,,,2,,,,
UGBA,105,002,Holly Schroth,6,20,16,13,18,11,6,2,,1,,,,,,,,
UGBA,106,001,Wasim Azhar,7,34,45,53,31,5,1,,2,,,,1,18,,,,
UGBA,107,001,Alan Ross,1,27,57,46,16,3,4,1,1,,,,,34,,1,,1
UGBA,115,001,Frank Schultz,,12,24,16,1,,,,,,,,,3,,,,
UGBA,118,001,Steven Wood,1,16,12,11,4,1,,1,,,1,,1,6,,1,,
UGBA,119,001,Frank Schultz,,12,12,12,,,,,,,,,,6,,,,
UGBA,120AA,001,Tiffany Rasmussen,,19,18,13,6,4,,,,,,,,4,,,,
UGBA,120AB,001,Francis Stanton,7,25,17,,3,2,,,,,,,,8,,1,,
UGBA,120B,001,Francis Stanton,3,17,2,,4,,,,,,,,,8,,,,
UGBA,121,001,Alan Cerf,3,20,5,4,8,3,1,1,,,,,,5,,,,
UGBA,122,001,Francis Stanton,5,27,1,,22,,,,,,,,,8,,,,1
UGBA,126,001,Tiffany Rasmussen,,12,9,8,6,2,,,,,,,,4,,,,
UGBA,131,001,Stephen Etter,1,26,9,5,11,,,,,,,,,2,,,,
UGBA,133,001,Samuel Olesky,5,20,16,11,4,2,2,,,,,,,6,,,,
UGBA,136F,001,David Sraer,8,15,6,,1,1,4,1,,,,,,2,,1,,
UGBA,137,001,Ioannis Gkatzimas,1,4,6,9,2,,,,,,,,,4,,,,
UGBA,137,002,Sumon Mazumdar,,5,3,3,5,9,1,,,,,,,2,,,,
UGBA,141,001,Omar Romero-Hernandez,,3,5,8,1,,,,,,,,,3,,,,
UGBA,151,001,Cristina Banks,,8,8,9,5,,2,,,,,,,5,,1,,1
UGBA,152,001,Timothy Dayonot,1,3,14,8,1,,,,,,,,,3,,,,
UGBA,154,001,Edward Kass,,11,10,7,,,,,,,,,,5,,,,
UGBA,155,001,Daniel Mulhern,2,18,10,7,4,1,1,,,,,,,13,,,,
UGBA,157,001,Daniel Mulhern,,12,14,6,1,,,,,,,,,1,,,,
UGBA,160,001,William Fanning,,12,7,7,6,6,,2,,,,,,4,,,,
UGBA,165,001,Clayton Critcher,4,13,20,18,12,1,,,,,,,,1,,,,1
UGBA,167,001,David Robinson,1,4,2,1,2,,1,1,1,,,,,10,,,,
UGBA,169,001,Yuichiro Kamada,3,1,11,2,1,,,,,,,,,4,,1,,
UGBA,170,001,John Phillips,,9,14,9,3,,1,,,,,,1,3,,1,,
UGBA,170,002,John Phillips,,8,7,3,2,,,,,,,,1,2,,,,
UGBA,C172,001,Christine Rosen,2,7,18,4,5,2,1,,,,1,,,6,,1,,
UGBA,177,002,Whitney Hischier,,1,14,10,1,,,,,,,,,3,,,,
UGBA,179,001,Daniel Himelstein,,1,21,6,,1,,,,,,,,,,,,
UGBA,183,001,Amir Mohsenzadeh Kermani,3,7,15,3,1,2,1,,,,,,,7,,,,1
UGBA,184,001,Victor Couture,4,9,4,4,4,2,,,1,,,,,4,,,,
UGBA,190T,001,Clark Kellogg,,12,27,9,4,1,,,,,,,,3,,,,
UGBA,190T,002,Alice Agogino; Michael Borrus,,3,6,6,1,,,,,,,,,1,,,,
UGBA,190T,003,Sara Beckman,,4,2,3,1,1,,,,,,,,1,,,,
UGBA,190T,004,Todd Fitch,,14,3,1,1,1,,,,,,,,1,,,,
UGBA,190T,005,Chris Mccoy,1,4,7,3,2,,,,,,,,,3,,,,
UGBA,191P,001,Cort Worthington,,10,5,4,4,,,,,,,,,2,,,,
UGBA,191P,002,Cort Worthington,,12,5,9,6,,,,,,,,,1,,,,
UGBA,192A,001,Joseph Dougherty,8,9,3,,4,,1,,,,,,,5,,1,,
UGBA,192N,001,Colin Lacon,,6,3,2,1,,,,,,,,,1,,,,
UGBA,192T,001,Kellie Mcelhaney,1,4,8,9,2,1,1,,,,,,,2,,,,
UGBA,192T,003,Faris Natour; Roger Mcelrath,,8,7,1,4,4,,,,,,,,2,,,,1
UGBA,194,001,Alan Ross,,,,,,,,,,,,,,116,,1,,
UGBA,195A,001,Kurt Beyer,2,8,12,19,8,1,1,,,,,,,5,,,,1
UGBA,196,001,Christopher Giles,,5,9,3,6,1,,,,,,,,4,,,,
UGBA,198,001,Zsolt Katona,,,,,,,,,,,,,,39,,1,,
UGBA,198,002,Przemyslaw Jeziorski,,,,,,,,,,,,,,26,,8,,
UGBA,198,003,William Fuchs,,,,,,,,,,,,,,19,,1,,
UGBA,198,011,John Briginshaw,,,,,,,,,,,,,,23,,1,,
CHM ENG,90,001,Alexis Bell,,8,4,2,5,2,,,,,,,,2,,,,
CHM ENG,141,001,Wenjun Zhang,3,13,9,16,27,14,22,11,9,,,,4,,,,,1
CHM ENG,150A,001,Susan Muller,4,14,12,22,31,21,9,11,5,1,2,,4,1,,,,3
CHM ENG,154,001,Colin Cerretani,,20,14,22,7,9,2,3,,,,,1,,,,,1
CHM ENG,160,001,Dean Draemel; Ravindra Upadhye,5,6,10,7,10,9,5,5,6,,2,1,,,,,,
CHM ENG,162,001,Ali Mesbah,4,16,13,11,13,8,4,4,4,,,,1,,,,,
CHM ENG,170A,001,Danielle Ercek,7,13,6,8,6,4,,4,,,,,,,,1,,
CHM ENG,C178,001,Nitash Balsara,1,7,5,,1,,3,1,1,,,,,1,,,,
CHM ENG,185,001,Shannon Ciston,3,19,21,4,17,2,,,,,,,,1,,,,
CHEM,1A,001,Peter Marsden,8,36,54,47,64,55,31,21,6,,,,8,12,,9,,5
CHEM,1A,002,Peter Marsden,6,39,58,53,57,28,27,21,7,,,,10,7,,8,,2
CHEM,1AD,001,Alexander Pines,,,3,4,1,5,5,3,1,,1,,,2,,,,1
CHEM,1AL,001,Richard Saykally,11,63,16,27,96,25,28,87,8,12,19,,23,5,,6,,
CHEM,1AL,002,Richard Saykally,3,21,3,12,45,12,16,43,8,7,10,,7,3,,3,,
CHEM,1B,001,Michelle Douskey,14,47,19,10,15,5,2,2,,,2,,,4,,,,
CHEM,3A,001,Kurt Vollhardt,2,71,35,40,27,30,32,27,23,8,8,7,17,2,,13,,2
