Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
AFRICAM,R1A,2,Aparajita Nanda,1,3,5,3,3,,,,,,,,1,,,,,
AFRICAM,R1B,1,Aparajita Nanda,,4,3,7,1,,,1,,,,,,,,,,
AFRICAM,R1B,2,Ivy Mills,,1,4,3,2,3,1,1,,,,,,,,,,
AFRICAM,4A,1,G. Ugo Nwokeji,2,6,10,11,11,10,4,2,2,2,,,,6,,1,,2
AFRICAM,5A,1,Brandi Catanese,,9,3,7,14,3,3,5,5,1,1,,4,6,,5,,
AFRICAM,27AC,1,Michael Cohen,,38,17,13,15,7,3,1,1,,,,3,19,,5,,4
AFRICAM,98,2,Nailah Suad-Bakari,,,,,,,,,,,,,,42,,1,,
AFRICAM,98,10,Nailah Suad-Bakari,,,,,,,,,,,,,,24,,1,,
AFRICAM,100,1,Leigh Raiford,,1,3,2,5,2,1,1,1,,1,1,,,,,,
AFRICAM,109,1,Hardy Frye,2,2,7,3,2,,1,1,,,,,,,,,,1
AFRICAM,112A,1,Kwame Nimako,,2,13,7,9,7,2,1,2,1,,1,,,,,,
AFRICAM,116,1,Ula Taylor,,,6,3,,3,1,1,2,,,,4,,,,,
AFRICAM,121,1,James Taylor,,2,2,3,,,,,,,,1,,,,,,3
AFRICAM,131,1,Michel Laguerre,,12,11,3,7,1,,,,,,,,7,,,,
AFRICAM,C133A,1,Nailah Suad-Bakari,7,5,12,5,1,,,,,,,,,1,,,,1
AFRICAM,C134,1,Michel Laguerre,,11,1,2,1,,2,,,,,,,1,,,,3
AFRICAM,139,1,Nikki Jones,2,11,3,3,3,1,,,,,,,1,1,,,,1
AFRICAM,159,1,Aya De Leon,,6,4,1,2,1,,,,,,,1,3,,,,1
AFRICAM,159,2,Aparajita Nanda,2,3,2,2,1,,,,,,,,,,,,,
AFRICAM,159,3,Frederick Vincent,1,7,2,1,,,,,,,,,,,,,,1
AFRICAM,198,12,Nailah Suad-Bakari,,,,,,,,,,,,,,9,,1,,
ENVECON,C1,1,Peter Berck,1,7,9,12,11,4,1,6,,,,,,5,,1,,1
ENVECON,100,1,Calanit Kamala,2,12,10,7,13,8,7,5,7,,3,,2,2,,1,,
ENVECON,C102,1,Larry Karp,2,10,4,10,7,2,2,2,2,,4,,,1,,3,,
ENVECON,C115,1,Wayne Getz,,6,,2,6,3,,,,,,,2,,,1,,
ENVECON,C118,1,Elisabeth Sadoulet,4,6,5,10,6,5,7,2,1,,1,1,2,,,1,,
ENVECON,145,1,Michael Anderson,2,9,9,14,7,10,6,3,1,,,,,1,,1,,
ENVECON,C151,1,Aprajit Mahajan,1,14,14,11,9,4,6,4,,2,,,1,6,,,,
ENVECON,152,1,Jeremy Magruder,4,6,3,5,7,5,,2,1,,,,,2,,,,
ENVECON,C175,1,David Anthoff,2,7,14,8,3,,1,,,,,,,,,1,,
ENVECON,C181,1,Thibault Fally,1,1,2,4,10,3,2,4,7,,2,,1,1,,,,1
ANTHRO,2AC,1,Jun Sunseri,11,112,63,24,26,5,1,5,1,1,1,,1,43,,6,,
ANTHRO,3AC,1,Charles Hirschkind,44,145,83,57,45,18,5,4,3,2,2,,4,33,,3,,1
ANTHRO,R5B,1,Corinne Hayden; Jason Price,2,4,3,5,1,,,,,,,,,,,,,
ANTHRO,R5B,2,Corinne Hayden; Rachel Ceasar,3,1,2,2,1,2,,,,,,,,1,,,,
ANTHRO,R5B,3,Carolyn Smith; Corinne Hayden,9,5,,1,,,,,,,,,,,,,,
ANTHRO,R5B,4,Corinne Hayden; Olesya Shayduk-Immerman,1,6,3,2,2,,,,,,,,,,,,,
ANTHRO,107,1,Terrence Deacon,2,11,9,12,13,15,12,5,5,,,,,15,,4,,
ANTHRO,119,1,Clara Mantini-Briggs,15,10,8,3,,,,,,,,,,1,,,,1
ANTHRO,121AC,1,Laurie Wilkie,7,34,12,9,18,3,6,,1,,,,1,12,,1,,
ANTHRO,122E,1,Christine Hastorf,3,8,1,5,6,,,3,1,,1,,2,2,,1,,1
ANTHRO,123A,1,Kevin Gibbs,3,,4,3,5,2,1,,2,,,,,2,,,,
ANTHRO,127A,1,Sabrina Agarwal,,5,2,3,4,,2,,,,,,,,,,,1
ANTHRO,128M,1,Robert David,1,2,4,2,1,,,1,,,,,,,,,,1
ANTHRO,132A,1,Bryan Cockrell,,2,3,2,4,,1,,,,,,,3,,,,
ANTHRO,138A,1,Daniel Fisher,1,3,5,6,2,3,2,,,,,,,,,2,,
ANTHRO,141,1,Aihwa Ong,,7,12,3,4,1,1,1,2,,,1,,,,1,,1
ANTHRO,157,1,Laura Nader,2,15,10,10,9,4,2,,2,,2,,,5,,3,,1
ANTHRO,160AC,1,Charles Briggs,11,52,40,16,17,3,1,3,2,,,,2,32,,5,,1
ANTHRO,169B,1,Saba Mahmood,3,7,10,3,1,,,,,,1,,1,1,,,,1
ANTHRO,174AC,1,Kimberly Christensen,16,11,4,1,3,,,,,,,,,6,,1,,1
ANTHRO,180,1,Stanley Brandes,10,20,5,3,4,4,,,,,,,,7,,,,
ANTHRO,183,1,Donald Moore,,9,5,7,4,,1,1,,,,,,1,,1,,
ANTHRO,189,1,James Holston,3,16,3,5,3,,1,,,,,,1,2,,1,,
ANTHRO,189,4,Amelia Moore,2,4,2,3,,1,,,,,,,,,,,,
ARCH,100A,1,Rudabeh Pakravan,,9,9,22,28,15,9,5,8,2,,,3,,,2,,1
ARCH,100C,1,Jacob Atherton,,2,3,3,8,3,,1,,,,,,,,,,
ARCH,100C,2,Jean Bourdier,1,7,5,1,,,,,,,,,,,,,,
ARCH,100C,4,Darell Fields,,1,2,3,3,4,1,1,1,,,,,,,,,
ARCH,100C,5,Patrick Lynch,,2,2,5,4,2,,,,,,,,,,,,
ARCH,102A,1,Padma Maitland; Raveevarn Choksombatchai,,4,3,3,1,1,1,1,1,,,,,,,,,
ARCH,110AC,1,Galen Cranz,7,27,29,16,11,6,6,5,1,,1,,,13,,2,,
ARCH,129,2,Raveevarn Choksombatchai,1,3,5,4,5,,1,,,,,,,1,,,,
ARCH,130,1,C Crysler,9,8,9,6,7,5,4,1,,1,,,2,1,,,,
ARCH,144,1,Charles Salter,,,,,,,,,,,,,,23,4,,,
ARCH,150,1,John Voekel,2,5,18,22,25,10,10,6,4,,,,,3,,1,,
ARCH,170A,1,Dora Epstein,14,23,15,24,16,10,9,,6,1,2,,4,3,1,1,,
ARCH,179,1,Margaret Crawford,,3,7,2,1,,,,,,,,,,,,,1
ARCH,198BC,1,C Crysler; Mia Narell,,,,,,,,,,,,,,15,,1,,
ENV DES,1,1,Linda Jewell,4,17,17,25,26,16,4,1,1,,,,1,3,,,,
ENV DES,4B,1,Achvabenzinberg Stein; Carolina Reid; Marco Cenzatti,4,26,18,11,3,,,,,,,,,,,,,
ENV DES,11A,1,Darell Fields,,1,4,2,9,5,2,3,,,1,,2,1,,,,1
ENV DES,11B,1,Keith Plymale,,4,4,7,2,1,1,,,1,,,,,,,,
ENV DES,98,2,Arami Matevosyan; Keith Plymale,,,,,,,,,,,,,,10,,1,,
ENV DES,101B,1,Raymond Lifchez,3,1,3,1,1,,,,1,,,,,,1,,,
ENV DES,102,1,David Waldron; Julia Ehrman,6,12,6,3,1,1,,,,,,,,1,,,,
ENV DES,C169A,1,Paul Groth,1,4,5,6,4,2,2,1,1,,,,,3,,1,,
ENV DES,195A,1,Ginette Wessel; Raymond Lifchez,2,4,1,1,1,,1,,,,,,,1,,,,
VIS STD,185X,1,Anthony Dubovsky,1,10,1,,,,,,,,,,,1,,,,
VIS STD,186B,1,Jean Bourdier,3,5,2,,,,,,,,,,,,,,,
ART,8,1,John Mcnamara,4,31,13,3,2,1,1,,,,,,,1,,,,
ART,12,1,James Pitt,5,12,1,,,,,,,,,,,,,,,
ART,12,2,Craig Nagasawa,,15,,,2,,,,,,,,,1,,,,
ART,13,2,John Mcnamara,1,18,,,,,,,,,,,,,,,,
ART,14,1,Randy Hussong,,11,1,1,,,,,,,,,,,,,,
ART,14,2,Erik Scollon,,5,13,1,2,1,,,,,,,,1,,,,
ART,16,1,Randy Hussong,,18,1,,,,,,,,,,,,,,,
ART,21,1,Allan Desouza,1,8,8,,,,,,,,,,1,2,,,,
ART,26,1,Jeffrey Skoller,,4,6,1,2,,,,,,,,1,,,,,
ART,102,1,Katherine Sherwood,2,4,9,3,,,,,,,,,,1,,,,
ART,102,2,Michael Hall,3,5,2,1,,,,,,,,,,,,,,
ART,117,1,Craig Nagasawa,,20,4,,1,,,,,,,,,,,,,
ART,118,1,Indira Morre,3,15,3,2,2,,,,,,,,,,,,,
ART,119,1,Jenifer Wofford,1,4,5,2,5,1,,,,,,,,,,,,1
ART,120,1,Randy Hussong,2,14,3,1,,,,,,,,,,,,,,
ART,132,1,Erik Scollon,,1,7,1,2,1,1,,,,,,,,,,,1
ART,133,2,Brody Reiman,1,15,2,1,,,,,,,,,,,,,,
ART,141,1,Anne Walsh,,8,2,2,,,,,,,,,,,,1,,
ART,163,1,Stephanie Syjuco,,7,3,,,,,,,,,,,,,,,
ART,164,1,Katherine Sherwood,1,10,6,2,1,,,,,,,,,1,,1,,
ART,173,1,Christopher Kubick,1,3,6,,1,,,,,,,,2,,,2,,
ART,185,1,Brody Reiman,1,9,3,1,,,,,,,,,1,,,1,,
ART,185,2,Stephanie Syjuco,,5,5,3,,1,,,,,,,,,,,,
ASTRON,7A,1,Mariska Kriek,3,7,7,10,9,7,5,4,1,1,1,,1,5,,,,
ASTRON,10,1,Leo Blitz,4,18,20,11,16,8,4,2,2,,1,,1,57,,5,,
ASTRON,C12,1,Geoffrey Marcy,,9,8,17,20,5,2,14,,,,,,53,,,,
ASTRON,C13,1,Charles Marshall; Eliot Quataert,2,15,6,6,5,2,,1,,,,,,25,,4,,1
ASTRON,98,1,Geoffrey Marcy,,,,,,,,,,,,,,11,,1,,
ASTRON,98,3,James Graham,,,,,,,,,,,,,,13,,,,1
ASTRON,120,1,James Graham,2,2,2,2,3,3,1,1,4,,1,,,1,,1,,
ASTRON,160,1,Eliot Quataert,1,2,2,1,3,3,1,1,2,,,,,1,,,,
ASTRON,198,1,Geoffrey Marcy,,,,,,,,,,,,,,10,,1,,
BIO ENG,10,1,Terry Johnson,5,91,9,1,3,3,1,,,1,,,,1,,1,,1
BIO ENG,24,1,Terry Johnson,,,,,,,,,,,,,,213,,6,,
BIO ENG,100,1,Teresa Head-Gordon,8,53,7,1,1,1,,,,,,,,23,,1,,
BIO ENG,102,1,Song Li,6,27,16,10,6,1,1,1,,,,,,,,,,
BIO ENG,113,1,Irina Conboy,2,4,7,1,4,6,,2,1,,1,,,,,,,
BIO ENG,115,1,Hayley Lam,1,14,10,5,1,,,,,,,,,,,,,
BIO ENG,C118,1,Shyam Patel,3,7,7,4,9,7,4,1,,,,,,,,,,
BIO ENG,C119,1,Tony Keaveny,,1,4,3,4,1,1,,,,,,,1,,,,
BIO ENG,121L,11,Dorian Liepmann,2,8,4,2,,,,,,,,,,,,,,
BIO ENG,132,1,John Anderson,1,5,3,4,5,5,1,,,,,,,,,,,
BIO ENG,140L,1,John Dueber,,5,2,,,1,1,1,,,,,,,,,,
BIO ENG,C144,1,Kimmen Sjolander,1,4,1,5,1,3,,,1,,1,,,,,1,,
BIO ENG,147,1,Adam Arkin,3,1,2,1,2,1,1,,1,,,1,,1,,,,
BIO ENG,150,1,Seung-Wuk Lee,4,21,,12,7,,,,,,,,,1,,,,
BIO ENG,163,1,Gerard Marriott,,10,8,2,2,,,,,,,,,,,,,
BIO ENG,C165,1,Steven Conolly,3,4,2,5,2,1,,,,,,,,,,,,
BIO ENG,C181,1,Wenjun Zhang,,5,6,5,,,,,,,,,,,,,,
BIO ENG,192,1,Amy Herr,,18,3,5,5,,,,,,,,,,,,,
BUDDSTD,C50,1,Robert Sharf,2,8,7,6,6,3,4,1,,,,,,7,,,,
BUDDSTD,C114,1,Jann Ronis,,4,2,1,2,,,,,,,,,1,,,,
BUDDSTD,C120,1,Sanjyot Mehendale,,14,3,3,,,,,,,,,,1,,,,
BUDDSTD,C132,1,Mark Blum,,5,1,1,3,,,,,,,,,1,,,,
BUDDSTD,C154,1,Jacob Dalton,,,3,2,3,1,,1,,,,,,2,,,,
UGBA,C5,1,Ajay Bam,,2,6,9,3,2,1,4,,,,,,8,,,,
UGBA,10,1,Cristina Banks; John Briginshaw; Judy Hopelain; Omar Romero-Hernandez,23,83,121,103,79,32,18,17,5,4,1,,3,18,,6,,
UGBA,39AC,1,Colin Lacon,,5,13,6,2,,,,,,,,,3,,,,
UGBA,100,1,Daniel Himelstein,,2,21,8,2,,,,,,,,,,,,,
UGBA,100,2,Evan Elliot,,1,19,8,,,,,,,,,,,,,,
UGBA,100,3,Krystal Thomas,2,3,10,8,3,,,,,,,,,,,,,
UGBA,100,4,Arturo Perez-Reyes,,,1,4,12,6,1,,,,,,,,,,,
UGBA,100,5,Arturo Perez-Reyes,,,,6,15,2,,,,,,,,,,,,
UGBA,100,6,Krystal Thomas,,3,11,11,5,1,,,,,,,,,,,,
UGBA,101A,1,Aaron Bodoh-Creed,4,14,11,8,11,2,,,3,,,,,5,,1,,
UGBA,101A,2,Aaron Bodoh-Creed,5,16,10,8,9,5,,1,,,,,1,1,,1,,
UGBA,101A,3,Todd Fitch,2,31,17,35,24,6,3,1,1,,,,,3,,2,,
UGBA,101B,1,Steven Wood,,8,11,11,5,10,8,4,3,,,,1,,,,,1
UGBA,102A,1,Rada Brooks,8,29,30,20,22,8,3,5,1,,,,1,,,1,,
UGBA,102A,2,John Briginshaw,7,32,23,15,17,6,3,,,,,,,21,,2,,
UGBA,102A,3,Tiffany Rasmussen,,28,27,24,23,18,2,,,,,,,14,,,,
UGBA,102A,4,Rada Brooks,6,13,6,8,6,5,1,1,2,,,,,,,,,
UGBA,102B,1,Rada Brooks,13,29,27,20,17,8,8,6,2,,,,,,,,,1
UGBA,103,1,Dmitry Livdan,14,25,15,24,11,12,3,3,2,,,,2,11,,,,2
UGBA,103,2,Dmitry Livdan,18,19,18,12,18,9,9,2,3,,,,1,13,,2,,1
UGBA,104,1,Terrence Hendershott; Thomas Lee,8,71,41,32,38,11,6,5,3,,,,2,14,,2,,
UGBA,105,1,Dana Carney,5,22,28,56,71,14,11,3,4,,,,,1,,,,
UGBA,106,1,Wasim Azhar,,18,59,87,22,13,1,,,,,,,1,,,,
UGBA,107,1,Alan Ross,5,39,45,77,46,11,9,2,,,,,,7,,,,1
UGBA,115,1,Frank Schultz,,13,14,14,1,1,,,,,,,,1,,,,
UGBA,118,1,Steven Wood,,7,7,5,6,3,,,,,,,1,2,,,,
UGBA,120AA,1,Patricia Dechow,7,19,14,9,2,,1,,,,,,,11,,,,
UGBA,120AB,1,Francis Stanton,6,24,5,,5,2,,,,,,,,12,,,,
UGBA,120B,1,Francis Stanton,3,15,5,,4,,,,,,,,,11,,,,
UGBA,121,1,Alan Cerf,1,18,5,7,11,1,,,,,,,,4,,,,
UGBA,122,1,Francis Stanton,5,10,,,16,,,,,,,,,1,,,,
UGBA,126,1,Tiffany Rasmussen,,7,7,3,4,,,,,,,,,5,,,,
UGBA,127,1,John Mccauley,,7,11,2,2,,,,,,,,,8,,,,
UGBA,131,1,Stephen Etter,,33,7,7,12,,,1,,,,,,2,,,,
UGBA,137,1,Michael Hanson,,6,4,11,,2,3,1,,,,,,,,,,
UGBA,143,1,Thomas Marschak,,13,10,3,2,,,,,,,,1,1,,2,,
UGBA,152,1,Holly Schroth,1,11,13,7,5,2,1,1,,,1,,,,,,,
UGBA,152,2,Holly Schroth,,9,11,16,1,1,2,,,,,,,,,,,
