Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
PHYS ED,11,9,Steven Desimone; Susanna Li-Jue,,,,,,,,,,,,,,11,,1,,
PHYS ED,11,10,Steven Desimone; Susanna Li-Jue,,,,,,,,,,,,,,11,,1,,
PUB POL,198,2,Jane Mauldon,,,,,,,,,,,,,,11,,1,,
PB HLTH,293,12,Hector Rodriguez; Julianna Deardorff; William Dow,,11,1,,,,,,,,,,,,,,,
PUB POL,190,1,Alexander Gelber,,10,2,,,,,,,,,,,,,,,
THEATER,163,1,Christopher Herold,,11,1,,,,,,,,,,,,,,,
FILIPN,W101B,1,Maria Barrios-Leblanc,8,4,,,,,,,,,,,,,,,,
CHM ENG,298C,2,Bryan Mccloskey,,,,,,,,,,,,,,,11,,,1
LEGALST,225.1,1,Rachel Stern,,3,,,,,,,,,,,,9,,,,
VIS STD,98,3,Diana Kang; Keith Plymale,,,,,,,,,,,,,,11,,1,,
EL ENG,151LB,102,Elad Alon,,7,5,,,,,,,,,,,,,,,
EDUC,290C,2,Susan Holloway,,11,,,,,,,,,,,,,1,,,
ESPM,98BC,6,Erica Rosenblum,,,,,,,,,,,,,,11,,1,,
CY PLAN,198,1,Carol Galante,,,,,,,,,,,,,,11,,1,,
CY PLAN,299,3,Carolina Reid,,4,,,,,,,,,,,,,8,,,
CHEM,299,21,Matthew Francis,,11,,,,,,,,,,,,,1,,,
SOCIOL,198,12,Samuel Lucas,,,,,,,,,,,,,,11,,1,,
PB HLTH,293,10,Richard Scheffler,,6,,,,,,,,,,,,,6,,,
VIS STD,298,1,Tom Buresh,,3,,,,,,,,,,,,,9,,,
PB HLTH,293,2,Stephen Shortell,,10,,,,,,,,,,,,,2,,,
LGBT,200,1,Juana Maria Rodriguez,,12,,,,,,,,,,,,,1,,,
PHILOS,198BC,4,Lara Buchak,,,,,,,,,,,,,,11,,2,,
EDUC,223B,8,Michelle Wilkerson,,12,,,,,,,,,,,,,1,,,
INFO,290,5,Chris Hoofnagle,5,8,,,,,,,,,,,,,,,,
SOC WEL,250J,1,Kurt Organista,,7,6,,,,,,,,,,,,,,,
PSYCH,198,15,Iris Mauss,,,,,,,,,,,,,,11,,2,,
MEC ENG,C268,1,Stephen Morris,,10,,,,,,,,,,,,,3,,,
ESPM,98BC,2,Erica Rosenblum,,,,,,,,,,,,,,12,,1,,
TURKISH,129,1,Sanjyot Mehendale,,11,,,,,,,,,,,,2,,,,
SLAVIC,39,1,Olga Matich,,,,,,,,,,,,,,12,,1,,
EDUC,98,10,Derek Van Rheenen,,,,,,,,,,,,,,12,,1,,
PHYSICS,24,1,Frances Hellman,,,,,,,,,,,,,,12,,1,,
COLWRIT,1,2,Nancy Hunt,,,,,,,,,,,,,,12,1,,,
EDUC,298B,3,Kris Gutierrez,,10,,,,,,,,,,,,,3,,,
GEOG,251,1,Jovan Lewis,11,,,,,,,,,,,,,,2,,,
POL SCI,291F,1,Jasjeet Sekhon,,6,,,,,,,,,,,,,7,,,
ENGLISH,143C,1,Carla Serpell,,11,2,,,,,,,,,,,,,,,
ENGIN,296MB,35,Grace O'Connell,3,10,,,,,,,,,,,,,,,,
ECON,216,1,Gerard Roland,,9,,,,,,,,,,,,,4,,,
PUB POL,205,8,Daniel Lindheim,,10,3,,,,,,,,,,,,,,,
VIS STD,198,3,Diana Kang; Keith Plymale,,,,,,,,,,,,,,12,1,,,
POLECON,24,2,Beverly Crawford,,,,,,,,,,,,,,12,,1,,
EDUC,197,12,Catherine Koshland; Elizabeth Keithley,,,,,,,,,,,,,,12,,1,,
PB HLTH,299,44,Patricia Wakimoto,,5,,,,,,,,,,,,,8,,,
SLAVIC,133,1,Lyubov Golburt,,7,6,,,,,,,,,,,,,,,
EDUC,275H,1,Sophia Rabe-Hesketh,,12,,,,,,,,,,,,,2,,,
JOURN,212,1,Anna Sussman,2,12,,,,,,,,,,,,,,,,
THEATER,181,1,Margo Hall-callender,7,7,,,,,,,,,,,,,,,,
LEGALST,276P,1,Andrew Kloss; Paul Schwartz,,1,,,,,,,,,,,,13,,,,
JOURN,219,3,Chris Ballard,,,,,,,,,,,,,,1,13,,,
BIO ENG,C216,1,Niren Murthy,5,9,,,,,,,,,,,,,,,,
JOURN,283,2,Elizabeth Rate; Richard Hernandez,12,2,,,,,,,,,,,,,,,,
THEATER,111,1,Lura Dolas,,11,3,,,,,,,,,,,,,,,
PB HLTH,253G,1,Heidi Bauer,,,,,,,,,,,,,,3,11,,,
HISTORY,283,1,Kerwin Klein; Leah Flanagan; Mark Peterson,,8,6,,,,,,,,,,,,,,,
ASAMST,198,6,Harvey Dong,,,,,,,,,,,,,,13,,1,,
ECON,218,1,Ulrike Malmendier,,12,,,,,,,,,,,,,2,,,
