Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,13549,,13549,,13549,Alice Chapman,,Ancient Greek & Roman Studies,10A,001,B,Letter Grade,B-,Intro Ancnt Greece
1,13549,,13549,,13549,Alice Chapman,,Ancient Greek & Roman Studies,10A,001,C,Letter Grade,C+,Intro Ancnt Greece
1,13549,,13549,,13549,Alice Chapman,,Ancient Greek & Roman Studies,10A,001,D,Letter Grade,D+,Intro Ancnt Greece
2,13549,,13549,,13549,Alice Chapman,,Ancient Greek & Roman Studies,10A,001,Credit,Non-Letter Grade,Pass,Intro Ancnt Greece
9,14472,,14472,,14472,Kristina Chew,,Ancient Greek & Roman Studies,N28,001,A,Letter Grade,A,Greek & Roman Myths
6,14472,,14472,,14472,Kristina Chew,,Ancient Greek & Roman Studies,N28,001,A,Letter Grade,A-,Greek & Roman Myths
3,14472,,14472,,14472,Kristina Chew,,Ancient Greek & Roman Studies,N28,001,B,Letter Grade,B+,Greek & Roman Myths
2,14472,,14472,,14472,Kristina Chew,,Ancient Greek & Roman Studies,N28,001,B,Letter Grade,B,Greek & Roman Myths
1,14472,,14472,,14472,Kristina Chew,,Ancient Greek & Roman Studies,N28,001,B,Letter Grade,B-,Greek & Roman Myths
2,14472,,14472,,14472,Kristina Chew,,Ancient Greek & Roman Studies,N28,001,F,Letter Grade,F,Greek & Roman Myths
3,14472,,14472,,14472,Kristina Chew,,Ancient Greek & Roman Studies,N28,001,Credit,Non-Letter Grade,Pass,Greek & Roman Myths
11,14471,,14471,,14471,Kim Shelton,,Ancient Greek & Roman Studies,N172A,001,A,Letter Grade,A,Arch Fld Schl Nemea
1,14471,,14471,,14471,Kim Shelton,,Ancient Greek & Roman Studies,N172A,001,Credit,Non-Letter Grade,Pass,Arch Fld Schl Nemea
3,14524,,14524,,14524,Kim Shelton,,Ancient Greek & Roman Studies,199,001,Credit,Non-Letter Grade,Pass,Superv Indep Study
19,14363,,14363,,14363,Christopher Lowman,,Anthropology,2AC,001,A,Letter Grade,A+,Intro Archaeology
31,14363,,14363,,14363,Christopher Lowman,,Anthropology,2AC,001,A,Letter Grade,A,Intro Archaeology
7,14363,,14363,,14363,Christopher Lowman,,Anthropology,2AC,001,A,Letter Grade,A-,Intro Archaeology
1,14363,,14363,,14363,Christopher Lowman,,Anthropology,2AC,001,B,Letter Grade,B+,Intro Archaeology
1,14363,,14363,,14363,Christopher Lowman,,Anthropology,2AC,001,B,Letter Grade,B,Intro Archaeology
1,14363,,14363,,14363,Christopher Lowman,,Anthropology,2AC,001,B,Letter Grade,B-,Intro Archaeology
1,14363,,14363,,14363,Christopher Lowman,,Anthropology,2AC,001,C,Letter Grade,C+,Intro Archaeology
4,14363,,14363,,14363,Christopher Lowman,,Anthropology,2AC,001,F,Letter Grade,F,Intro Archaeology
2,14363,,14363,,14363,Christopher Lowman,,Anthropology,2AC,001,Credit,Non-Letter Grade,Pass,Intro Archaeology
12,14215,,14215,,14215,Brian Karl,,Anthropology,3AC,001,A,Letter Grade,A+,Intro Soc/Cult Ac
28,14215,,14215,,14215,Brian Karl,,Anthropology,3AC,001,A,Letter Grade,A,Intro Soc/Cult Ac
19,14215,,14215,,14215,Brian Karl,,Anthropology,3AC,001,A,Letter Grade,A-,Intro Soc/Cult Ac
7,14215,,14215,,14215,Brian Karl,,Anthropology,3AC,001,B,Letter Grade,B+,Intro Soc/Cult Ac
4,14215,,14215,,14215,Brian Karl,,Anthropology,3AC,001,B,Letter Grade,B,Intro Soc/Cult Ac
2,14215,,14215,,14215,Brian Karl,,Anthropology,3AC,001,B,Letter Grade,B-,Intro Soc/Cult Ac
1,14215,,14215,,14215,Brian Karl,,Anthropology,3AC,001,C,Letter Grade,C+,Intro Soc/Cult Ac
1,14215,,14215,,14215,Brian Karl,,Anthropology,3AC,001,D,Letter Grade,D,Intro Soc/Cult Ac
1,14215,,14215,,14215,Brian Karl,,Anthropology,3AC,001,Credit,Non-Letter Grade,Pass,Intro Soc/Cult Ac
5,15428,,15428,,15428,Venicia Slotten; Rosemary Joyce; Elizabeth Dresser-Kluchman,,Anthropology,R5B,001,A,Letter Grade,A+,Reading & Comp
4,15428,,15428,,15428,Venicia Slotten; Rosemary Joyce; Elizabeth Dresser-Kluchman,,Anthropology,R5B,001,A,Letter Grade,A,Reading & Comp
1,15428,,15428,,15428,Venicia Slotten; Rosemary Joyce; Elizabeth Dresser-Kluchman,,Anthropology,R5B,001,A,Letter Grade,A-,Reading & Comp
3,15429,,15429,,15429,Rosemary Joyce; Elizabeth Dresser-Kluchman,,Anthropology,R5B,002,A,Letter Grade,A+,Reading & Comp
