Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,15833,,15833,,15833,Maximilian Auffhammer,,Ag & Resource Econ & Pol,299,002,Credit,Non-Letter Grade,Satisfactory,Individual Research
2,15836,,15836,,15836,Thibault Fally,,Ag & Resource Econ & Pol,299,005,Credit,Non-Letter Grade,Satisfactory,Individual Research
4,15837,,15837,,15837,Meredith Fowlie,,Ag & Resource Econ & Pol,299,006,Credit,Non-Letter Grade,Satisfactory,Individual Research
2,15838,,15838,,15838,Aprajit Mahajan,,Ag & Resource Econ & Pol,299,007,Credit,Non-Letter Grade,Satisfactory,Individual Research
4,15840,,15840,,15840,Ethan Ligon,,Ag & Resource Econ & Pol,299,009,Credit,Non-Letter Grade,Satisfactory,Individual Research
5,15841,,15841,,15841,Jeremy Magruder,,Ag & Resource Econ & Pol,299,010,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,15842,,15842,,15842,Jeffrey Perloff,,Ag & Resource Econ & Pol,299,011,Credit,Non-Letter Grade,Satisfactory,Individual Research
2,15848,,15848,,15848,James Sallee,,Ag & Resource Econ & Pol,299,017,Credit,Non-Letter Grade,Satisfactory,Individual Research
6,15849,,15849,,15849,Marco Gonzalez-Navarro,,Ag & Resource Econ & Pol,299,018,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,15851,,15851,,15851,Brian Wright,,Ag & Resource Econ & Pol,299,020,Credit,Non-Letter Grade,Satisfactory,Individual Research
2,18345,,18345,,18345,Michael Anderson,,Ag & Resource Econ & Pol,602,001,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,18347,,18347,,18347,Marco Gonzalez-Navarro,,Ag & Resource Econ & Pol,602,003,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,18349,,18349,,18349,Thibault Fally,,Ag & Resource Econ & Pol,602,005,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,18350,,18350,,18350,Meredith Fowlie,,Ag & Resource Econ & Pol,602,006,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
2,18351,,18351,,18351,Joseph Shapiro,,Ag & Resource Econ & Pol,602,007,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
2,18354,,18354,,18354,Jeremy Magruder,,Ag & Resource Econ & Pol,602,010,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
3,18363,,18363,,18363,James Sallee,,Ag & Resource Econ & Pol,602,019,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
1,18364,,18364,,18364,Francis Annan,,Ag & Resource Econ & Pol,602,020,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctorat"
2,19310,,19310,,19310,Christine Palmer,,American Studies,300,001,Credit,Non-Letter Grade,Pass,Teaching Amer Std
2,31742,,31742,,31742,Lisa Pieraccini; Rita Lucarelli,,Anc Hist & Medit Archae,210,001,A,Letter Grade,A+,Ahma Seminar
2,31742,,31742,,31742,Lisa Pieraccini; Rita Lucarelli,,Anc Hist & Medit Archae,210,001,A,Letter Grade,A,Ahma Seminar
1,27330,,27330,,27330,Francesca Rochberg,,Anc Hist & Medit Archae,298,001,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
1,33931,,33931,,33931,Carlos Norena,,Anc Hist & Medit Archae,298,002,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
2,33932,,33932,,33932,Kim Shelton,,Anc Hist & Medit Archae,298,003,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
1,33980,,33980,,33980,Christopher Hallett,,Anc Hist & Medit Archae,298,004,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
1,34031,,34031,,34031,Emily Mackil,,Anc Hist & Medit Archae,298,005,Credit,Non-Letter Grade,Satisfactory,Superv Indep Study
1,15446,,15446,,15446,Nikolaos Papazarkadas,,Anc Hist & Medit Archae,299,001,A,Letter Grade,A,Superv Indep Study
2,33975,,33975,,33975,Sanjyot Mehendale,,Anc Hist & Medit Archae,299,002,A,Letter Grade,A,Superv Indep Study
1,33981,,33981,,33981,Adam Benkato,,Anc Hist & Medit Archae,299,003,A,Letter Grade,A,Superv Indep Study
1,27351,,27351,,27351,Diliana Angelova,,Anc Hist & Medit Archae,601,001,Credit,Non-Letter Grade,Satisfactory,Sprv Ind Stdy Mstrs
1,25935,,25935,,25935,Emily Mackil,,Anc Hist & Medit Archae,602,001,Credit,Non-Letter Grade,Satisfactory,Sprv Ind Stdy Phd
1,33933,,33933,,33933,Kim Shelton,,Anc Hist & Medit Archae,602,002,Credit,Non-Letter Grade,Satisfactory,Sprv Ind Stdy Phd
2,33979,,33979,,33979,Carlos Norena,,Anc Hist & Medit Archae,602,003,Credit,Non-Letter Grade,Satisfactory,Sprv Ind Stdy Phd
6,30665,,30665,,30665,Terrence Deacon,,Anthropology,210,001,A,Letter Grade,A,Spec Top Bio Anthro
5,30834,,30834,,30834,William White,,Anthropology,230,001,A,Letter Grade,A,Spec Top Arch
5,31221,,31221,,31221,Junko Habu,,Anthropology,230,002,A,Letter Grade,A,Spec Top Arch
3,31222,,31222,,31222,Rosemary Joyce,,Anthropology,230,003,A,Letter Grade,A+,Spec Top Arch
9,31222,,31222,,31222,Rosemary Joyce,,Anthropology,230,003,A,Letter Grade,A,Spec Top Arch
5,31224,,31224,,31224,Lisa Maher,,Anthropology,230,005,A,Letter Grade,A+,Spec Top Arch
4,33582,,33582,,33582,Laurie Wilkie,,Anthropology,230,006,A,Letter Grade,A+,Spec Top Arch
4,30672,,30672,,30672,Xin Liu,,Anthropology,240B,001,A,Letter Grade,A+,Fd Anthro Theo
6,30672,,30672,,30672,Xin Liu,,Anthropology,240B,001,A,Letter Grade,A,Fd Anthro Theo
2,33297,,33297,,33297,Stefania Pandolfo,,Anthropology,250A,001,A,Letter Grade,A+,Psychological Anthr
9,33297,,33297,,33297,Stefania Pandolfo,,Anthropology,250A,001,A,Letter Grade,A,Psychological Anthr
1,33297,,33297,,33297,Stefania Pandolfo,,Anthropology,250A,001,Credit,Non-Letter Grade,Satisfactory,Psychological Anthr
9,33078,,33078,,33078,Lawrence Cohen,,Anthropology,250R,001,A,Letter Grade,A,Dissertation Writng
