Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,23959,,23959,,23959,Ashia Ajani,,African American Studies,R1B,001,C,Letter Grade,C-,Freshmn Composition
2,31395,,31395,,31395,Nikki Jones; Michael Myers II,,African American Studies,R1B,002,A,Letter Grade,A-,Freshmn Composition
2,31395,,31395,,31395,Nikki Jones; Michael Myers II,,African American Studies,R1B,002,B,Letter Grade,B+,Freshmn Composition
5,31395,,31395,,31395,Nikki Jones; Michael Myers II,,African American Studies,R1B,002,B,Letter Grade,B,Freshmn Composition
1,31395,,31395,,31395,Nikki Jones; Michael Myers II,,African American Studies,R1B,002,B,Letter Grade,B-,Freshmn Composition
1,31395,,31395,,31395,Nikki Jones; Michael Myers II,,African American Studies,R1B,002,C,Letter Grade,C,Freshmn Composition
1,31395,,31395,,31395,Nikki Jones; Michael Myers II,,African American Studies,R1B,002,C,Letter Grade,C-,Freshmn Composition
2,31395,,31395,,31395,Nikki Jones; Michael Myers II,,African American Studies,R1B,002,D,Letter Grade,D+,Freshmn Composition
1,31395,,31395,,31395,Nikki Jones; Michael Myers II,,African American Studies,R1B,002,F,Letter Grade,F,Freshmn Composition
23,26511,,26511,,26511,Arif Gamal,,African American Studies,4B,001,A,Letter Grade,A+,Africa:  Hist & Cul
17,26511,,26511,,26511,Arif Gamal,,African American Studies,4B,001,A,Letter Grade,A,Africa:  Hist & Cul
1,26511,,26511,,26511,Arif Gamal,,African American Studies,4B,001,B,Letter Grade,B+,Africa:  Hist & Cul
1,26511,,26511,,26511,Arif Gamal,,African American Studies,4B,001,C,Letter Grade,C+,Africa:  Hist & Cul
1,26511,,26511,,26511,Arif Gamal,,African American Studies,4B,001,C,Letter Grade,C,Africa:  Hist & Cul
5,26511,,26511,,26511,Arif Gamal,,African American Studies,4B,001,Credit,Non-Letter Grade,Pass,Africa:  Hist & Cul
6,24169,,24169,,24169,Nikki Jones,,African American Studies,5B,001,A,Letter Grade,A+,Afam Life & Cul U S
39,24169,,24169,,24169,Nikki Jones,,African American Studies,5B,001,A,Letter Grade,A,Afam Life & Cul U S
14,24169,,24169,,24169,Nikki Jones,,African American Studies,5B,001,A,Letter Grade,A-,Afam Life & Cul U S
9,24169,,24169,,24169,Nikki Jones,,African American Studies,5B,001,B,Letter Grade,B+,Afam Life & Cul U S
6,24169,,24169,,24169,Nikki Jones,,African American Studies,5B,001,B,Letter Grade,B,Afam Life & Cul U S
3,24169,,24169,,24169,Nikki Jones,,African American Studies,5B,001,B,Letter Grade,B-,Afam Life & Cul U S
1,24169,,24169,,24169,Nikki Jones,,African American Studies,5B,001,C,Letter Grade,C+,Afam Life & Cul U S
3,24169,,24169,,24169,Nikki Jones,,African American Studies,5B,001,C,Letter Grade,C,Afam Life & Cul U S
2,24169,,24169,,24169,Nikki Jones,,African American Studies,5B,001,D,Letter Grade,D,Afam Life & Cul U S
1,24169,,24169,,24169,Nikki Jones,,African American Studies,5B,001,F,Letter Grade,F,Afam Life & Cul U S
3,24169,,24169,,24169,Nikki Jones,,African American Studies,5B,001,Credit,Non-Letter Grade,Pass,Afam Life & Cul U S
2,24169,,24169,,24169,Nikki Jones,,African American Studies,5B,001,No Credit,Non-Letter Grade,Not Pass,Afam Life & Cul U S
1,20888,,20888,,20888,David Kyeu,,African American Studies,10B,001,A,Letter Grade,A+,Intermed Swahili
2,20888,,20888,,20888,David Kyeu,,African American Studies,10B,001,A,Letter Grade,A,Intermed Swahili
2,20889,,20889,,20889,David Kyeu,,African American Studies,11B,001,A,Letter Grade,A+,Elementary Swahili
5,20889,,20889,,20889,David Kyeu,,African American Studies,11B,001,A,Letter Grade,A,Elementary Swahili
1,26545,,26545,,26545,David Kyeu,,African American Studies,15B,001,A,Letter Grade,A,Advanced Swahili
2,26545,,26545,,26545,David Kyeu,,African American Studies,15B,001,Credit,Non-Letter Grade,Satisfactory,Advanced Swahili
