CELTIC,168
CLASSIC,10A
HISTORY,20
ENGIN,125
PHILOS,121
ESPM,50AC
RHETOR,107
PHILOS,7
ASAMST,152
EDUC,131AC
PBHLTH,101
PHILOS,170
GPP,105
POLSCI,4
HISTORY,30
ISF,10
COGSCI,C101
POLSCI,112C
NATAMST,150
SSEASN,C52
EALANG,101
SASIAN,142
POLECON,100
SSEASN,C135
CLASSIC,36
SLAVIC,134C
SOCIOL,137AC
BUDDSTD,C117
LEGALST,107
DATA,C104
PHILOS,187
ISF,60
PHILOS,104
BUDDSTD,C128
NESTUD,104
EALANG,C128
RHETOR,103A
CHICANO,110
LEGALST,140
PHILOS,25A
LS,C60V
SOCIOL,101
HISTART,17
PHILOS,12A
SOCIOL,102
SSEASN,C145
GERMAN,C60V
ESPM,162
MEDIAST,104A
PHILOS,25B
JEWISH,122
PSYCH,C162
SASIAN,C114
CLASSIC,124
PHILOS,133
CHINESE,51
SLAVIC,134D
COMLIT,100A
CELTIC,173
PHILOS,161
ANTHRO,150
ITALIAN,30
BUDDSTD,C50
SASIAN,110
ITALIAN,130A
SASIAN,140
EALANG,C50
LEGALST,103
GLOBAL,132
NESTUD,180
PHILOS,100
PHILOS,128
LS,22
LEGALST,100
PHILOS,176
PHILOS,132
LS,C60T
LS,C160V
SOCIOL,C146M
GLOBAL,100P
LATIN,116
PHILOS,5
RHETOR,103B
LEGALST,C134
LINGUIS,C105
POLECON,101
NESTUD,103
MILAFF,180
GLOBAL,173
PHILOS,135
CLASSIC,28
ENGLISH,177
BUDDSTD,C113
CHINESE,186
PHILOS,3
GREEK,100
HISTORY,175C
ASAMST,144
ISF,100A
UGBA,107
UGIS,C133
NATAMST,151
PHILOS,115
LEGALST,109
BIOENG,100
GREEK,123
PUBPOL,C103
CLASSIC,10B
LINGUIS,C142
PHILOS,2
LS,C180U
SASIAN,C154
PHILOS,178
NAVSCI,3
PHILOS,148
NESTUD,160
PHILOS,107
COGSCI,C142
POLSCI,124C
MONGOLN,C117
PHILOS,110
NESTUD,146
PHILOS,108
HISTORY,C184D
SASIAN,C113
PHILOS,184
RHETOR,108
ANTHRO,158
