Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
2,2,,,12874,Weisi Cai,,Chinese,10A,001,A,Letter Grade,A,Inter Chinese
2,5,,,12876,Weisi Cai,,Chinese,10B,001,A,Letter Grade,A,Inter Chinese
2,13,,,12878,Kyongmi Park,,Korean,1A,001,A,Letter Grade,A,Elementary Korean
2,9,,,12879,Ina Choi,,Korean,1B,001,A,Letter Grade,A,Elementary Korean
2,7,,,12898,Jeffrey Knapp; Kaitlin Forcier,,Film,20,001,A,Letter Grade,A,Film/Media Culture
2,14,,,12900,Nikolas Nackley; Nikolas Nackley,,Music,44,003,A,Letter Grade,A,Voice Class
2,13,,,12901,Harry Burson; Jeffrey Knapp,,Film,25A,001,A,Letter Grade,A,History Of Film
2,3,,,12905,Jeffrey Knapp; Katherine Guerra,,Film,108,001,A,Letter Grade,A,Film Genre
2,9,,,12907,David Milnes; Jeremy Wexler,,Music,25,002,A,Letter Grade,A,Music Theory
2,7,,,12912,Christopher Ansell; David Schraub; Laura Ramirez,,Political Science,157A,001,A,Letter Grade,A,Constitutl Law U.S.
2,10,,,12922,Maria Barrios-Leblanc,,Southeast Asian,148,001,A,Letter Grade,A,Philhistory
2,20,,,12923,Maria Barrios-Leblanc,,Southeast Asian,160,001,A,Letter Grade,A,Phil Cult Politics
2,11,,,12926,Zheng Huang,,Economics,N110,001,A,Letter Grade,A,Game Theory Soc Sci
2,5,,,12932,Samuel Evans,,International & Area Stds,C176,001,A,Letter Grade,A,Climate Change Economics
2,9,,,12936,Grace Gordon; Richard Borcherds,,Mathematics,N1A,001,A,Letter Grade,A,Calculus
2,5,,,12937,Richard Borcherds; Wai Shan Michelle Lui,,Mathematics,N1A,002,A,Letter Grade,A,Calculus
2,6,,,12940,Guillaume Varvoux; Richard Borcherds,,Mathematics,N10A,001,A,Letter Grade,A,Methods Of Math
2,7,,,12942,Esme Bajo; Richard Borcherds,,Mathematics,N10B,001,A,Letter Grade,A,Methods Of Math
2,4,,,12943,Foster Tom; Richard Borcherds,,Mathematics,N16A,001,A,Letter Grade,A,Anal Geo & Calc
2,3,,,12944,Emily Bain; Richard Borcherds,,Mathematics,N16A,002,A,Letter Grade,A,Anal Geo & Calc
2,9,,,12945,Mariana Vicaria Angel; Richard Borcherds,,Mathematics,N16B,001,A,Letter Grade,A,Anal Geo & Calc
2,4,,,12949,Richard Borcherds; Yasaman Yavaribajestani,,Mathematics,N32,001,A,Letter Grade,A,Precalculus
2,7,,,12953,Richard Borcherds; Thomas Browning,,Mathematics,N53,001,A,Letter Grade,A,Multivar Calculus
2,6,,,12954,Peter Koroteev,,Mathematics,N53,002,A,Letter Grade,A,Multivar Calculus
2,8,,,12955,Peter Koroteev,,Mathematics,N53,003,A,Letter Grade,A,Multivar Calculus
2,11,,,12956,Michael Smith; Richard Borcherds,,Mathematics,N53,004,A,Letter Grade,A,Multivar Calculus
2,27,,,12957,Mikiko Soga,,Japanese,80,001,A,Letter Grade,A,Japanese Culture
2,11,,,12958,Minsook Kim,,Korean,109,001,A,Letter Grade,A,Popular Media
